{file: Rasputin_Light_Combo_Part_2-0.png; pivotX: 127.2866; pivotY: 284.9601}
{file: Rasputin_Light_Combo_Part_2-25.png; pivotX: 235.3264; pivotY: 323.5271}
{file: Rasputin_Light_Combo_Part_2-26.png; pivotX: 220.1793; pivotY: 343.4109}
{file: Rasputin_Light_Combo_Part_2-27.png; pivotX: 203.4357; pivotY: 360.4104}
{file: Rasputin_Light_Combo_Part_2-28.png; pivotX: 185.7276; pivotY: 372.8171}
{file: Rasputin_Light_Combo_Part_2-29.png; pivotX: 168.0575; pivotY: 380.9236}
{file: Rasputin_Light_Combo_Part_2-30.png; pivotX: 152.7164; pivotY: 385.7633}
{file: Rasputin_Light_Combo_Part_2-31.png; pivotX: 141.665; pivotY: 387.4082}
{file: Rasputin_Light_Combo_Part_2-32.png; pivotX: 133.3829; pivotY: 388.4316}
{file: Rasputin_Light_Combo_Part_2-33.png; pivotX: 128.3867; pivotY: 389.6297}
{file: Rasputin_Light_Combo_Part_2-34.png; pivotX: 123.232; pivotY: 389.6601}
{file: Rasputin_Light_Combo_Part_2-35.png; pivotX: 117.0938; pivotY: 390.5292}
{file: Rasputin_Light_Combo_Part_2-36.png; pivotX: 110.8666; pivotY: 389.395}
{file: Rasputin_Light_Combo_Part_2-37.png; pivotX: 104.0798; pivotY: 389.251}
{file: Rasputin_Light_Combo_Part_2-38.png; pivotX: 97.24678; pivotY: 388.2031}
{file: Rasputin_Light_Combo_Part_2-39.png; pivotX: 89.87924; pivotY: 386.235}
{file: Rasputin_Light_Combo_Part_2-40.png; pivotX: 84.74875; pivotY: 384.2615}
{file: Rasputin_Light_Combo_Part_2-41.png; pivotX: 86.99399; pivotY: 382.2781}
{file: Rasputin_Light_Combo_Part_2-42.png; pivotX: 89.33707; pivotY: 379.3115}
{file: Rasputin_Light_Combo_Part_2-43.png; pivotX: 91.74559; pivotY: 376.3236}
{file: Rasputin_Light_Combo_Part_2-44.png; pivotX: 94.63283; pivotY: 372.3372}
{file: Rasputin_Light_Combo_Part_2-45.png; pivotX: 96.83604; pivotY: 369.2599}
{file: Rasputin_Light_Combo_Part_2-46.png; pivotX: 99.62296; pivotY: 365.1918}
{file: Rasputin_Light_Combo_Part_2-47.png; pivotX: 101.4484; pivotY: 360.1708}
{file: Rasputin_Light_Combo_Part_2-48.png; pivotX: 103.5172; pivotY: 353.2556}
{file: Rasputin_Light_Combo_Part_2-49.png; pivotX: 104.8745; pivotY: 344.4721}
{file: Rasputin_Light_Combo_Part_2-50.png; pivotX: 105.9839; pivotY: 334.7383}
{file: Rasputin_Light_Combo_Part_2-51.png; pivotX: 106.5; pivotY: 325.008}
{file: Rasputin_Light_Combo_Part_2-52.png; pivotX: 106.9554; pivotY: 325.1419}
{file: Rasputin_Light_Combo_Part_2-53.png; pivotX: 106.9082; pivotY: 324.2631}
{file: Rasputin_Light_Combo_Part_2-54.png; pivotX: 106.3783; pivotY: 324.2838}
{file: Rasputin_Light_Combo_Part_2-55.png; pivotX: 106.3304; pivotY: 323.2078}
{file: Rasputin_Light_Combo_Part_2-56.png; pivotX: 104.9707; pivotY: 322.1995}
{file: Rasputin_Light_Combo_Part_2-57.png; pivotX: 103.7917; pivotY: 322.2252}
{file: Rasputin_Light_Combo_Part_2-58.png; pivotX: 101.3907; pivotY: 321.2466}
{file: Rasputin_Light_Combo_Part_2-59.png; pivotX: 98.69811; pivotY: 320.2384}
{file: Rasputin_Light_Combo_Part_2-60.png; pivotX: 95.97424; pivotY: 320.1805}
{file: Rasputin_Light_Combo_Part_2-61.png; pivotX: 93.14228; pivotY: 320.1273}
{file: Rasputin_Light_Combo_Part_2-62.png; pivotX: 94.00571; pivotY: 320.0928}
{file: Rasputin_Light_Combo_Part_2-63.png; pivotX: 95.0818; pivotY: 320.0604}
{file: Rasputin_Light_Combo_Part_2-64.png; pivotX: 95.95099; pivotY: 320.0022}
{file: Rasputin_Light_Combo_Part_2-65.png; pivotX: 96.59835; pivotY: 320.8952}
{file: Rasputin_Light_Combo_Part_2-66.png; pivotX: 97.13809; pivotY: 320.9445}
{file: Rasputin_Light_Combo_Part_2-67.png; pivotX: 97.48014; pivotY: 321.095}
{file: Rasputin_Light_Combo_Part_2-68.png; pivotX: 97.54675; pivotY: 321.1843}
{file: Rasputin_Light_Combo_Part_2-69.png; pivotX: 97.56532; pivotY: 321.2079}
{file: Rasputin_Light_Combo_Part_2-70.png; pivotX: 96.91488; pivotY: 322.0873}
{file: Rasputin_Light_Combo_Part_2-71.png; pivotX: 96.49443; pivotY: 321.9823}
{file: Rasputin_Light_Combo_Part_2-72.png; pivotX: 96.51605; pivotY: 321.9301}
