{file: Rasputin_Extra_Idle-0.png; posX: 0; posY: 0}
{file: Rasputin_Extra_Idle-53.png; posX: -0.002286107; posY: -0.001920402}
{file: Rasputin_Extra_Idle-54.png; posX: -0.004200895; posY: -0.00219053}
{file: Rasputin_Extra_Idle-55.png; posX: -0.006064179; posY: -0.002456009}
{file: Rasputin_Extra_Idle-56.png; posX: -0.007847466; posY: -0.002716005}
{file: Rasputin_Extra_Idle-57.png; posX: -0.009522282; posY: -0.002969623}
{file: Rasputin_Extra_Idle-58.png; posX: -0.01106015; posY: -0.003216088}
{file: Rasputin_Extra_Idle-59.png; posX: -0.01243259; posY: -0.003454566}
{file: Rasputin_Extra_Idle-60.png; posX: -0.01361113; posY: -0.003684223}
{file: Rasputin_Extra_Idle-61.png; posX: -0.01456728; posY: -0.003904164}
{file: Rasputin_Extra_Idle-62.png; posX: -0.01527256; posY: -0.004113615}
{file: Rasputin_Extra_Idle-63.png; posX: -0.01569849; posY: -0.004311681}
{file: Rasputin_Extra_Idle-64.png; posX: -0.01581661; posY: -0.004497588}
{file: Rasputin_Extra_Idle-65.png; posX: -0.01559842; posY: -0.004670441}
{file: Rasputin_Extra_Idle-66.png; posX: -0.01504245; posY: -0.004829466}
{file: Rasputin_Extra_Idle-67.png; posX: -0.014187; posY: -0.004973769}
{file: Rasputin_Extra_Idle-68.png; posX: -0.01306324; posY: -0.005102515}
{file: Rasputin_Extra_Idle-69.png; posX: -0.01170233; posY: -0.00521487}
{file: Rasputin_Extra_Idle-70.png; posX: -0.01013544; posY: -0.005309999}
{file: Rasputin_Extra_Idle-71.png; posX: -0.008393723; posY: -0.005387127}
{file: Rasputin_Extra_Idle-72.png; posX: -0.006489159; posY: -0.005445361}
{file: Rasputin_Extra_Idle-73.png; posX: -0.0044241; posY: -0.005483866}
{file: Rasputin_Extra_Idle-74.png; posX: -0.002215265; posY: -0.005501747}
{file: Rasputin_Extra_Idle-75.png; posX: 0.000120577; posY: -0.00549829}
{file: Rasputin_Extra_Idle-76.png; posX: 0.002571268; posY: -0.005472541}
{file: Rasputin_Extra_Idle-77.png; posX: 0.005125424; posY: -0.005423784}
{file: Rasputin_Extra_Idle-78.png; posX: 0.007767493; posY: -0.005351067}
{file: Rasputin_Extra_Idle-79.png; posX: 0.01048192; posY: -0.005253613}
{file: Rasputin_Extra_Idle-80.png; posX: 0.01325316; posY: -0.005130529}
{file: Rasputin_Extra_Idle-81.png; posX: 0.01606567; posY: -0.004981041}
{file: Rasputin_Extra_Idle-82.png; posX: 0.01890387; posY: -0.004804313}
{file: Rasputin_Extra_Idle-83.png; posX: 0.02175222; posY: -0.004599452}
{file: Rasputin_Extra_Idle-84.png; posX: 0.02459517; posY: -0.004365683}
{file: Rasputin_Extra_Idle-85.png; posX: 0.02741717; posY: -0.004102111}
{file: Rasputin_Extra_Idle-86.png; posX: 0.03020267; posY: -0.003807962}
{file: Rasputin_Extra_Idle-87.png; posX: 0.0329361; posY: -0.003482342}
{file: Rasputin_Extra_Idle-88.png; posX: 0.03560195; posY: -0.003124416}
{file: Rasputin_Extra_Idle-89.png; posX: 0.03818462; posY: -0.00273335}
{file: Rasputin_Extra_Idle-90.png; posX: 0.04066858; posY: -0.002308369}
{file: Rasputin_Extra_Idle-91.png; posX: 0.04303828; posY: -0.001848519}
{file: Rasputin_Extra_Idle-92.png; posX: 0.04527815; posY: -0.001353085}
{file: Rasputin_Extra_Idle-93.png; posX: 0.04737266; posY: -0.0008211732}
{file: Rasputin_Extra_Idle-94.png; posX: 0.04930625; posY: -0.0002519488}
{file: Rasputin_Extra_Idle-95.png; posX: 0.05106338; posY: 0.0003554225}
{file: Rasputin_Extra_Idle-96.png; posX: 0.05262847; posY: 0.001001835}
{file: Rasputin_Extra_Idle-97.png; posX: 0.05390852; posY: 0.001688004}
{file: Rasputin_Extra_Idle-98.png; posX: 0.05483332; posY: 0.002414882}
{file: Rasputin_Extra_Idle-99.png; posX: 0.05542159; posY: 0.00310427}
{file: Rasputin_Extra_Idle-100.png; posX: 0.05569199; posY: 0.003679037}
{file: Rasputin_Extra_Idle-101.png; posX: 0.05566324; posY: 0.004141212}
{file: Rasputin_Extra_Idle-102.png; posX: 0.055354; posY: 0.004493177}
{file: Rasputin_Extra_Idle-103.png; posX: 0.05478298; posY: 0.00473696}
{file: Rasputin_Extra_Idle-104.png; posX: 0.05396887; posY: 0.004874766}
{file: Rasputin_Extra_Idle-105.png; posX: 0.05293034; posY: 0.0049088}
{file: Rasputin_Extra_Idle-106.png; posX: 0.05168611; posY: 0.004841328}
{file: Rasputin_Extra_Idle-107.png; posX: 0.05025486; posY: 0.004674375}
{file: Rasputin_Extra_Idle-108.png; posX: 0.04865526; posY: 0.004410267}
{file: Rasputin_Extra_Idle-109.png; posX: 0.04690602; posY: 0.004051089}
{file: Rasputin_Extra_Idle-110.png; posX: 0.04502583; posY: 0.003599107}
{file: Rasputin_Extra_Idle-111.png; posX: 0.04303338; posY: 0.003056407}
{file: Rasputin_Extra_Idle-112.png; posX: 0.04094736; posY: 0.002425253}
{file: Rasputin_Extra_Idle-113.png; posX: 0.03878646; posY: 0.001707792}
{file: Rasputin_Extra_Idle-114.png; posX: 0.03656936; posY: 0.0009061694}
{file: Rasputin_Extra_Idle-115.png; posX: 0.03431476; posY: 2.264977E-05}
{file: Rasputin_Extra_Idle-116.png; posX: 0.03202024; posY: -0.0009406209}
{file: Rasputin_Extra_Idle-117.png; posX: 0.02967511; posY: -0.001981497}
{file: Rasputin_Extra_Idle-118.png; posX: 0.02728552; posY: -0.003097713}
{file: Rasputin_Extra_Idle-119.png; posX: 0.02485764; posY: -0.004287124}
{file: Rasputin_Extra_Idle-120.png; posX: 0.02239763; posY: -0.005547583}
{file: Rasputin_Extra_Idle-121.png; posX: 0.01991169; posY: -0.006876886}
{file: Rasputin_Extra_Idle-122.png; posX: 0.01740599; posY: -0.008272827}
{file: Rasputin_Extra_Idle-123.png; posX: 0.0148867; posY: -0.009671926}
{file: Rasputin_Extra_Idle-124.png; posX: 0.01235999; posY: -0.01101023}
{file: Rasputin_Extra_Idle-125.png; posX: 0.009832039; posY: -0.01228505}
{file: Rasputin_Extra_Idle-126.png; posX: 0.007309018; posY: -0.0134936}
{file: Rasputin_Extra_Idle-127.png; posX: 0.004797101; posY: -0.01463318}
{file: Rasputin_Extra_Idle-128.png; posX: 0.002302464; posY: -0.01570106}
{file: Rasputin_Extra_Idle-129.png; posX: -0.0001687221; posY: -0.01669449}
{file: Rasputin_Extra_Idle-130.png; posX: -0.002610279; posY: -0.01761073}
{file: Rasputin_Extra_Idle-131.png; posX: -0.005016775; posY: -0.01844704}
{file: Rasputin_Extra_Idle-132.png; posX: -0.007382486; posY: -0.01920062}
{file: Rasputin_Extra_Idle-133.png; posX: -0.009700805; posY: -0.01986885}
{file: Rasputin_Extra_Idle-134.png; posX: -0.01196516; posY: -0.02044892}
{file: Rasputin_Extra_Idle-135.png; posX: -0.01416887; posY: -0.0209381}
{file: Rasputin_Extra_Idle-136.png; posX: -0.01634774; posY: -0.02133363}
{file: Rasputin_Extra_Idle-137.png; posX: -0.01859824; posY: -0.02163279}
{file: Rasputin_Extra_Idle-138.png; posX: -0.02100477; posY: -0.02183288}
{file: Rasputin_Extra_Idle-139.png; posX: -0.02356352; posY: -0.02193111}
{file: Rasputin_Extra_Idle-140.png; posX: -0.0261473; posY: -0.02192473}
{file: Rasputin_Extra_Idle-141.png; posX: -0.0286555; posY: -0.02181107}
{file: Rasputin_Extra_Idle-142.png; posX: -0.03098749; posY: -0.02158731}
{file: Rasputin_Extra_Idle-143.png; posX: -0.03304265; posY: -0.02125072}
{file: Rasputin_Extra_Idle-144.png; posX: -0.03472035; posY: -0.02079868}
{file: Rasputin_Extra_Idle-145.png; posX: -0.03591999; posY: -0.02022827}
{file: Rasputin_Extra_Idle-146.png; posX: -0.03654095; posY: -0.01953691}
{file: Rasputin_Extra_Idle-147.png; posX: -0.03648259; posY: -0.01880115}
{file: Rasputin_Extra_Idle-148.png; posX: -0.0357243; posY: -0.01809889}
{file: Rasputin_Extra_Idle-149.png; posX: -0.03442206; posY: -0.01742905}
{file: Rasputin_Extra_Idle-150.png; posX: -0.03274014; posY: -0.01679063}
{file: Rasputin_Extra_Idle-151.png; posX: -0.03084281; posY: -0.0161826}
{file: Rasputin_Extra_Idle-152.png; posX: -0.02878948; posY: -0.01560396}
{file: Rasputin_Extra_Idle-153.png; posX: -0.02654312; posY: -0.01505375}
{file: Rasputin_Extra_Idle-154.png; posX: -0.02412326; posY: -0.0145309}
{file: Rasputin_Extra_Idle-155.png; posX: -0.02154944; posY: -0.01403439}
{file: Rasputin_Extra_Idle-156.png; posX: -0.0188412; posY: -0.01356322}
{file: Rasputin_Extra_Idle-157.png; posX: -0.01601808; posY: -0.01311636}
{file: Rasputin_Extra_Idle-158.png; posX: -0.01309963; posY: -0.01269281}
{file: Rasputin_Extra_Idle-159.png; posX: -0.01010538; posY: -0.01229155}
{file: Rasputin_Extra_Idle-160.png; posX: -0.007054884; posY: -0.01191157}
{file: Rasputin_Extra_Idle-161.png; posX: -0.003967667; posY: -0.01155186}
{file: Rasputin_Extra_Idle-162.png; posX: -0.000863241; posY: -0.0112114}
{file: Rasputin_Extra_Idle-163.png; posX: 0.002238775; posY: -0.01088917}
{file: Rasputin_Extra_Idle-164.png; posX: 0.005318877; posY: -0.01058418}
{file: Rasputin_Extra_Idle-165.png; posX: 0.008356803; posY: -0.01029539}
{file: Rasputin_Extra_Idle-166.png; posX: 0.01133289; posY: -0.01002175}
{file: Rasputin_Extra_Idle-167.png; posX: 0.01422852; posY: -0.009762347}
{file: Rasputin_Extra_Idle-168.png; posX: 0.01702507; posY: -0.00951606}
{file: Rasputin_Extra_Idle-169.png; posX: 0.0197039; posY: -0.009281993}
{file: Rasputin_Extra_Idle-170.png; posX: 0.02224641; posY: -0.009059012}
{file: Rasputin_Extra_Idle-171.png; posX: 0.02463395; posY: -0.008846104}
{file: Rasputin_Extra_Idle-172.png; posX: 0.02684791; posY: -0.008642375}
{file: Rasputin_Extra_Idle-173.png; posX: 0.02886967; posY: -0.008446693}
{file: Rasputin_Extra_Idle-174.png; posX: 0.03068059; posY: -0.008258104}
{file: Rasputin_Extra_Idle-175.png; posX: 0.03226209; posY: -0.008075535}
{file: Rasputin_Extra_Idle-176.png; posX: 0.03359547; posY: -0.007898092}
{file: Rasputin_Extra_Idle-177.png; posX: 0.03466215; posY: -0.007724643}
{file: Rasputin_Extra_Idle-178.png; posX: 0.03544351; posY: -0.007554173}
{file: Rasputin_Extra_Idle-179.png; posX: 0.03592091; posY: -0.007385731}
{file: Rasputin_Extra_Idle-180.png; posX: 0.03607573; posY: -0.007218301}
{file: Rasputin_Extra_Idle-181.png; posX: 0.03591898; posY: -0.007050812}
{file: Rasputin_Extra_Idle-182.png; posX: 0.03548792; posY: -0.00688231}
{file: Rasputin_Extra_Idle-183.png; posX: 0.03480337; posY: -0.006711721}
{file: Rasputin_Extra_Idle-184.png; posX: 0.03388612; posY: -0.006538093}
{file: Rasputin_Extra_Idle-185.png; posX: 0.03275696; posY: -0.006360352}
{file: Rasputin_Extra_Idle-186.png; posX: 0.03143671; posY: -0.006177545}
{file: Rasputin_Extra_Idle-187.png; posX: 0.02994616; posY: -0.005988598}
{file: Rasputin_Extra_Idle-188.png; posX: 0.0283061; posY: -0.005792499}
{file: Rasputin_Extra_Idle-189.png; posX: 0.02653735; posY: -0.005588293}
{file: Rasputin_Extra_Idle-190.png; posX: 0.02466067; posY: -0.005374908}
{file: Rasputin_Extra_Idle-191.png; posX: 0.02269691; posY: -0.005151331}
{file: Rasputin_Extra_Idle-192.png; posX: 0.02066685; posY: -0.004916608}
{file: Rasputin_Extra_Idle-193.png; posX: 0.01859129; posY: -0.004669666}
{file: Rasputin_Extra_Idle-194.png; posX: 0.01649102; posY: -0.004409492}
{file: Rasputin_Extra_Idle-195.png; posX: 0.01438686; posY: -0.004135132}
{file: Rasputin_Extra_Idle-196.png; posX: 0.01229958; posY: -0.003853381}
{file: Rasputin_Extra_Idle-197.png; posX: 0.01025001; posY: -0.003571987}
{file: Rasputin_Extra_Idle-198.png; posX: 0.008258933; posY: -0.003290951}
{file: Rasputin_Extra_Idle-199.png; posX: 0.006347153; posY: -0.003010511}
{file: Rasputin_Extra_Idle-200.png; posX: 0.00453547; posY: -0.002730787}
{file: Rasputin_Extra_Idle-201.png; posX: 0.00284468; posY: -0.002451897}
{file: Rasputin_Extra_Idle-202.png; posX: 0.001295581; posY: -0.002173901}
{file: Rasputin_Extra_Idle-203.png; posX: -9.103773E-05; posY: -0.001897037}
{file: Rasputin_Extra_Idle-204.png; posX: -0.001298265; posY: -0.001621366}
{file: Rasputin_Extra_Idle-205.png; posX: -0.002002368; posY: -0.001347005}
{file: Rasputin_Extra_Idle-206.png; posX: -0.002043719; posY: -0.001074135}
{file: Rasputin_Extra_Idle-207.png; posX: -0.001643242; posY: -0.0008028746}
{file: Rasputin_Extra_Idle-208.png; posX: -0.001021851; posY: -0.0005333424}
{file: Rasputin_Extra_Idle-209.png; posX: -0.0004004661; posY: -0.0002656579}
