{file: DummyMale_Loop_Able_Dizzy-0.png; posX: -2.980232E-10; posY: 0.7711523}
{file: DummyMale_Loop_Able_Dizzy-27.png; posX: 0.1561607; posY: 0.7623031}
{file: DummyMale_Loop_Able_Dizzy-28.png; posX: 0.1620213; posY: 0.7610556}
{file: DummyMale_Loop_Able_Dizzy-29.png; posX: 0.1673088; posY: 0.7600498}
{file: DummyMale_Loop_Able_Dizzy-30.png; posX: 0.1720807; posY: 0.7592884}
{file: DummyMale_Loop_Able_Dizzy-31.png; posX: 0.1763944; posY: 0.7587746}
{file: DummyMale_Loop_Able_Dizzy-32.png; posX: 0.1803075; posY: 0.7585113}
{file: DummyMale_Loop_Able_Dizzy-33.png; posX: 0.1838775; posY: 0.7585015}
{file: DummyMale_Loop_Able_Dizzy-34.png; posX: 0.1871617; posY: 0.7587481}
{file: DummyMale_Loop_Able_Dizzy-35.png; posX: 0.1902178; posY: 0.7592543}
{file: DummyMale_Loop_Able_Dizzy-36.png; posX: 0.1929649; posY: 0.7604353}
{file: DummyMale_Loop_Able_Dizzy-37.png; posX: 0.1952699; posY: 0.7625713}
{file: DummyMale_Loop_Able_Dizzy-38.png; posX: 0.197112; posY: 0.7654603}
{file: DummyMale_Loop_Able_Dizzy-39.png; posX: 0.1984701; posY: 0.7689008}
{file: DummyMale_Loop_Able_Dizzy-40.png; posX: 0.1993232; posY: 0.7726908}
{file: DummyMale_Loop_Able_Dizzy-41.png; posX: 0.1996502; posY: 0.7766287}
{file: DummyMale_Loop_Able_Dizzy-42.png; posX: 0.1994301; posY: 0.7805129}
{file: DummyMale_Loop_Able_Dizzy-43.png; posX: 0.1986419; posY: 0.7841414}
{file: DummyMale_Loop_Able_Dizzy-44.png; posX: 0.1972646; posY: 0.7873126}
{file: DummyMale_Loop_Able_Dizzy-45.png; posX: 0.1952772; posY: 0.7898248}
{file: DummyMale_Loop_Able_Dizzy-46.png; posX: 0.1926586; posY: 0.7914762}
{file: DummyMale_Loop_Able_Dizzy-47.png; posX: 0.1893879; posY: 0.7920651}
{file: DummyMale_Loop_Able_Dizzy-48.png; posX: 0.1854439; posY: 0.7913898}
{file: DummyMale_Loop_Able_Dizzy-49.png; posX: 0.180902; posY: 0.7897494}
{file: DummyMale_Loop_Able_Dizzy-50.png; posX: 0.17592; posY: 0.7876397}
{file: DummyMale_Loop_Able_Dizzy-51.png; posX: 0.1706007; posY: 0.7851499}
{file: DummyMale_Loop_Able_Dizzy-52.png; posX: 0.1650472; posY: 0.7823693}
{file: DummyMale_Loop_Able_Dizzy-53.png; posX: 0.1593623; posY: 0.7793871}
{file: DummyMale_Loop_Able_Dizzy-54.png; posX: 0.153649; posY: 0.7762926}
{file: DummyMale_Loop_Able_Dizzy-55.png; posX: 0.1480102; posY: 0.773175}
{file: DummyMale_Loop_Able_Dizzy-56.png; posX: 0.1425487; posY: 0.7701236}
{file: DummyMale_Loop_Able_Dizzy-57.png; posX: 0.1373676; posY: 0.7672276}
{file: DummyMale_Loop_Able_Dizzy-58.png; posX: 0.1325697; posY: 0.7645764}
{file: DummyMale_Loop_Able_Dizzy-59.png; posX: 0.1282579; posY: 0.7622591}
{file: DummyMale_Loop_Able_Dizzy-60.png; posX: 0.1245352; posY: 0.7603649}
{file: DummyMale_Loop_Able_Dizzy-61.png; posX: 0.1215045; posY: 0.7589833}
{file: DummyMale_Loop_Able_Dizzy-62.png; posX: 0.1195445; posY: 0.7583244}
{file: DummyMale_Loop_Able_Dizzy-63.png; posX: 0.1188182; posY: 0.7584386}
{file: DummyMale_Loop_Able_Dizzy-64.png; posX: 0.119105; posY: 0.7591738}
{file: DummyMale_Loop_Able_Dizzy-65.png; posX: 0.1201842; posY: 0.7603781}
{file: DummyMale_Loop_Able_Dizzy-66.png; posX: 0.1218351; posY: 0.7619}
{file: DummyMale_Loop_Able_Dizzy-67.png; posX: 0.1238371; posY: 0.7635874}
{file: DummyMale_Loop_Able_Dizzy-68.png; posX: 0.1259695; posY: 0.7652885}
{file: DummyMale_Loop_Able_Dizzy-69.png; posX: 0.1280115; posY: 0.7668515}
{file: DummyMale_Loop_Able_Dizzy-70.png; posX: 0.1297425; posY: 0.7681246}
{file: DummyMale_Loop_Able_Dizzy-71.png; posX: 0.1309419; posY: 0.7689558}
{file: DummyMale_Loop_Able_Dizzy-72.png; posX: 0.1317666; posY: 0.7694327}
{file: DummyMale_Loop_Able_Dizzy-73.png; posX: 0.1325291; posY: 0.7697521}
{file: DummyMale_Loop_Able_Dizzy-74.png; posX: 0.1332417; posY: 0.7699239}
{file: DummyMale_Loop_Able_Dizzy-75.png; posX: 0.1339166; posY: 0.7699584}
{file: DummyMale_Loop_Able_Dizzy-76.png; posX: 0.1345664; posY: 0.7698655}
{file: DummyMale_Loop_Able_Dizzy-77.png; posX: 0.1352032; posY: 0.7696552}
{file: DummyMale_Loop_Able_Dizzy-78.png; posX: 0.1358394; posY: 0.7693378}
{file: DummyMale_Loop_Able_Dizzy-79.png; posX: 0.1364874; posY: 0.7689232}
{file: DummyMale_Loop_Able_Dizzy-80.png; posX: 0.1371595; posY: 0.7684215}
{file: DummyMale_Loop_Able_Dizzy-81.png; posX: 0.137868; posY: 0.7678429}
{file: DummyMale_Loop_Able_Dizzy-82.png; posX: 0.1386252; posY: 0.7671973}
{file: DummyMale_Loop_Able_Dizzy-83.png; posX: 0.1394436; posY: 0.7664948}
{file: DummyMale_Loop_Able_Dizzy-84.png; posX: 0.1403353; posY: 0.7657454}
{file: DummyMale_Loop_Able_Dizzy-85.png; posX: 0.1413128; posY: 0.7649593}
{file: DummyMale_Loop_Able_Dizzy-86.png; posX: 0.1423883; posY: 0.7641466}
{file: DummyMale_Loop_Able_Dizzy-87.png; posX: 0.1435743; posY: 0.7633172}
{file: DummyMale_Loop_Able_Dizzy-88.png; posX: 0.144883; posY: 0.7624813}
{file: DummyMale_Loop_Able_Dizzy-89.png; posX: 0.1463268; posY: 0.761649}
{file: DummyMale_Loop_Able_Dizzy-90.png; posX: 0.1481497; posY: 0.7608822}
{file: DummyMale_Loop_Able_Dizzy-91.png; posX: 0.1505245; posY: 0.7602304}
{file: DummyMale_Loop_Able_Dizzy-92.png; posX: 0.1533562; posY: 0.7596834}
{file: DummyMale_Loop_Able_Dizzy-93.png; posX: 0.15655; posY: 0.7592312}
{file: DummyMale_Loop_Able_Dizzy-94.png; posX: 0.1600109; posY: 0.7588637}
{file: DummyMale_Loop_Able_Dizzy-95.png; posX: 0.1633438; posY: 0.758563}
{file: DummyMale_Loop_Able_Dizzy-96.png; posX: 0.1662474; posY: 0.7583138}
{file: DummyMale_Loop_Able_Dizzy-97.png; posX: 0.168768; posY: 0.7581097}
{file: DummyMale_Loop_Able_Dizzy-98.png; posX: 0.170952; posY: 0.7579443}
{file: DummyMale_Loop_Able_Dizzy-99.png; posX: 0.1728457; posY: 0.7578111}
{file: DummyMale_Loop_Able_Dizzy-100.png; posX: 0.1744954; posY: 0.7577038}
{file: DummyMale_Loop_Able_Dizzy-101.png; posX: 0.1759474; posY: 0.7576159}
{file: DummyMale_Loop_Able_Dizzy-102.png; posX: 0.1772481; posY: 0.757541}
{file: DummyMale_Loop_Able_Dizzy-103.png; posX: 0.1784437; posY: 0.7574727}
{file: DummyMale_Loop_Able_Dizzy-104.png; posX: 0.1794077; posY: 0.7573661}
{file: DummyMale_Loop_Able_Dizzy-105.png; posX: 0.1799981; posY: 0.7571889}
{file: DummyMale_Loop_Able_Dizzy-106.png; posX: 0.1802382; posY: 0.7569539}
{file: DummyMale_Loop_Able_Dizzy-107.png; posX: 0.1801514; posY: 0.7566742}
{file: DummyMale_Loop_Able_Dizzy-108.png; posX: 0.1797611; posY: 0.7563628}
{file: DummyMale_Loop_Able_Dizzy-109.png; posX: 0.1790907; posY: 0.7560328}
{file: DummyMale_Loop_Able_Dizzy-110.png; posX: 0.1781636; posY: 0.755697}
{file: DummyMale_Loop_Able_Dizzy-111.png; posX: 0.1770031; posY: 0.7553685}
{file: DummyMale_Loop_Able_Dizzy-112.png; posX: 0.1756325; posY: 0.7550604}
{file: DummyMale_Loop_Able_Dizzy-113.png; posX: 0.1740754; posY: 0.7547855}
{file: DummyMale_Loop_Able_Dizzy-114.png; posX: 0.172355; posY: 0.7545571}
{file: DummyMale_Loop_Able_Dizzy-115.png; posX: 0.1704946; posY: 0.7543879}
{file: DummyMale_Loop_Able_Dizzy-116.png; posX: 0.1685178; posY: 0.7542911}
{file: DummyMale_Loop_Able_Dizzy-117.png; posX: 0.1664479; posY: 0.7542796}
{file: DummyMale_Loop_Able_Dizzy-118.png; posX: 0.1643082; posY: 0.7543663}
{file: DummyMale_Loop_Able_Dizzy-119.png; posX: 0.1621221; posY: 0.7545645}
{file: DummyMale_Loop_Able_Dizzy-120.png; posX: 0.159913; posY: 0.754887}
{file: DummyMale_Loop_Able_Dizzy-121.png; posX: 0.1577042; posY: 0.7553469}
{file: DummyMale_Loop_Able_Dizzy-122.png; posX: 0.1555192; posY: 0.7559571}
{file: DummyMale_Loop_Able_Dizzy-123.png; posX: 0.1532342; posY: 0.7567369}
{file: DummyMale_Loop_Able_Dizzy-124.png; posX: 0.1507562; posY: 0.7576768}
{file: DummyMale_Loop_Able_Dizzy-125.png; posX: 0.1481546; posY: 0.7587457}
{file: DummyMale_Loop_Able_Dizzy-126.png; posX: 0.1454991; posY: 0.7599131}
{file: DummyMale_Loop_Able_Dizzy-127.png; posX: 0.142859; posY: 0.7611482}
{file: DummyMale_Loop_Able_Dizzy-128.png; posX: 0.140304; posY: 0.7624202}
{file: DummyMale_Loop_Able_Dizzy-129.png; posX: 0.1379035; posY: 0.7636985}
{file: DummyMale_Loop_Able_Dizzy-130.png; posX: 0.1357269; posY: 0.7649522}
{file: DummyMale_Loop_Able_Dizzy-131.png; posX: 0.1338438; posY: 0.7661507}
{file: DummyMale_Loop_Able_Dizzy-132.png; posX: 0.1323237; posY: 0.7672632}
{file: DummyMale_Loop_Able_Dizzy-133.png; posX: 0.1312362; posY: 0.7682589}
{file: DummyMale_Loop_Able_Dizzy-134.png; posX: 0.1306506; posY: 0.7691072}
{file: DummyMale_Loop_Able_Dizzy-135.png; posX: 0.1306365; posY: 0.7697772}
{file: DummyMale_Loop_Able_Dizzy-136.png; posX: 0.1312633; posY: 0.7702382}
{file: DummyMale_Loop_Able_Dizzy-137.png; posX: 0.1323755; posY: 0.7705435}
{file: DummyMale_Loop_Able_Dizzy-138.png; posX: 0.1336907; posY: 0.7707713}
{file: DummyMale_Loop_Able_Dizzy-139.png; posX: 0.1350887; posY: 0.7709286}
{file: DummyMale_Loop_Able_Dizzy-140.png; posX: 0.1364488; posY: 0.7710221}
{file: DummyMale_Loop_Able_Dizzy-141.png; posX: 0.1376507; posY: 0.7710588}
{file: DummyMale_Loop_Able_Dizzy-142.png; posX: 0.138574; posY: 0.7710457}
{file: DummyMale_Loop_Able_Dizzy-143.png; posX: 0.1390981; posY: 0.7709896}
{file: DummyMale_Loop_Able_Dizzy-144.png; posX: 0.1391027; posY: 0.7708974}
{file: DummyMale_Loop_Able_Dizzy-145.png; posX: 0.1387086; posY: 0.770766}
{file: DummyMale_Loop_Able_Dizzy-146.png; posX: 0.138164; posY: 0.7705938}
{file: DummyMale_Loop_Able_Dizzy-147.png; posX: 0.1375388; posY: 0.7703905}
{file: DummyMale_Loop_Able_Dizzy-148.png; posX: 0.136903; posY: 0.7701651}
{file: DummyMale_Loop_Able_Dizzy-149.png; posX: 0.1363268; posY: 0.7699273}
{file: DummyMale_Loop_Able_Dizzy-150.png; posX: 0.1358802; posY: 0.7696862}
{file: DummyMale_Loop_Able_Dizzy-151.png; posX: 0.1356333; posY: 0.7694512}
{file: DummyMale_Loop_Able_Dizzy-152.png; posX: 0.135656; posY: 0.7692316}
{file: DummyMale_Loop_Able_Dizzy-153.png; posX: 0.1360185; posY: 0.7690369}
{file: DummyMale_Loop_Able_Dizzy-154.png; posX: 0.1367908; posY: 0.7688763}
{file: DummyMale_Loop_Able_Dizzy-155.png; posX: 0.1378213; posY: 0.7687437}
{file: DummyMale_Loop_Able_Dizzy-156.png; posX: 0.1388758; posY: 0.7686243}
{file: DummyMale_Loop_Able_Dizzy-157.png; posX: 0.1398996; posY: 0.7685154}
{file: DummyMale_Loop_Able_Dizzy-158.png; posX: 0.1408383; posY: 0.7684141}
{file: DummyMale_Loop_Able_Dizzy-159.png; posX: 0.1416375; posY: 0.7683179}
{file: DummyMale_Loop_Able_Dizzy-160.png; posX: 0.1422428; posY: 0.7682238}
{file: DummyMale_Loop_Able_Dizzy-161.png; posX: 0.1425996; posY: 0.7681291}
{file: DummyMale_Loop_Able_Dizzy-162.png; posX: 0.1426535; posY: 0.7680311}
{file: DummyMale_Loop_Able_Dizzy-163.png; posX: 0.14235; posY: 0.767927}
{file: DummyMale_Loop_Able_Dizzy-164.png; posX: 0.1417861; posY: 0.7678211}
{file: DummyMale_Loop_Able_Dizzy-165.png; posX: 0.1411099; posY: 0.7677216}
{file: DummyMale_Loop_Able_Dizzy-166.png; posX: 0.1403439; posY: 0.7676337}
{file: DummyMale_Loop_Able_Dizzy-167.png; posX: 0.1395106; posY: 0.7675629}
{file: DummyMale_Loop_Able_Dizzy-168.png; posX: 0.1386324; posY: 0.7675143}
{file: DummyMale_Loop_Able_Dizzy-169.png; posX: 0.1377319; posY: 0.7674931}
{file: DummyMale_Loop_Able_Dizzy-170.png; posX: 0.1368315; posY: 0.7675048}
{file: DummyMale_Loop_Able_Dizzy-171.png; posX: 0.1359537; posY: 0.7675546}
{file: DummyMale_Loop_Able_Dizzy-172.png; posX: 0.1351209; posY: 0.7676477}
{file: DummyMale_Loop_Able_Dizzy-173.png; posX: 0.1343557; posY: 0.7677894}
{file: DummyMale_Loop_Able_Dizzy-174.png; posX: 0.1336805; posY: 0.767985}
{file: DummyMale_Loop_Able_Dizzy-175.png; posX: 0.1331178; posY: 0.7682398}
{file: DummyMale_Loop_Able_Dizzy-176.png; posX: 0.1326901; posY: 0.768559}
{file: DummyMale_Loop_Able_Dizzy-177.png; posX: 0.1324198; posY: 0.768948}
{file: DummyMale_Loop_Able_Dizzy-178.png; posX: 0.1322483; posY: 0.7693825}
{file: DummyMale_Loop_Able_Dizzy-179.png; posX: 0.1320736; posY: 0.7698293}
{file: DummyMale_Loop_Able_Dizzy-180.png; posX: 0.1318536; posY: 0.7702813}
{file: DummyMale_Loop_Able_Dizzy-181.png; posX: 0.1315459; posY: 0.7707316}
{file: DummyMale_Loop_Able_Dizzy-182.png; posX: 0.1311082; posY: 0.7711731}
{file: DummyMale_Loop_Able_Dizzy-183.png; posX: 0.1304984; posY: 0.7715987}
{file: DummyMale_Loop_Able_Dizzy-184.png; posX: 0.1296741; posY: 0.7720014}
{file: DummyMale_Loop_Able_Dizzy-185.png; posX: 0.128593; posY: 0.7723743}
{file: DummyMale_Loop_Able_Dizzy-186.png; posX: 0.127213; posY: 0.7727103}
{file: DummyMale_Loop_Able_Dizzy-187.png; posX: 0.1254917; posY: 0.7730023}
{file: DummyMale_Loop_Able_Dizzy-188.png; posX: 0.1233869; posY: 0.7732433}
{file: DummyMale_Loop_Able_Dizzy-189.png; posX: 0.1208563; posY: 0.7734264}
{file: DummyMale_Loop_Able_Dizzy-190.png; posX: 0.1178576; posY: 0.7735443}
{file: DummyMale_Loop_Able_Dizzy-191.png; posX: 0.1144729; posY: 0.7736096}
{file: DummyMale_Loop_Able_Dizzy-192.png; posX: 0.1108727; posY: 0.7736428}
{file: DummyMale_Loop_Able_Dizzy-193.png; posX: 0.1071471; posY: 0.7736478}
{file: DummyMale_Loop_Able_Dizzy-194.png; posX: 0.1033866; posY: 0.7736287}
{file: DummyMale_Loop_Able_Dizzy-195.png; posX: 0.09968118; posY: 0.773589}
{file: DummyMale_Loop_Able_Dizzy-196.png; posX: 0.09612125; posY: 0.773533}
{file: DummyMale_Loop_Able_Dizzy-197.png; posX: 0.09279703; posY: 0.7734643}
{file: DummyMale_Loop_Able_Dizzy-198.png; posX: 0.08979875; posY: 0.773387}
{file: DummyMale_Loop_Able_Dizzy-199.png; posX: 0.08721668; posY: 0.7733049}
{file: DummyMale_Loop_Able_Dizzy-200.png; posX: 0.08489568; posY: 0.7732137}
{file: DummyMale_Loop_Able_Dizzy-201.png; posX: 0.0826314; posY: 0.7731079}
{file: DummyMale_Loop_Able_Dizzy-202.png; posX: 0.08044083; posY: 0.7729887}
{file: DummyMale_Loop_Able_Dizzy-203.png; posX: 0.07834087; posY: 0.7728575}
{file: DummyMale_Loop_Able_Dizzy-204.png; posX: 0.07634842; posY: 0.7727155}
{file: DummyMale_Loop_Able_Dizzy-205.png; posX: 0.0744804; posY: 0.7725641}
{file: DummyMale_Loop_Able_Dizzy-206.png; posX: 0.07275373; posY: 0.7724045}
{file: DummyMale_Loop_Able_Dizzy-207.png; posX: 0.07118533; posY: 0.7722381}
{file: DummyMale_Loop_Able_Dizzy-208.png; posX: 0.06979211; posY: 0.7720661}
{file: DummyMale_Loop_Able_Dizzy-209.png; posX: 0.068591; posY: 0.7718899}
{file: DummyMale_Loop_Able_Dizzy-210.png; posX: 0.06759891; posY: 0.7717107}
{file: DummyMale_Loop_Able_Dizzy-211.png; posX: 0.06683277; posY: 0.7715299}
{file: DummyMale_Loop_Able_Dizzy-212.png; posX: 0.06630947; posY: 0.7713488}
{file: DummyMale_Loop_Able_Dizzy-213.png; posX: 0.06604595; posY: 0.7711687}
{file: DummyMale_Loop_Able_Dizzy-214.png; posX: 0.06605913; posY: 0.7709908}
{file: DummyMale_Loop_Able_Dizzy-215.png; posX: 0.06636593; posY: 0.7708165}
{file: DummyMale_Loop_Able_Dizzy-216.png; posX: 0.06698325; posY: 0.7706471}
{file: DummyMale_Loop_Able_Dizzy-217.png; posX: 0.06786623; posY: 0.7704757}
{file: DummyMale_Loop_Able_Dizzy-218.png; posX: 0.06894834; posY: 0.7702966}
{file: DummyMale_Loop_Able_Dizzy-219.png; posX: 0.07021379; posY: 0.7701116}
{file: DummyMale_Loop_Able_Dizzy-220.png; posX: 0.07164676; posY: 0.7699225}
{file: DummyMale_Loop_Able_Dizzy-221.png; posX: 0.07323142; posY: 0.7697311}
{file: DummyMale_Loop_Able_Dizzy-222.png; posX: 0.07495197; posY: 0.7695393}
{file: DummyMale_Loop_Able_Dizzy-223.png; posX: 0.07679258; posY: 0.7693489}
{file: DummyMale_Loop_Able_Dizzy-224.png; posX: 0.07873746; posY: 0.7691617}
{file: DummyMale_Loop_Able_Dizzy-225.png; posX: 0.08077078; posY: 0.7689795}
{file: DummyMale_Loop_Able_Dizzy-226.png; posX: 0.08287673; posY: 0.7688043}
{file: DummyMale_Loop_Able_Dizzy-227.png; posX: 0.0850395; posY: 0.7686378}
{file: DummyMale_Loop_Able_Dizzy-228.png; posX: 0.08724326; posY: 0.7684818}
{file: DummyMale_Loop_Able_Dizzy-229.png; posX: 0.08947225; posY: 0.7683382}
{file: DummyMale_Loop_Able_Dizzy-230.png; posX: 0.09171057; posY: 0.7682088}
{file: DummyMale_Loop_Able_Dizzy-231.png; posX: 0.09394246; posY: 0.7680955}
{file: DummyMale_Loop_Able_Dizzy-232.png; posX: 0.0961521; posY: 0.768}
{file: DummyMale_Loop_Able_Dizzy-233.png; posX: 0.09832366; posY: 0.7679242}
{file: DummyMale_Loop_Able_Dizzy-234.png; posX: 0.1004413; posY: 0.76787}
{file: DummyMale_Loop_Able_Dizzy-235.png; posX: 0.1030164; posY: 0.7679163}
{file: DummyMale_Loop_Able_Dizzy-236.png; posX: 0.1062587; posY: 0.7681094}
{file: DummyMale_Loop_Able_Dizzy-237.png; posX: 0.1097006; posY: 0.7684027}
{file: DummyMale_Loop_Able_Dizzy-238.png; posX: 0.1128746; posY: 0.7687497}
{file: DummyMale_Loop_Able_Dizzy-239.png; posX: 0.1149863; posY: 0.7690613}
{file: DummyMale_Loop_Able_Dizzy-240.png; posX: 0.1155396; posY: 0.7692706}
{file: DummyMale_Loop_Able_Dizzy-241.png; posX: 0.1145138; posY: 0.7693623}
{file: DummyMale_Loop_Able_Dizzy-242.png; posX: 0.112433; posY: 0.7693828}
{file: DummyMale_Loop_Able_Dizzy-243.png; posX: 0.10987; posY: 0.7693872}
{file: DummyMale_Loop_Able_Dizzy-244.png; posX: 0.106875; posY: 0.7693738}
{file: DummyMale_Loop_Able_Dizzy-245.png; posX: 0.1034984; posY: 0.769341}
{file: DummyMale_Loop_Able_Dizzy-246.png; posX: 0.09979047; posY: 0.7692874}
{file: DummyMale_Loop_Able_Dizzy-247.png; posX: 0.09580179; posY: 0.7692115}
{file: DummyMale_Loop_Able_Dizzy-248.png; posX: 0.09158245; posY: 0.7691116}
{file: DummyMale_Loop_Able_Dizzy-249.png; posX: 0.08718306; posY: 0.7689864}
{file: DummyMale_Loop_Able_Dizzy-250.png; posX: 0.08265373; posY: 0.7688342}
{file: DummyMale_Loop_Able_Dizzy-251.png; posX: 0.07804494; posY: 0.7686535}
{file: DummyMale_Loop_Able_Dizzy-252.png; posX: 0.07340717; posY: 0.7684427}
{file: DummyMale_Loop_Able_Dizzy-253.png; posX: 0.06879053; posY: 0.7682005}
{file: DummyMale_Loop_Able_Dizzy-254.png; posX: 0.06406937; posY: 0.7678953}
{file: DummyMale_Loop_Able_Dizzy-255.png; posX: 0.05911219; posY: 0.7675084}
{file: DummyMale_Loop_Able_Dizzy-256.png; posX: 0.05395964; posY: 0.7670559}
{file: DummyMale_Loop_Able_Dizzy-257.png; posX: 0.04865176; posY: 0.7665542}
{file: DummyMale_Loop_Able_Dizzy-258.png; posX: 0.04322921; posY: 0.7660195}
{file: DummyMale_Loop_Able_Dizzy-259.png; posX: 0.03773201; posY: 0.7654683}
{file: DummyMale_Loop_Able_Dizzy-260.png; posX: 0.03220084; posY: 0.7649168}
{file: DummyMale_Loop_Able_Dizzy-261.png; posX: 0.02667573; posY: 0.7643812}
{file: DummyMale_Loop_Able_Dizzy-262.png; posX: 0.02119732; posY: 0.763878}
{file: DummyMale_Loop_Able_Dizzy-263.png; posX: 0.01580567; posY: 0.7634234}
{file: DummyMale_Loop_Able_Dizzy-264.png; posX: 0.01054127; posY: 0.7630337}
{file: DummyMale_Loop_Able_Dizzy-265.png; posX: 0.005444624; posY: 0.7627254}
{file: DummyMale_Loop_Able_Dizzy-266.png; posX: 0.0005557683; posY: 0.7625145}
{file: DummyMale_Loop_Able_Dizzy-267.png; posX: -0.004085247; posY: 0.7624155}
{file: DummyMale_Loop_Able_Dizzy-268.png; posX: -0.00843498; posY: 0.762446}
{file: DummyMale_Loop_Able_Dizzy-269.png; posX: -0.01244921; posY: 0.7626253}
{file: DummyMale_Loop_Able_Dizzy-270.png; posX: -0.01616122; posY: 0.7629655}
{file: DummyMale_Loop_Able_Dizzy-271.png; posX: -0.01960695; posY: 0.7634729}
{file: DummyMale_Loop_Able_Dizzy-272.png; posX: -0.02274417; posY: 0.7641581}
{file: DummyMale_Loop_Able_Dizzy-273.png; posX: -0.0255303; posY: 0.7650316}
{file: DummyMale_Loop_Able_Dizzy-274.png; posX: -0.02792309; posY: 0.766104}
{file: DummyMale_Loop_Able_Dizzy-275.png; posX: -0.02984401; posY: 0.7673772}
{file: DummyMale_Loop_Able_Dizzy-276.png; posX: -0.03120076; posY: 0.768859}
{file: DummyMale_Loop_Able_Dizzy-277.png; posX: -0.03192867; posY: 0.7705709}
{file: DummyMale_Loop_Able_Dizzy-278.png; posX: -0.03196315; posY: 0.7725343}
{file: DummyMale_Loop_Able_Dizzy-279.png; posX: -0.0312396; posY: 0.7747705}
{file: DummyMale_Loop_Able_Dizzy-280.png; posX: -0.02969345; posY: 0.777301}
{file: DummyMale_Loop_Able_Dizzy-281.png; posX: -0.02726001; posY: 0.7801471}
{file: DummyMale_Loop_Able_Dizzy-282.png; posX: -0.02387481; posY: 0.7833303}
{file: DummyMale_Loop_Able_Dizzy-283.png; posX: -0.01958312; posY: 0.7868497}
{file: DummyMale_Loop_Able_Dizzy-284.png; posX: -0.01458073; posY: 0.7906449}
{file: DummyMale_Loop_Able_Dizzy-285.png; posX: -0.009030616; posY: 0.7946451}
{file: DummyMale_Loop_Able_Dizzy-286.png; posX: -0.003096367; posY: 0.7987788}
{file: DummyMale_Loop_Able_Dizzy-287.png; posX: 0.003104938; posY: 0.8029953}
{file: DummyMale_Loop_Able_Dizzy-288.png; posX: 0.009405131; posY: 0.8072212}
{file: DummyMale_Loop_Able_Dizzy-289.png; posX: 0.015689; posY: 0.8114065}
{file: DummyMale_Loop_Able_Dizzy-290.png; posX: 0.02180329; posY: 0.8154842}
{file: DummyMale_Loop_Able_Dizzy-291.png; posX: 0.02759545; posY: 0.8193881}
{file: DummyMale_Loop_Able_Dizzy-292.png; posX: 0.03291237; posY: 0.8230513}
{file: DummyMale_Loop_Able_Dizzy-293.png; posX: 0.03760104; posY: 0.8264073}
{file: DummyMale_Loop_Able_Dizzy-294.png; posX: 0.04162734; posY: 0.8294737}
{file: DummyMale_Loop_Able_Dizzy-295.png; posX: 0.04520993; posY: 0.8324}
{file: DummyMale_Loop_Able_Dizzy-296.png; posX: 0.04857313; posY: 0.8353174}
