{file: DummyMale_Running_Stop-0.png; pivotX: 80.41679; pivotY: 298.2462}
{file: DummyMale_Running_Stop-25.png; pivotX: 89.24674; pivotY: 278.1712}
{file: DummyMale_Running_Stop-26.png; pivotX: 89.5187; pivotY: 278.6664}
{file: DummyMale_Running_Stop-27.png; pivotX: 87.1609; pivotY: 279.9288}
{file: DummyMale_Running_Stop-28.png; pivotX: 85.03329; pivotY: 280.4835}
{file: DummyMale_Running_Stop-29.png; pivotX: 81.76846; pivotY: 282.4404}
{file: DummyMale_Running_Stop-30.png; pivotX: 80.07259; pivotY: 283.9331}
{file: DummyMale_Running_Stop-31.png; pivotX: 79.64162; pivotY: 286.2284}
{file: DummyMale_Running_Stop-32.png; pivotX: 79.46105; pivotY: 289.4382}
{file: DummyMale_Running_Stop-33.png; pivotX: 78.13564; pivotY: 291.6245}
{file: DummyMale_Running_Stop-34.png; pivotX: 76.59978; pivotY: 294.8979}
{file: DummyMale_Running_Stop-35.png; pivotX: 75.23553; pivotY: 299.2076}
{file: DummyMale_Running_Stop-36.png; pivotX: 74.68219; pivotY: 303.5192}
{file: DummyMale_Running_Stop-37.png; pivotX: 74.63483; pivotY: 306.9317}
{file: DummyMale_Running_Stop-38.png; pivotX: 74.66219; pivotY: 311.2862}
{file: DummyMale_Running_Stop-39.png; pivotX: 78.24661; pivotY: 314.1871}
{file: DummyMale_Running_Stop-40.png; pivotX: 81.66575; pivotY: 316.5073}
{file: DummyMale_Running_Stop-41.png; pivotX: 84.79843; pivotY: 318.4719}
{file: DummyMale_Running_Stop-42.png; pivotX: 87.60908; pivotY: 319.5089}
{file: DummyMale_Running_Stop-43.png; pivotX: 89.5491; pivotY: 319.3974}
{file: DummyMale_Running_Stop-44.png; pivotX: 91.19537; pivotY: 319.395}
{file: DummyMale_Running_Stop-45.png; pivotX: 91.97837; pivotY: 318.3425}
{file: DummyMale_Running_Stop-46.png; pivotX: 92.71353; pivotY: 318.229}
{file: DummyMale_Running_Stop-47.png; pivotX: 93.16454; pivotY: 317.188}
{file: DummyMale_Running_Stop-48.png; pivotX: 93.34676; pivotY: 317.2107}
{file: DummyMale_Running_Stop-49.png; pivotX: 93.20821; pivotY: 316.4799}
{file: DummyMale_Running_Stop-50.png; pivotX: 93.05116; pivotY: 316.6609}
{file: DummyMale_Running_Stop-51.png; pivotX: 93.20573; pivotY: 315.7249}
{file: DummyMale_Running_Stop-52.png; pivotX: 93.21316; pivotY: 315.7759}
{file: DummyMale_Running_Stop-53.png; pivotX: 93.71005; pivotY: 315.8272}
{file: DummyMale_Running_Stop-54.png; pivotX: 93.64256; pivotY: 315.8835}
{file: DummyMale_Running_Stop-55.png; pivotX: 93.53746; pivotY: 314.9763}
{file: DummyMale_Running_Stop-56.png; pivotX: 93.2684; pivotY: 315.0325}
{file: DummyMale_Running_Stop-57.png; pivotX: 92.87807; pivotY: 315.0833}
{file: DummyMale_Running_Stop-58.png; pivotX: 92.51383; pivotY: 315.1099}
{file: DummyMale_Running_Stop-59.png; pivotX: 91.8745; pivotY: 314.1278}
{file: DummyMale_Running_Stop-60.png; pivotX: 91.74661; pivotY: 314.0815}
{file: DummyMale_Running_Stop-61.png; pivotX: 91.60723; pivotY: 314.0461}
{file: DummyMale_Running_Stop-62.png; pivotX: 91.41718; pivotY: 314.0559}
{file: DummyMale_Running_Stop-63.png; pivotX: 91.25552; pivotY: 314.0571}
{file: DummyMale_Running_Stop-64.png; pivotX: 91.18566; pivotY: 314.0123}
{file: DummyMale_Running_Stop-65.png; pivotX: 91.15247; pivotY: 313.9597}
