{file: Rasputin_Special_2_Part_2-0.png; posX: 1.77815; posY: 0}
{file: Rasputin_Special_2_Part_2-46.png; posX: 1.348126; posY: -0.2319661}
{file: Rasputin_Special_2_Part_2-47.png; posX: 1.34787; posY: -0.2242026}
{file: Rasputin_Special_2_Part_2-48.png; posX: 1.348021; posY: -0.2147284}
{file: Rasputin_Special_2_Part_2-49.png; posX: 1.350333; posY: -0.2041826}
{file: Rasputin_Special_2_Part_2-50.png; posX: 1.35472; posY: -0.1932045}
{file: Rasputin_Special_2_Part_2-51.png; posX: 1.361098; posY: -0.1824328}
{file: Rasputin_Special_2_Part_2-52.png; posX: 1.369383; posY: -0.1725067}
{file: Rasputin_Special_2_Part_2-53.png; posX: 1.37949; posY: -0.1640654}
{file: Rasputin_Special_2_Part_2-54.png; posX: 1.391335; posY: -0.1565797}
{file: Rasputin_Special_2_Part_2-55.png; posX: 1.404834; posY: -0.1491343}
{file: Rasputin_Special_2_Part_2-56.png; posX: 1.419902; posY: -0.1417887}
{file: Rasputin_Special_2_Part_2-57.png; posX: 1.436454; posY: -0.1346025}
{file: Rasputin_Special_2_Part_2-58.png; posX: 1.454407; posY: -0.1276352}
{file: Rasputin_Special_2_Part_2-59.png; posX: 1.472955; posY: -0.1209465}
{file: Rasputin_Special_2_Part_2-60.png; posX: 1.491356; posY: -0.1145958}
{file: Rasputin_Special_2_Part_2-61.png; posX: 1.509621; posY: -0.1086428}
{file: Rasputin_Special_2_Part_2-62.png; posX: 1.527762; posY: -0.103147}
{file: Rasputin_Special_2_Part_2-63.png; posX: 1.545789; posY: -0.09816808}
{file: Rasputin_Special_2_Part_2-64.png; posX: 1.563714; posY: -0.0937655}
{file: Rasputin_Special_2_Part_2-65.png; posX: 1.581547; posY: -0.08999884}
{file: Rasputin_Special_2_Part_2-66.png; posX: 1.599301; posY: -0.08692765}
{file: Rasputin_Special_2_Part_2-67.png; posX: 1.616986; posY: -0.08461154}
{file: Rasputin_Special_2_Part_2-68.png; posX: 1.634613; posY: -0.08311003}
{file: Rasputin_Special_2_Part_2-69.png; posX: 1.652193; posY: -0.0817728}
{file: Rasputin_Special_2_Part_2-70.png; posX: 1.669738; posY: -0.07985932}
{file: Rasputin_Special_2_Part_2-71.png; posX: 1.687259; posY: -0.07729417}
{file: Rasputin_Special_2_Part_2-72.png; posX: 1.704766; posY: -0.07400191}
{file: Rasputin_Special_2_Part_2-73.png; posX: 1.722272; posY: -0.06990707}
{file: Rasputin_Special_2_Part_2-74.png; posX: 1.739787; posY: -0.06493413}
{file: Rasputin_Special_2_Part_2-75.png; posX: 1.757322; posY: -0.05900764}
{file: Rasputin_Special_2_Part_2-76.png; posX: 1.774889; posY: -0.05205226}
{file: Rasputin_Special_2_Part_2-77.png; posX: 1.792498; posY: -0.04399234}
{file: Rasputin_Special_2_Part_2-78.png; posX: 1.810161; posY: -0.03475255}
{file: Rasputin_Special_2_Part_2-79.png; posX: 1.827889; posY: -0.02425742}
{file: Rasputin_Special_2_Part_2-80.png; posX: 1.848173; posY: -0.01467705}
{file: Rasputin_Special_2_Part_2-81.png; posX: 1.872853; posY: -0.008212626}
{file: Rasputin_Special_2_Part_2-82.png; posX: 1.900962; posY: -0.004835129}
{file: Rasputin_Special_2_Part_2-83.png; posX: 1.931533; posY: -0.004515409}
{file: Rasputin_Special_2_Part_2-84.png; posX: 1.963599; posY: -0.007224321}
{file: Rasputin_Special_2_Part_2-85.png; posX: 1.996193; posY: -0.0129329}
{file: Rasputin_Special_2_Part_2-86.png; posX: 2.028348; posY: -0.02161199}
{file: Rasputin_Special_2_Part_2-87.png; posX: 2.059098; posY: -0.03323269}
{file: Rasputin_Special_2_Part_2-88.png; posX: 2.087475; posY: -0.04776561}
{file: Rasputin_Special_2_Part_2-89.png; posX: 2.115951; posY: -0.06518185}
{file: Rasputin_Special_2_Part_2-90.png; posX: 2.146906; posY: -0.08874178}
{file: Rasputin_Special_2_Part_2-91.png; posX: 2.17923; posY: -0.1197884}
{file: Rasputin_Special_2_Part_2-92.png; posX: 2.211815; posY: -0.1554171}
{file: Rasputin_Special_2_Part_2-93.png; posX: 2.243554; posY: -0.1927231}
{file: Rasputin_Special_2_Part_2-94.png; posX: 2.273337; posY: -0.2271053}
{file: Rasputin_Special_2_Part_2-95.png; posX: 2.300057; posY: -0.2501945}
{file: Rasputin_Special_2_Part_2-96.png; posX: 2.322606; posY: -0.2534359}
{file: Rasputin_Special_2_Part_2-97.png; posX: 2.339875; posY: -0.2316244}
{file: Rasputin_Special_2_Part_2-98.png; posX: 2.350757; posY: -0.1890984}
{file: Rasputin_Special_2_Part_2-99.png; posX: 2.36004; posY: -0.1316168}
{file: Rasputin_Special_2_Part_2-100.png; posX: 2.373308; posY: -0.06493878}
{file: Rasputin_Special_2_Part_2-101.png; posX: 2.390642; posY: 0.005177021}
{file: Rasputin_Special_2_Part_2-102.png; posX: 2.412123; posY: 0.07880545}
{file: Rasputin_Special_2_Part_2-103.png; posX: 2.437833; posY: 0.1593077}
{file: Rasputin_Special_2_Part_2-104.png; posX: 2.467852; posY: 0.2458522}
{file: Rasputin_Special_2_Part_2-105.png; posX: 2.502261; posY: 0.3376074}
{file: Rasputin_Special_2_Part_2-106.png; posX: 2.541823; posY: 0.4337415}
{file: Rasputin_Special_2_Part_2-107.png; posX: 2.586293; posY: 0.5334229}
{file: Rasputin_Special_2_Part_2-108.png; posX: 2.634242; posY: 0.6414344}
{file: Rasputin_Special_2_Part_2-109.png; posX: 2.68424; posY: 0.7538776}
{file: Rasputin_Special_2_Part_2-110.png; posX: 2.734857; posY: 0.8569044}
{file: Rasputin_Special_2_Part_2-111.png; posX: 2.784665; posY: 0.9366657}
{file: Rasputin_Special_2_Part_2-112.png; posX: 2.828938; posY: 0.9879708}
{file: Rasputin_Special_2_Part_2-113.png; posX: 2.865954; posY: 1.019228}
{file: Rasputin_Special_2_Part_2-114.png; posX: 2.898789; posY: 1.036986}
{file: Rasputin_Special_2_Part_2-115.png; posX: 2.930522; posY: 1.047792}
{file: Rasputin_Special_2_Part_2-116.png; posX: 2.964227; posY: 1.058197}
{file: Rasputin_Special_2_Part_2-117.png; posX: 3.002981; posY: 1.0692}
{file: Rasputin_Special_2_Part_2-118.png; posX: 3.049862; posY: 1.078277}
{file: Rasputin_Special_2_Part_2-119.png; posX: 3.107944; posY: 1.086687}
{file: Rasputin_Special_2_Part_2-120.png; posX: 3.169643; posY: 1.095688}
{file: Rasputin_Special_2_Part_2-121.png; posX: 3.225657; posY: 1.106538}
{file: Rasputin_Special_2_Part_2-122.png; posX: 3.27649; posY: 1.120498}
{file: Rasputin_Special_2_Part_2-123.png; posX: 3.322647; posY: 1.138825}
{file: Rasputin_Special_2_Part_2-124.png; posX: 3.364633; posY: 1.162778}
{file: Rasputin_Special_2_Part_2-125.png; posX: 3.402953; posY: 1.187851}
{file: Rasputin_Special_2_Part_2-126.png; posX: 3.43811; posY: 1.202693}
{file: Rasputin_Special_2_Part_2-127.png; posX: 3.470609; posY: 1.198297}
{file: Rasputin_Special_2_Part_2-128.png; posX: 3.500956; posY: 1.165654}
{file: Rasputin_Special_2_Part_2-129.png; posX: 3.531486; posY: 1.103608}
{file: Rasputin_Special_2_Part_2-130.png; posX: 3.564179; posY: 1.030758}
{file: Rasputin_Special_2_Part_2-131.png; posX: 3.599002; posY: 0.9677252}
{file: Rasputin_Special_2_Part_2-132.png; posX: 3.635919; posY: 0.9221046}
{file: Rasputin_Special_2_Part_2-133.png; posX: 3.674897; posY: 0.8849013}
{file: Rasputin_Special_2_Part_2-134.png; posX: 3.715903; posY: 0.8518507}
{file: Rasputin_Special_2_Part_2-135.png; posX: 3.758902; posY: 0.8186895}
{file: Rasputin_Special_2_Part_2-136.png; posX: 3.80386; posY: 0.7811537}
{file: Rasputin_Special_2_Part_2-137.png; posX: 3.850744; posY: 0.7390535}
{file: Rasputin_Special_2_Part_2-138.png; posX: 3.89952; posY: 0.6948713}
{file: Rasputin_Special_2_Part_2-139.png; posX: 3.950153; posY: 0.6483521}
{file: Rasputin_Special_2_Part_2-140.png; posX: 4.00261; posY: 0.5992411}
{file: Rasputin_Special_2_Part_2-141.png; posX: 4.056858; posY: 0.5472832}
{file: Rasputin_Special_2_Part_2-142.png; posX: 4.112862; posY: 0.4922234}
{file: Rasputin_Special_2_Part_2-143.png; posX: 4.170588; posY: 0.4351414}
{file: Rasputin_Special_2_Part_2-144.png; posX: 4.230002; posY: 0.3532932}
{file: Rasputin_Special_2_Part_2-145.png; posX: 4.291071; posY: 0.2265439}
{file: Rasputin_Special_2_Part_2-146.png; posX: 4.346474; posY: 0.0793736}
{file: Rasputin_Special_2_Part_2-147.png; posX: 4.390449; posY: -0.05727941}
{file: Rasputin_Special_2_Part_2-148.png; posX: 4.425312; posY: -0.1661432}
{file: Rasputin_Special_2_Part_2-149.png; posX: 4.453374; posY: -0.2205612}
{file: Rasputin_Special_2_Part_2-150.png; posX: 4.476949; posY: -0.2478945}
{file: Rasputin_Special_2_Part_2-151.png; posX: 4.498349; posY: -0.2723109}
{file: Rasputin_Special_2_Part_2-152.png; posX: 4.519887; posY: -0.2919406}
{file: Rasputin_Special_2_Part_2-153.png; posX: 4.540568; posY: -0.3070365}
{file: Rasputin_Special_2_Part_2-154.png; posX: 4.558027; posY: -0.3178515}
{file: Rasputin_Special_2_Part_2-155.png; posX: 4.572519; posY: -0.3246387}
{file: Rasputin_Special_2_Part_2-156.png; posX: 4.5843; posY: -0.3276511}
{file: Rasputin_Special_2_Part_2-157.png; posX: 4.593623; posY: -0.3286529}
{file: Rasputin_Special_2_Part_2-158.png; posX: 4.600746; posY: -0.3292416}
{file: Rasputin_Special_2_Part_2-159.png; posX: 4.605924; posY: -0.3294202}
{file: Rasputin_Special_2_Part_2-160.png; posX: 4.609411; posY: -0.3291919}
{file: Rasputin_Special_2_Part_2-161.png; posX: 4.611463; posY: -0.3285596}
{file: Rasputin_Special_2_Part_2-162.png; posX: 4.612336; posY: -0.3275266}
{file: Rasputin_Special_2_Part_2-163.png; posX: 4.612284; posY: -0.3260959}
{file: Rasputin_Special_2_Part_2-164.png; posX: 4.611564; posY: -0.3242705}
{file: Rasputin_Special_2_Part_2-165.png; posX: 4.609546; posY: -0.3220536}
{file: Rasputin_Special_2_Part_2-166.png; posX: 4.605546; posY: -0.3194481}
{file: Rasputin_Special_2_Part_2-167.png; posX: 4.599744; posY: -0.3164573}
{file: Rasputin_Special_2_Part_2-168.png; posX: 4.592314; posY: -0.3130841}
{file: Rasputin_Special_2_Part_2-169.png; posX: 4.583433; posY: -0.3093318}
{file: Rasputin_Special_2_Part_2-170.png; posX: 4.573279; posY: -0.3052032}
{file: Rasputin_Special_2_Part_2-171.png; posX: 4.562027; posY: -0.3007016}
{file: Rasputin_Special_2_Part_2-172.png; posX: 4.549855; posY: -0.29583}
{file: Rasputin_Special_2_Part_2-173.png; posX: 4.53694; posY: -0.2905914}
{file: Rasputin_Special_2_Part_2-174.png; posX: 4.523457; posY: -0.2849889}
{file: Rasputin_Special_2_Part_2-175.png; posX: 4.509583; posY: -0.2790258}
{file: Rasputin_Special_2_Part_2-176.png; posX: 4.495496; posY: -0.272705}
{file: Rasputin_Special_2_Part_2-177.png; posX: 4.481371; posY: -0.2660295}
{file: Rasputin_Special_2_Part_2-178.png; posX: 4.467387; posY: -0.2590938}
{file: Rasputin_Special_2_Part_2-179.png; posX: 4.453718; posY: -0.2520015}
{file: Rasputin_Special_2_Part_2-180.png; posX: 4.440543; posY: -0.2447706}
{file: Rasputin_Special_2_Part_2-181.png; posX: 4.428037; posY: -0.2374188}
{file: Rasputin_Special_2_Part_2-182.png; posX: 4.416377; posY: -0.2299638}
{file: Rasputin_Special_2_Part_2-183.png; posX: 4.40574; posY: -0.2224234}
{file: Rasputin_Special_2_Part_2-184.png; posX: 4.396302; posY: -0.2148153}
{file: Rasputin_Special_2_Part_2-185.png; posX: 4.388241; posY: -0.2071573}
{file: Rasputin_Special_2_Part_2-186.png; posX: 4.381733; posY: -0.199467}
{file: Rasputin_Special_2_Part_2-187.png; posX: 4.376954; posY: -0.1917623}
{file: Rasputin_Special_2_Part_2-188.png; posX: 4.374082; posY: -0.1840608}
{file: Rasputin_Special_2_Part_2-189.png; posX: 4.373292; posY: -0.1763804}
{file: Rasputin_Special_2_Part_2-190.png; posX: 4.374763; posY: -0.1687388}
{file: Rasputin_Special_2_Part_2-191.png; posX: 4.378669; posY: -0.1611537}
{file: Rasputin_Special_2_Part_2-192.png; posX: 4.385188; posY: -0.153643}
{file: Rasputin_Special_2_Part_2-193.png; posX: 4.392465; posY: -0.1462241}
{file: Rasputin_Special_2_Part_2-194.png; posX: 4.398586; posY: -0.1394863}
{file: Rasputin_Special_2_Part_2-195.png; posX: 4.403638; posY: -0.1339381}
{file: Rasputin_Special_2_Part_2-196.png; posX: 4.407711; posY: -0.1294767}
{file: Rasputin_Special_2_Part_2-197.png; posX: 4.410891; posY: -0.1259994}
{file: Rasputin_Special_2_Part_2-198.png; posX: 4.413268; posY: -0.1234033}
{file: Rasputin_Special_2_Part_2-199.png; posX: 4.414929; posY: -0.1215858}
{file: Rasputin_Special_2_Part_2-200.png; posX: 4.415963; posY: -0.120444}
{file: Rasputin_Special_2_Part_2-201.png; posX: 4.416458; posY: -0.1198752}
{file: Rasputin_Special_2_Part_2-202.png; posX: 4.416502; posY: -0.1197766}
{file: Rasputin_Special_2_Part_2-203.png; posX: 4.416184; posY: -0.1200455}
{file: Rasputin_Special_2_Part_2-204.png; posX: 4.415591; posY: -0.120579}
{file: Rasputin_Special_2_Part_2-205.png; posX: 4.414812; posY: -0.1212745}
{file: Rasputin_Special_2_Part_2-206.png; posX: 4.413935; posY: -0.122029}
{file: Rasputin_Special_2_Part_2-207.png; posX: 4.413048; posY: -0.12274}
