{file: Rasputin_Special_2_Victim-0.png; pivotX: 91.72375; pivotY: 317.4592}
{file: Rasputin_Special_2_Victim-38.png; pivotX: 70.97998; pivotY: 326.3963}
{file: Rasputin_Special_2_Victim-39.png; pivotX: 71.16544; pivotY: 326.4532}
{file: Rasputin_Special_2_Victim-40.png; pivotX: 72.91712; pivotY: 327.2498}
{file: Rasputin_Special_2_Victim-41.png; pivotX: 75.82618; pivotY: 327.0842}
{file: Rasputin_Special_2_Victim-42.png; pivotX: 79.31974; pivotY: 325.9813}
{file: Rasputin_Special_2_Victim-43.png; pivotX: 82.7282; pivotY: 325.0594}
{file: Rasputin_Special_2_Victim-44.png; pivotX: 86.57605; pivotY: 323.7591}
{file: Rasputin_Special_2_Victim-45.png; pivotX: 90.29223; pivotY: 321.7179}
{file: Rasputin_Special_2_Victim-46.png; pivotX: 94.08987; pivotY: 319.7205}
{file: Rasputin_Special_2_Victim-47.png; pivotX: 99.24712; pivotY: 317.6818}
{file: Rasputin_Special_2_Victim-48.png; pivotX: 104.8606; pivotY: 315.0902}
{file: Rasputin_Special_2_Victim-49.png; pivotX: 110.5552; pivotY: 312.7262}
{file: Rasputin_Special_2_Victim-50.png; pivotX: 115.8654; pivotY: 310.4084}
{file: Rasputin_Special_2_Victim-51.png; pivotX: 120.8166; pivotY: 310.0818}
{file: Rasputin_Special_2_Victim-52.png; pivotX: 123.0976; pivotY: 310.6138}
{file: Rasputin_Special_2_Victim-53.png; pivotX: 122.2471; pivotY: 313.296}
{file: Rasputin_Special_2_Victim-54.png; pivotX: 123.4002; pivotY: 315.2733}
{file: Rasputin_Special_2_Victim-55.png; pivotX: 127.9896; pivotY: 317.076}
{file: Rasputin_Special_2_Victim-56.png; pivotX: 132.7208; pivotY: 319.0743}
{file: Rasputin_Special_2_Victim-57.png; pivotX: 136.1683; pivotY: 320.1951}
{file: Rasputin_Special_2_Victim-58.png; pivotX: 137.8407; pivotY: 322.169}
{file: Rasputin_Special_2_Victim-59.png; pivotX: 137.4888; pivotY: 323.1877}
{file: Rasputin_Special_2_Victim-60.png; pivotX: 132.9574; pivotY: 324.0228}
{file: Rasputin_Special_2_Victim-61.png; pivotX: 120.2754; pivotY: 327.1804}
{file: Rasputin_Special_2_Victim-62.png; pivotX: 99.61272; pivotY: 328.456}
{file: Rasputin_Special_2_Victim-63.png; pivotX: 89.74044; pivotY: 328.7139}
{file: Rasputin_Special_2_Victim-64.png; pivotX: 84.42632; pivotY: 327.2764}
{file: Rasputin_Special_2_Victim-65.png; pivotX: 83.22997; pivotY: 325.3937}
{file: Rasputin_Special_2_Victim-66.png; pivotX: 84.34891; pivotY: 323.7951}
{file: Rasputin_Special_2_Victim-67.png; pivotX: 84.81953; pivotY: 321.4886}
{file: Rasputin_Special_2_Victim-68.png; pivotX: 86.87224; pivotY: 319.2159}
{file: Rasputin_Special_2_Victim-69.png; pivotX: 84.581; pivotY: 319.1436}
{file: Rasputin_Special_2_Victim-70.png; pivotX: 78.16913; pivotY: 319.7632}
{file: Rasputin_Special_2_Victim-71.png; pivotX: 68.36888; pivotY: 322.0829}
{file: Rasputin_Special_2_Victim-72.png; pivotX: 54.44895; pivotY: 325.7076}
{file: Rasputin_Special_2_Victim-73.png; pivotX: 62.29861; pivotY: 328.2506}
{file: Rasputin_Special_2_Victim-74.png; pivotX: 76.47286; pivotY: 330.5277}
{file: Rasputin_Special_2_Victim-75.png; pivotX: 88.65758; pivotY: 332.482}
{file: Rasputin_Special_2_Victim-76.png; pivotX: 97.45258; pivotY: 332.4174}
{file: Rasputin_Special_2_Victim-77.png; pivotX: 100.6295; pivotY: 334.1653}
{file: Rasputin_Special_2_Victim-78.png; pivotX: 100.5674; pivotY: 335.867}
{file: Rasputin_Special_2_Victim-79.png; pivotX: 99.36182; pivotY: 336.9066}
{file: Rasputin_Special_2_Victim-80.png; pivotX: 97.00542; pivotY: 338.0404}
{file: Rasputin_Special_2_Victim-81.png; pivotX: 95.15932; pivotY: 338.0017}
{file: Rasputin_Special_2_Victim-82.png; pivotX: 93.80186; pivotY: 338.9463}
{file: Rasputin_Special_2_Victim-83.png; pivotX: 92.06248; pivotY: 339.0346}
{file: Rasputin_Special_2_Victim-84.png; pivotX: 90.53239; pivotY: 339.0899}
{file: Rasputin_Special_2_Victim-85.png; pivotX: 87.75931; pivotY: 339.013}
{file: Rasputin_Special_2_Victim-86.png; pivotX: 84.63909; pivotY: 337.8604}
{file: Rasputin_Special_2_Victim-87.png; pivotX: 82.3113; pivotY: 337.8917}
{file: Rasputin_Special_2_Victim-88.png; pivotX: 80.34901; pivotY: 336.941}
{file: Rasputin_Special_2_Victim-89.png; pivotX: 80.47944; pivotY: 337.7931}
{file: Rasputin_Special_2_Victim-90.png; pivotX: 88.8115; pivotY: 337.622}
{file: Rasputin_Special_2_Victim-91.png; pivotX: 95.87508; pivotY: 337.8478}
{file: Rasputin_Special_2_Victim-92.png; pivotX: 99.75317; pivotY: 337.8541}
{file: Rasputin_Special_2_Victim-93.png; pivotX: 100.5886; pivotY: 338.8294}
{file: Rasputin_Special_2_Victim-94.png; pivotX: 100.1322; pivotY: 341.7005}
{file: Rasputin_Special_2_Victim-95.png; pivotX: 97.30246; pivotY: 343.5013}
{file: Rasputin_Special_2_Victim-96.png; pivotX: 93.38383; pivotY: 343.2838}
{file: Rasputin_Special_2_Victim-97.png; pivotX: 89.40314; pivotY: 341.0745}
{file: Rasputin_Special_2_Victim-98.png; pivotX: 85.33142; pivotY: 335.9373}
{file: Rasputin_Special_2_Victim-99.png; pivotX: 89.30324; pivotY: 330.9071}
{file: Rasputin_Special_2_Victim-100.png; pivotX: 93.5517; pivotY: 326.1165}
{file: Rasputin_Special_2_Victim-101.png; pivotX: 96.23715; pivotY: 321.3981}
{file: Rasputin_Special_2_Victim-102.png; pivotX: 98.78321; pivotY: 318.8976}
{file: Rasputin_Special_2_Victim-103.png; pivotX: 102.2263; pivotY: 317.8152}
{file: Rasputin_Special_2_Victim-104.png; pivotX: 105.5865; pivotY: 318.5994}
{file: Rasputin_Special_2_Victim-105.png; pivotX: 106.5506; pivotY: 320.3176}
{file: Rasputin_Special_2_Victim-106.png; pivotX: 103.3561; pivotY: 321.5437}
{file: Rasputin_Special_2_Victim-107.png; pivotX: 95.61452; pivotY: 323.4255}
{file: Rasputin_Special_2_Victim-108.png; pivotX: 84.74417; pivotY: 323.5749}
{file: Rasputin_Special_2_Victim-109.png; pivotX: 78.69143; pivotY: 321.6912}
{file: Rasputin_Special_2_Victim-110.png; pivotX: 74.31288; pivotY: 319.7725}
{file: Rasputin_Special_2_Victim-111.png; pivotX: 77.0146; pivotY: 318.109}
{file: Rasputin_Special_2_Victim-112.png; pivotX: 80.44942; pivotY: 318.6433}
{file: Rasputin_Special_2_Victim-113.png; pivotX: 83.35742; pivotY: 318.623}
{file: Rasputin_Special_2_Victim-114.png; pivotX: 91.6636; pivotY: 316.6888}
{file: Rasputin_Special_2_Victim-115.png; pivotX: 96.35683; pivotY: 315.7872}
{file: Rasputin_Special_2_Victim-116.png; pivotX: 96.65083; pivotY: 314.7123}
{file: Rasputin_Special_2_Victim-117.png; pivotX: 95.36352; pivotY: 313.488}
{file: Rasputin_Special_2_Victim-118.png; pivotX: 92.8928; pivotY: 313.4151}
{file: Rasputin_Special_2_Victim-119.png; pivotX: 91.27345; pivotY: 313.5287}
{file: Rasputin_Special_2_Victim-120.png; pivotX: 90.27316; pivotY: 313.6718}
{file: Rasputin_Special_2_Victim-121.png; pivotX: 89.82643; pivotY: 313.6886}
{file: Rasputin_Special_2_Victim-122.png; pivotX: 89.87902; pivotY: 313.5872}
{file: Rasputin_Special_2_Victim-123.png; pivotX: 90.25707; pivotY: 314.3849}
{file: Rasputin_Special_2_Victim-124.png; pivotX: 90.44434; pivotY: 314.2525}
{file: Rasputin_Special_2_Victim-125.png; pivotX: 91.27384; pivotY: 314.2386}
{file: Rasputin_Special_2_Victim-126.png; pivotX: 92.76175; pivotY: 314.2973}
{file: Rasputin_Special_2_Victim-127.png; pivotX: 93.87943; pivotY: 314.364}
{file: Rasputin_Special_2_Victim-128.png; pivotX: 94.88126; pivotY: 316.408}
{file: Rasputin_Special_2_Victim-129.png; pivotX: 95.881; pivotY: 317.5023}
{file: Rasputin_Special_2_Victim-130.png; pivotX: 96.68011; pivotY: 319.5727}
{file: Rasputin_Special_2_Victim-131.png; pivotX: 97.42858; pivotY: 320.6512}
{file: Rasputin_Special_2_Victim-132.png; pivotX: 98.12339; pivotY: 320.7165}
{file: Rasputin_Special_2_Victim-133.png; pivotX: 98.6953; pivotY: 320.748}
{file: Rasputin_Special_2_Victim-134.png; pivotX: 99.20661; pivotY: 319.7898}
{file: Rasputin_Special_2_Victim-135.png; pivotX: 99.56732; pivotY: 321.827}
{file: Rasputin_Special_2_Victim-136.png; pivotX: 99.47598; pivotY: 323.7976}
{file: Rasputin_Special_2_Victim-137.png; pivotX: 100.1957; pivotY: 324.7435}
{file: Rasputin_Special_2_Victim-138.png; pivotX: 100.3285; pivotY: 325.7058}
{file: Rasputin_Special_2_Victim-139.png; pivotX: 100.3094; pivotY: 325.7067}
{file: Rasputin_Special_2_Victim-140.png; pivotX: 100.5154; pivotY: 325.7059}
{file: Rasputin_Special_2_Victim-141.png; pivotX: 100.174; pivotY: 325.6879}
{file: Rasputin_Special_2_Victim-142.png; pivotX: 100.3162; pivotY: 325.5984}
{file: Rasputin_Special_2_Victim-143.png; pivotX: 101.2815; pivotY: 325.5671}
{file: Rasputin_Special_2_Victim-144.png; pivotX: 100.8603; pivotY: 324.6411}
{file: Rasputin_Special_2_Victim-145.png; pivotX: 100.2539; pivotY: 324.7751}
{file: Rasputin_Special_2_Victim-146.png; pivotX: 97.7933; pivotY: 324.9227}
{file: Rasputin_Special_2_Victim-147.png; pivotX: 91.28414; pivotY: 319.3715}
{file: Rasputin_Special_2_Victim-148.png; pivotX: 94.02708; pivotY: 324.7647}
{file: Rasputin_Special_2_Victim-149.png; pivotX: 97.73661; pivotY: 331.1119}
{file: Rasputin_Special_2_Victim-150.png; pivotX: 103.195; pivotY: 329.9968}
{file: Rasputin_Special_2_Victim-151.png; pivotX: 110.4774; pivotY: 332.0147}
{file: Rasputin_Special_2_Victim-152.png; pivotX: 116.2554; pivotY: 327.6526}
{file: Rasputin_Special_2_Victim-153.png; pivotX: 119.3793; pivotY: 323.3089}
{file: Rasputin_Special_2_Victim-154.png; pivotX: 130.9614; pivotY: 341.101}
{file: Rasputin_Special_2_Victim-155.png; pivotX: 147.0272; pivotY: 355.5757}
{file: Rasputin_Special_2_Victim-156.png; pivotX: 155.1165; pivotY: 361.2346}
{file: Rasputin_Special_2_Victim-157.png; pivotX: 159.4722; pivotY: 360.0145}
{file: Rasputin_Special_2_Victim-158.png; pivotX: 161.2978; pivotY: 355.6386}
{file: Rasputin_Special_2_Victim-159.png; pivotX: 159.5545; pivotY: 349.8943}
{file: Rasputin_Special_2_Victim-160.png; pivotX: 153.1389; pivotY: 343.2079}
{file: Rasputin_Special_2_Victim-161.png; pivotX: 152.9236; pivotY: 334.0548}
{file: Rasputin_Special_2_Victim-162.png; pivotX: 152.7893; pivotY: 323.6559}
{file: Rasputin_Special_2_Victim-163.png; pivotX: 152.5567; pivotY: 316.5679}
{file: Rasputin_Special_2_Victim-164.png; pivotX: 149.4077; pivotY: 292.7647}
{file: Rasputin_Special_2_Victim-165.png; pivotX: 154.3811; pivotY: 283.8858}
{file: Rasputin_Special_2_Victim-166.png; pivotX: 158.6705; pivotY: 281.0315}
{file: Rasputin_Special_2_Victim-167.png; pivotX: 156.3719; pivotY: 285.8354}
{file: Rasputin_Special_2_Victim-168.png; pivotX: 156.671; pivotY: 295.8878}
{file: Rasputin_Special_2_Victim-169.png; pivotX: 160.2197; pivotY: 298.1968}
{file: Rasputin_Special_2_Victim-170.png; pivotX: 162.4736; pivotY: 293.803}
{file: Rasputin_Special_2_Victim-171.png; pivotX: 163.7888; pivotY: 279.7691}
{file: Rasputin_Special_2_Victim-172.png; pivotX: 163.7696; pivotY: 255.7816}
{file: Rasputin_Special_2_Victim-173.png; pivotX: 163.5413; pivotY: 228.6827}
{file: Rasputin_Special_2_Victim-174.png; pivotX: 162.1425; pivotY: 199.2352}
{file: Rasputin_Special_2_Victim-175.png; pivotX: 163.7325; pivotY: 176.8457}
{file: Rasputin_Special_2_Victim-176.png; pivotX: 165.8136; pivotY: 159.7236}
{file: Rasputin_Special_2_Victim-177.png; pivotX: 166.0403; pivotY: 142.3382}
{file: Rasputin_Special_2_Victim-178.png; pivotX: 162.1787; pivotY: 129.0478}
{file: Rasputin_Special_2_Victim-179.png; pivotX: 156.1823; pivotY: 125.4289}
{file: Rasputin_Special_2_Victim-180.png; pivotX: 154.8198; pivotY: 121.4378}
{file: Rasputin_Special_2_Victim-181.png; pivotX: 157.195; pivotY: 116.8495}
{file: Rasputin_Special_2_Victim-182.png; pivotX: 161.4684; pivotY: 113.7673}
{file: Rasputin_Special_2_Victim-183.png; pivotX: 167.0289; pivotY: 129.492}
{file: Rasputin_Special_2_Victim-184.png; pivotX: 170.1906; pivotY: 131.5293}
{file: Rasputin_Special_2_Victim-185.png; pivotX: 175.741; pivotY: 135.0547}
{file: Rasputin_Special_2_Victim-186.png; pivotX: 201.3945; pivotY: 155.6991}
{file: Rasputin_Special_2_Victim-187.png; pivotX: 205.0241; pivotY: 160.097}
{file: Rasputin_Special_2_Victim-188.png; pivotX: 202.3141; pivotY: 166.3163}
{file: Rasputin_Special_2_Victim-189.png; pivotX: 193.8308; pivotY: 180.4521}
{file: Rasputin_Special_2_Victim-190.png; pivotX: 184.0894; pivotY: 191.381}
{file: Rasputin_Special_2_Victim-191.png; pivotX: 184.932; pivotY: 191.3427}
{file: Rasputin_Special_2_Victim-192.png; pivotX: 184.7773; pivotY: 187.413}
{file: Rasputin_Special_2_Victim-193.png; pivotX: 182.8407; pivotY: 181.3176}
{file: Rasputin_Special_2_Victim-194.png; pivotX: 180.9039; pivotY: 176.4829}
{file: Rasputin_Special_2_Victim-195.png; pivotX: 179.6183; pivotY: 174.2836}
{file: Rasputin_Special_2_Victim-196.png; pivotX: 177.9316; pivotY: 172.6522}
{file: Rasputin_Special_2_Victim-197.png; pivotX: 176.3112; pivotY: 170.0831}
{file: Rasputin_Special_2_Victim-198.png; pivotX: 178.2199; pivotY: 163.9965}
{file: Rasputin_Special_2_Victim-199.png; pivotX: 180.157; pivotY: 153.448}
{file: Rasputin_Special_2_Victim-200.png; pivotX: 181.9754; pivotY: 132.7589}
{file: Rasputin_Special_2_Victim-201.png; pivotX: 182.41; pivotY: 108.7541}
{file: Rasputin_Special_2_Victim-202.png; pivotX: 182.5174; pivotY: 89.15957}
{file: Rasputin_Special_2_Victim-203.png; pivotX: 181.1725; pivotY: 85.16035}
{file: Rasputin_Special_2_Victim-204.png; pivotX: 179.1204; pivotY: 85.49823}
{file: Rasputin_Special_2_Victim-205.png; pivotX: 177.3071; pivotY: 83.79541}
{file: Rasputin_Special_2_Victim-206.png; pivotX: 174.5294; pivotY: 85.44298}
{file: Rasputin_Special_2_Victim-207.png; pivotX: 171.5756; pivotY: 89.82141}
{file: Rasputin_Special_2_Victim-208.png; pivotX: 169.1314; pivotY: 93.20084}
{file: Rasputin_Special_2_Victim-209.png; pivotX: 165.9766; pivotY: 96.28699}
{file: Rasputin_Special_2_Victim-210.png; pivotX: 162.9345; pivotY: 99.15637}
{file: Rasputin_Special_2_Victim-211.png; pivotX: 159.3896; pivotY: 101.9583}
{file: Rasputin_Special_2_Victim-212.png; pivotX: 155.4921; pivotY: 104.4845}
{file: Rasputin_Special_2_Victim-213.png; pivotX: 151.4446; pivotY: 107.8607}
{file: Rasputin_Special_2_Victim-214.png; pivotX: 148.0616; pivotY: 111.0751}
{file: Rasputin_Special_2_Victim-215.png; pivotX: 143.1975; pivotY: 116.9453}
{file: Rasputin_Special_2_Victim-216.png; pivotX: 140.1908; pivotY: 122.9969}
{file: Rasputin_Special_2_Victim-217.png; pivotX: 138.5206; pivotY: 130.5877}
{file: Rasputin_Special_2_Victim-218.png; pivotX: 163.0732; pivotY: 137.8155}
{file: Rasputin_Special_2_Victim-219.png; pivotX: 217.2722; pivotY: 144.2777}
{file: Rasputin_Special_2_Victim-220.png; pivotX: 254.6506; pivotY: 149.8597}
{file: Rasputin_Special_2_Victim-221.png; pivotX: 267.2649; pivotY: 154.9719}
{file: Rasputin_Special_2_Victim-222.png; pivotX: 267.6901; pivotY: 159.2637}
{file: Rasputin_Special_2_Victim-223.png; pivotX: 263.4059; pivotY: 163.8578}
{file: Rasputin_Special_2_Victim-224.png; pivotX: 252.8289; pivotY: 167.0398}
{file: Rasputin_Special_2_Victim-225.png; pivotX: 237.4852; pivotY: 170.2354}
{file: Rasputin_Special_2_Victim-226.png; pivotX: 219.5447; pivotY: 172.4366}
{file: Rasputin_Special_2_Victim-227.png; pivotX: 201.5131; pivotY: 174.2175}
{file: Rasputin_Special_2_Victim-228.png; pivotX: 184.0576; pivotY: 175.8405}
{file: Rasputin_Special_2_Victim-229.png; pivotX: 167.4638; pivotY: 176.8704}
{file: Rasputin_Special_2_Victim-230.png; pivotX: 163.0356; pivotY: 176.5289}
{file: Rasputin_Special_2_Victim-231.png; pivotX: 179.5222; pivotY: 176.8485}
{file: Rasputin_Special_2_Victim-232.png; pivotX: 201.4079; pivotY: 178.4849}
{file: Rasputin_Special_2_Victim-233.png; pivotX: 213.1477; pivotY: 178.6681}
{file: Rasputin_Special_2_Victim-234.png; pivotX: 210.9711; pivotY: 180.2787}
{file: Rasputin_Special_2_Victim-235.png; pivotX: 210.9662; pivotY: 190.6431}
{file: Rasputin_Special_2_Victim-236.png; pivotX: 215.0573; pivotY: 188.9917}
{file: Rasputin_Special_2_Victim-237.png; pivotX: 217.439; pivotY: 188.2089}
{file: Rasputin_Special_2_Victim-238.png; pivotX: 218.2505; pivotY: 194.1856}
{file: Rasputin_Special_2_Victim-239.png; pivotX: 215.4548; pivotY: 199.5483}
{file: Rasputin_Special_2_Victim-240.png; pivotX: 210.0313; pivotY: 204.8494}
{file: Rasputin_Special_2_Victim-241.png; pivotX: 202.8662; pivotY: 210.1161}
{file: Rasputin_Special_2_Victim-242.png; pivotX: 195.6694; pivotY: 215.298}
{file: Rasputin_Special_2_Victim-243.png; pivotX: 188.9549; pivotY: 220.3762}
{file: Rasputin_Special_2_Victim-244.png; pivotX: 183.0578; pivotY: 226.3137}
{file: Rasputin_Special_2_Victim-245.png; pivotX: 175.739; pivotY: 231.2187}
{file: Rasputin_Special_2_Victim-246.png; pivotX: 168.4182; pivotY: 237.1342}
{file: Rasputin_Special_2_Victim-247.png; pivotX: 160.9848; pivotY: 242.0203}
{file: Rasputin_Special_2_Victim-248.png; pivotX: 155.8494; pivotY: 247.7554}
{file: Rasputin_Special_2_Victim-249.png; pivotX: 153.6163; pivotY: 254.6168}
{file: Rasputin_Special_2_Victim-250.png; pivotX: 153.0941; pivotY: 262.5634}
{file: Rasputin_Special_2_Victim-251.png; pivotX: 153.7459; pivotY: 269.3622}
{file: Rasputin_Special_2_Victim-252.png; pivotX: 155.9783; pivotY: 277.4719}
{file: Rasputin_Special_2_Victim-253.png; pivotX: 160.2745; pivotY: 285.0664}
{file: Rasputin_Special_2_Victim-254.png; pivotX: 165.1126; pivotY: 292.5137}
{file: Rasputin_Special_2_Victim-255.png; pivotX: 168.5473; pivotY: 299.5573}
{file: Rasputin_Special_2_Victim-256.png; pivotX: 162.8441; pivotY: 306.5624}
{file: Rasputin_Special_2_Victim-257.png; pivotX: 140.4312; pivotY: 313.5497}
{file: Rasputin_Special_2_Victim-258.png; pivotX: 105.2082; pivotY: 319.5424}
{file: Rasputin_Special_2_Victim-259.png; pivotX: 77.25941; pivotY: 325.5205}
{file: Rasputin_Special_2_Victim-260.png; pivotX: 80.61942; pivotY: 329.5147}
{file: Rasputin_Special_2_Victim-261.png; pivotX: 87.35102; pivotY: 330.3712}
{file: Rasputin_Special_2_Victim-262.png; pivotX: 92.63637; pivotY: 330.0189}
{file: Rasputin_Special_2_Victim-263.png; pivotX: 96.17433; pivotY: 327.7542}
{file: Rasputin_Special_2_Victim-264.png; pivotX: 98.4714; pivotY: 324.5522}
{file: Rasputin_Special_2_Victim-265.png; pivotX: 99.63612; pivotY: 321.7586}
{file: Rasputin_Special_2_Victim-266.png; pivotX: 100.3565; pivotY: 318.2373}
{file: Rasputin_Special_2_Victim-267.png; pivotX: 100.1501; pivotY: 316.2357}
{file: Rasputin_Special_2_Victim-268.png; pivotX: 99.1765; pivotY: 313.6515}
{file: Rasputin_Special_2_Victim-269.png; pivotX: 98.53945; pivotY: 312.8066}
{file: Rasputin_Special_2_Victim-270.png; pivotX: 97.15451; pivotY: 312.7523}
{file: Rasputin_Special_2_Victim-271.png; pivotX: 96.95102; pivotY: 311.5086}
{file: Rasputin_Special_2_Victim-272.png; pivotX: 96.19606; pivotY: 311.1915}
{file: Rasputin_Special_2_Victim-273.png; pivotX: 95.29937; pivotY: 311.0833}
{file: Rasputin_Special_2_Victim-274.png; pivotX: 93.87898; pivotY: 311.0932}
{file: Rasputin_Special_2_Victim-275.png; pivotX: 92.71017; pivotY: 311.093}
{file: Rasputin_Special_2_Victim-276.png; pivotX: 91.9084; pivotY: 311.0504}
{file: Rasputin_Special_2_Victim-277.png; pivotX: 91.47337; pivotY: 310.9734}
{file: Rasputin_Special_2_Victim-278.png; pivotX: 91.40537; pivotY: 310.8992}
{file: Rasputin_Special_2_Victim-279.png; pivotX: 91.54624; pivotY: 310.8309}
{file: Rasputin_Special_2_Victim-280.png; pivotX: 91.68637; pivotY: 310.771}
{file: Rasputin_Special_2_Victim-281.png; pivotX: 91.75372; pivotY: 311.6956}
{file: Rasputin_Special_2_Victim-282.png; pivotX: 91.87827; pivotY: 311.6785}
{file: Rasputin_Special_2_Victim-283.png; pivotX: 91.89095; pivotY: 312.648}
{file: Rasputin_Special_2_Victim-284.png; pivotX: 91.93345; pivotY: 312.6836}
{file: Rasputin_Special_2_Victim-285.png; pivotX: 91.41504; pivotY: 313.6443}
{file: Rasputin_Special_2_Victim-286.png; pivotX: 91.48413; pivotY: 313.6322}
{file: Rasputin_Special_2_Victim-287.png; pivotX: 91.47933; pivotY: 313.6873}
{file: Rasputin_Special_2_Victim-288.png; pivotX: 91.32995; pivotY: 314.7578}
{file: Rasputin_Special_2_Victim-289.png; pivotX: 91.215; pivotY: 314.9048}
{file: Rasputin_Special_2_Victim-290.png; pivotX: 91.1511; pivotY: 314.1116}
{file: Rasputin_Special_2_Victim-291.png; pivotX: 90.99939; pivotY: 314.2892}
{file: Rasputin_Special_2_Victim-292.png; pivotX: 91.35296; pivotY: 314.459}
{file: Rasputin_Special_2_Victim-293.png; pivotX: 91.22803; pivotY: 314.6053}
{file: Rasputin_Special_2_Victim-294.png; pivotX: 91.13724; pivotY: 314.7162}
{file: Rasputin_Special_2_Victim-295.png; pivotX: 91.08656; pivotY: 314.7866}
{file: Rasputin_Special_2_Victim-296.png; pivotX: 91.06255; pivotY: 314.8257}
