{file: Rasputin_Special_2_Victim-0.png; posX: -0.3460557; posY: 0}
{file: Rasputin_Special_2_Victim-79.png; posX: 0.2128299; posY: 0.1080576}
{file: Rasputin_Special_2_Victim-80.png; posX: 0.2049535; posY: 0.1101115}
{file: Rasputin_Special_2_Victim-81.png; posX: 0.1952682; posY: 0.111665}
{file: Rasputin_Special_2_Victim-82.png; posX: 0.1849391; posY: 0.1128017}
{file: Rasputin_Special_2_Victim-83.png; posX: 0.1731352; posY: 0.1136054}
{file: Rasputin_Special_2_Victim-84.png; posX: 0.1598154; posY: 0.1141599}
{file: Rasputin_Special_2_Victim-85.png; posX: 0.1449383; posY: 0.1145489}
{file: Rasputin_Special_2_Victim-86.png; posX: 0.1287405; posY: 0.1148561}
{file: Rasputin_Special_2_Victim-87.png; posX: 0.1137009; posY: 0.1151652}
{file: Rasputin_Special_2_Victim-88.png; posX: 0.09555974; posY: 0.1155599}
{file: Rasputin_Special_2_Victim-89.png; posX: 0.07024823; posY: 0.1152607}
{file: Rasputin_Special_2_Victim-90.png; posX: 0.03788376; posY: 0.1135633}
{file: Rasputin_Special_2_Victim-91.png; posX: -0.004374166; posY: 0.1106645}
{file: Rasputin_Special_2_Victim-92.png; posX: -0.05172218; posY: 0.106761}
{file: Rasputin_Special_2_Victim-93.png; posX: -0.1004036; posY: 0.1020497}
{file: Rasputin_Special_2_Victim-94.png; posX: -0.15049; posY: 0.09672713}
{file: Rasputin_Special_2_Victim-95.png; posX: -0.201588; posY: 0.09099013}
{file: Rasputin_Special_2_Victim-96.png; posX: -0.2533046; posY: 0.08503532}
{file: Rasputin_Special_2_Victim-97.png; posX: -0.3052455; posY: 0.07905966}
{file: Rasputin_Special_2_Victim-98.png; posX: -0.3570178; posY: 0.07325977}
{file: Rasputin_Special_2_Victim-99.png; posX: -0.4082279; posY: 0.06783241}
{file: Rasputin_Special_2_Victim-100.png; posX: -0.4584824; posY: 0.06297427}
{file: Rasputin_Special_2_Victim-101.png; posX: -0.5084087; posY: 0.05888218}
{file: Rasputin_Special_2_Victim-102.png; posX: -0.5602607; posY: 0.05575287}
{file: Rasputin_Special_2_Victim-103.png; posX: -0.6160852; posY: 0.053783}
{file: Rasputin_Special_2_Victim-104.png; posX: -0.6743274; posY: 0.05316937}
{file: Rasputin_Special_2_Victim-105.png; posX: -0.7317908; posY: 0.05191171}
{file: Rasputin_Special_2_Victim-106.png; posX: -0.7880576; posY: 0.04819185}
{file: Rasputin_Special_2_Victim-107.png; posX: -0.8427094; posY: 0.04247993}
{file: Rasputin_Special_2_Victim-108.png; posX: -0.8953284; posY: 0.03524601}
{file: Rasputin_Special_2_Victim-109.png; posX: -0.9454964; posY: 0.02696013}
{file: Rasputin_Special_2_Victim-110.png; posX: -0.9927958; posY: 0.01809233}
{file: Rasputin_Special_2_Victim-111.png; posX: -1.036808; posY: 0.009112775}
{file: Rasputin_Special_2_Victim-112.png; posX: -1.077115; posY: 0.0004915595}
{file: Rasputin_Special_2_Victim-113.png; posX: -1.113299; posY: -0.007301331}
{file: Rasputin_Special_2_Victim-114.png; posX: -1.144941; posY: -0.01379579}
{file: Rasputin_Special_2_Victim-115.png; posX: -1.171625; posY: -0.01852179}
{file: Rasputin_Special_2_Victim-116.png; posX: -1.192931; posY: -0.02100915}
{file: Rasputin_Special_2_Victim-117.png; posX: -1.208442; posY: -0.02169508}
{file: Rasputin_Special_2_Victim-118.png; posX: -1.219123; posY: -0.021424}
{file: Rasputin_Special_2_Victim-119.png; posX: -1.226475; posY: -0.02033663}
{file: Rasputin_Special_2_Victim-120.png; posX: -1.230881; posY: -0.01857394}
{file: Rasputin_Special_2_Victim-121.png; posX: -1.232727; posY: -0.01627666}
{file: Rasputin_Special_2_Victim-122.png; posX: -1.232394; posY: -0.01358563}
{file: Rasputin_Special_2_Victim-123.png; posX: -1.230268; posY: -0.01064169}
{file: Rasputin_Special_2_Victim-124.png; posX: -1.226733; posY: -0.007585704}
{file: Rasputin_Special_2_Victim-125.png; posX: -1.222172; posY: -0.004558504}
{file: Rasputin_Special_2_Victim-126.png; posX: -1.21697; posY: -0.001700878}
{file: Rasputin_Special_2_Victim-127.png; posX: -1.211509; posY: 0.000846386}
{file: Rasputin_Special_2_Victim-128.png; posX: -1.206175; posY: 0.002942383}
{file: Rasputin_Special_2_Victim-129.png; posX: -1.201351; posY: 0.004446268}
{file: Rasputin_Special_2_Victim-130.png; posX: -1.197069; posY: 0.005217314}
{file: Rasputin_Special_2_Victim-131.png; posX: -1.193102; posY: 0.005558074}
{file: Rasputin_Special_2_Victim-132.png; posX: -1.189448; posY: 0.005847216}
{file: Rasputin_Special_2_Victim-133.png; posX: -1.186103; posY: 0.006057739}
{file: Rasputin_Special_2_Victim-134.png; posX: -1.183064; posY: 0.006162763}
{file: Rasputin_Special_2_Victim-135.png; posX: -1.180329; posY: 0.006135345}
{file: Rasputin_Special_2_Victim-136.png; posX: -1.177894; posY: 0.005948544}
{file: Rasputin_Special_2_Victim-137.png; posX: -1.175756; posY: 0.005575478}
{file: Rasputin_Special_2_Victim-138.png; posX: -1.173913; posY: 0.004989207}
{file: Rasputin_Special_2_Victim-139.png; posX: -1.172361; posY: 0.004162788}
{file: Rasputin_Special_2_Victim-140.png; posX: -1.171097; posY: 0.003069341}
{file: Rasputin_Special_2_Victim-141.png; posX: -1.170118; posY: 0.001681924}
{file: Rasputin_Special_2_Victim-142.png; posX: -1.169422; posY: -2.646446E-05}
{file: Rasputin_Special_2_Victim-143.png; posX: -1.169005; posY: -0.002082646}
{file: Rasputin_Special_2_Victim-144.png; posX: -1.168863; posY: -0.004513621}
{file: Rasputin_Special_2_Victim-145.png; posX: -1.172309; posY: -0.005456448}
{file: Rasputin_Special_2_Victim-146.png; posX: -1.189211; posY: -0.002697349}
{file: Rasputin_Special_2_Victim-147.png; posX: -1.229403; posY: 0.004263163}
{file: Rasputin_Special_2_Victim-148.png; posX: -1.299697; posY: 0.01592439}
{file: Rasputin_Special_2_Victim-149.png; posX: -1.387231; posY: 0.03278607}
{file: Rasputin_Special_2_Victim-150.png; posX: -1.472327; posY: 0.05151814}
{file: Rasputin_Special_2_Victim-151.png; posX: -1.54283; posY: 0.06853253}
{file: Rasputin_Special_2_Victim-152.png; posX: -1.6039; posY: 0.08394015}
{file: Rasputin_Special_2_Victim-153.png; posX: -1.661835; posY: 0.09785181}
{file: Rasputin_Special_2_Victim-154.png; posX: -1.722936; posY: 0.1103785}
{file: Rasputin_Special_2_Victim-155.png; posX: -1.791982; posY: 0.1216311}
{file: Rasputin_Special_2_Victim-156.png; posX: -1.869864; posY: 0.1279365}
{file: Rasputin_Special_2_Victim-157.png; posX: -1.957041; posY: 0.1268321}
{file: Rasputin_Special_2_Victim-158.png; posX: -2.053973; posY: 0.1202454}
{file: Rasputin_Special_2_Victim-159.png; posX: -2.155675; posY: 0.1101037}
{file: Rasputin_Special_2_Victim-160.png; posX: -2.256684; posY: 0.09833413}
{file: Rasputin_Special_2_Victim-161.png; posX: -2.356743; posY: 0.08410257}
{file: Rasputin_Special_2_Victim-162.png; posX: -2.455594; posY: 0.06551206}
{file: Rasputin_Special_2_Victim-163.png; posX: -2.552981; posY: 0.04289538}
{file: Rasputin_Special_2_Victim-164.png; posX: -2.648644; posY: 0.01658636}
{file: Rasputin_Special_2_Victim-165.png; posX: -2.742327; posY: -0.01308191}
{file: Rasputin_Special_2_Victim-166.png; posX: -2.833772; posY: -0.04577637}
{file: Rasputin_Special_2_Victim-167.png; posX: -2.922722; posY: -0.08116364}
{file: Rasputin_Special_2_Victim-168.png; posX: -3.008919; posY: -0.1189107}
{file: Rasputin_Special_2_Victim-169.png; posX: -3.09263; posY: -0.1586841}
{file: Rasputin_Special_2_Victim-170.png; posX: -3.174241; posY: -0.2001509}
{file: Rasputin_Special_2_Victim-171.png; posX: -3.253673; posY: -0.2445251}
{file: Rasputin_Special_2_Victim-172.png; posX: -3.330847; posY: -0.2925178}
{file: Rasputin_Special_2_Victim-173.png; posX: -3.405686; posY: -0.343041}
{file: Rasputin_Special_2_Victim-174.png; posX: -3.47811; posY: -0.3950067}
{file: Rasputin_Special_2_Victim-175.png; posX: -3.548042; posY: -0.4466749}
{file: Rasputin_Special_2_Victim-176.png; posX: -3.615403; posY: -0.4951864}
{file: Rasputin_Special_2_Victim-177.png; posX: -3.680115; posY: -0.537776}
{file: Rasputin_Special_2_Victim-178.png; posX: -3.742098; posY: -0.5716763}
{file: Rasputin_Special_2_Victim-179.png; posX: -3.801275; posY: -0.5947242}
{file: Rasputin_Special_2_Victim-180.png; posX: -3.857567; posY: -0.6083226}
{file: Rasputin_Special_2_Victim-181.png; posX: -3.910895; posY: -0.6150556}
{file: Rasputin_Special_2_Victim-182.png; posX: -3.961182; posY: -0.617507}
{file: Rasputin_Special_2_Victim-183.png; posX: -4.011194; posY: -0.617566}
{file: Rasputin_Special_2_Victim-184.png; posX: -4.063258; posY: -0.6149427}
{file: Rasputin_Special_2_Victim-185.png; posX: -4.116628; posY: -0.6089532}
{file: Rasputin_Special_2_Victim-186.png; posX: -4.170561; posY: -0.5994033}
{file: Rasputin_Special_2_Victim-187.png; posX: -4.224314; posY: -0.5878582}
{file: Rasputin_Special_2_Victim-188.png; posX: -4.277143; posY: -0.5762732}
{file: Rasputin_Special_2_Victim-189.png; posX: -4.328305; posY: -0.5666035}
{file: Rasputin_Special_2_Victim-190.png; posX: -4.377055; posY: -0.5608044}
{file: Rasputin_Special_2_Victim-191.png; posX: -4.42265; posY: -0.5608312}
{file: Rasputin_Special_2_Victim-192.png; posX: -4.464346; posY: -0.5686393}
{file: Rasputin_Special_2_Victim-193.png; posX: -4.5014; posY: -0.5851879}
{file: Rasputin_Special_2_Victim-194.png; posX: -4.533068; posY: -0.6069061}
{file: Rasputin_Special_2_Victim-195.png; posX: -4.558606; posY: -0.6289529}
{file: Rasputin_Special_2_Victim-196.png; posX: -4.580727; posY: -0.6464876}
{file: Rasputin_Special_2_Victim-197.png; posX: -4.60257; posY: -0.6562551}
{file: Rasputin_Special_2_Victim-198.png; posX: -4.624028; posY: -0.6597401}
{file: Rasputin_Special_2_Victim-199.png; posX: -4.644996; posY: -0.6592116}
{file: Rasputin_Special_2_Victim-200.png; posX: -4.665368; posY: -0.6569386}
{file: Rasputin_Special_2_Victim-201.png; posX: -4.685039; posY: -0.6547766}
{file: Rasputin_Special_2_Victim-202.png; posX: -4.703902; posY: -0.6534572}
{file: Rasputin_Special_2_Victim-203.png; posX: -4.721854; posY: -0.653563}
{file: Rasputin_Special_2_Victim-204.png; posX: -4.738787; posY: -0.6546543}
{file: Rasputin_Special_2_Victim-205.png; posX: -4.754596; posY: -0.6558849}
{file: Rasputin_Special_2_Victim-206.png; posX: -4.769176; posY: -0.6572282}
{file: Rasputin_Special_2_Victim-207.png; posX: -4.782421; posY: -0.6586573}
{file: Rasputin_Special_2_Victim-208.png; posX: -4.794224; posY: -0.6601456}
{file: Rasputin_Special_2_Victim-209.png; posX: -4.804482; posY: -0.6616663}
{file: Rasputin_Special_2_Victim-210.png; posX: -4.813087; posY: -0.6631927}
{file: Rasputin_Special_2_Victim-211.png; posX: -4.819935; posY: -0.6646981}
{file: Rasputin_Special_2_Victim-212.png; posX: -4.82492; posY: -0.6663039}
{file: Rasputin_Special_2_Victim-213.png; posX: -4.827935; posY: -0.6681053}
{file: Rasputin_Special_2_Victim-214.png; posX: -4.828876; posY: -0.6700365}
{file: Rasputin_Special_2_Victim-215.png; posX: -4.828872; posY: -0.6720317}
{file: Rasputin_Special_2_Victim-216.png; posX: -4.829066; posY: -0.6740249}
{file: Rasputin_Special_2_Victim-217.png; posX: -4.829375; posY: -0.6759504}
{file: Rasputin_Special_2_Victim-218.png; posX: -4.829715; posY: -0.6777422}
{file: Rasputin_Special_2_Victim-219.png; posX: -4.830002; posY: -0.6793346}
{file: Rasputin_Special_2_Victim-220.png; posX: -4.830153; posY: -0.6806616}
{file: Rasputin_Special_2_Victim-221.png; posX: -4.830085; posY: -0.6816263}
{file: Rasputin_Special_2_Victim-222.png; posX: -4.829714; posY: -0.68214}
{file: Rasputin_Special_2_Victim-223.png; posX: -4.828956; posY: -0.6821495}
{file: Rasputin_Special_2_Victim-224.png; posX: -4.827727; posY: -0.6816015}
{file: Rasputin_Special_2_Victim-225.png; posX: -4.825945; posY: -0.6804428}
{file: Rasputin_Special_2_Victim-226.png; posX: -4.823525; posY: -0.6786198}
{file: Rasputin_Special_2_Victim-227.png; posX: -4.820384; posY: -0.6760794}
{file: Rasputin_Special_2_Victim-228.png; posX: -4.816438; posY: -0.6727523}
{file: Rasputin_Special_2_Victim-229.png; posX: -4.811604; posY: -0.6684598}
{file: Rasputin_Special_2_Victim-230.png; posX: -4.805799; posY: -0.6629845}
{file: Rasputin_Special_2_Victim-231.png; posX: -4.798937; posY: -0.6561093}
{file: Rasputin_Special_2_Victim-232.png; posX: -4.790937; posY: -0.6476167}
{file: Rasputin_Special_2_Victim-233.png; posX: -4.781714; posY: -0.6372895}
{file: Rasputin_Special_2_Victim-234.png; posX: -4.771185; posY: -0.6247771}
{file: Rasputin_Special_2_Victim-235.png; posX: -4.759266; posY: -0.6091998}
{file: Rasputin_Special_2_Victim-236.png; posX: -4.745874; posY: -0.5895462}
{file: Rasputin_Special_2_Victim-237.png; posX: -4.730925; posY: -0.5654768}
{file: Rasputin_Special_2_Victim-238.png; posX: -4.714335; posY: -0.538855}
{file: Rasputin_Special_2_Victim-239.png; posX: -4.696021; posY: -0.5119734}
{file: Rasputin_Special_2_Victim-240.png; posX: -4.6759; posY: -0.4856335}
{file: Rasputin_Special_2_Victim-241.png; posX: -4.654338; posY: -0.4591134}
{file: Rasputin_Special_2_Victim-242.png; posX: -4.631845; posY: -0.4324238}
{file: Rasputin_Special_2_Victim-243.png; posX: -4.608552; posY: -0.4055757}
{file: Rasputin_Special_2_Victim-244.png; posX: -4.584585; posY: -0.3785776}
{file: Rasputin_Special_2_Victim-245.png; posX: -4.560075; posY: -0.3514411}
{file: Rasputin_Special_2_Victim-246.png; posX: -4.53515; posY: -0.3241748}
{file: Rasputin_Special_2_Victim-247.png; posX: -4.50994; posY: -0.2967903}
{file: Rasputin_Special_2_Victim-248.png; posX: -4.484573; posY: -0.2683745}
{file: Rasputin_Special_2_Victim-249.png; posX: -4.45918; posY: -0.2383382}
{file: Rasputin_Special_2_Victim-250.png; posX: -4.433887; posY: -0.2071707}
{file: Rasputin_Special_2_Victim-251.png; posX: -4.408827; posY: -0.1753644}
{file: Rasputin_Special_2_Victim-252.png; posX: -4.384126; posY: -0.1434086}
{file: Rasputin_Special_2_Victim-253.png; posX: -4.359914; posY: -0.111796}
{file: Rasputin_Special_2_Victim-254.png; posX: -4.336321; posY: -0.08101547}
{file: Rasputin_Special_2_Victim-255.png; posX: -4.313474; posY: -0.05155903}
{file: Rasputin_Special_2_Victim-256.png; posX: -4.291504; posY: -0.0230999}
{file: Rasputin_Special_2_Victim-257.png; posX: -4.27054; posY: 0.004511476}
{file: Rasputin_Special_2_Victim-258.png; posX: -4.25071; posY: 0.03051305}
{file: Rasputin_Special_2_Victim-259.png; posX: -4.232144; posY: 0.05414581}
{file: Rasputin_Special_2_Victim-260.png; posX: -4.214971; posY: 0.07019037}
{file: Rasputin_Special_2_Victim-261.png; posX: -4.199319; posY: 0.07577646}
{file: Rasputin_Special_2_Victim-262.png; posX: -4.185318; posY: 0.07366371}
{file: Rasputin_Special_2_Victim-263.png; posX: -4.174089; posY: 0.06661224}
{file: Rasputin_Special_2_Victim-264.png; posX: -4.16641; posY: 0.05738264}
{file: Rasputin_Special_2_Victim-265.png; posX: -4.161892; posY: 0.04873443}
{file: Rasputin_Special_2_Victim-266.png; posX: -4.160146; posY: 0.04124069}
{file: Rasputin_Special_2_Victim-267.png; posX: -4.160785; posY: 0.03376245}
{file: Rasputin_Special_2_Victim-268.png; posX: -4.16342; posY: 0.02649355}
{file: Rasputin_Special_2_Victim-269.png; posX: -4.167664; posY: 0.01962721}
{file: Rasputin_Special_2_Victim-270.png; posX: -4.173126; posY: 0.01335716}
{file: Rasputin_Special_2_Victim-271.png; posX: -4.179421; posY: 0.007876992}
{file: Rasputin_Special_2_Victim-272.png; posX: -4.186159; posY: 0.00338006}
{file: Rasputin_Special_2_Victim-273.png; posX: -4.192952; posY: 6.002188E-05}
{file: Rasputin_Special_2_Victim-274.png; posX: -4.199412; posY: -0.002391756}
{file: Rasputin_Special_2_Victim-275.png; posX: -4.205151; posY: -0.004432559}
{file: Rasputin_Special_2_Victim-276.png; posX: -4.209781; posY: -0.00609237}
{file: Rasputin_Special_2_Victim-277.png; posX: -4.212913; posY: -0.00740099}
{file: Rasputin_Special_2_Victim-278.png; posX: -4.214159; posY: -0.0083884}
{file: Rasputin_Special_2_Victim-279.png; posX: -4.214283; posY: -0.009084404}
{file: Rasputin_Special_2_Victim-280.png; posX: -4.214315; posY: -0.009518921}
{file: Rasputin_Special_2_Victim-281.png; posX: -4.214265; posY: -0.009721875}
{file: Rasputin_Special_2_Victim-282.png; posX: -4.214142; posY: -0.009723067}
{file: Rasputin_Special_2_Victim-283.png; posX: -4.213956; posY: -0.009552419}
{file: Rasputin_Special_2_Victim-284.png; posX: -4.213717; posY: -0.009239852}
{file: Rasputin_Special_2_Victim-285.png; posX: -4.213435; posY: -0.008815169}
{file: Rasputin_Special_2_Victim-286.png; posX: -4.21312; posY: -0.008308351}
{file: Rasputin_Special_2_Victim-287.png; posX: -4.21278; posY: -0.007749259}
{file: Rasputin_Special_2_Victim-288.png; posX: -4.212427; posY: -0.007167697}
{file: Rasputin_Special_2_Victim-289.png; posX: -4.212069; posY: -0.006593645}
{file: Rasputin_Special_2_Victim-290.png; posX: -4.211717; posY: -0.006056964}
{file: Rasputin_Special_2_Victim-291.png; posX: -4.21138; posY: -0.005587459}
{file: Rasputin_Special_2_Victim-292.png; posX: -4.211069; posY: -0.005215168}
{file: Rasputin_Special_2_Victim-293.png; posX: -4.210792; posY: -0.004969835}
{file: Rasputin_Special_2_Victim-294.png; posX: -4.210559; posY: -0.004881442}
{file: Rasputin_Special_2_Victim-295.png; posX: -4.210381; posY: -0.004881442}
{file: Rasputin_Special_2_Victim-296.png; posX: -4.210267; posY: -0.004881442}
