{file: DummyMale_Block_Loop-0.png; posX: -0.1283499; posY: 0.8150252}
{file: DummyMale_Block_Loop-29.png; posX: -0.1472359; posY: 0.8265603}
{file: DummyMale_Block_Loop-30.png; posX: -0.1481521; posY: 0.826533}
{file: DummyMale_Block_Loop-31.png; posX: -0.1490993; posY: 0.8264885}
{file: DummyMale_Block_Loop-32.png; posX: -0.1500798; posY: 0.8264514}
{file: DummyMale_Block_Loop-33.png; posX: -0.151091; posY: 0.8264199}
{file: DummyMale_Block_Loop-34.png; posX: -0.1521306; posY: 0.8263922}
{file: DummyMale_Block_Loop-35.png; posX: -0.1531958; posY: 0.8263664}
{file: DummyMale_Block_Loop-36.png; posX: -0.1542843; posY: 0.8263407}
{file: DummyMale_Block_Loop-37.png; posX: -0.1553934; posY: 0.8263133}
{file: DummyMale_Block_Loop-38.png; posX: -0.1565205; posY: 0.8262822}
{file: DummyMale_Block_Loop-39.png; posX: -0.1576632; posY: 0.8262457}
{file: DummyMale_Block_Loop-40.png; posX: -0.1588189; posY: 0.8262019}
{file: DummyMale_Block_Loop-41.png; posX: -0.1599851; posY: 0.826149}
{file: DummyMale_Block_Loop-42.png; posX: -0.1611592; posY: 0.8260852}
{file: DummyMale_Block_Loop-43.png; posX: -0.1623387; posY: 0.8260085}
{file: DummyMale_Block_Loop-44.png; posX: -0.163521; posY: 0.8259172}
{file: DummyMale_Block_Loop-45.png; posX: -0.1647036; posY: 0.8258095}
{file: DummyMale_Block_Loop-46.png; posX: -0.1658839; posY: 0.8256834}
{file: DummyMale_Block_Loop-47.png; posX: -0.1669932; posY: 0.8255069}
{file: DummyMale_Block_Loop-48.png; posX: -0.1679636; posY: 0.8252482}
{file: DummyMale_Block_Loop-49.png; posX: -0.1687934; posY: 0.8249062}
{file: DummyMale_Block_Loop-50.png; posX: -0.1694813; posY: 0.8244799}
{file: DummyMale_Block_Loop-51.png; posX: -0.1700259; posY: 0.8239684}
{file: DummyMale_Block_Loop-52.png; posX: -0.1704256; posY: 0.8233706}
{file: DummyMale_Block_Loop-53.png; posX: -0.1706791; posY: 0.8226857}
{file: DummyMale_Block_Loop-54.png; posX: -0.1707849; posY: 0.8219124}
{file: DummyMale_Block_Loop-55.png; posX: -0.1707415; posY: 0.8210499}
{file: DummyMale_Block_Loop-56.png; posX: -0.1705475; posY: 0.8200973}
{file: DummyMale_Block_Loop-57.png; posX: -0.1702015; posY: 0.8190534}
{file: DummyMale_Block_Loop-58.png; posX: -0.1697021; posY: 0.8179173}
{file: DummyMale_Block_Loop-59.png; posX: -0.1690476; posY: 0.816688}
{file: DummyMale_Block_Loop-60.png; posX: -0.1682368; posY: 0.8153645}
{file: DummyMale_Block_Loop-61.png; posX: -0.1672682; posY: 0.8139459}
{file: DummyMale_Block_Loop-62.png; posX: -0.1661403; posY: 0.812431}
{file: DummyMale_Block_Loop-63.png; posX: -0.1649078; posY: 0.810875}
{file: DummyMale_Block_Loop-64.png; posX: -0.1636287; posY: 0.8093336}
{file: DummyMale_Block_Loop-65.png; posX: -0.1623067; posY: 0.8078087}
{file: DummyMale_Block_Loop-66.png; posX: -0.1609455; posY: 0.8063025}
{file: DummyMale_Block_Loop-67.png; posX: -0.1595487; posY: 0.804817}
{file: DummyMale_Block_Loop-68.png; posX: -0.1581199; posY: 0.8033542}
{file: DummyMale_Block_Loop-69.png; posX: -0.1566629; posY: 0.8019162}
{file: DummyMale_Block_Loop-70.png; posX: -0.1551812; posY: 0.800505}
{file: DummyMale_Block_Loop-71.png; posX: -0.1536785; posY: 0.7991227}
{file: DummyMale_Block_Loop-72.png; posX: -0.1521585; posY: 0.7977712}
{file: DummyMale_Block_Loop-73.png; posX: -0.1506248; posY: 0.7964527}
{file: DummyMale_Block_Loop-74.png; posX: -0.149081; posY: 0.7951692}
{file: DummyMale_Block_Loop-75.png; posX: -0.1475309; posY: 0.7939227}
{file: DummyMale_Block_Loop-76.png; posX: -0.145978; posY: 0.7927153}
{file: DummyMale_Block_Loop-77.png; posX: -0.1444261; posY: 0.791549}
{file: DummyMale_Block_Loop-78.png; posX: -0.1428787; posY: 0.7904258}
{file: DummyMale_Block_Loop-79.png; posX: -0.1413395; posY: 0.7893478}
{file: DummyMale_Block_Loop-80.png; posX: -0.1398122; posY: 0.788317}
{file: DummyMale_Block_Loop-81.png; posX: -0.1383004; posY: 0.7873356}
{file: DummyMale_Block_Loop-82.png; posX: -0.1368078; posY: 0.7864054}
{file: DummyMale_Block_Loop-83.png; posX: -0.135338; posY: 0.7855286}
{file: DummyMale_Block_Loop-84.png; posX: -0.1338947; posY: 0.7847072}
{file: DummyMale_Block_Loop-85.png; posX: -0.1324815; posY: 0.7839433}
{file: DummyMale_Block_Loop-86.png; posX: -0.131102; posY: 0.7832388}
{file: DummyMale_Block_Loop-87.png; posX: -0.129753; posY: 0.7826017}
{file: DummyMale_Block_Loop-88.png; posX: -0.1284303; posY: 0.7820383}
{file: DummyMale_Block_Loop-89.png; posX: -0.1271369; posY: 0.7815474}
{file: DummyMale_Block_Loop-90.png; posX: -0.1258759; posY: 0.7811278}
{file: DummyMale_Block_Loop-91.png; posX: -0.1246504; posY: 0.7807782}
{file: DummyMale_Block_Loop-92.png; posX: -0.1234632; posY: 0.7804973}
{file: DummyMale_Block_Loop-93.png; posX: -0.1223174; posY: 0.7802839}
{file: DummyMale_Block_Loop-94.png; posX: -0.1212161; posY: 0.7801368}
{file: DummyMale_Block_Loop-95.png; posX: -0.1201622; posY: 0.7800546}
{file: DummyMale_Block_Loop-96.png; posX: -0.1191588; posY: 0.7800362}
{file: DummyMale_Block_Loop-97.png; posX: -0.1182089; posY: 0.7800803}
{file: DummyMale_Block_Loop-98.png; posX: -0.1173155; posY: 0.7801856}
{file: DummyMale_Block_Loop-99.png; posX: -0.1164816; posY: 0.7803509}
{file: DummyMale_Block_Loop-100.png; posX: -0.1157102; posY: 0.7805749}
{file: DummyMale_Block_Loop-101.png; posX: -0.1150044; posY: 0.7808563}
{file: DummyMale_Block_Loop-102.png; posX: -0.1143672; posY: 0.781194}
{file: DummyMale_Block_Loop-103.png; posX: -0.1138015; posY: 0.7815867}
{file: DummyMale_Block_Loop-104.png; posX: -0.1133104; posY: 0.7820331}
{file: DummyMale_Block_Loop-105.png; posX: -0.112897; posY: 0.7825319}
{file: DummyMale_Block_Loop-106.png; posX: -0.1125641; posY: 0.783082}
{file: DummyMale_Block_Loop-107.png; posX: -0.112315; posY: 0.783682}
{file: DummyMale_Block_Loop-108.png; posX: -0.1121524; posY: 0.7843308}
{file: DummyMale_Block_Loop-109.png; posX: -0.1120796; posY: 0.785027}
{file: DummyMale_Block_Loop-110.png; posX: -0.1120994; posY: 0.7857693}
{file: DummyMale_Block_Loop-111.png; posX: -0.112215; posY: 0.7865567}
{file: DummyMale_Block_Loop-112.png; posX: -0.1124293; posY: 0.7873877}
{file: DummyMale_Block_Loop-113.png; posX: -0.1127453; posY: 0.7882612}
{file: DummyMale_Block_Loop-114.png; posX: -0.1131266; posY: 0.7891615}
{file: DummyMale_Block_Loop-115.png; posX: -0.113534; posY: 0.7900745}
{file: DummyMale_Block_Loop-116.png; posX: -0.1139661; posY: 0.7909996}
{file: DummyMale_Block_Loop-117.png; posX: -0.1144215; posY: 0.7919361}
{file: DummyMale_Block_Loop-118.png; posX: -0.1148991; posY: 0.7928833}
{file: DummyMale_Block_Loop-119.png; posX: -0.1153975; posY: 0.7938405}
{file: DummyMale_Block_Loop-120.png; posX: -0.1159154; posY: 0.794807}
{file: DummyMale_Block_Loop-121.png; posX: -0.1164514; posY: 0.7957821}
{file: DummyMale_Block_Loop-122.png; posX: -0.1170043; posY: 0.7967651}
{file: DummyMale_Block_Loop-123.png; posX: -0.1175727; posY: 0.7977554}
{file: DummyMale_Block_Loop-124.png; posX: -0.1181554; posY: 0.7987522}
{file: DummyMale_Block_Loop-125.png; posX: -0.1187511; posY: 0.7997549}
{file: DummyMale_Block_Loop-126.png; posX: -0.1193584; posY: 0.8007627}
{file: DummyMale_Block_Loop-127.png; posX: -0.119976; posY: 0.801775}
{file: DummyMale_Block_Loop-128.png; posX: -0.1206026; posY: 0.802791}
{file: DummyMale_Block_Loop-129.png; posX: -0.121237; posY: 0.8038101}
{file: DummyMale_Block_Loop-130.png; posX: -0.1218778; posY: 0.8048316}
{file: DummyMale_Block_Loop-131.png; posX: -0.1225236; posY: 0.8058548}
{file: DummyMale_Block_Loop-132.png; posX: -0.1231733; posY: 0.806879}
{file: DummyMale_Block_Loop-133.png; posX: -0.1238254; posY: 0.8079035}
{file: DummyMale_Block_Loop-134.png; posX: -0.1244787; posY: 0.8089276}
{file: DummyMale_Block_Loop-135.png; posX: -0.1251319; posY: 0.8099506}
{file: DummyMale_Block_Loop-136.png; posX: -0.1257836; posY: 0.8109719}
{file: DummyMale_Block_Loop-137.png; posX: -0.1264326; posY: 0.8119906}
{file: DummyMale_Block_Loop-138.png; posX: -0.1270775; posY: 0.8130062}
{file: DummyMale_Block_Loop-139.png; posX: -0.127717; posY: 0.814018}
