{file: Rasputin_Special_1-0.png; posX: 2.980232E-10; posY: 0}
{file: Rasputin_Special_1-134.png; posX: 0.0008750258; posY: -0.01321161}
{file: Rasputin_Special_1-135.png; posX: 0.001708618; posY: -0.01161319}
{file: Rasputin_Special_1-136.png; posX: 0.002161893; posY: -0.0101046}
{file: Rasputin_Special_1-137.png; posX: 0.002289185; posY: -0.008675337}
{file: Rasputin_Special_1-138.png; posX: 0.002162511; posY: -0.007314742}
{file: Rasputin_Special_1-139.png; posX: 0.001853893; posY: -0.006012261}
{file: Rasputin_Special_1-140.png; posX: 0.001435353; posY: -0.004757226}
{file: Rasputin_Special_1-141.png; posX: 0.0009789078; posY: -0.003539085}
{file: Rasputin_Special_1-142.png; posX: 0.0005388874; posY: -0.002347231}
{file: Rasputin_Special_1-143.png; posX: 0.0001898475; posY: -0.001171052}
