{file: Rasputin_Light_Combo_Part_2-0.png; posX: 0.2307926; posY: 0}
{file: Rasputin_Light_Combo_Part_2-49.png; posX: 1.575442; posY: -0.006281734}
{file: Rasputin_Light_Combo_Part_2-50.png; posX: 1.579097; posY: -0.007325768}
{file: Rasputin_Light_Combo_Part_2-51.png; posX: 1.583148; posY: -0.009313107}
{file: Rasputin_Light_Combo_Part_2-52.png; posX: 1.58783; posY: -0.01208174}
{file: Rasputin_Light_Combo_Part_2-53.png; posX: 1.593026; posY: -0.01546949}
{file: Rasputin_Light_Combo_Part_2-54.png; posX: 1.598619; posY: -0.01931429}
{file: Rasputin_Light_Combo_Part_2-55.png; posX: 1.604493; posY: -0.02345407}
{file: Rasputin_Light_Combo_Part_2-56.png; posX: 1.61053; posY: -0.02772677}
{file: Rasputin_Light_Combo_Part_2-57.png; posX: 1.616614; posY: -0.03197032}
{file: Rasputin_Light_Combo_Part_2-58.png; posX: 1.622628; posY: -0.03602254}
{file: Rasputin_Light_Combo_Part_2-59.png; posX: 1.628454; posY: -0.03972143}
{file: Rasputin_Light_Combo_Part_2-60.png; posX: 1.633977; posY: -0.04290485}
{file: Rasputin_Light_Combo_Part_2-61.png; posX: 1.639079; posY: -0.04541081}
{file: Rasputin_Light_Combo_Part_2-62.png; posX: 1.643643; posY: -0.04707712}
{file: Rasputin_Light_Combo_Part_2-63.png; posX: 1.647552; posY: -0.04774177}
{file: Rasputin_Light_Combo_Part_2-64.png; posX: 1.650691; posY: -0.04724264}
{file: Rasputin_Light_Combo_Part_2-65.png; posX: 1.65294; posY: -0.04616219}
{file: Rasputin_Light_Combo_Part_2-66.png; posX: 1.654185; posY: -0.04519546}
{file: Rasputin_Light_Combo_Part_2-67.png; posX: 1.654808; posY: -0.04434931}
{file: Rasputin_Light_Combo_Part_2-68.png; posX: 1.655277; posY: -0.0436306}
{file: Rasputin_Light_Combo_Part_2-69.png; posX: 1.655599; posY: -0.04304612}
{file: Rasputin_Light_Combo_Part_2-70.png; posX: 1.655782; posY: -0.04260278}
{file: Rasputin_Light_Combo_Part_2-71.png; posX: 1.655834; posY: -0.04230732}
{file: Rasputin_Light_Combo_Part_2-72.png; posX: 1.655764; posY: -0.04216665}
