{file: DummyMale_Idle-0.png; posX: -2.980232E-10; posY: 0.7710029}
{file: DummyMale_Idle-61.png; posX: 0.05814337; posY: 0.7484209}
{file: DummyMale_Idle-62.png; posX: 0.05946317; posY: 0.7475001}
{file: DummyMale_Idle-63.png; posX: 0.05967057; posY: 0.7471063}
{file: DummyMale_Idle-64.png; posX: 0.05848083; posY: 0.7473578}
{file: DummyMale_Idle-65.png; posX: 0.05605828; posY: 0.7482123}
{file: DummyMale_Idle-66.png; posX: 0.05283806; posY: 0.7494977}
{file: DummyMale_Idle-67.png; posX: 0.04894126; posY: 0.7511395}
{file: DummyMale_Idle-68.png; posX: 0.04448893; posY: 0.7530626}
{file: DummyMale_Idle-69.png; posX: 0.03960211; posY: 0.7551925}
{file: DummyMale_Idle-70.png; posX: 0.03440185; posY: 0.7574543}
{file: DummyMale_Idle-71.png; posX: 0.02894803; posY: 0.7598001}
{file: DummyMale_Idle-72.png; posX: 0.02327427; posY: 0.762192}
{file: DummyMale_Idle-73.png; posX: 0.01746261; posY: 0.7645683}
{file: DummyMale_Idle-74.png; posX: 0.01159518; posY: 0.7668673}
{file: DummyMale_Idle-75.png; posX: 0.005754024; posY: 0.7690272}
{file: DummyMale_Idle-76.png; posX: -4.398463E-08; posY: 0.7710029}
{file: DummyMale_Idle-77.png; posX: -0.006461685; posY: 0.772994}
{file: DummyMale_Idle-78.png; posX: -0.01403601; posY: 0.7750992}
{file: DummyMale_Idle-79.png; posX: -0.02222604; posY: 0.7771567}
{file: DummyMale_Idle-80.png; posX: -0.03034355; posY: 0.7789435}
{file: DummyMale_Idle-81.png; posX: -0.03770014; posY: 0.7802367}
{file: DummyMale_Idle-82.png; posX: -0.04377387; posY: 0.780862}
{file: DummyMale_Idle-83.png; posX: -0.04865249; posY: 0.7808462}
{file: DummyMale_Idle-84.png; posX: -0.05256246; posY: 0.7802676}
{file: DummyMale_Idle-85.png; posX: -0.05573025; posY: 0.7792043}
{file: DummyMale_Idle-86.png; posX: -0.05838235; posY: 0.7777344}
{file: DummyMale_Idle-87.png; posX: -0.06074524; posY: 0.7759361}
{file: DummyMale_Idle-88.png; posX: -0.06288932; posY: 0.7737634}
{file: DummyMale_Idle-89.png; posX: -0.06474426; posY: 0.7711718}
{file: DummyMale_Idle-90.png; posX: -0.06632584; posY: 0.7682395}
{file: DummyMale_Idle-91.png; posX: -0.06764984; posY: 0.7650445}
{file: DummyMale_Idle-92.png; posX: -0.06873202; posY: 0.761665}
{file: DummyMale_Idle-93.png; posX: -0.06958812; posY: 0.7581789}
{file: DummyMale_Idle-94.png; posX: -0.07023395; posY: 0.7546644}
{file: DummyMale_Idle-95.png; posX: -0.07068523; posY: 0.7511995}
{file: DummyMale_Idle-96.png; posX: -0.07086598; posY: 0.7480286}
{file: DummyMale_Idle-97.png; posX: -0.07072071; posY: 0.745344}
{file: DummyMale_Idle-98.png; posX: -0.070296; posY: 0.7431439}
{file: DummyMale_Idle-99.png; posX: -0.06963842; posY: 0.7414263}
{file: DummyMale_Idle-100.png; posX: -0.06879455; posY: 0.7401893}
{file: DummyMale_Idle-101.png; posX: -0.06781096; posY: 0.7394311}
{file: DummyMale_Idle-102.png; posX: -0.06654684; posY: 0.7392179}
{file: DummyMale_Idle-103.png; posX: -0.06483027; posY: 0.7396159}
{file: DummyMale_Idle-104.png; posX: -0.06266127; posY: 0.7406206}
{file: DummyMale_Idle-105.png; posX: -0.06003981; posY: 0.7422277}
{file: DummyMale_Idle-106.png; posX: -0.05696591; posY: 0.7444327}
{file: DummyMale_Idle-107.png; posX: -0.05343958; posY: 0.7472313}
{file: DummyMale_Idle-108.png; posX: -0.04959938; posY: 0.7503656}
{file: DummyMale_Idle-109.png; posX: -0.04555736; posY: 0.753566}
{file: DummyMale_Idle-110.png; posX: -0.04127374; posY: 0.7568114}
{file: DummyMale_Idle-111.png; posX: -0.03670876; posY: 0.7600809}
{file: DummyMale_Idle-112.png; posX: -0.03182267; posY: 0.7633531}
{file: DummyMale_Idle-113.png; posX: -0.02681268; posY: 0.7663947}
{file: DummyMale_Idle-114.png; posX: -0.0222418; posY: 0.7687519}
{file: DummyMale_Idle-115.png; posX: -0.01833399; posY: 0.7704132}
{file: DummyMale_Idle-116.png; posX: -0.01483177; posY: 0.7716433}
{file: DummyMale_Idle-117.png; posX: -0.01152195; posY: 0.7725096}
{file: DummyMale_Idle-118.png; posX: -0.008191369; posY: 0.7730793}
{file: DummyMale_Idle-119.png; posX: -0.004626859; posY: 0.7734199}
{file: DummyMale_Idle-120.png; posX: -0.0006846947; posY: 0.7735419}
{file: DummyMale_Idle-121.png; posX: 0.003828517; posY: 0.7733811}
{file: DummyMale_Idle-122.png; posX: 0.008790754; posY: 0.7729232}
{file: DummyMale_Idle-123.png; posX: 0.01398597; posY: 0.7721949}
{file: DummyMale_Idle-124.png; posX: 0.0191147; posY: 0.7712337}
{file: DummyMale_Idle-125.png; posX: 0.02387743; posY: 0.770077}
{file: DummyMale_Idle-126.png; posX: 0.02804; posY: 0.7686362}
{file: DummyMale_Idle-127.png; posX: 0.03163809; posY: 0.7668678}
{file: DummyMale_Idle-128.png; posX: 0.03477636; posY: 0.7648764}
{file: DummyMale_Idle-129.png; posX: 0.03755947; posY: 0.7627668}
{file: DummyMale_Idle-130.png; posX: 0.04009208; posY: 0.7606436}
{file: DummyMale_Idle-131.png; posX: 0.04247887; posY: 0.7586117}
{file: DummyMale_Idle-132.png; posX: 0.04482451; posY: 0.7567756}
{file: DummyMale_Idle-133.png; posX: 0.04743507; posY: 0.7549998}
{file: DummyMale_Idle-134.png; posX: 0.050357; posY: 0.7531577}
{file: DummyMale_Idle-135.png; posX: 0.05330555; posY: 0.751368}
{file: DummyMale_Idle-136.png; posX: 0.05599595; posY: 0.7497492}
{file: DummyMale_Idle-137.png; posX: 0.05814344; posY: 0.7484201}
{file: DummyMale_Idle-138.png; posX: 0.05946325; posY: 0.7474994}
{file: DummyMale_Idle-139.png; posX: 0.05967063; posY: 0.7471058}
{file: DummyMale_Idle-140.png; posX: 0.0584808; posY: 0.7473578}
{file: DummyMale_Idle-141.png; posX: 0.05605836; posY: 0.7482122}
{file: DummyMale_Idle-142.png; posX: 0.05283822; posY: 0.7494976}
{file: DummyMale_Idle-143.png; posX: 0.04894145; posY: 0.7511393}
{file: DummyMale_Idle-144.png; posX: 0.04448909; posY: 0.7530625}
{file: DummyMale_Idle-145.png; posX: 0.03960222; posY: 0.7551925}
{file: DummyMale_Idle-146.png; posX: 0.03440181; posY: 0.7574543}
{file: DummyMale_Idle-147.png; posX: 0.0289477; posY: 0.7598008}
{file: DummyMale_Idle-148.png; posX: 0.02327385; posY: 0.7621929}
{file: DummyMale_Idle-149.png; posX: 0.01746228; posY: 0.764569}
{file: DummyMale_Idle-150.png; posX: 0.01159501; posY: 0.7668678}
{file: DummyMale_Idle-151.png; posX: 0.00575405; posY: 0.7690274}
{file: DummyMale_Idle-152.png; posX: -8.767389E-08; posY: 0.7710029}
{file: DummyMale_Idle-153.png; posX: -0.006461694; posY: 0.772994}
{file: DummyMale_Idle-154.png; posX: -0.01403589; posY: 0.7750992}
{file: DummyMale_Idle-155.png; posX: -0.02222597; posY: 0.7771568}
{file: DummyMale_Idle-156.png; posX: -0.03034354; posY: 0.7789437}
{file: DummyMale_Idle-157.png; posX: -0.03770023; posY: 0.7802367}
{file: DummyMale_Idle-158.png; posX: -0.04377386; posY: 0.7808617}
{file: DummyMale_Idle-159.png; posX: -0.04865244; posY: 0.780846}
{file: DummyMale_Idle-160.png; posX: -0.05256234; posY: 0.7802677}
{file: DummyMale_Idle-161.png; posX: -0.05573012; posY: 0.7792046}
{file: DummyMale_Idle-162.png; posX: -0.05838227; posY: 0.7777348}
{file: DummyMale_Idle-163.png; posX: -0.06074527; posY: 0.7759359}
{file: DummyMale_Idle-164.png; posX: -0.06288936; posY: 0.7737631}
{file: DummyMale_Idle-165.png; posX: -0.06474432; posY: 0.7711715}
{file: DummyMale_Idle-166.png; posX: -0.0663259; posY: 0.7682392}
{file: DummyMale_Idle-167.png; posX: -0.06764989; posY: 0.7650443}
{file: DummyMale_Idle-168.png; posX: -0.06873205; posY: 0.7616648}
{file: DummyMale_Idle-169.png; posX: -0.06958814; posY: 0.7581788}
{file: DummyMale_Idle-170.png; posX: -0.07023395; posY: 0.7546643}
{file: DummyMale_Idle-171.png; posX: -0.07068524; posY: 0.7511994}
{file: DummyMale_Idle-172.png; posX: -0.07086597; posY: 0.7480286}
{file: DummyMale_Idle-173.png; posX: -0.07072069; posY: 0.745344}
{file: DummyMale_Idle-174.png; posX: -0.07029596; posY: 0.7431439}
{file: DummyMale_Idle-175.png; posX: -0.06963837; posY: 0.7414262}
{file: DummyMale_Idle-176.png; posX: -0.06879451; posY: 0.7401893}
{file: DummyMale_Idle-177.png; posX: -0.06781096; posY: 0.7394311}
{file: DummyMale_Idle-178.png; posX: -0.06654682; posY: 0.7392179}
{file: DummyMale_Idle-179.png; posX: -0.06483021; posY: 0.7396158}
{file: DummyMale_Idle-180.png; posX: -0.06266116; posY: 0.7406204}
{file: DummyMale_Idle-181.png; posX: -0.06003968; posY: 0.7422275}
{file: DummyMale_Idle-182.png; posX: -0.0569658; posY: 0.7444326}
{file: DummyMale_Idle-183.png; posX: -0.05343955; posY: 0.7472314}
{file: DummyMale_Idle-184.png; posX: -0.04959949; posY: 0.7503651}
{file: DummyMale_Idle-185.png; posX: -0.04555748; posY: 0.7535653}
{file: DummyMale_Idle-186.png; posX: -0.04127381; posY: 0.7568107}
{file: DummyMale_Idle-187.png; posX: -0.03670871; posY: 0.7600804}
{file: DummyMale_Idle-188.png; posX: -0.03182263; posY: 0.7633532}
{file: DummyMale_Idle-189.png; posX: -0.02681259; posY: 0.7663947}
{file: DummyMale_Idle-190.png; posX: -0.02224177; posY: 0.7687519}
{file: DummyMale_Idle-191.png; posX: -0.01833401; posY: 0.7704132}
{file: DummyMale_Idle-192.png; posX: -0.01483183; posY: 0.7716433}
{file: DummyMale_Idle-193.png; posX: -0.01152204; posY: 0.7725096}
{file: DummyMale_Idle-194.png; posX: -0.008191436; posY: 0.7730793}
{file: DummyMale_Idle-195.png; posX: -0.004626832; posY: 0.7734199}
{file: DummyMale_Idle-196.png; posX: -0.0006846947; posY: 0.7735419}
{file: DummyMale_Idle-197.png; posX: 0.003828571; posY: 0.7733811}
{file: DummyMale_Idle-198.png; posX: 0.008790895; posY: 0.772923}
{file: DummyMale_Idle-199.png; posX: 0.01398597; posY: 0.772195}
{file: DummyMale_Idle-200.png; posX: 0.01911456; posY: 0.771234}
{file: DummyMale_Idle-201.png; posX: 0.02387745; posY: 0.770077}
{file: DummyMale_Idle-202.png; posX: 0.02804017; posY: 0.7686363}
{file: DummyMale_Idle-203.png; posX: 0.03163829; posY: 0.766868}
{file: DummyMale_Idle-204.png; posX: 0.03477649; posY: 0.7648766}
{file: DummyMale_Idle-205.png; posX: 0.03755951; posY: 0.7627669}
{file: DummyMale_Idle-206.png; posX: 0.04009204; posY: 0.7606437}
{file: DummyMale_Idle-207.png; posX: 0.04247881; posY: 0.7586117}
{file: DummyMale_Idle-208.png; posX: 0.04482451; posY: 0.7567756}
{file: DummyMale_Idle-209.png; posX: 0.04743522; posY: 0.7549994}
{file: DummyMale_Idle-210.png; posX: 0.05035726; posY: 0.7531573}
{file: DummyMale_Idle-211.png; posX: 0.05330586; posY: 0.7513677}
{file: DummyMale_Idle-212.png; posX: 0.05599627; posY: 0.7497492}
{file: DummyMale_Idle-213.png; posX: 0.05814373; posY: 0.7484204}
{file: DummyMale_Idle-214.png; posX: 0.05946348; posY: 0.7474999}
{file: DummyMale_Idle-215.png; posX: 0.05967075; posY: 0.7471062}
{file: DummyMale_Idle-216.png; posX: 0.05848078; posY: 0.7473578}
{file: DummyMale_Idle-217.png; posX: 0.05605821; posY: 0.7482123}
{file: DummyMale_Idle-218.png; posX: 0.0528379; posY: 0.7494978}
{file: DummyMale_Idle-219.png; posX: 0.04894099; posY: 0.7511396}
{file: DummyMale_Idle-220.png; posX: 0.04448859; posY: 0.7530628}
{file: DummyMale_Idle-221.png; posX: 0.03960182; posY: 0.7551926}
{file: DummyMale_Idle-222.png; posX: 0.03440181; posY: 0.7574543}
{file: DummyMale_Idle-223.png; posX: 0.02894808; posY: 0.7598004}
{file: DummyMale_Idle-224.png; posX: 0.0232744; posY: 0.7621923}
{file: DummyMale_Idle-225.png; posX: 0.01746278; posY: 0.7645684}
{file: DummyMale_Idle-226.png; posX: 0.01159528; posY: 0.7668673}
{file: DummyMale_Idle-227.png; posX: 0.005753917; posY: 0.7690274}
{file: DummyMale_Idle-228.png; posX: -8.766727E-08; posY: 0.7710029}
{file: DummyMale_Idle-229.png; posX: -0.006461876; posY: 0.7729942}
{file: DummyMale_Idle-230.png; posX: -0.0140363; posY: 0.775099}
{file: DummyMale_Idle-231.png; posX: -0.02222629; posY: 0.7771565}
{file: DummyMale_Idle-232.png; posX: -0.03034365; posY: 0.7789434}
{file: DummyMale_Idle-233.png; posX: -0.03770015; posY: 0.7802367}
{file: DummyMale_Idle-234.png; posX: -0.04377384; posY: 0.7808616}
{file: DummyMale_Idle-235.png; posX: -0.04865244; posY: 0.7808457}
{file: DummyMale_Idle-236.png; posX: -0.05256243; posY: 0.7802672}
{file: DummyMale_Idle-237.png; posX: -0.05573026; posY: 0.779204}
{file: DummyMale_Idle-238.png; posX: -0.05838238; posY: 0.7777343}
{file: DummyMale_Idle-239.png; posX: -0.06074524; posY: 0.7759361}
{file: DummyMale_Idle-240.png; posX: -0.06288926; posY: 0.7737638}
{file: DummyMale_Idle-241.png; posX: -0.06474414; posY: 0.7711725}
{file: DummyMale_Idle-242.png; posX: -0.06632574; posY: 0.7682402}
{file: DummyMale_Idle-243.png; posX: -0.06764974; posY: 0.7650451}
{file: DummyMale_Idle-244.png; posX: -0.06873196; posY: 0.7616653}
{file: DummyMale_Idle-245.png; posX: -0.06958809; posY: 0.7581791}
{file: DummyMale_Idle-246.png; posX: -0.07023394; posY: 0.7546644}
{file: DummyMale_Idle-247.png; posX: -0.07068523; posY: 0.7511995}
{file: DummyMale_Idle-248.png; posX: -0.07086603; posY: 0.7480283}
{file: DummyMale_Idle-249.png; posX: -0.07072078; posY: 0.7453437}
{file: DummyMale_Idle-250.png; posX: -0.07029607; posY: 0.7431436}
{file: DummyMale_Idle-251.png; posX: -0.06963847; posY: 0.7414261}
{file: DummyMale_Idle-252.png; posX: -0.06879458; posY: 0.7401893}
{file: DummyMale_Idle-253.png; posX: -0.06781095; posY: 0.7394311}
{file: DummyMale_Idle-254.png; posX: -0.06654678; posY: 0.7392175}
{file: DummyMale_Idle-255.png; posX: -0.06483034; posY: 0.7396152}
{file: DummyMale_Idle-256.png; posX: -0.06266158; posY: 0.7406199}
{file: DummyMale_Idle-257.png; posX: -0.06004023; posY: 0.7422272}
{file: DummyMale_Idle-258.png; posX: -0.0569663; posY: 0.7444324}
{file: DummyMale_Idle-259.png; posX: -0.05343949; posY: 0.7472314}
{file: DummyMale_Idle-260.png; posX: -0.04959933; posY: 0.7503655}
{file: DummyMale_Idle-261.png; posX: -0.04555725; posY: 0.7535657}
{file: DummyMale_Idle-262.png; posX: -0.04127371; posY: 0.756811}
{file: DummyMale_Idle-263.png; posX: -0.03670871; posY: 0.7600805}
{file: DummyMale_Idle-264.png; posX: -0.03182256; posY: 0.7633532}
{file: DummyMale_Idle-265.png; posX: -0.02681242; posY: 0.7663947}
{file: DummyMale_Idle-266.png; posX: -0.02224171; posY: 0.768752}
{file: DummyMale_Idle-267.png; posX: -0.01833353; posY: 0.7704133}
{file: DummyMale_Idle-268.png; posX: -0.01483117; posY: 0.7716434}
{file: DummyMale_Idle-269.png; posX: -0.01152154; posY: 0.7725096}
{file: DummyMale_Idle-270.png; posX: -0.008191162; posY: 0.7730794}
{file: DummyMale_Idle-271.png; posX: -0.004626929; posY: 0.7734199}
{file: DummyMale_Idle-272.png; posX: -0.0006846342; posY: 0.7735419}
{file: DummyMale_Idle-273.png; posX: 0.003828503; posY: 0.7733811}
{file: DummyMale_Idle-274.png; posX: 0.008791464; posY: 0.772923}
{file: DummyMale_Idle-275.png; posX: 0.01398652; posY: 0.772195}
{file: DummyMale_Idle-276.png; posX: 0.01911491; posY: 0.771234}
{file: DummyMale_Idle-277.png; posX: 0.02387745; posY: 0.770077}
{file: DummyMale_Idle-278.png; posX: 0.02804065; posY: 0.7686365}
{file: DummyMale_Idle-279.png; posX: 0.03163893; posY: 0.7668682}
{file: DummyMale_Idle-280.png; posX: 0.03477694; posY: 0.764877}
{file: DummyMale_Idle-281.png; posX: 0.03755972; posY: 0.7627675}
{file: DummyMale_Idle-282.png; posX: 0.04009196; posY: 0.7606443}
{file: DummyMale_Idle-283.png; posX: 0.04247866; posY: 0.7586121}
{file: DummyMale_Idle-284.png; posX: 0.04482455; posY: 0.7567755}
{file: DummyMale_Idle-285.png; posX: 0.04743849; posY: 0.7550003}
{file: DummyMale_Idle-286.png; posX: 0.05036855; posY: 0.7531595}
{file: DummyMale_Idle-287.png; posX: 0.05332725; posY: 0.7513713}
{file: DummyMale_Idle-288.png; posX: 0.05602676; posY: 0.7497539}
{file: DummyMale_Idle-289.png; posX: 0.05817958; posY: 0.7484255}
{file: DummyMale_Idle-290.png; posX: 0.05949793; posY: 0.7475047}
{file: DummyMale_Idle-291.png; posX: 0.05969423; posY: 0.7471093}
{file: DummyMale_Idle-292.png; posX: 0.05848078; posY: 0.7473578}
{file: DummyMale_Idle-293.png; posX: 0.05598348; posY: 0.7481968}
{file: DummyMale_Idle-294.png; posX: 0.05261391; posY: 0.7494499}
{file: DummyMale_Idle-295.png; posX: 0.04851175; posY: 0.7510512}
{file: DummyMale_Idle-296.png; posX: 0.04381626; posY: 0.7529349}
{file: DummyMale_Idle-297.png; posX: 0.0386672; posY: 0.7550349}
{file: DummyMale_Idle-298.png; posX: 0.03320377; posY: 0.7572855}
{file: DummyMale_Idle-299.png; posX: 0.02756577; posY: 0.7596207}
{file: DummyMale_Idle-300.png; posX: 0.02184012; posY: 0.761999}
{file: DummyMale_Idle-301.png; posX: 0.01610078; posY: 0.7643836}
{file: DummyMale_Idle-302.png; posX: 0.01047092; posY: 0.7667157}
{file: DummyMale_Idle-303.png; posX: 0.005074391; posY: 0.7689363}
