{file: Rasputin_Special_2_Part_2-0.png; pivotX: 78.53359; pivotY: 347.5826}
{file: Rasputin_Special_2_Part_2-145.png; pivotX: 121.3944; pivotY: 496.8455}
{file: Rasputin_Special_2_Part_2-146.png; pivotX: 123.4285; pivotY: 460.4774}
{file: Rasputin_Special_2_Part_2-147.png; pivotX: 122.2216; pivotY: 407.4346}
{file: Rasputin_Special_2_Part_2-148.png; pivotX: 112.1461; pivotY: 337.994}
{file: Rasputin_Special_2_Part_2-149.png; pivotX: 193.9208; pivotY: 327.7552}
{file: Rasputin_Special_2_Part_2-150.png; pivotX: 199.74; pivotY: 321.6942}
{file: Rasputin_Special_2_Part_2-151.png; pivotX: 126.6916; pivotY: 348.739}
{file: Rasputin_Special_2_Part_2-152.png; pivotX: 130.5786; pivotY: 396.8712}
{file: Rasputin_Special_2_Part_2-153.png; pivotX: 135.5919; pivotY: 240.156}
{file: Rasputin_Special_2_Part_2-154.png; pivotX: 129.2028; pivotY: 233.1197}
{file: Rasputin_Special_2_Part_2-155.png; pivotX: 131.702; pivotY: 233.4473}
{file: Rasputin_Special_2_Part_2-156.png; pivotX: 134.2264; pivotY: 283.7013}
{file: Rasputin_Special_2_Part_2-157.png; pivotX: 136.2337; pivotY: 292.5493}
{file: Rasputin_Special_2_Part_2-158.png; pivotX: 137.0123; pivotY: 299.3309}
{file: Rasputin_Special_2_Part_2-159.png; pivotX: 137.5373; pivotY: 303.1685}
{file: Rasputin_Special_2_Part_2-160.png; pivotX: 137.6539; pivotY: 307.0319}
{file: Rasputin_Special_2_Part_2-161.png; pivotX: 137.98; pivotY: 310.0493}
{file: Rasputin_Special_2_Part_2-162.png; pivotX: 137.93; pivotY: 313.1137}
{file: Rasputin_Special_2_Part_2-163.png; pivotX: 138.3974; pivotY: 316.1836}
{file: Rasputin_Special_2_Part_2-164.png; pivotX: 138.2616; pivotY: 319.2499}
{file: Rasputin_Special_2_Part_2-165.png; pivotX: 138.3575; pivotY: 324.2002}
{file: Rasputin_Special_2_Part_2-166.png; pivotX: 138.0785; pivotY: 329.1452}
{file: Rasputin_Special_2_Part_2-167.png; pivotX: 137.4937; pivotY: 335.1875}
{file: Rasputin_Special_2_Part_2-168.png; pivotX: 137.0919; pivotY: 341.3521}
{file: Rasputin_Special_2_Part_2-169.png; pivotX: 135.7168; pivotY: 352.4686}
{file: Rasputin_Special_2_Part_2-170.png; pivotX: 134.3549; pivotY: 353.6187}
{file: Rasputin_Special_2_Part_2-171.png; pivotX: 132.9527; pivotY: 238.058}
{file: Rasputin_Special_2_Part_2-172.png; pivotX: 130.8672; pivotY: 238.0368}
{file: Rasputin_Special_2_Part_2-173.png; pivotX: 128.568; pivotY: 241.9121}
{file: Rasputin_Special_2_Part_2-174.png; pivotX: 126.1865; pivotY: 244.9238}
{file: Rasputin_Special_2_Part_2-175.png; pivotX: 123.6531; pivotY: 248.1995}
{file: Rasputin_Special_2_Part_2-176.png; pivotX: 121.0044; pivotY: 251.6788}
{file: Rasputin_Special_2_Part_2-177.png; pivotX: 120.0561; pivotY: 255.3345}
{file: Rasputin_Special_2_Part_2-178.png; pivotX: 119.5929; pivotY: 259.1671}
{file: Rasputin_Special_2_Part_2-179.png; pivotX: 117.9324; pivotY: 262.8452}
{file: Rasputin_Special_2_Part_2-180.png; pivotX: 116.5458; pivotY: 266.5682}
{file: Rasputin_Special_2_Part_2-181.png; pivotX: 113.9189; pivotY: 270.2741}
{file: Rasputin_Special_2_Part_2-182.png; pivotX: 111.1484; pivotY: 274.6326}
{file: Rasputin_Special_2_Part_2-183.png; pivotX: 107.9027; pivotY: 279.2566}
{file: Rasputin_Special_2_Part_2-184.png; pivotX: 104.2637; pivotY: 283.396}
{file: Rasputin_Special_2_Part_2-185.png; pivotX: 100.2848; pivotY: 287.1487}
{file: Rasputin_Special_2_Part_2-186.png; pivotX: 96.29184; pivotY: 291.3923}
{file: Rasputin_Special_2_Part_2-187.png; pivotX: 93.60191; pivotY: 295.0987}
{file: Rasputin_Special_2_Part_2-188.png; pivotX: 91.45862; pivotY: 298.9157}
{file: Rasputin_Special_2_Part_2-189.png; pivotX: 93.38975; pivotY: 302.6204}
{file: Rasputin_Special_2_Part_2-190.png; pivotX: 94.80324; pivotY: 305.1632}
{file: Rasputin_Special_2_Part_2-191.png; pivotX: 95.66998; pivotY: 308.1587}
{file: Rasputin_Special_2_Part_2-192.png; pivotX: 95.61169; pivotY: 311.4023}
{file: Rasputin_Special_2_Part_2-193.png; pivotX: 96.08253; pivotY: 313.7516}
{file: Rasputin_Special_2_Part_2-194.png; pivotX: 97.12251; pivotY: 314.956}
{file: Rasputin_Special_2_Part_2-195.png; pivotX: 97.74129; pivotY: 317.5473}
{file: Rasputin_Special_2_Part_2-196.png; pivotX: 98.14876; pivotY: 318.7077}
{file: Rasputin_Special_2_Part_2-197.png; pivotX: 98.26419; pivotY: 319.8427}
{file: Rasputin_Special_2_Part_2-198.png; pivotX: 98.17967; pivotY: 320.9286}
{file: Rasputin_Special_2_Part_2-199.png; pivotX: 98.00429; pivotY: 321.9553}
{file: Rasputin_Special_2_Part_2-200.png; pivotX: 97.84085; pivotY: 322.9396}
{file: Rasputin_Special_2_Part_2-201.png; pivotX: 97.82784; pivotY: 322.9355}
{file: Rasputin_Special_2_Part_2-202.png; pivotX: 97.83513; pivotY: 322.9269}
{file: Rasputin_Special_2_Part_2-203.png; pivotX: 97.76505; pivotY: 322.9167}
{file: Rasputin_Special_2_Part_2-204.png; pivotX: 97.70274; pivotY: 321.9399}
{file: Rasputin_Special_2_Part_2-205.png; pivotX: 97.03493; pivotY: 321.931}
{file: Rasputin_Special_2_Part_2-206.png; pivotX: 96.84818; pivotY: 321.9222}
{file: Rasputin_Special_2_Part_2-207.png; pivotX: 96.66374; pivotY: 321.9118}
