{file: Rasputin_Extra_Idle-0.png; pivotX: 167.4865; pivotY: 329.1179}
{file: Rasputin_Extra_Idle-129.png; pivotX: 145.5333; pivotY: 324.6689}
{file: Rasputin_Extra_Idle-130.png; pivotX: 145.9703; pivotY: 324.4041}
{file: Rasputin_Extra_Idle-131.png; pivotX: 146.4339; pivotY: 325.0107}
{file: Rasputin_Extra_Idle-132.png; pivotX: 146.9512; pivotY: 324.7674}
{file: Rasputin_Extra_Idle-133.png; pivotX: 147.4911; pivotY: 324.5671}
{file: Rasputin_Extra_Idle-134.png; pivotX: 147.5213; pivotY: 324.3835}
{file: Rasputin_Extra_Idle-135.png; pivotX: 147.968; pivotY: 325.0779}
{file: Rasputin_Extra_Idle-136.png; pivotX: 148.3606; pivotY: 324.9372}
{file: Rasputin_Extra_Idle-137.png; pivotX: 148.7217; pivotY: 324.84}
{file: Rasputin_Extra_Idle-138.png; pivotX: 149.554; pivotY: 325.6631}
{file: Rasputin_Extra_Idle-139.png; pivotX: 149.9082; pivotY: 325.6913}
{file: Rasputin_Extra_Idle-140.png; pivotX: 150.2985; pivotY: 325.768}
{file: Rasputin_Extra_Idle-141.png; pivotX: 150.7473; pivotY: 326.7421}
{file: Rasputin_Extra_Idle-142.png; pivotX: 150.7939; pivotY: 326.8829}
{file: Rasputin_Extra_Idle-143.png; pivotX: 151.4263; pivotY: 327.039}
{file: Rasputin_Extra_Idle-144.png; pivotX: 151.6295; pivotY: 327.1993}
{file: Rasputin_Extra_Idle-145.png; pivotX: 151.8839; pivotY: 328.2142}
{file: Rasputin_Extra_Idle-146.png; pivotX: 152.2035; pivotY: 328.3501}
{file: Rasputin_Extra_Idle-147.png; pivotX: 152.0844; pivotY: 328.4571}
{file: Rasputin_Extra_Idle-148.png; pivotX: 152.493; pivotY: 328.5307}
{file: Rasputin_Extra_Idle-149.png; pivotX: 152.8976; pivotY: 329.4432}
{file: Rasputin_Extra_Idle-150.png; pivotX: 152.7765; pivotY: 329.4804}
{file: Rasputin_Extra_Idle-151.png; pivotX: 153.1171; pivotY: 329.5154}
{file: Rasputin_Extra_Idle-152.png; pivotX: 152.8994; pivotY: 329.5512}
{file: Rasputin_Extra_Idle-153.png; pivotX: 152.9688; pivotY: 329.5839}
{file: Rasputin_Extra_Idle-154.png; pivotX: 153.0301; pivotY: 330.4765}
{file: Rasputin_Extra_Idle-155.png; pivotX: 153.065; pivotY: 330.5035}
{file: Rasputin_Extra_Idle-156.png; pivotX: 153.0846; pivotY: 330.5277}
{file: Rasputin_Extra_Idle-157.png; pivotX: 153.092; pivotY: 330.553}
{file: Rasputin_Extra_Idle-158.png; pivotX: 153.0914; pivotY: 330.5829}
{file: Rasputin_Extra_Idle-159.png; pivotX: 153.0832; pivotY: 330.6169}
{file: Rasputin_Extra_Idle-160.png; pivotX: 153.0677; pivotY: 330.6548}
{file: Rasputin_Extra_Idle-161.png; pivotX: 153.0456; pivotY: 330.6966}
{file: Rasputin_Extra_Idle-162.png; pivotX: 153.0172; pivotY: 330.7418}
{file: Rasputin_Extra_Idle-163.png; pivotX: 153.1089; pivotY: 330.7902}
{file: Rasputin_Extra_Idle-164.png; pivotX: 155.0297; pivotY: 330.8416}
{file: Rasputin_Extra_Idle-165.png; pivotX: 156.8281; pivotY: 330.896}
{file: Rasputin_Extra_Idle-166.png; pivotX: 157.9841; pivotY: 330.9532}
{file: Rasputin_Extra_Idle-167.png; pivotX: 158.9699; pivotY: 330.1485}
{file: Rasputin_Extra_Idle-168.png; pivotX: 159.8509; pivotY: 330.2103}
{file: Rasputin_Extra_Idle-169.png; pivotX: 160.1427; pivotY: 330.2741}
{file: Rasputin_Extra_Idle-170.png; pivotX: 160.8547; pivotY: 330.3398}
{file: Rasputin_Extra_Idle-171.png; pivotX: 160.9814; pivotY: 330.4071}
{file: Rasputin_Extra_Idle-172.png; pivotX: 161.0284; pivotY: 330.4759}
{file: Rasputin_Extra_Idle-173.png; pivotX: 161.0183; pivotY: 330.5459}
{file: Rasputin_Extra_Idle-174.png; pivotX: 160.9687; pivotY: 330.6169}
{file: Rasputin_Extra_Idle-175.png; pivotX: 160.9064; pivotY: 329.8231}
{file: Rasputin_Extra_Idle-176.png; pivotX: 160.921; pivotY: 329.8953}
{file: Rasputin_Extra_Idle-177.png; pivotX: 160.9945; pivotY: 329.9679}
{file: Rasputin_Extra_Idle-178.png; pivotX: 161.6339; pivotY: 330.0406}
{file: Rasputin_Extra_Idle-179.png; pivotX: 161.8378; pivotY: 330.1133}
{file: Rasputin_Extra_Idle-180.png; pivotX: 162.0867; pivotY: 330.1856}
{file: Rasputin_Extra_Idle-181.png; pivotX: 162.7888; pivotY: 329.3904}
{file: Rasputin_Extra_Idle-182.png; pivotX: 162.9452; pivotY: 329.4604}
{file: Rasputin_Extra_Idle-183.png; pivotX: 163.0391; pivotY: 329.5289}
{file: Rasputin_Extra_Idle-184.png; pivotX: 163.0811; pivotY: 329.5955}
{file: Rasputin_Extra_Idle-185.png; pivotX: 163.0912; pivotY: 329.66}
{file: Rasputin_Extra_Idle-186.png; pivotX: 163.0971; pivotY: 329.7222}
{file: Rasputin_Extra_Idle-187.png; pivotX: 163.1286; pivotY: 329.7819}
{file: Rasputin_Extra_Idle-188.png; pivotX: 163.1988; pivotY: 329.8387}
{file: Rasputin_Extra_Idle-189.png; pivotX: 163.8029; pivotY: 329.8925}
{file: Rasputin_Extra_Idle-190.png; pivotX: 163.9399; pivotY: 329.9429}
{file: Rasputin_Extra_Idle-191.png; pivotX: 164.0747; pivotY: 329.1229}
{file: Rasputin_Extra_Idle-192.png; pivotX: 164.2504; pivotY: 329.1703}
{file: Rasputin_Extra_Idle-193.png; pivotX: 164.4377; pivotY: 329.217}
{file: Rasputin_Extra_Idle-194.png; pivotX: 164.6187; pivotY: 329.2632}
{file: Rasputin_Extra_Idle-195.png; pivotX: 165.2784; pivotY: 329.309}
{file: Rasputin_Extra_Idle-196.png; pivotX: 165.4262; pivotY: 329.3543}
{file: Rasputin_Extra_Idle-197.png; pivotX: 165.5726; pivotY: 329.3994}
{file: Rasputin_Extra_Idle-198.png; pivotX: 165.7188; pivotY: 329.4444}
{file: Rasputin_Extra_Idle-199.png; pivotX: 165.8697; pivotY: 329.4894}
{file: Rasputin_Extra_Idle-200.png; pivotX: 166.0301; pivotY: 329.5344}
{file: Rasputin_Extra_Idle-201.png; pivotX: 166.198; pivotY: 329.5795}
{file: Rasputin_Extra_Idle-202.png; pivotX: 166.3715; pivotY: 329.6249}
{file: Rasputin_Extra_Idle-203.png; pivotX: 166.5483; pivotY: 329.6707}
{file: Rasputin_Extra_Idle-204.png; pivotX: 166.7422; pivotY: 329.7169}
{file: Rasputin_Extra_Idle-205.png; pivotX: 166.9604; pivotY: 329.7628}
{file: Rasputin_Extra_Idle-206.png; pivotX: 167.1919; pivotY: 329.8076}
{file: Rasputin_Extra_Idle-207.png; pivotX: 167.9263; pivotY: 329.8521}
{file: Rasputin_Extra_Idle-208.png; pivotX: 168.1239; pivotY: 329.0262}
{file: Rasputin_Extra_Idle-209.png; pivotX: 168.3519; pivotY: 329.0714}
