{file: Rasputin_Light_Combo_Part_3-0.png; pivotX: 234.9475; pivotY: 306.0365}
{file: Rasputin_Light_Combo_Part_3-21.png; pivotX: 139.2575; pivotY: 410.5079}
{file: Rasputin_Light_Combo_Part_3-22.png; pivotX: 139.3086; pivotY: 412.0425}
{file: Rasputin_Light_Combo_Part_3-23.png; pivotX: 139.898; pivotY: 412.8168}
{file: Rasputin_Light_Combo_Part_3-24.png; pivotX: 140.2854; pivotY: 412.7941}
{file: Rasputin_Light_Combo_Part_3-25.png; pivotX: 140.4999; pivotY: 411.9351}
{file: Rasputin_Light_Combo_Part_3-26.png; pivotX: 140.8761; pivotY: 410.1774}
{file: Rasputin_Light_Combo_Part_3-27.png; pivotX: 140.151; pivotY: 408.3427}
{file: Rasputin_Light_Combo_Part_3-28.png; pivotX: 139.274; pivotY: 405.3701}
{file: Rasputin_Light_Combo_Part_3-29.png; pivotX: 137.9006; pivotY: 402.234}
{file: Rasputin_Light_Combo_Part_3-30.png; pivotX: 136.8796; pivotY: 395.1732}
{file: Rasputin_Light_Combo_Part_3-31.png; pivotX: 135.0491; pivotY: 394.3304}
{file: Rasputin_Light_Combo_Part_3-32.png; pivotX: 133.6877; pivotY: 323.796}
{file: Rasputin_Light_Combo_Part_3-33.png; pivotX: 138.4745; pivotY: 262.4716}
{file: Rasputin_Light_Combo_Part_3-34.png; pivotX: 136.6866; pivotY: 265.054}
{file: Rasputin_Light_Combo_Part_3-35.png; pivotX: 139.6699; pivotY: 268.4516}
{file: Rasputin_Light_Combo_Part_3-36.png; pivotX: 136.3488; pivotY: 271.722}
{file: Rasputin_Light_Combo_Part_3-37.png; pivotX: 130.0007; pivotY: 274.9298}
{file: Rasputin_Light_Combo_Part_3-38.png; pivotX: 120.5616; pivotY: 278.005}
{file: Rasputin_Light_Combo_Part_3-39.png; pivotX: 113.2173; pivotY: 281.9339}
{file: Rasputin_Light_Combo_Part_3-40.png; pivotX: 110.0249; pivotY: 284.8618}
{file: Rasputin_Light_Combo_Part_3-41.png; pivotX: 105.9886; pivotY: 287.771}
{file: Rasputin_Light_Combo_Part_3-42.png; pivotX: 102.5806; pivotY: 290.6885}
{file: Rasputin_Light_Combo_Part_3-43.png; pivotX: 98.83227; pivotY: 294.5988}
{file: Rasputin_Light_Combo_Part_3-44.png; pivotX: 95.78967; pivotY: 297.6028}
{file: Rasputin_Light_Combo_Part_3-45.png; pivotX: 92.41478; pivotY: 299.7155}
{file: Rasputin_Light_Combo_Part_3-46.png; pivotX: 89.75533; pivotY: 302.8685}
{file: Rasputin_Light_Combo_Part_3-47.png; pivotX: 87.86629; pivotY: 305.1476}
{file: Rasputin_Light_Combo_Part_3-48.png; pivotX: 86.8474; pivotY: 307.4871}
{file: Rasputin_Light_Combo_Part_3-49.png; pivotX: 86.51343; pivotY: 309.7314}
{file: Rasputin_Light_Combo_Part_3-50.png; pivotX: 87.2793; pivotY: 311.7817}
{file: Rasputin_Light_Combo_Part_3-51.png; pivotX: 88.29443; pivotY: 314.01}
{file: Rasputin_Light_Combo_Part_3-52.png; pivotX: 90.09169; pivotY: 315.9135}
{file: Rasputin_Light_Combo_Part_3-53.png; pivotX: 91.99733; pivotY: 317.8546}
{file: Rasputin_Light_Combo_Part_3-54.png; pivotX: 93.67964; pivotY: 318.9304}
{file: Rasputin_Light_Combo_Part_3-55.png; pivotX: 95.62554; pivotY: 319.8467}
{file: Rasputin_Light_Combo_Part_3-56.png; pivotX: 96.65286; pivotY: 320.7394}
{file: Rasputin_Light_Combo_Part_3-57.png; pivotX: 96.79695; pivotY: 321.6406}
{file: Rasputin_Light_Combo_Part_3-58.png; pivotX: 97.17306; pivotY: 321.6708}
{file: Rasputin_Light_Combo_Part_3-59.png; pivotX: 97.70059; pivotY: 322.7433}
{file: Rasputin_Light_Combo_Part_3-60.png; pivotX: 97.73474; pivotY: 321.8607}
{file: Rasputin_Light_Combo_Part_3-61.png; pivotX: 97.63032; pivotY: 321.915}
{file: Rasputin_Light_Combo_Part_3-62.png; pivotX: 97.50116; pivotY: 321.9331}
{file: Rasputin_Light_Combo_Part_3-63.png; pivotX: 97.36181; pivotY: 321.9271}
{file: Rasputin_Light_Combo_Part_3-64.png; pivotX: 97.21375; pivotY: 321.9155}
{file: Rasputin_Light_Combo_Part_3-65.png; pivotX: 96.58501; pivotY: 321.9035}
