{file: Rasputin_Win-0.png; pivotX: 92.86912; pivotY: 313.7953}
{file: Rasputin_Win-49.png; pivotX: 152.9968; pivotY: 351.0087}
{file: Rasputin_Win-50.png; pivotX: 144.0723; pivotY: 351.2909}
{file: Rasputin_Win-51.png; pivotX: 128.3627; pivotY: 350.7454}
{file: Rasputin_Win-52.png; pivotX: 114.9013; pivotY: 351.2046}
{file: Rasputin_Win-53.png; pivotX: 116.6381; pivotY: 350.728}
{file: Rasputin_Win-54.png; pivotX: 118.1451; pivotY: 351.0687}
{file: Rasputin_Win-55.png; pivotX: 118.7457; pivotY: 351.04}
{file: Rasputin_Win-56.png; pivotX: 117.3162; pivotY: 350.1003}
{file: Rasputin_Win-57.png; pivotX: 113.4425; pivotY: 350.1336}
{file: Rasputin_Win-58.png; pivotX: 110.7585; pivotY: 350.0829}
{file: Rasputin_Win-59.png; pivotX: 107.0323; pivotY: 350.3626}
{file: Rasputin_Win-60.png; pivotX: 101.2028; pivotY: 350.5494}
{file: Rasputin_Win-61.png; pivotX: 94.544; pivotY: 351.0227}
{file: Rasputin_Win-62.png; pivotX: 86.42325; pivotY: 351.2145}
{file: Rasputin_Win-63.png; pivotX: 78.34062; pivotY: 351.3136}
{file: Rasputin_Win-64.png; pivotX: 82.9073; pivotY: 351.2693}
{file: Rasputin_Win-65.png; pivotX: 90.56207; pivotY: 352.5601}
{file: Rasputin_Win-66.png; pivotX: 96.12663; pivotY: 353.4491}
{file: Rasputin_Win-67.png; pivotX: 101.2445; pivotY: 353.3495}
{file: Rasputin_Win-68.png; pivotX: 104.5547; pivotY: 353.3199}
{file: Rasputin_Win-69.png; pivotX: 105.406; pivotY: 353.3702}
{file: Rasputin_Win-70.png; pivotX: 104.7543; pivotY: 353.5223}
{file: Rasputin_Win-71.png; pivotX: 102.2702; pivotY: 352.8585}
{file: Rasputin_Win-72.png; pivotX: 97.54398; pivotY: 353.3907}
{file: Rasputin_Win-73.png; pivotX: 91.51789; pivotY: 352.9279}
{file: Rasputin_Win-74.png; pivotX: 83.67294; pivotY: 353.2818}
{file: Rasputin_Win-75.png; pivotX: 78.79294; pivotY: 352.6845}
{file: Rasputin_Win-76.png; pivotX: 76.23933; pivotY: 352.1672}
{file: Rasputin_Win-77.png; pivotX: 80.1627; pivotY: 351.7888}
{file: Rasputin_Win-78.png; pivotX: 83.89021; pivotY: 352.5578}
{file: Rasputin_Win-79.png; pivotX: 85.05681; pivotY: 352.2709}
{file: Rasputin_Win-80.png; pivotX: 84.31893; pivotY: 352.1314}
{file: Rasputin_Win-81.png; pivotX: 84.67838; pivotY: 353.2158}
{file: Rasputin_Win-82.png; pivotX: 82.77792; pivotY: 353.5707}
{file: Rasputin_Win-83.png; pivotX: 80.09966; pivotY: 354.0705}
{file: Rasputin_Win-84.png; pivotX: 82.02464; pivotY: 354.6114}
{file: Rasputin_Win-85.png; pivotX: 85.57564; pivotY: 354.1954}
{file: Rasputin_Win-86.png; pivotX: 87.3967; pivotY: 354.7156}
{file: Rasputin_Win-87.png; pivotX: 86.01617; pivotY: 354.1278}
{file: Rasputin_Win-88.png; pivotX: 82.36958; pivotY: 354.0812}
{file: Rasputin_Win-89.png; pivotX: 77.5211; pivotY: 353.0753}
{file: Rasputin_Win-90.png; pivotX: 78.70333; pivotY: 351.2398}
{file: Rasputin_Win-91.png; pivotX: 78.84986; pivotY: 350.2425}
{file: Rasputin_Win-92.png; pivotX: 79.01692; pivotY: 348.1323}
{file: Rasputin_Win-93.png; pivotX: 79.05828; pivotY: 346.797}
{file: Rasputin_Win-94.png; pivotX: 85.86778; pivotY: 344.9532}
{file: Rasputin_Win-95.png; pivotX: 91.51564; pivotY: 343.0032}
{file: Rasputin_Win-96.png; pivotX: 96.362; pivotY: 340.8148}
{file: Rasputin_Win-97.png; pivotX: 99.8194; pivotY: 339.0063}
{file: Rasputin_Win-98.png; pivotX: 102.3764; pivotY: 337.1862}
{file: Rasputin_Win-99.png; pivotX: 102.9237; pivotY: 336.2087}
{file: Rasputin_Win-100.png; pivotX: 100.4091; pivotY: 334.315}
{file: Rasputin_Win-101.png; pivotX: 97.49628; pivotY: 333.388}
{file: Rasputin_Win-102.png; pivotX: 94.99951; pivotY: 332.5326}
{file: Rasputin_Win-103.png; pivotX: 92.36881; pivotY: 332.6067}
{file: Rasputin_Win-104.png; pivotX: 89.83799; pivotY: 332.6731}
{file: Rasputin_Win-105.png; pivotX: 86.65045; pivotY: 332.7201}
{file: Rasputin_Win-106.png; pivotX: 84.44318; pivotY: 332.6919}
{file: Rasputin_Win-107.png; pivotX: 82.36033; pivotY: 333.6267}
{file: Rasputin_Win-108.png; pivotX: 80.28592; pivotY: 333.6313}
{file: Rasputin_Win-109.png; pivotX: 78.82206; pivotY: 334.3864}
{file: Rasputin_Win-110.png; pivotX: 76.67209; pivotY: 334.2104}
{file: Rasputin_Win-111.png; pivotX: 75.01041; pivotY: 335.0782}
{file: Rasputin_Win-112.png; pivotX: 75.26105; pivotY: 334.9965}
{file: Rasputin_Win-113.png; pivotX: 78.32099; pivotY: 335.8594}
{file: Rasputin_Win-114.png; pivotX: 80.1055; pivotY: 335.3872}
{file: Rasputin_Win-115.png; pivotX: 79.14456; pivotY: 335.9554}
{file: Rasputin_Win-116.png; pivotX: 77.68906; pivotY: 335.6682}
{file: Rasputin_Win-117.png; pivotX: 78.99072; pivotY: 336.3942}
{file: Rasputin_Win-118.png; pivotX: 80.54269; pivotY: 336.2339}
{file: Rasputin_Win-119.png; pivotX: 82.23614; pivotY: 336.0906}
{file: Rasputin_Win-120.png; pivotX: 84.25483; pivotY: 335.9238}
{file: Rasputin_Win-121.png; pivotX: 89.19656; pivotY: 335.7695}
{file: Rasputin_Win-122.png; pivotX: 91.2532; pivotY: 334.6941}
{file: Rasputin_Win-123.png; pivotX: 89.19814; pivotY: 334.7189}
{file: Rasputin_Win-124.png; pivotX: 89.93385; pivotY: 333.2372}
{file: Rasputin_Win-125.png; pivotX: 91.43331; pivotY: 333.1556}
{file: Rasputin_Win-126.png; pivotX: 92.49102; pivotY: 333.0724}
{file: Rasputin_Win-127.png; pivotX: 93.22321; pivotY: 333.2206}
{file: Rasputin_Win-128.png; pivotX: 94.23292; pivotY: 333.2116}
{file: Rasputin_Win-129.png; pivotX: 94.40789; pivotY: 333.047}
{file: Rasputin_Win-130.png; pivotX: 94.62627; pivotY: 332.8537}
{file: Rasputin_Win-131.png; pivotX: 94.73344; pivotY: 332.8898}
{file: Rasputin_Win-132.png; pivotX: 94.75565; pivotY: 332.0627}
{file: Rasputin_Win-133.png; pivotX: 94.66764; pivotY: 330.2027}
{file: Rasputin_Win-134.png; pivotX: 94.27518; pivotY: 329.3119}
{file: Rasputin_Win-135.png; pivotX: 94.28607; pivotY: 329.2882}
{file: Rasputin_Win-136.png; pivotX: 93.9623; pivotY: 329.1553}
{file: Rasputin_Win-137.png; pivotX: 93.409; pivotY: 328.0478}
{file: Rasputin_Win-138.png; pivotX: 92.58861; pivotY: 328.0083}
{file: Rasputin_Win-139.png; pivotX: 91.57522; pivotY: 327.1551}
{file: Rasputin_Win-140.png; pivotX: 94.08057; pivotY: 329.3223}
{file: Rasputin_Win-141.png; pivotX: 95.5613; pivotY: 331.3888}
{file: Rasputin_Win-142.png; pivotX: 95.9073; pivotY: 332.3678}
{file: Rasputin_Win-143.png; pivotX: 95.27414; pivotY: 332.3044}
{file: Rasputin_Win-144.png; pivotX: 94.28048; pivotY: 333.1613}
{file: Rasputin_Win-145.png; pivotX: 92.57344; pivotY: 333.0032}
{file: Rasputin_Win-146.png; pivotX: 90.01508; pivotY: 332.8673}
{file: Rasputin_Win-147.png; pivotX: 88.58927; pivotY: 332.8064}
{file: Rasputin_Win-148.png; pivotX: 88.50462; pivotY: 332.8635}
{file: Rasputin_Win-149.png; pivotX: 88.56674; pivotY: 331.9949}
{file: Rasputin_Win-150.png; pivotX: 88.43267; pivotY: 333.1371}
{file: Rasputin_Win-151.png; pivotX: 88.89613; pivotY: 334.1941}
{file: Rasputin_Win-152.png; pivotX: 88.62401; pivotY: 334.1689}
{file: Rasputin_Win-153.png; pivotX: 88.87653; pivotY: 335.17}
{file: Rasputin_Win-154.png; pivotX: 89.13695; pivotY: 335.1947}
{file: Rasputin_Win-155.png; pivotX: 89.29913; pivotY: 336.1616}
{file: Rasputin_Win-156.png; pivotX: 89.56271; pivotY: 336.1604}
{file: Rasputin_Win-157.png; pivotX: 90.36336; pivotY: 336.1656}
{file: Rasputin_Win-158.png; pivotX: 90.71735; pivotY: 335.1935}
{file: Rasputin_Win-159.png; pivotX: 91.02345; pivotY: 334.2055}
{file: Rasputin_Win-160.png; pivotX: 91.22482; pivotY: 334.1814}
{file: Rasputin_Win-161.png; pivotX: 91.41585; pivotY: 333.1884}
{file: Rasputin_Win-162.png; pivotX: 91.56167; pivotY: 332.2136}
{file: Rasputin_Win-163.png; pivotX: 91.89859; pivotY: 332.2411}
{file: Rasputin_Win-164.png; pivotX: 92.82885; pivotY: 333.235}
{file: Rasputin_Win-165.png; pivotX: 93.7429; pivotY: 333.2496}
{file: Rasputin_Win-166.png; pivotX: 94.41798; pivotY: 333.2575}
{file: Rasputin_Win-167.png; pivotX: 95.02062; pivotY: 333.2583}
{file: Rasputin_Win-168.png; pivotX: 95.50478; pivotY: 333.2498}
{file: Rasputin_Win-169.png; pivotX: 95.89394; pivotY: 333.2303}
{file: Rasputin_Win-170.png; pivotX: 95.71239; pivotY: 333.1948}
{file: Rasputin_Win-171.png; pivotX: 95.98012; pivotY: 333.1476}
{file: Rasputin_Win-172.png; pivotX: 95.72108; pivotY: 333.0953}
{file: Rasputin_Win-173.png; pivotX: 94.92386; pivotY: 333.0661}
{file: Rasputin_Win-174.png; pivotX: 94.54857; pivotY: 333.0861}
{file: Rasputin_Win-175.png; pivotX: 94.551; pivotY: 333.0994}
{file: Rasputin_Win-176.png; pivotX: 95.10457; pivotY: 333.0727}
{file: Rasputin_Win-177.png; pivotX: 94.98932; pivotY: 333.0347}
{file: Rasputin_Win-178.png; pivotX: 95.1347; pivotY: 332.9908}
{file: Rasputin_Win-179.png; pivotX: 95.16167; pivotY: 332.9476}
{file: Rasputin_Win-180.png; pivotX: 94.74972; pivotY: 331.9428}
{file: Rasputin_Win-181.png; pivotX: 94.35354; pivotY: 331.9166}
{file: Rasputin_Win-182.png; pivotX: 94.04571; pivotY: 331.9029}
{file: Rasputin_Win-183.png; pivotX: 93.27042; pivotY: 331.9029}
{file: Rasputin_Win-184.png; pivotX: 93.05283; pivotY: 331.9151}
{file: Rasputin_Win-185.png; pivotX: 92.41979; pivotY: 331.9361}
{file: Rasputin_Win-186.png; pivotX: 91.94559; pivotY: 330.9966}
{file: Rasputin_Win-187.png; pivotX: 90.98018; pivotY: 331.0297}
{file: Rasputin_Win-188.png; pivotX: 91.43182; pivotY: 331.0644}
{file: Rasputin_Win-189.png; pivotX: 91.54733; pivotY: 330.1284}
{file: Rasputin_Win-190.png; pivotX: 91.65427; pivotY: 330.1533}
{file: Rasputin_Win-191.png; pivotX: 91.83022; pivotY: 330.1625}
{file: Rasputin_Win-192.png; pivotX: 92.09619; pivotY: 330.1052}
{file: Rasputin_Win-193.png; pivotX: 92.4328; pivotY: 330.1047}
{file: Rasputin_Win-194.png; pivotX: 92.81204; pivotY: 330.1261}
{file: Rasputin_Win-195.png; pivotX: 93.13059; pivotY: 331.1122}
{file: Rasputin_Win-196.png; pivotX: 93.51199; pivotY: 331.1206}
{file: Rasputin_Win-197.png; pivotX: 93.87644; pivotY: 331.1242}
{file: Rasputin_Win-198.png; pivotX: 94.2363; pivotY: 331.1313}
{file: Rasputin_Win-199.png; pivotX: 94.07447; pivotY: 331.1379}
{file: Rasputin_Win-200.png; pivotX: 94.40624; pivotY: 331.1412}
{file: Rasputin_Win-201.png; pivotX: 94.74593; pivotY: 331.1381}
{file: Rasputin_Win-202.png; pivotX: 94.59998; pivotY: 331.1283}
{file: Rasputin_Win-203.png; pivotX: 94.97586; pivotY: 331.1155}
{file: Rasputin_Win-204.png; pivotX: 94.86411; pivotY: 331.1015}
{file: Rasputin_Win-205.png; pivotX: 95.32175; pivotY: 330.1197}
{file: Rasputin_Win-206.png; pivotX: 95.22038; pivotY: 330.1074}
{file: Rasputin_Win-207.png; pivotX: 95.12815; pivotY: 330.0978}
{file: Rasputin_Win-208.png; pivotX: 95.52259; pivotY: 330.0973}
{file: Rasputin_Win-209.png; pivotX: 95.84965; pivotY: 330.0978}
{file: Rasputin_Win-210.png; pivotX: 95.57054; pivotY: 330.0994}
{file: Rasputin_Win-211.png; pivotX: 96.0847; pivotY: 331.0697}
{file: Rasputin_Win-212.png; pivotX: 96.07016; pivotY: 331.0727}
{file: Rasputin_Win-213.png; pivotX: 96.03959; pivotY: 331.076}
{file: Rasputin_Win-214.png; pivotX: 95.99027; pivotY: 331.0793}
{file: Rasputin_Win-215.png; pivotX: 96.42268; pivotY: 331.0825}
{file: Rasputin_Win-216.png; pivotX: 96.34272; pivotY: 331.0839}
{file: Rasputin_Win-217.png; pivotX: 96.25577; pivotY: 331.0822}
{file: Rasputin_Win-218.png; pivotX: 96.16512; pivotY: 331.0773}
{file: Rasputin_Win-219.png; pivotX: 96.07849; pivotY: 331.0694}
{file: Rasputin_Win-220.png; pivotX: 96.00488; pivotY: 331.0586}
{file: Rasputin_Win-221.png; pivotX: 95.94878; pivotY: 331.045}
{file: Rasputin_Win-222.png; pivotX: 95.91438; pivotY: 331.0331}
{file: Rasputin_Win-223.png; pivotX: 95.89243; pivotY: 331.0233}
{file: Rasputin_Win-224.png; pivotX: 95.87137; pivotY: 331.0119}
{file: Rasputin_Win-225.png; pivotX: 95.85231; pivotY: 330.9998}
{file: Rasputin_Win-226.png; pivotX: 95.83694; pivotY: 330.9868}
{file: Rasputin_Win-227.png; pivotX: 95.82684; pivotY: 330.9725}
{file: Rasputin_Win-228.png; pivotX: 95.82359; pivotY: 330.9577}
{file: Rasputin_Win-229.png; pivotX: 95.82885; pivotY: 330.943}
{file: Rasputin_Win-230.png; pivotX: 95.84516; pivotY: 330.9292}
{file: Rasputin_Win-231.png; pivotX: 95.87859; pivotY: 330.9164}
{file: Rasputin_Win-232.png; pivotX: 95.92408; pivotY: 330.905}
{file: Rasputin_Win-233.png; pivotX: 95.53419; pivotY: 329.9281}
{file: Rasputin_Win-234.png; pivotX: 95.57791; pivotY: 329.9214}
{file: Rasputin_Win-235.png; pivotX: 95.62022; pivotY: 329.9179}
{file: Rasputin_Win-236.png; pivotX: 95.6726; pivotY: 329.9237}
{file: Rasputin_Win-237.png; pivotX: 95.17059; pivotY: 330.9064}
{file: Rasputin_Win-238.png; pivotX: 95.23216; pivotY: 330.9263}
{file: Rasputin_Win-239.png; pivotX: 95.29379; pivotY: 330.9489}
{file: Rasputin_Win-240.png; pivotX: 95.34799; pivotY: 330.9718}
{file: Rasputin_Win-241.png; pivotX: 94.82447; pivotY: 331.9625}
{file: Rasputin_Win-242.png; pivotX: 94.85028; pivotY: 331.9847}
{file: Rasputin_Win-243.png; pivotX: 94.8626; pivotY: 332.0058}
{file: Rasputin_Win-244.png; pivotX: 94.86207; pivotY: 332.0254}
{file: Rasputin_Win-245.png; pivotX: 94.84937; pivotY: 332.0427}
{file: Rasputin_Win-246.png; pivotX: 94.82515; pivotY: 332.0575}
{file: Rasputin_Win-247.png; pivotX: 94.72646; pivotY: 333.0374}
{file: Rasputin_Win-248.png; pivotX: 94.68033; pivotY: 333.0458}
{file: Rasputin_Win-249.png; pivotX: 94.62473; pivotY: 333.0522}
{file: Rasputin_Win-250.png; pivotX: 94.55753; pivotY: 333.0582}
{file: Rasputin_Win-251.png; pivotX: 94.47556; pivotY: 333.0634}
{file: Rasputin_Win-252.png; pivotX: 94.38769; pivotY: 333.0678}
{file: Rasputin_Win-253.png; pivotX: 94.30441; pivotY: 333.0721}
{file: Rasputin_Win-254.png; pivotX: 94.72839; pivotY: 333.0692}
{file: Rasputin_Win-255.png; pivotX: 94.66225; pivotY: 333.0576}
{file: Rasputin_Win-256.png; pivotX: 94.60786; pivotY: 333.0495}
{file: Rasputin_Win-257.png; pivotX: 94.5671; pivotY: 333.0528}
{file: Rasputin_Win-258.png; pivotX: 94.54225; pivotY: 333.0645}
{file: Rasputin_Win-259.png; pivotX: 94.53544; pivotY: 333.0764}
