{file: Rasputin_Heavy_Attack-0.png; posX: 0.03812068; posY: 0}
{file: Rasputin_Heavy_Attack-88.png; posX: -0.0008791341; posY: 0.002825975}
{file: Rasputin_Heavy_Attack-89.png; posX: -0.007676004; posY: -0.0006279945}
{file: Rasputin_Heavy_Attack-90.png; posX: -0.01365605; posY: -0.003370881}
{file: Rasputin_Heavy_Attack-91.png; posX: -0.01846792; posY: -0.005298018}
{file: Rasputin_Heavy_Attack-92.png; posX: -0.02170964; posY: -0.006304801}
{file: Rasputin_Heavy_Attack-93.png; posX: -0.02349449; posY: -0.006286502}
{file: Rasputin_Heavy_Attack-94.png; posX: -0.0240352; posY: -0.005138516}
{file: Rasputin_Heavy_Attack-95.png; posX: -0.02354451; posY: -0.002756119}
{file: Rasputin_Heavy_Attack-96.png; posX: -0.02223516; posY: 0.000965178}
{file: Rasputin_Heavy_Attack-97.png; posX: -0.02030964; posY: 0.005317032}
{file: Rasputin_Heavy_Attack-98.png; posX: -0.01799533; posY: 0.009493351}
{file: Rasputin_Heavy_Attack-99.png; posX: -0.0155423; posY: 0.01345235}
{file: Rasputin_Heavy_Attack-100.png; posX: -0.01320063; posY: 0.01715225}
{file: Rasputin_Heavy_Attack-101.png; posX: -0.01122038; posY: 0.02055144}
{file: Rasputin_Heavy_Attack-102.png; posX: -0.009804071; posY: 0.02360803}
{file: Rasputin_Heavy_Attack-103.png; posX: -0.008704595; posY: 0.02628028}
{file: Rasputin_Heavy_Attack-104.png; posX: -0.007650808; posY: 0.02852648}
{file: Rasputin_Heavy_Attack-105.png; posX: -0.006646002; posY: 0.03030485}
{file: Rasputin_Heavy_Attack-106.png; posX: -0.005677381; posY: 0.03157371}
{file: Rasputin_Heavy_Attack-107.png; posX: -0.004732148; posY: 0.03229117}
{file: Rasputin_Heavy_Attack-108.png; posX: -0.003797508; posY: 0.03267837}
{file: Rasputin_Heavy_Attack-109.png; posX: -0.002860659; posY: 0.03302211}
{file: Rasputin_Heavy_Attack-110.png; posX: -0.001917885; posY: 0.0333792}
{file: Rasputin_Heavy_Attack-111.png; posX: -0.0009671683; posY: 0.03380656}
