{file: Rasputin_Special_2_Part_1-0.png; pivotX: 96.57154; pivotY: 320.93}
{file: Rasputin_Special_2_Part_1-48.png; pivotX: 91.78511; pivotY: 337.4799}
{file: Rasputin_Special_2_Part_1-49.png; pivotX: 93.16752; pivotY: 334.7611}
{file: Rasputin_Special_2_Part_1-50.png; pivotX: 94.48009; pivotY: 333.081}
{file: Rasputin_Special_2_Part_1-51.png; pivotX: 94.734; pivotY: 330.5111}
{file: Rasputin_Special_2_Part_1-52.png; pivotX: 95.34969; pivotY: 328.0088}
{file: Rasputin_Special_2_Part_1-53.png; pivotX: 95.11367; pivotY: 326.531}
{file: Rasputin_Special_2_Part_1-54.png; pivotX: 95.21619; pivotY: 325.1231}
{file: Rasputin_Special_2_Part_1-55.png; pivotX: 94.63853; pivotY: 323.7847}
{file: Rasputin_Special_2_Part_1-56.png; pivotX: 94.64852; pivotY: 322.439}
{file: Rasputin_Special_2_Part_1-57.png; pivotX: 96.29935; pivotY: 321.9774}
{file: Rasputin_Special_2_Part_1-58.png; pivotX: 97.09441; pivotY: 321.4482}
{file: Rasputin_Special_2_Part_1-59.png; pivotX: 97.96131; pivotY: 320.8498}
{file: Rasputin_Special_2_Part_1-60.png; pivotX: 98.02647; pivotY: 321.0623}
{file: Rasputin_Special_2_Part_1-61.png; pivotX: 97.95575; pivotY: 321.036}
{file: Rasputin_Special_2_Part_1-62.png; pivotX: 98.28271; pivotY: 321.0068}
{file: Rasputin_Special_2_Part_1-63.png; pivotX: 98.06005; pivotY: 320.9799}
{file: Rasputin_Special_2_Part_1-64.png; pivotX: 97.84148; pivotY: 320.9544}
{file: Rasputin_Special_2_Part_1-65.png; pivotX: 97.57468; pivotY: 321.8976}
{file: Rasputin_Special_2_Part_1-66.png; pivotX: 97.37269; pivotY: 321.8838}
{file: Rasputin_Special_2_Part_1-67.png; pivotX: 97.19478; pivotY: 321.8836}
{file: Rasputin_Special_2_Part_1-68.png; pivotX: 96.5651; pivotY: 321.8936}
