{file: Rasputin_Special_2_Part_1-0.png; posX: 2.980232E-10; posY: 0}
{file: Rasputin_Special_2_Part_1-31.png; posX: 5.440361; posY: 0.1315433}
{file: Rasputin_Special_2_Part_1-32.png; posX: 5.441471; posY: 0.1327989}
{file: Rasputin_Special_2_Part_1-33.png; posX: 5.442891; posY: 0.1338558}
{file: Rasputin_Special_2_Part_1-34.png; posX: 5.444615; posY: 0.1346271}
{file: Rasputin_Special_2_Part_1-35.png; posX: 5.446639; posY: 0.1350265}
{file: Rasputin_Special_2_Part_1-36.png; posX: 5.448956; posY: 0.1349671}
{file: Rasputin_Special_2_Part_1-37.png; posX: 5.451559; posY: 0.1343625}
{file: Rasputin_Special_2_Part_1-38.png; posX: 5.454444; posY: 0.1331258}
{file: Rasputin_Special_2_Part_1-39.png; posX: 5.457605; posY: 0.1311706}
{file: Rasputin_Special_2_Part_1-40.png; posX: 5.461035; posY: 0.1284102}
{file: Rasputin_Special_2_Part_1-41.png; posX: 5.464729; posY: 0.1247579}
{file: Rasputin_Special_2_Part_1-42.png; posX: 5.46868; posY: 0.1201273}
{file: Rasputin_Special_2_Part_1-43.png; posX: 5.472884; posY: 0.1144314}
{file: Rasputin_Special_2_Part_1-44.png; posX: 5.477333; posY: 0.1075838}
{file: Rasputin_Special_2_Part_1-45.png; posX: 5.482023; posY: 0.09949791}
{file: Rasputin_Special_2_Part_1-46.png; posX: 5.486947; posY: 0.09008694}
{file: Rasputin_Special_2_Part_1-47.png; posX: 5.492098; posY: 0.07926434}
{file: Rasputin_Special_2_Part_1-48.png; posX: 5.497473; posY: 0.06779999}
{file: Rasputin_Special_2_Part_1-49.png; posX: 5.503065; posY: 0.05664963}
{file: Rasputin_Special_2_Part_1-50.png; posX: 5.508866; posY: 0.04600573}
{file: Rasputin_Special_2_Part_1-51.png; posX: 5.514874; posY: 0.03606075}
{file: Rasputin_Special_2_Part_1-52.png; posX: 5.521079; posY: 0.02700716}
{file: Rasputin_Special_2_Part_1-53.png; posX: 5.526791; posY: 0.01903743}
{file: Rasputin_Special_2_Part_1-54.png; posX: 5.531385; posY: 0.01234394}
{file: Rasputin_Special_2_Part_1-55.png; posX: 5.534962; posY: 0.007119238}
{file: Rasputin_Special_2_Part_1-56.png; posX: 5.537621; posY: 0.003555715}
{file: Rasputin_Special_2_Part_1-57.png; posX: 5.539461; posY: 0.00125581}
{file: Rasputin_Special_2_Part_1-58.png; posX: 5.540583; posY: -0.0003678203}
{file: Rasputin_Special_2_Part_1-59.png; posX: 5.541085; posY: -0.001407504}
{file: Rasputin_Special_2_Part_1-60.png; posX: 5.541067; posY: -0.001955628}
{file: Rasputin_Special_2_Part_1-61.png; posX: 5.540629; posY: -0.002104461}
{file: Rasputin_Special_2_Part_1-62.png; posX: 5.53987; posY: -0.00194627}
{file: Rasputin_Special_2_Part_1-63.png; posX: 5.538891; posY: -0.001573563}
{file: Rasputin_Special_2_Part_1-64.png; posX: 5.537789; posY: -0.001078486}
{file: Rasputin_Special_2_Part_1-65.png; posX: 5.536666; posY: -0.0005534291}
{file: Rasputin_Special_2_Part_1-66.png; posX: 5.535621; posY: -9.071827E-05}
{file: Rasputin_Special_2_Part_1-67.png; posX: 5.534752; posY: 0.0002172589}
{file: Rasputin_Special_2_Part_1-68.png; posX: 5.53416; posY: 0.0002782941}
