{file: DummyMale_Loop_Able_Dizzy-0.png; pivotX: 91.10906; pivotY: 313.9362}
{file: DummyMale_Loop_Able_Dizzy-134.png; pivotX: 77.62521; pivotY: 286.686}
{file: DummyMale_Loop_Able_Dizzy-135.png; pivotX: 77.61559; pivotY: 284.8133}
{file: DummyMale_Loop_Able_Dizzy-136.png; pivotX: 77.33995; pivotY: 283.0399}
{file: DummyMale_Loop_Able_Dizzy-137.png; pivotX: 77.08848; pivotY: 282.1197}
{file: DummyMale_Loop_Able_Dizzy-138.png; pivotX: 76.8029; pivotY: 281.1305}
{file: DummyMale_Loop_Able_Dizzy-139.png; pivotX: 77.25388; pivotY: 280.1652}
{file: DummyMale_Loop_Able_Dizzy-140.png; pivotX: 77.04027; pivotY: 280.2078}
{file: DummyMale_Loop_Able_Dizzy-141.png; pivotX: 77.13633; pivotY: 279.3658}
{file: DummyMale_Loop_Able_Dizzy-142.png; pivotX: 76.7723; pivotY: 279.4333}
{file: DummyMale_Loop_Able_Dizzy-143.png; pivotX: 76.47936; pivotY: 279.3927}
{file: DummyMale_Loop_Able_Dizzy-144.png; pivotX: 76.62135; pivotY: 279.3528}
{file: DummyMale_Loop_Able_Dizzy-145.png; pivotX: 76.75839; pivotY: 279.343}
{file: DummyMale_Loop_Able_Dizzy-146.png; pivotX: 77.34192; pivotY: 279.3497}
{file: DummyMale_Loop_Able_Dizzy-147.png; pivotX: 77.44801; pivotY: 278.3846}
{file: DummyMale_Loop_Able_Dizzy-148.png; pivotX: 77.51055; pivotY: 277.4105}
{file: DummyMale_Loop_Able_Dizzy-149.png; pivotX: 77.46771; pivotY: 277.3869}
{file: DummyMale_Loop_Able_Dizzy-150.png; pivotX: 77.46473; pivotY: 276.412}
{file: DummyMale_Loop_Able_Dizzy-151.png; pivotX: 77.36714; pivotY: 276.441}
{file: DummyMale_Loop_Able_Dizzy-152.png; pivotX: 77.30815; pivotY: 276.5}
{file: DummyMale_Loop_Able_Dizzy-153.png; pivotX: 77.33732; pivotY: 276.4999}
{file: DummyMale_Loop_Able_Dizzy-154.png; pivotX: 77.33408; pivotY: 277.4315}
{file: DummyMale_Loop_Able_Dizzy-155.png; pivotX: 77.31071; pivotY: 277.4301}
{file: DummyMale_Loop_Able_Dizzy-156.png; pivotX: 77.21279; pivotY: 277.3649}
{file: DummyMale_Loop_Able_Dizzy-157.png; pivotX: 77.16949; pivotY: 276.2895}
{file: DummyMale_Loop_Able_Dizzy-158.png; pivotX: 77.10883; pivotY: 275.1856}
{file: DummyMale_Loop_Able_Dizzy-159.png; pivotX: 77.08557; pivotY: 274.0192}
{file: DummyMale_Loop_Able_Dizzy-160.png; pivotX: 77.17279; pivotY: 271.9118}
{file: DummyMale_Loop_Able_Dizzy-161.png; pivotX: 77.58902; pivotY: 271.8087}
{file: DummyMale_Loop_Able_Dizzy-162.png; pivotX: 77.59237; pivotY: 271.7736}
{file: DummyMale_Loop_Able_Dizzy-163.png; pivotX: 77.73103; pivotY: 271.7451}
{file: DummyMale_Loop_Able_Dizzy-164.png; pivotX: 77.82483; pivotY: 272.6738}
{file: DummyMale_Loop_Able_Dizzy-165.png; pivotX: 77.93851; pivotY: 273.599}
{file: DummyMale_Loop_Able_Dizzy-166.png; pivotX: 78.06657; pivotY: 274.5233}
{file: DummyMale_Loop_Able_Dizzy-167.png; pivotX: 78.19837; pivotY: 276.4484}
{file: DummyMale_Loop_Able_Dizzy-168.png; pivotX: 78.40617; pivotY: 278.4247}
{file: DummyMale_Loop_Able_Dizzy-169.png; pivotX: 78.51031; pivotY: 281.3974}
{file: DummyMale_Loop_Able_Dizzy-170.png; pivotX: 78.62022; pivotY: 283.4478}
{file: DummyMale_Loop_Able_Dizzy-171.png; pivotX: 78.74041; pivotY: 284.5545}
{file: DummyMale_Loop_Able_Dizzy-172.png; pivotX: 78.81226; pivotY: 285.6572}
{file: DummyMale_Loop_Able_Dizzy-173.png; pivotX: 78.85808; pivotY: 286.7385}
{file: DummyMale_Loop_Able_Dizzy-174.png; pivotX: 79.40081; pivotY: 287.7795}
{file: DummyMale_Loop_Able_Dizzy-175.png; pivotX: 79.60215; pivotY: 286.8371}
{file: DummyMale_Loop_Able_Dizzy-176.png; pivotX: 79.20425; pivotY: 286.7777}
{file: DummyMale_Loop_Able_Dizzy-177.png; pivotX: 79.43982; pivotY: 286.7442}
{file: DummyMale_Loop_Able_Dizzy-178.png; pivotX: 79.62098; pivotY: 289.6633}
{file: DummyMale_Loop_Able_Dizzy-179.png; pivotX: 79.70708; pivotY: 291.591}
{file: DummyMale_Loop_Able_Dizzy-180.png; pivotX: 79.72253; pivotY: 292.5073}
{file: DummyMale_Loop_Able_Dizzy-181.png; pivotX: 79.75925; pivotY: 292.4185}
{file: DummyMale_Loop_Able_Dizzy-182.png; pivotX: 79.8557; pivotY: 291.3661}
{file: DummyMale_Loop_Able_Dizzy-183.png; pivotX: 79.89772; pivotY: 291.2982}
{file: DummyMale_Loop_Able_Dizzy-184.png; pivotX: 80.00827; pivotY: 290.3029}
{file: DummyMale_Loop_Able_Dizzy-185.png; pivotX: 80.08408; pivotY: 289.3311}
{file: DummyMale_Loop_Able_Dizzy-186.png; pivotX: 80.18565; pivotY: 287.4002}
{file: DummyMale_Loop_Able_Dizzy-187.png; pivotX: 79.83839; pivotY: 284.4785}
{file: DummyMale_Loop_Able_Dizzy-188.png; pivotX: 80.18208; pivotY: 283.4993}
{file: DummyMale_Loop_Able_Dizzy-189.png; pivotX: 80.67432; pivotY: 287.4908}
{file: DummyMale_Loop_Able_Dizzy-190.png; pivotX: 81.13919; pivotY: 290.5336}
{file: DummyMale_Loop_Able_Dizzy-191.png; pivotX: 81.60362; pivotY: 291.6266}
{file: DummyMale_Loop_Able_Dizzy-192.png; pivotX: 82.02852; pivotY: 292.641}
{file: DummyMale_Loop_Able_Dizzy-193.png; pivotX: 82.61026; pivotY: 290.6487}
{file: DummyMale_Loop_Able_Dizzy-194.png; pivotX: 83.37667; pivotY: 285.6168}
{file: DummyMale_Loop_Able_Dizzy-195.png; pivotX: 84.12198; pivotY: 282.562}
{file: DummyMale_Loop_Able_Dizzy-196.png; pivotX: 84.15918; pivotY: 284.5768}
{file: DummyMale_Loop_Able_Dizzy-197.png; pivotX: 85.0113; pivotY: 285.6795}
{file: DummyMale_Loop_Able_Dizzy-198.png; pivotX: 84.83422; pivotY: 285.775}
{file: DummyMale_Loop_Able_Dizzy-199.png; pivotX: 85.39427; pivotY: 285.7411}
{file: DummyMale_Loop_Able_Dizzy-200.png; pivotX: 86.13522; pivotY: 285.6753}
{file: DummyMale_Loop_Able_Dizzy-201.png; pivotX: 86.29964; pivotY: 286.625}
{file: DummyMale_Loop_Able_Dizzy-202.png; pivotX: 86.86301; pivotY: 288.5828}
{file: DummyMale_Loop_Able_Dizzy-203.png; pivotX: 87.31743; pivotY: 290.5895}
{file: DummyMale_Loop_Able_Dizzy-204.png; pivotX: 87.58258; pivotY: 293.5941}
{file: DummyMale_Loop_Able_Dizzy-205.png; pivotX: 87.83448; pivotY: 295.6505}
{file: DummyMale_Loop_Able_Dizzy-206.png; pivotX: 88.14074; pivotY: 297.6497}
{file: DummyMale_Loop_Able_Dizzy-207.png; pivotX: 88.48564; pivotY: 299.5872}
{file: DummyMale_Loop_Able_Dizzy-208.png; pivotX: 88.89053; pivotY: 300.5001}
{file: DummyMale_Loop_Able_Dizzy-209.png; pivotX: 89.12966; pivotY: 301.3939}
{file: DummyMale_Loop_Able_Dizzy-210.png; pivotX: 89.31783; pivotY: 301.3493}
{file: DummyMale_Loop_Able_Dizzy-211.png; pivotX: 89.42384; pivotY: 300.373}
{file: DummyMale_Loop_Able_Dizzy-212.png; pivotX: 89.73462; pivotY: 300.387}
{file: DummyMale_Loop_Able_Dizzy-213.png; pivotX: 89.66101; pivotY: 300.4613}
{file: DummyMale_Loop_Able_Dizzy-214.png; pivotX: 89.58128; pivotY: 300.5675}
{file: DummyMale_Loop_Able_Dizzy-215.png; pivotX: 89.66326; pivotY: 301.6364}
{file: DummyMale_Loop_Able_Dizzy-216.png; pivotX: 89.43177; pivotY: 301.744}
{file: DummyMale_Loop_Able_Dizzy-217.png; pivotX: 89.1113; pivotY: 301.8467}
{file: DummyMale_Loop_Able_Dizzy-218.png; pivotX: 88.77822; pivotY: 300.9778}
{file: DummyMale_Loop_Able_Dizzy-219.png; pivotX: 88.41496; pivotY: 301.0311}
{file: DummyMale_Loop_Able_Dizzy-220.png; pivotX: 88.06513; pivotY: 301.0698}
{file: DummyMale_Loop_Able_Dizzy-221.png; pivotX: 87.74004; pivotY: 301.0914}
{file: DummyMale_Loop_Able_Dizzy-222.png; pivotX: 87.48932; pivotY: 300.1297}
{file: DummyMale_Loop_Able_Dizzy-223.png; pivotX: 87.20547; pivotY: 300.1228}
{file: DummyMale_Loop_Able_Dizzy-224.png; pivotX: 86.88869; pivotY: 300.1235}
{file: DummyMale_Loop_Able_Dizzy-225.png; pivotX: 87.04169; pivotY: 300.1296}
{file: DummyMale_Loop_Able_Dizzy-226.png; pivotX: 86.66903; pivotY: 300.1402}
{file: DummyMale_Loop_Able_Dizzy-227.png; pivotX: 86.27435; pivotY: 300.1541}
{file: DummyMale_Loop_Able_Dizzy-228.png; pivotX: 85.86155; pivotY: 300.1703}
{file: DummyMale_Loop_Able_Dizzy-229.png; pivotX: 85.38653; pivotY: 301.1478}
{file: DummyMale_Loop_Able_Dizzy-230.png; pivotX: 84.93896; pivotY: 301.1624}
{file: DummyMale_Loop_Able_Dizzy-231.png; pivotX: 84.47186; pivotY: 301.1798}
{file: DummyMale_Loop_Able_Dizzy-232.png; pivotX: 84.57203; pivotY: 302.1087}
{file: DummyMale_Loop_Able_Dizzy-233.png; pivotX: 84.36555; pivotY: 302.0117}
{file: DummyMale_Loop_Able_Dizzy-234.png; pivotX: 84.1857; pivotY: 301.8957}
{file: DummyMale_Loop_Able_Dizzy-235.png; pivotX: 83.84965; pivotY: 302.7416}
{file: DummyMale_Loop_Able_Dizzy-236.png; pivotX: 83.39317; pivotY: 302.6064}
{file: DummyMale_Loop_Able_Dizzy-237.png; pivotX: 82.76307; pivotY: 303.4657}
{file: DummyMale_Loop_Able_Dizzy-238.png; pivotX: 81.66518; pivotY: 303.4017}
{file: DummyMale_Loop_Able_Dizzy-239.png; pivotX: 81.1785; pivotY: 303.3522}
{file: DummyMale_Loop_Able_Dizzy-240.png; pivotX: 80.85613; pivotY: 304.276}
{file: DummyMale_Loop_Able_Dizzy-241.png; pivotX: 80.87991; pivotY: 304.2578}
{file: DummyMale_Loop_Able_Dizzy-242.png; pivotX: 81.04464; pivotY: 305.2325}
{file: DummyMale_Loop_Able_Dizzy-243.png; pivotX: 80.77475; pivotY: 306.2479}
{file: DummyMale_Loop_Able_Dizzy-244.png; pivotX: 81.11382; pivotY: 306.3546}
{file: DummyMale_Loop_Able_Dizzy-245.png; pivotX: 81.45432; pivotY: 307.4472}
{file: DummyMale_Loop_Able_Dizzy-246.png; pivotX: 81.88905; pivotY: 308.504}
{file: DummyMale_Loop_Able_Dizzy-247.png; pivotX: 82.43694; pivotY: 309.5508}
{file: DummyMale_Loop_Able_Dizzy-248.png; pivotX: 83.11517; pivotY: 310.5801}
{file: DummyMale_Loop_Able_Dizzy-249.png; pivotX: 83.96191; pivotY: 310.6237}
{file: DummyMale_Loop_Able_Dizzy-250.png; pivotX: 84.66741; pivotY: 311.6005}
{file: DummyMale_Loop_Able_Dizzy-251.png; pivotX: 84.69669; pivotY: 312.5472}
{file: DummyMale_Loop_Able_Dizzy-252.png; pivotX: 84.81111; pivotY: 312.5039}
{file: DummyMale_Loop_Able_Dizzy-253.png; pivotX: 85.79031; pivotY: 313.3916}
{file: DummyMale_Loop_Able_Dizzy-254.png; pivotX: 86.31857; pivotY: 313.3008}
{file: DummyMale_Loop_Able_Dizzy-255.png; pivotX: 87.263; pivotY: 313.2401}
{file: DummyMale_Loop_Able_Dizzy-256.png; pivotX: 88.09835; pivotY: 313.2216}
{file: DummyMale_Loop_Able_Dizzy-257.png; pivotX: 88.38941; pivotY: 313.2213}
{file: DummyMale_Loop_Able_Dizzy-258.png; pivotX: 89.15845; pivotY: 313.2335}
{file: DummyMale_Loop_Able_Dizzy-259.png; pivotX: 89.39678; pivotY: 313.2632}
{file: DummyMale_Loop_Able_Dizzy-260.png; pivotX: 89.93975; pivotY: 312.3493}
{file: DummyMale_Loop_Able_Dizzy-261.png; pivotX: 90.72562; pivotY: 312.4092}
{file: DummyMale_Loop_Able_Dizzy-262.png; pivotX: 91.32711; pivotY: 312.4723}
{file: DummyMale_Loop_Able_Dizzy-263.png; pivotX: 91.92834; pivotY: 311.5657}
{file: DummyMale_Loop_Able_Dizzy-264.png; pivotX: 92.67693; pivotY: 310.6439}
{file: DummyMale_Loop_Able_Dizzy-265.png; pivotX: 93.48242; pivotY: 310.6622}
{file: DummyMale_Loop_Able_Dizzy-266.png; pivotX: 94.48834; pivotY: 309.6987}
{file: DummyMale_Loop_Able_Dizzy-267.png; pivotX: 94.5591; pivotY: 310.7007}
{file: DummyMale_Loop_Able_Dizzy-268.png; pivotX: 95.41668; pivotY: 310.747}
{file: DummyMale_Loop_Able_Dizzy-269.png; pivotX: 95.51442; pivotY: 310.7616}
{file: DummyMale_Loop_Able_Dizzy-270.png; pivotX: 95.8412; pivotY: 310.7544}
{file: DummyMale_Loop_Able_Dizzy-271.png; pivotX: 96.27866; pivotY: 311.7505}
{file: DummyMale_Loop_Able_Dizzy-272.png; pivotX: 96.42758; pivotY: 311.8202}
{file: DummyMale_Loop_Able_Dizzy-273.png; pivotX: 96.29047; pivotY: 311.8773}
{file: DummyMale_Loop_Able_Dizzy-274.png; pivotX: 96.42738; pivotY: 311.9218}
{file: DummyMale_Loop_Able_Dizzy-275.png; pivotX: 96.27511; pivotY: 311.9552}
{file: DummyMale_Loop_Able_Dizzy-276.png; pivotX: 95.72407; pivotY: 311.9796}
{file: DummyMale_Loop_Able_Dizzy-277.png; pivotX: 95.23196; pivotY: 312.0207}
{file: DummyMale_Loop_Able_Dizzy-278.png; pivotX: 94.2412; pivotY: 312.0895}
{file: DummyMale_Loop_Able_Dizzy-279.png; pivotX: 93.68868; pivotY: 312.1671}
{file: DummyMale_Loop_Able_Dizzy-280.png; pivotX: 92.51287; pivotY: 312.234}
{file: DummyMale_Loop_Able_Dizzy-281.png; pivotX: 91.17203; pivotY: 312.2721}
{file: DummyMale_Loop_Able_Dizzy-282.png; pivotX: 90.13586; pivotY: 312.2507}
{file: DummyMale_Loop_Able_Dizzy-283.png; pivotX: 89.48739; pivotY: 312.108}
{file: DummyMale_Loop_Able_Dizzy-284.png; pivotX: 88.94277; pivotY: 312.916}
