{file: DummyMale_Block_Loop-0.png; pivotX: 117.0964; pivotY: 329.6514}
{file: DummyMale_Block_Loop-121.png; pivotX: 116.8951; pivotY: 326.1576}
{file: DummyMale_Block_Loop-122.png; pivotX: 116.9574; pivotY: 326.1409}
{file: DummyMale_Block_Loop-123.png; pivotX: 117.008; pivotY: 326.1258}
{file: DummyMale_Block_Loop-124.png; pivotX: 116.5629; pivotY: 327.0784}
{file: DummyMale_Block_Loop-125.png; pivotX: 116.614; pivotY: 327.0662}
{file: DummyMale_Block_Loop-126.png; pivotX: 116.6694; pivotY: 327.0478}
{file: DummyMale_Block_Loop-127.png; pivotX: 116.7236; pivotY: 327.0307}
{file: DummyMale_Block_Loop-128.png; pivotX: 116.7822; pivotY: 327.9796}
{file: DummyMale_Block_Loop-129.png; pivotX: 116.8395; pivotY: 327.959}
{file: DummyMale_Block_Loop-130.png; pivotX: 116.9001; pivotY: 327.9365}
{file: DummyMale_Block_Loop-131.png; pivotX: 116.9548; pivotY: 327.9109}
{file: DummyMale_Block_Loop-132.png; pivotX: 117.0089; pivotY: 328.854}
{file: DummyMale_Block_Loop-133.png; pivotX: 116.5674; pivotY: 328.8275}
{file: DummyMale_Block_Loop-134.png; pivotX: 116.6219; pivotY: 328.7962}
{file: DummyMale_Block_Loop-135.png; pivotX: 116.6691; pivotY: 328.7653}
{file: DummyMale_Block_Loop-136.png; pivotX: 116.7257; pivotY: 329.7022}
{file: DummyMale_Block_Loop-137.png; pivotX: 116.7686; pivotY: 329.6741}
{file: DummyMale_Block_Loop-138.png; pivotX: 116.8111; pivotY: 329.6389}
{file: DummyMale_Block_Loop-139.png; pivotX: 116.9296; pivotY: 329.6365}
