{file: Rasputin_Win-0.png; posX: 2.980232E-10; posY: 0}
{file: Rasputin_Win-83.png; posX: 0.2042726; posY: 0.1495712}
{file: Rasputin_Win-84.png; posX: 0.2014603; posY: 0.1504666}
{file: Rasputin_Win-85.png; posX: 0.197836; posY: 0.1506119}
{file: Rasputin_Win-86.png; posX: 0.1931581; posY: 0.1499822}
{file: Rasputin_Win-87.png; posX: 0.1871852; posY: 0.1485524}
{file: Rasputin_Win-88.png; posX: 0.1796756; posY: 0.1462976}
{file: Rasputin_Win-89.png; posX: 0.1703877; posY: 0.143193}
{file: Rasputin_Win-90.png; posX: 0.1595178; posY: 0.1392135}
{file: Rasputin_Win-91.png; posX: 0.1475466; posY: 0.1343341}
{file: Rasputin_Win-92.png; posX: 0.1346595; posY: 0.1285301}
{file: Rasputin_Win-93.png; posX: 0.1210415; posY: 0.1217764}
{file: Rasputin_Win-94.png; posX: 0.1068779; posY: 0.1145556}
{file: Rasputin_Win-95.png; posX: 0.09235392; posY: 0.107435}
{file: Rasputin_Win-96.png; posX: 0.0776547; posY: 0.1005167}
{file: Rasputin_Win-97.png; posX: 0.06296546; posY: 0.09390283}
{file: Rasputin_Win-98.png; posX: 0.04847129; posY: 0.0876953}
{file: Rasputin_Win-99.png; posX: 0.03435762; posY: 0.08199632}
{file: Rasputin_Win-100.png; posX: 0.02080956; posY: 0.07690787}
{file: Rasputin_Win-101.png; posX: 0.007936241; posY: 0.07253206}
{file: Rasputin_Win-102.png; posX: -0.004741265; posY: 0.06897098}
{file: Rasputin_Win-103.png; posX: -0.01720795; posY: 0.06632656}
{file: Rasputin_Win-104.png; posX: -0.02939549; posY: 0.06470102}
{file: Rasputin_Win-105.png; posX: -0.04123243; posY: 0.06419635}
{file: Rasputin_Win-106.png; posX: -0.05267143; posY: 0.06431574}
{file: Rasputin_Win-107.png; posX: -0.06366543; posY: 0.06448686}
{file: Rasputin_Win-108.png; posX: -0.07455166; posY: 0.0646984}
{file: Rasputin_Win-109.png; posX: -0.08557756; posY: 0.06493902}
{file: Rasputin_Win-110.png; posX: -0.09656126; posY: 0.06519735}
{file: Rasputin_Win-111.png; posX: -0.1070566; posY: 0.06546223}
{file: Rasputin_Win-112.png; posX: -0.1163223; posY: 0.06572223}
{file: Rasputin_Win-113.png; posX: -0.1237334; posY: 0.06596607}
{file: Rasputin_Win-114.png; posX: -0.1286653; posY: 0.06618243}
{file: Rasputin_Win-115.png; posX: -0.1304932; posY: 0.06636}
{file: Rasputin_Win-116.png; posX: -0.1290734; posY: 0.06648755}
{file: Rasputin_Win-117.png; posX: -0.1251465; posY: 0.06655365}
{file: Rasputin_Win-118.png; posX: -0.1194141; posY: 0.0665471}
{file: Rasputin_Win-119.png; posX: -0.112578; posY: 0.0664565}
{file: Rasputin_Win-120.png; posX: -0.1053399; posY: 0.06627059}
{file: Rasputin_Win-121.png; posX: -0.09840134; posY: 0.06597805}
{file: Rasputin_Win-122.png; posX: -0.09170993; posY: 0.06556755}
{file: Rasputin_Win-123.png; posX: -0.08464395; posY: 0.06502777}
{file: Rasputin_Win-124.png; posX: -0.0770518; posY: 0.06434751}
{file: Rasputin_Win-125.png; posX: -0.0692421; posY: 0.06351531}
{file: Rasputin_Win-126.png; posX: -0.0615926; posY: 0.06251997}
{file: Rasputin_Win-127.png; posX: -0.0540549; posY: 0.06135011}
{file: Rasputin_Win-128.png; posX: -0.04627689; posY: 0.05999446}
{file: Rasputin_Win-129.png; posX: -0.03823775; posY: 0.0584417}
{file: Rasputin_Win-130.png; posX: -0.03038607; posY: 0.05668056}
{file: Rasputin_Win-131.png; posX: -0.02317041; posY: 0.0546996}
{file: Rasputin_Win-132.png; posX: -0.01703938; posY: 0.05248767}
{file: Rasputin_Win-133.png; posX: -0.01235412; posY: 0.05003339}
{file: Rasputin_Win-134.png; posX: -0.009670833; posY: 0.04732543}
{file: Rasputin_Win-135.png; posX: -0.009466946; posY: 0.04446959}
{file: Rasputin_Win-136.png; posX: -0.01137848; posY: 0.04176772}
{file: Rasputin_Win-137.png; posX: -0.01488447; posY: 0.0395025}
{file: Rasputin_Win-138.png; posX: -0.01946405; posY: 0.03795671}
{file: Rasputin_Win-139.png; posX: -0.02483976; posY: 0.03741306}
{file: Rasputin_Win-140.png; posX: -0.03105054; posY: 0.03815436}
{file: Rasputin_Win-141.png; posX: -0.0380497; posY: 0.04046327}
{file: Rasputin_Win-142.png; posX: -0.04569552; posY: 0.04380691}
{file: Rasputin_Win-143.png; posX: -0.05369029; posY: 0.04738665}
{file: Rasputin_Win-144.png; posX: -0.06175335; posY: 0.05108649}
{file: Rasputin_Win-145.png; posX: -0.06960399; posY: 0.05479038}
{file: Rasputin_Win-146.png; posX: -0.07696157; posY: 0.05838233}
{file: Rasputin_Win-147.png; posX: -0.08354539; posY: 0.06174636}
{file: Rasputin_Win-148.png; posX: -0.08907478; posY: 0.06476653}
{file: Rasputin_Win-149.png; posX: -0.09296478; posY: 0.06732678}
{file: Rasputin_Win-150.png; posX: -0.09446084; posY: 0.06931108}
{file: Rasputin_Win-151.png; posX: -0.09302802; posY: 0.07060355}
{file: Rasputin_Win-152.png; posX: -0.0888791; posY: 0.07108814}
{file: Rasputin_Win-153.png; posX: -0.08336398; posY: 0.07064879}
{file: Rasputin_Win-154.png; posX: -0.07765281; posY: 0.0697006}
{file: Rasputin_Win-155.png; posX: -0.07214658; posY: 0.06873816}
{file: Rasputin_Win-156.png; posX: -0.0664145; posY: 0.06776488}
{file: Rasputin_Win-157.png; posX: -0.06037918; posY: 0.06678408}
{file: Rasputin_Win-158.png; posX: -0.05396323; posY: 0.0657993}
{file: Rasputin_Win-159.png; posX: -0.04724399; posY: 0.06481379}
{file: Rasputin_Win-160.png; posX: -0.04043743; posY: 0.06383103}
{file: Rasputin_Win-161.png; posX: -0.03367414; posY: 0.06285441}
{file: Rasputin_Win-162.png; posX: -0.02708471; posY: 0.06188732}
{file: Rasputin_Win-163.png; posX: -0.02079969; posY: 0.06093317}
{file: Rasputin_Win-164.png; posX: -0.01494969; posY: 0.05999529}
{file: Rasputin_Win-165.png; posX: -0.009665269; posY: 0.0590772}
{file: Rasputin_Win-166.png; posX: -0.005077012; posY: 0.05818218}
{file: Rasputin_Win-167.png; posX: -0.00131547; posY: 0.05731362}
{file: Rasputin_Win-168.png; posX: 0.001517509; posY: 0.05647504}
{file: Rasputin_Win-169.png; posX: 0.002958983; posY: 0.05566978}
{file: Rasputin_Win-170.png; posX: 0.002644053; posY: 0.05490118}
{file: Rasputin_Win-171.png; posX: 0.0009045171; posY: 0.05417269}
{file: Rasputin_Win-172.png; posX: -0.001920182; posY: 0.05348766}
{file: Rasputin_Win-173.png; posX: -0.005477841; posY: 0.05284959}
{file: Rasputin_Win-174.png; posX: -0.009479308; posY: 0.05226177}
{file: Rasputin_Win-175.png; posX: -0.01350964; posY: 0.05172765}
{file: Rasputin_Win-176.png; posX: -0.01725332; posY: 0.05125058}
{file: Rasputin_Win-177.png; posX: -0.02042226; posY: 0.05083406}
{file: Rasputin_Win-178.png; posX: -0.02264266; posY: 0.05048132}
{file: Rasputin_Win-179.png; posX: -0.02373457; posY: 0.05019593}
{file: Rasputin_Win-180.png; posX: -0.02417284; posY: 0.04998118}
{file: Rasputin_Win-181.png; posX: -0.0243117; posY: 0.04984051}
{file: Rasputin_Win-182.png; posX: -0.02413889; posY: 0.04977733}
{file: Rasputin_Win-183.png; posX: -0.02371313; posY: 0.04979497}
{file: Rasputin_Win-184.png; posX: -0.02309315; posY: 0.0498969}
{file: Rasputin_Win-185.png; posX: -0.02233765; posY: 0.05008644}
{file: Rasputin_Win-186.png; posX: -0.02150535; posY: 0.05036706}
{file: Rasputin_Win-187.png; posX: -0.02065497; posY: 0.05074215}
{file: Rasputin_Win-188.png; posX: -0.01984523; posY: 0.05121505}
{file: Rasputin_Win-189.png; posX: -0.01913483; posY: 0.05171508}
{file: Rasputin_Win-190.png; posX: -0.0185825; posY: 0.0521701}
{file: Rasputin_Win-191.png; posX: -0.01826617; posY: 0.05258167}
{file: Rasputin_Win-192.png; posX: -0.01849489; posY: 0.05295128}
{file: Rasputin_Win-193.png; posX: -0.01774215; posY: 0.05328041}
{file: Rasputin_Win-194.png; posX: -0.01652047; posY: 0.05357057}
{file: Rasputin_Win-195.png; posX: -0.01524144; posY: 0.05382323}
{file: Rasputin_Win-196.png; posX: -0.01390204; posY: 0.05403984}
{file: Rasputin_Win-197.png; posX: -0.01256337; posY: 0.05422193}
{file: Rasputin_Win-198.png; posX: -0.01128647; posY: 0.054371}
{file: Rasputin_Win-199.png; posX: -0.01013242; posY: 0.05448854}
{file: Rasputin_Win-200.png; posX: -0.009162276; posY: 0.05457604}
{file: Rasputin_Win-201.png; posX: -0.008437103; posY: 0.05463493}
{file: Rasputin_Win-202.png; posX: -0.007930827; posY: 0.05466682}
{file: Rasputin_Win-203.png; posX: -0.007554857; posY: 0.05467308}
{file: Rasputin_Win-204.png; posX: -0.007276477; posY: 0.05465519}
{file: Rasputin_Win-205.png; posX: -0.007062975; posY: 0.05461478}
{file: Rasputin_Win-206.png; posX: -0.006900415; posY: 0.05455321}
{file: Rasputin_Win-207.png; posX: -0.006790292; posY: 0.05447209}
{file: Rasputin_Win-208.png; posX: -0.006723036; posY: 0.05437279}
{file: Rasputin_Win-209.png; posX: -0.006689081; posY: 0.0542568}
{file: Rasputin_Win-210.png; posX: -0.006678857; posY: 0.05412573}
{file: Rasputin_Win-211.png; posX: -0.006682797; posY: 0.05398095}
{file: Rasputin_Win-212.png; posX: -0.006691332; posY: 0.05382401}
{file: Rasputin_Win-213.png; posX: -0.006694893; posY: 0.05365634}
{file: Rasputin_Win-214.png; posX: -0.006683914; posY: 0.05347955}
{file: Rasputin_Win-215.png; posX: -0.006648825; posY: 0.05329502}
{file: Rasputin_Win-216.png; posX: -0.006596745; posY: 0.05310428}
{file: Rasputin_Win-217.png; posX: -0.006542088; posY: 0.05290884}
{file: Rasputin_Win-218.png; posX: -0.00648622; posY: 0.05271012}
{file: Rasputin_Win-219.png; posX: -0.00643051; posY: 0.05250967}
{file: Rasputin_Win-220.png; posX: -0.006376327; posY: 0.05230898}
{file: Rasputin_Win-221.png; posX: -0.006325038; posY: 0.05210948}
{file: Rasputin_Win-222.png; posX: -0.006278011; posY: 0.05191278}
{file: Rasputin_Win-223.png; posX: -0.006236616; posY: 0.05172026}
{file: Rasputin_Win-224.png; posX: -0.006202219; posY: 0.0515334}
{file: Rasputin_Win-225.png; posX: -0.00617619; posY: 0.05135375}
{file: Rasputin_Win-226.png; posX: -0.006159897; posY: 0.05118281}
{file: Rasputin_Win-227.png; posX: -0.006154708; posY: 0.05102205}
{file: Rasputin_Win-228.png; posX: -0.006161991; posY: 0.05087292}
{file: Rasputin_Win-229.png; posX: -0.006183114; posY: 0.05073702}
{file: Rasputin_Win-230.png; posX: -0.006219446; posY: 0.05061567}
{file: Rasputin_Win-231.png; posX: -0.006272355; posY: 0.05051053}
{file: Rasputin_Win-232.png; posX: -0.006343209; posY: 0.05042297}
{file: Rasputin_Win-233.png; posX: -0.006433377; posY: 0.05035454}
{file: Rasputin_Win-234.png; posX: -0.006544225; posY: 0.05030668}
{file: Rasputin_Win-235.png; posX: -0.006677125; posY: 0.05028093}
{file: Rasputin_Win-236.png; posX: -0.006833442; posY: 0.05027878}
{file: Rasputin_Win-237.png; posX: -0.007014545; posY: 0.05030167}
{file: Rasputin_Win-238.png; posX: -0.007221803; posY: 0.05034316}
{file: Rasputin_Win-239.png; posX: -0.007452352; posY: 0.05039591}
{file: Rasputin_Win-240.png; posX: -0.00770025; posY: 0.05046016}
{file: Rasputin_Win-241.png; posX: -0.007962285; posY: 0.05053616}
{file: Rasputin_Win-242.png; posX: -0.008235215; posY: 0.05062425}
{file: Rasputin_Win-243.png; posX: -0.00851583; posY: 0.05072469}
{file: Rasputin_Win-244.png; posX: -0.008800887; posY: 0.0508377}
{file: Rasputin_Win-245.png; posX: -0.009087175; posY: 0.05096358}
{file: Rasputin_Win-246.png; posX: -0.00937146; posY: 0.05110252}
{file: Rasputin_Win-247.png; posX: -0.009650508; posY: 0.05125493}
{file: Rasputin_Win-248.png; posX: -0.009921107; posY: 0.05142099}
{file: Rasputin_Win-249.png; posX: -0.01018002; posY: 0.05160093}
{file: Rasputin_Win-250.png; posX: -0.01042402; posY: 0.05179513}
{file: Rasputin_Win-251.png; posX: -0.01064989; posY: 0.05200374}
{file: Rasputin_Win-252.png; posX: -0.0108544; posY: 0.05222708}
{file: Rasputin_Win-253.png; posX: -0.01103431; posY: 0.05246544}
{file: Rasputin_Win-254.png; posX: -0.01118641; posY: 0.05271912}
{file: Rasputin_Win-255.png; posX: -0.0112545; posY: 0.05298823}
{file: Rasputin_Win-256.png; posX: -0.01116293; posY: 0.0532732}
{file: Rasputin_Win-257.png; posX: -0.01087932; posY: 0.0535742}
{file: Rasputin_Win-258.png; posX: -0.01044832; posY: 0.0538916}
{file: Rasputin_Win-259.png; posX: -0.009979394; posY: 0.05422556}
