{file: Rasputin_Special_1-0.png; pivotX: 168.7837; pivotY: 329.9437}
{file: Rasputin_Special_1-48.png; pivotX: 184.493; pivotY: 293.9649}
{file: Rasputin_Special_1-49.png; pivotX: 183.9032; pivotY: 296.5737}
{file: Rasputin_Special_1-50.png; pivotX: 183.7993; pivotY: 299.2076}
{file: Rasputin_Special_1-51.png; pivotX: 183.4745; pivotY: 301.901}
{file: Rasputin_Special_1-52.png; pivotX: 183.5361; pivotY: 303.8472}
{file: Rasputin_Special_1-53.png; pivotX: 183.9236; pivotY: 306.7317}
{file: Rasputin_Special_1-54.png; pivotX: 184.2915; pivotY: 308.9059}
{file: Rasputin_Special_1-55.png; pivotX: 184.85; pivotY: 311.2159}
{file: Rasputin_Special_1-56.png; pivotX: 185.4861; pivotY: 313.6711}
{file: Rasputin_Special_1-57.png; pivotX: 186.8394; pivotY: 316.2307}
{file: Rasputin_Special_1-58.png; pivotX: 188.19; pivotY: 318.8415}
{file: Rasputin_Special_1-59.png; pivotX: 189.0435; pivotY: 320.4999}
{file: Rasputin_Special_1-60.png; pivotX: 189.3994; pivotY: 322.5154}
{file: Rasputin_Special_1-61.png; pivotX: 189.7648; pivotY: 323.5959}
{file: Rasputin_Special_1-62.png; pivotX: 189.6394; pivotY: 324.6437}
{file: Rasputin_Special_1-63.png; pivotX: 189.025; pivotY: 325.7137}
{file: Rasputin_Special_1-64.png; pivotX: 187.9271; pivotY: 326.0308}
{file: Rasputin_Special_1-65.png; pivotX: 186.3516; pivotY: 324.8267}
{file: Rasputin_Special_1-66.png; pivotX: 184.2911; pivotY: 323.7957}
{file: Rasputin_Special_1-67.png; pivotX: 181.7488; pivotY: 322.9674}
{file: Rasputin_Special_1-68.png; pivotX: 178.7347; pivotY: 320.7376}
{file: Rasputin_Special_1-69.png; pivotX: 175.2349; pivotY: 318.7916}
{file: Rasputin_Special_1-70.png; pivotX: 171.7485; pivotY: 320.3382}
{file: Rasputin_Special_1-71.png; pivotX: 168.2712; pivotY: 321.3612}
{file: Rasputin_Special_1-72.png; pivotX: 164.2983; pivotY: 321.8604}
{file: Rasputin_Special_1-73.png; pivotX: 160.3398; pivotY: 321.8292}
{file: Rasputin_Special_1-74.png; pivotX: 161.2178; pivotY: 321.3223}
{file: Rasputin_Special_1-75.png; pivotX: 153.911; pivotY: 324.0392}
{file: Rasputin_Special_1-76.png; pivotX: 147.3187; pivotY: 325.3714}
{file: Rasputin_Special_1-77.png; pivotX: 142.731; pivotY: 327.0056}
{file: Rasputin_Special_1-78.png; pivotX: 142.0911; pivotY: 327.3773}
{file: Rasputin_Special_1-79.png; pivotX: 143.7979; pivotY: 328.0714}
{file: Rasputin_Special_1-80.png; pivotX: 146.7322; pivotY: 328.5217}
{file: Rasputin_Special_1-81.png; pivotX: 150.3513; pivotY: 328.0689}
{file: Rasputin_Special_1-82.png; pivotX: 154.7116; pivotY: 330.4279}
{file: Rasputin_Special_1-83.png; pivotX: 158.2636; pivotY: 333.3537}
{file: Rasputin_Special_1-84.png; pivotX: 161.357; pivotY: 336.5001}
{file: Rasputin_Special_1-85.png; pivotX: 164.1434; pivotY: 339.0389}
{file: Rasputin_Special_1-86.png; pivotX: 166.2088; pivotY: 340.9754}
{file: Rasputin_Special_1-87.png; pivotX: 167.0725; pivotY: 342.3046}
{file: Rasputin_Special_1-88.png; pivotX: 167.2547; pivotY: 342.155}
{file: Rasputin_Special_1-89.png; pivotX: 167.2722; pivotY: 342.0868}
{file: Rasputin_Special_1-90.png; pivotX: 166.8001; pivotY: 341.1875}
{file: Rasputin_Special_1-91.png; pivotX: 165.8266; pivotY: 340.3033}
{file: Rasputin_Special_1-92.png; pivotX: 164.8551; pivotY: 338.6077}
{file: Rasputin_Special_1-93.png; pivotX: 163.3739; pivotY: 336.945}
{file: Rasputin_Special_1-94.png; pivotX: 162.3787; pivotY: 335.3087}
{file: Rasputin_Special_1-95.png; pivotX: 161.3572; pivotY: 334.538}
{file: Rasputin_Special_1-96.png; pivotX: 160.3289; pivotY: 333.027}
{file: Rasputin_Special_1-97.png; pivotX: 165.5362; pivotY: 331.7008}
{file: Rasputin_Special_1-98.png; pivotX: 168.5669; pivotY: 330.5952}
{file: Rasputin_Special_1-99.png; pivotX: 167.889; pivotY: 329.678}
{file: Rasputin_Special_1-100.png; pivotX: 165.4474; pivotY: 329.0048}
{file: Rasputin_Special_1-101.png; pivotX: 162.2726; pivotY: 327.7865}
{file: Rasputin_Special_1-102.png; pivotX: 158.628; pivotY: 326.8195}
{file: Rasputin_Special_1-103.png; pivotX: 155.1477; pivotY: 325.236}
{file: Rasputin_Special_1-104.png; pivotX: 151.8805; pivotY: 326.6862}
{file: Rasputin_Special_1-105.png; pivotX: 148.8159; pivotY: 327.3258}
{file: Rasputin_Special_1-106.png; pivotX: 145.909; pivotY: 327.9296}
{file: Rasputin_Special_1-107.png; pivotX: 143.6867; pivotY: 328.9952}
{file: Rasputin_Special_1-108.png; pivotX: 141.8405; pivotY: 328.9973}
{file: Rasputin_Special_1-109.png; pivotX: 140.4976; pivotY: 329.141}
{file: Rasputin_Special_1-110.png; pivotX: 140.7197; pivotY: 329.4258}
{file: Rasputin_Special_1-111.png; pivotX: 140.3211; pivotY: 329.1479}
{file: Rasputin_Special_1-112.png; pivotX: 140.4048; pivotY: 329.1566}
{file: Rasputin_Special_1-113.png; pivotX: 140.7379; pivotY: 329.1651}
{file: Rasputin_Special_1-114.png; pivotX: 140.4812; pivotY: 329.2078}
{file: Rasputin_Special_1-115.png; pivotX: 140.735; pivotY: 328.4316}
{file: Rasputin_Special_1-116.png; pivotX: 140.9245; pivotY: 327.7245}
{file: Rasputin_Special_1-117.png; pivotX: 140.9263; pivotY: 327.0863}
{file: Rasputin_Special_1-118.png; pivotX: 140.6309; pivotY: 326.5395}
{file: Rasputin_Special_1-119.png; pivotX: 140.4021; pivotY: 325.3399}
{file: Rasputin_Special_1-120.png; pivotX: 141.812; pivotY: 325.2375}
{file: Rasputin_Special_1-121.png; pivotX: 143.8439; pivotY: 325.2613}
{file: Rasputin_Special_1-122.png; pivotX: 145.8971; pivotY: 324.567}
{file: Rasputin_Special_1-123.png; pivotX: 147.4651; pivotY: 324.089}
{file: Rasputin_Special_1-124.png; pivotX: 149.053; pivotY: 323.9053}
{file: Rasputin_Special_1-125.png; pivotX: 149.6754; pivotY: 324.2052}
{file: Rasputin_Special_1-126.png; pivotX: 154.2754; pivotY: 324.0547}
{file: Rasputin_Special_1-127.png; pivotX: 157.3717; pivotY: 324.2721}
{file: Rasputin_Special_1-128.png; pivotX: 158.0146; pivotY: 323.9095}
{file: Rasputin_Special_1-129.png; pivotX: 157.8655; pivotY: 324.5164}
{file: Rasputin_Special_1-130.png; pivotX: 157.7279; pivotY: 324.3521}
{file: Rasputin_Special_1-131.png; pivotX: 157.9479; pivotY: 324.2417}
{file: Rasputin_Special_1-132.png; pivotX: 159.7428; pivotY: 325.3201}
{file: Rasputin_Special_1-133.png; pivotX: 162.2877; pivotY: 325.5157}
{file: Rasputin_Special_1-134.png; pivotX: 164.6635; pivotY: 325.6342}
{file: Rasputin_Special_1-135.png; pivotX: 166.1778; pivotY: 326.5374}
{file: Rasputin_Special_1-136.png; pivotX: 167.7213; pivotY: 326.5789}
{file: Rasputin_Special_1-137.png; pivotX: 167.8865; pivotY: 327.4915}
{file: Rasputin_Special_1-138.png; pivotX: 168.3364; pivotY: 327.565}
{file: Rasputin_Special_1-139.png; pivotX: 168.1979; pivotY: 327.651}
{file: Rasputin_Special_1-140.png; pivotX: 168.5766; pivotY: 328.602}
{file: Rasputin_Special_1-141.png; pivotX: 168.5029; pivotY: 328.7105}
{file: Rasputin_Special_1-142.png; pivotX: 168.9117; pivotY: 328.8283}
{file: Rasputin_Special_1-143.png; pivotX: 168.8143; pivotY: 329.8092}
