{file: DummyMale_Idle-0.png; pivotX: 90.6395; pivotY: 313.5387}
{file: DummyMale_Idle-54.png; pivotX: 83.49506; pivotY: 310.6104}
{file: DummyMale_Idle-55.png; pivotX: 82.74178; pivotY: 310.6179}
{file: DummyMale_Idle-56.png; pivotX: 82.61954; pivotY: 309.6871}
{file: DummyMale_Idle-57.png; pivotX: 81.85945; pivotY: 309.6982}
{file: DummyMale_Idle-58.png; pivotX: 81.11474; pivotY: 309.7002}
{file: DummyMale_Idle-59.png; pivotX: 80.92854; pivotY: 308.7418}
{file: DummyMale_Idle-60.png; pivotX: 80.32925; pivotY: 308.7303}
{file: DummyMale_Idle-61.png; pivotX: 80.04766; pivotY: 307.7596}
{file: DummyMale_Idle-62.png; pivotX: 79.83891; pivotY: 307.753}
{file: DummyMale_Idle-63.png; pivotX: 79.84715; pivotY: 307.7752}
{file: DummyMale_Idle-64.png; pivotX: 80.04408; pivotY: 307.7972}
{file: DummyMale_Idle-65.png; pivotX: 80.41498; pivotY: 307.8289}
{file: DummyMale_Idle-66.png; pivotX: 81.06071; pivotY: 307.8579}
{file: DummyMale_Idle-67.png; pivotX: 81.7419; pivotY: 308.8575}
{file: DummyMale_Idle-68.png; pivotX: 82.65323; pivotY: 308.8608}
{file: DummyMale_Idle-69.png; pivotX: 83.49945; pivotY: 309.8486}
{file: DummyMale_Idle-70.png; pivotX: 84.00903; pivotY: 310.772}
{file: DummyMale_Idle-71.png; pivotX: 85.15798; pivotY: 310.71}
{file: DummyMale_Idle-72.png; pivotX: 86.18799; pivotY: 311.6783}
{file: DummyMale_Idle-73.png; pivotX: 87.30999; pivotY: 312.5884}
{file: DummyMale_Idle-74.png; pivotX: 88.44527; pivotY: 312.5996}
{file: DummyMale_Idle-75.png; pivotX: 89.46998; pivotY: 313.5577}
{file: DummyMale_Idle-76.png; pivotX: 90.63948; pivotY: 313.5388}
{file: DummyMale_Idle-77.png; pivotX: 91.86228; pivotY: 314.5305}
{file: DummyMale_Idle-78.png; pivotX: 93.70016; pivotY: 315.5217}
{file: DummyMale_Idle-79.png; pivotX: 95.32562; pivotY: 315.5551}
{file: DummyMale_Idle-80.png; pivotX: 96.88335; pivotY: 315.5906}
{file: DummyMale_Idle-81.png; pivotX: 98.22486; pivotY: 316.5807}
{file: DummyMale_Idle-82.png; pivotX: 99.45737; pivotY: 316.5928}
{file: DummyMale_Idle-83.png; pivotX: 100.4265; pivotY: 316.5909}
{file: DummyMale_Idle-84.png; pivotX: 101.2106; pivotY: 316.5753}
{file: DummyMale_Idle-85.png; pivotX: 101.8345; pivotY: 316.5528}
{file: DummyMale_Idle-86.png; pivotX: 102.2957; pivotY: 315.5559}
{file: DummyMale_Idle-87.png; pivotX: 102.6314; pivotY: 315.5301}
{file: DummyMale_Idle-88.png; pivotX: 103.4125; pivotY: 315.5023}
{file: DummyMale_Idle-89.png; pivotX: 103.7243; pivotY: 314.5052}
{file: DummyMale_Idle-90.png; pivotX: 103.9239; pivotY: 314.4725}
{file: DummyMale_Idle-91.png; pivotX: 104.6003; pivotY: 313.4606}
{file: DummyMale_Idle-92.png; pivotX: 104.7308; pivotY: 312.4505}
{file: DummyMale_Idle-93.png; pivotX: 104.7747; pivotY: 312.417}
{file: DummyMale_Idle-94.png; pivotX: 105.3852; pivotY: 311.4176}
{file: DummyMale_Idle-95.png; pivotX: 105.4666; pivotY: 311.3742}
{file: DummyMale_Idle-96.png; pivotX: 105.6331; pivotY: 310.3673}
{file: DummyMale_Idle-97.png; pivotX: 105.3006; pivotY: 309.3678}
{file: DummyMale_Idle-98.png; pivotX: 105.3659; pivotY: 309.3406}
{file: DummyMale_Idle-99.png; pivotX: 105.0061; pivotY: 309.3206}
{file: DummyMale_Idle-100.png; pivotX: 105.2731; pivotY: 308.3379}
{file: DummyMale_Idle-101.png; pivotX: 105.0223; pivotY: 308.3268}
{file: DummyMale_Idle-102.png; pivotX: 104.7876; pivotY: 308.3199}
{file: DummyMale_Idle-103.png; pivotX: 104.5304; pivotY: 308.3221}
{file: DummyMale_Idle-104.png; pivotX: 104.2565; pivotY: 308.3284}
{file: DummyMale_Idle-105.png; pivotX: 103.4462; pivotY: 308.3451}
{file: DummyMale_Idle-106.png; pivotX: 103.0511; pivotY: 309.3351}
{file: DummyMale_Idle-107.png; pivotX: 102.2572; pivotY: 309.3661}
{file: DummyMale_Idle-108.png; pivotX: 101.3856; pivotY: 310.3708}
{file: DummyMale_Idle-109.png; pivotX: 100.5941; pivotY: 310.4045}
{file: DummyMale_Idle-110.png; pivotX: 99.69268; pivotY: 311.4038}
{file: DummyMale_Idle-111.png; pivotX: 98.74893; pivotY: 311.437}
{file: DummyMale_Idle-112.png; pivotX: 97.67419; pivotY: 312.4415}
{file: DummyMale_Idle-113.png; pivotX: 96.66573; pivotY: 312.4644}
{file: DummyMale_Idle-114.png; pivotX: 95.58826; pivotY: 313.4605}
{file: DummyMale_Idle-115.png; pivotX: 95.17573; pivotY: 313.4957}
{file: DummyMale_Idle-116.png; pivotX: 94.28815; pivotY: 313.5263}
{file: DummyMale_Idle-117.png; pivotX: 93.39556; pivotY: 313.555}
{file: DummyMale_Idle-118.png; pivotX: 92.97733; pivotY: 313.5729}
{file: DummyMale_Idle-119.png; pivotX: 92.00853; pivotY: 313.5794}
{file: DummyMale_Idle-120.png; pivotX: 91.46751; pivotY: 313.5717}
{file: DummyMale_Idle-121.png; pivotX: 90.30893; pivotY: 313.5572}
{file: DummyMale_Idle-122.png; pivotX: 89.59205; pivotY: 313.5345}
{file: DummyMale_Idle-123.png; pivotX: 88.78297; pivotY: 313.5074}
{file: DummyMale_Idle-124.png; pivotX: 87.42596; pivotY: 313.4775}
{file: DummyMale_Idle-125.png; pivotX: 86.75394; pivotY: 312.4848}
{file: DummyMale_Idle-126.png; pivotX: 85.56824; pivotY: 312.4641}
{file: DummyMale_Idle-127.png; pivotX: 85.00905; pivotY: 312.4719}
{file: DummyMale_Idle-128.png; pivotX: 84.16484; pivotY: 311.5206}
{file: DummyMale_Idle-129.png; pivotX: 83.75463; pivotY: 311.5321}
{file: DummyMale_Idle-130.png; pivotX: 83.49554; pivotY: 310.6062}
{file: DummyMale_Idle-131.png; pivotX: 82.74157; pivotY: 310.6202}
{file: DummyMale_Idle-132.png; pivotX: 82.61858; pivotY: 309.6957}
{file: DummyMale_Idle-133.png; pivotX: 81.85855; pivotY: 309.7061}
{file: DummyMale_Idle-134.png; pivotX: 81.11421; pivotY: 309.7044}
{file: DummyMale_Idle-135.png; pivotX: 80.92886; pivotY: 308.7391}
{file: DummyMale_Idle-136.png; pivotX: 80.33027; pivotY: 308.7219}
{file: DummyMale_Idle-137.png; pivotX: 79.92909; pivotY: 308.7207}
{file: DummyMale_Idle-138.png; pivotX: 79.83939; pivotY: 307.7489}
{file: DummyMale_Idle-139.png; pivotX: 79.84585; pivotY: 307.7665}
{file: DummyMale_Idle-140.png; pivotX: 80.04233; pivotY: 307.7849}
{file: DummyMale_Idle-141.png; pivotX: 80.414; pivotY: 307.8219}
{file: DummyMale_Idle-142.png; pivotX: 81.0597; pivotY: 307.8579}
{file: DummyMale_Idle-143.png; pivotX: 81.74181; pivotY: 308.8603}
{file: DummyMale_Idle-144.png; pivotX: 82.65396; pivotY: 308.8651}
{file: DummyMale_Idle-145.png; pivotX: 83.50023; pivotY: 309.8528}
{file: DummyMale_Idle-146.png; pivotX: 84.00979; pivotY: 310.7762}
{file: DummyMale_Idle-147.png; pivotX: 85.15931; pivotY: 310.7174}
{file: DummyMale_Idle-148.png; pivotX: 86.18957; pivotY: 311.6872}
{file: DummyMale_Idle-149.png; pivotX: 87.31004; pivotY: 312.5886}
{file: DummyMale_Idle-150.png; pivotX: 88.44367; pivotY: 312.5918}
{file: DummyMale_Idle-151.png; pivotX: 89.46902; pivotY: 313.5528}
{file: DummyMale_Idle-152.png; pivotX: 90.63961; pivotY: 313.5387}
{file: DummyMale_Idle-153.png; pivotX: 91.86171; pivotY: 314.5318}
{file: DummyMale_Idle-154.png; pivotX: 93.69884; pivotY: 315.5243}
{file: DummyMale_Idle-155.png; pivotX: 95.32513; pivotY: 315.5625}
{file: DummyMale_Idle-156.png; pivotX: 96.88268; pivotY: 315.6009}
{file: DummyMale_Idle-157.png; pivotX: 98.22451; pivotY: 316.5862}
{file: DummyMale_Idle-158.png; pivotX: 99.45737; pivotY: 316.5928}
{file: DummyMale_Idle-159.png; pivotX: 100.4265; pivotY: 316.5911}
{file: DummyMale_Idle-160.png; pivotX: 101.2105; pivotY: 316.5767}
{file: DummyMale_Idle-161.png; pivotX: 101.8345; pivotY: 316.5536}
{file: DummyMale_Idle-162.png; pivotX: 102.2957; pivotY: 315.5559}
{file: DummyMale_Idle-163.png; pivotX: 102.6313; pivotY: 315.5299}
{file: DummyMale_Idle-164.png; pivotX: 103.4124; pivotY: 315.5023}
{file: DummyMale_Idle-165.png; pivotX: 103.7243; pivotY: 314.5045}
{file: DummyMale_Idle-166.png; pivotX: 103.9239; pivotY: 314.4724}
{file: DummyMale_Idle-167.png; pivotX: 104.5997; pivotY: 313.468}
{file: DummyMale_Idle-168.png; pivotX: 104.73; pivotY: 312.4623}
{file: DummyMale_Idle-169.png; pivotX: 104.7747; pivotY: 312.416}
{file: DummyMale_Idle-170.png; pivotX: 105.3861; pivotY: 311.404}
{file: DummyMale_Idle-171.png; pivotX: 105.4672; pivotY: 311.3659}
{file: DummyMale_Idle-172.png; pivotX: 105.633; pivotY: 310.3673}
{file: DummyMale_Idle-173.png; pivotX: 105.3005; pivotY: 309.3687}
{file: DummyMale_Idle-174.png; pivotX: 105.3659; pivotY: 309.3405}
{file: DummyMale_Idle-175.png; pivotX: 105.0061; pivotY: 309.3206}
{file: DummyMale_Idle-176.png; pivotX: 105.2731; pivotY: 308.3379}
{file: DummyMale_Idle-177.png; pivotX: 105.0223; pivotY: 308.3268}
{file: DummyMale_Idle-178.png; pivotX: 104.7876; pivotY: 308.3198}
{file: DummyMale_Idle-179.png; pivotX: 104.5303; pivotY: 308.3222}
{file: DummyMale_Idle-180.png; pivotX: 104.2565; pivotY: 308.3285}
{file: DummyMale_Idle-181.png; pivotX: 103.4461; pivotY: 308.3452}
{file: DummyMale_Idle-182.png; pivotX: 103.051; pivotY: 309.3335}
{file: DummyMale_Idle-183.png; pivotX: 102.2579; pivotY: 309.3563}
{file: DummyMale_Idle-184.png; pivotX: 101.3868; pivotY: 310.3547}
{file: DummyMale_Idle-185.png; pivotX: 100.5949; pivotY: 310.3939}
{file: DummyMale_Idle-186.png; pivotX: 99.69292; pivotY: 311.4011}
{file: DummyMale_Idle-187.png; pivotX: 98.74891; pivotY: 311.4375}
{file: DummyMale_Idle-188.png; pivotX: 97.6741; pivotY: 312.4427}
{file: DummyMale_Idle-189.png; pivotX: 96.66588; pivotY: 312.4624}
{file: DummyMale_Idle-190.png; pivotX: 95.58861; pivotY: 313.456}
{file: DummyMale_Idle-191.png; pivotX: 95.17555; pivotY: 313.4975}
{file: DummyMale_Idle-192.png; pivotX: 94.28748; pivotY: 313.5344}
{file: DummyMale_Idle-193.png; pivotX: 93.39504; pivotY: 313.5604}
{file: DummyMale_Idle-194.png; pivotX: 92.97727; pivotY: 313.5729}
{file: DummyMale_Idle-195.png; pivotX: 92.00903; pivotY: 313.5741}
{file: DummyMale_Idle-196.png; pivotX: 91.46836; pivotY: 313.563}
{file: DummyMale_Idle-197.png; pivotX: 90.30939; pivotY: 313.553}
{file: DummyMale_Idle-198.png; pivotX: 89.59216; pivotY: 313.5349}
{file: DummyMale_Idle-199.png; pivotX: 88.78403; pivotY: 313.5035}
{file: DummyMale_Idle-200.png; pivotX: 87.42781; pivotY: 313.469}
{file: DummyMale_Idle-201.png; pivotX: 86.75487; pivotY: 312.48}
{file: DummyMale_Idle-202.png; pivotX: 85.568; pivotY: 312.4641}
{file: DummyMale_Idle-203.png; pivotX: 85.00883; pivotY: 312.4725}
{file: DummyMale_Idle-204.png; pivotX: 84.16492; pivotY: 311.5206}
{file: DummyMale_Idle-205.png; pivotX: 83.75464; pivotY: 311.5323}
{file: DummyMale_Idle-206.png; pivotX: 83.49552; pivotY: 310.6062}
{file: DummyMale_Idle-207.png; pivotX: 82.74168; pivotY: 310.6181}
{file: DummyMale_Idle-208.png; pivotX: 82.61904; pivotY: 309.6916}
{file: DummyMale_Idle-209.png; pivotX: 81.85962; pivotY: 309.7009}
{file: DummyMale_Idle-210.png; pivotX: 81.11549; pivotY: 309.7006}
{file: DummyMale_Idle-211.png; pivotX: 80.92882; pivotY: 308.7438}
{file: DummyMale_Idle-212.png; pivotX: 80.3288; pivotY: 308.7345}
{file: DummyMale_Idle-213.png; pivotX: 80.04708; pivotY: 307.7643}
{file: DummyMale_Idle-214.png; pivotX: 79.83839; pivotY: 307.7574}
{file: DummyMale_Idle-215.png; pivotX: 79.84743; pivotY: 307.7774}
{file: DummyMale_Idle-216.png; pivotX: 80.04405; pivotY: 307.7972}
{file: DummyMale_Idle-217.png; pivotX: 80.41484; pivotY: 307.8284}
{file: DummyMale_Idle-218.png; pivotX: 81.05965; pivotY: 307.858}
{file: DummyMale_Idle-219.png; pivotX: 81.74165; pivotY: 308.8594}
{file: DummyMale_Idle-220.png; pivotX: 82.65395; pivotY: 308.8651}
{file: DummyMale_Idle-221.png; pivotX: 83.5007; pivotY: 309.8553}
{file: DummyMale_Idle-222.png; pivotX: 84.01044; pivotY: 310.7802}
{file: DummyMale_Idle-223.png; pivotX: 85.15966; pivotY: 310.717}
{file: DummyMale_Idle-224.png; pivotX: 86.1895; pivotY: 311.6828}
{file: DummyMale_Idle-225.png; pivotX: 87.31035; pivotY: 312.5874}
{file: DummyMale_Idle-226.png; pivotX: 88.4445; pivotY: 312.5944}
{file: DummyMale_Idle-227.png; pivotX: 89.46942; pivotY: 313.5546}
{file: DummyMale_Idle-228.png; pivotX: 90.63956; pivotY: 313.5388}
{file: DummyMale_Idle-229.png; pivotX: 91.86226; pivotY: 314.531}
{file: DummyMale_Idle-230.png; pivotX: 93.70016; pivotY: 315.5216}
{file: DummyMale_Idle-231.png; pivotX: 95.32578; pivotY: 315.5536}
{file: DummyMale_Idle-232.png; pivotX: 96.88357; pivotY: 315.5878}
{file: DummyMale_Idle-233.png; pivotX: 98.225; pivotY: 316.5789}
{file: DummyMale_Idle-234.png; pivotX: 99.45741; pivotY: 316.5928}
{file: DummyMale_Idle-235.png; pivotX: 100.4265; pivotY: 316.5914}
{file: DummyMale_Idle-236.png; pivotX: 101.2105; pivotY: 316.5767}
{file: DummyMale_Idle-237.png; pivotX: 101.8342; pivotY: 316.5582}
{file: DummyMale_Idle-238.png; pivotX: 102.2953; pivotY: 315.5639}
{file: DummyMale_Idle-239.png; pivotX: 102.6311; pivotY: 315.5338}
{file: DummyMale_Idle-240.png; pivotX: 103.4126; pivotY: 315.4997}
{file: DummyMale_Idle-241.png; pivotX: 103.7249; pivotY: 314.4953}
{file: DummyMale_Idle-242.png; pivotX: 103.9247; pivotY: 314.4589}
{file: DummyMale_Idle-243.png; pivotX: 104.6003; pivotY: 313.4584}
{file: DummyMale_Idle-244.png; pivotX: 104.7303; pivotY: 312.4585}
{file: DummyMale_Idle-245.png; pivotX: 104.7748; pivotY: 312.4146}
{file: DummyMale_Idle-246.png; pivotX: 105.3861; pivotY: 311.404}
{file: DummyMale_Idle-247.png; pivotX: 105.4671; pivotY: 311.3661}
{file: DummyMale_Idle-248.png; pivotX: 105.633; pivotY: 310.3674}
{file: DummyMale_Idle-249.png; pivotX: 105.3005; pivotY: 309.3687}
{file: DummyMale_Idle-250.png; pivotX: 105.3659; pivotY: 309.3406}
{file: DummyMale_Idle-251.png; pivotX: 105.0061; pivotY: 309.3207}
{file: DummyMale_Idle-252.png; pivotX: 105.2731; pivotY: 308.338}
{file: DummyMale_Idle-253.png; pivotX: 105.0222; pivotY: 308.3268}
{file: DummyMale_Idle-254.png; pivotX: 104.7876; pivotY: 308.3199}
{file: DummyMale_Idle-255.png; pivotX: 104.5303; pivotY: 308.3223}
{file: DummyMale_Idle-256.png; pivotX: 104.2565; pivotY: 308.3286}
{file: DummyMale_Idle-257.png; pivotX: 103.4462; pivotY: 308.3439}
{file: DummyMale_Idle-258.png; pivotX: 103.0512; pivotY: 309.332}
{file: DummyMale_Idle-259.png; pivotX: 102.2577; pivotY: 309.3585}
{file: DummyMale_Idle-260.png; pivotX: 101.3863; pivotY: 310.3615}
{file: DummyMale_Idle-261.png; pivotX: 100.594; pivotY: 310.405}
{file: DummyMale_Idle-262.png; pivotX: 99.69189; pivotY: 311.4138}
{file: DummyMale_Idle-263.png; pivotX: 98.74841; pivotY: 311.4437}
{file: DummyMale_Idle-264.png; pivotX: 97.67419; pivotY: 312.442}
{file: DummyMale_Idle-265.png; pivotX: 96.66592; pivotY: 312.4617}
{file: DummyMale_Idle-266.png; pivotX: 95.58863; pivotY: 313.4563}
{file: DummyMale_Idle-267.png; pivotX: 95.17591; pivotY: 313.4939}
{file: DummyMale_Idle-268.png; pivotX: 94.28809; pivotY: 313.5277}
{file: DummyMale_Idle-269.png; pivotX: 93.39555; pivotY: 313.5562}
{file: DummyMale_Idle-270.png; pivotX: 92.97735; pivotY: 313.573}
{file: DummyMale_Idle-271.png; pivotX: 92.00877; pivotY: 313.5775}
{file: DummyMale_Idle-272.png; pivotX: 91.46794; pivotY: 313.5675}
{file: DummyMale_Idle-273.png; pivotX: 90.3093; pivotY: 313.5513}
{file: DummyMale_Idle-274.png; pivotX: 89.5923; pivotY: 313.5273}
{file: DummyMale_Idle-275.png; pivotX: 88.78345; pivotY: 313.5004}
{file: DummyMale_Idle-276.png; pivotX: 87.42674; pivotY: 313.4706}
{file: DummyMale_Idle-277.png; pivotX: 86.75474; pivotY: 312.4764}
{file: DummyMale_Idle-278.png; pivotX: 85.56905; pivotY: 312.4539}
{file: DummyMale_Idle-279.png; pivotX: 85.01032; pivotY: 312.4594}
{file: DummyMale_Idle-280.png; pivotX: 84.16643; pivotY: 311.5074}
{file: DummyMale_Idle-281.png; pivotX: 83.75567; pivotY: 311.5239}
{file: DummyMale_Idle-282.png; pivotX: 83.49596; pivotY: 310.6026}
{file: DummyMale_Idle-283.png; pivotX: 82.74222; pivotY: 310.6132}
{file: DummyMale_Idle-284.png; pivotX: 82.61996; pivotY: 309.6845}
{file: DummyMale_Idle-285.png; pivotX: 81.8605; pivotY: 309.697}
{file: DummyMale_Idle-286.png; pivotX: 81.11684; pivotY: 309.6989}
{file: DummyMale_Idle-287.png; pivotX: 80.93192; pivotY: 308.7365}
{file: DummyMale_Idle-288.png; pivotX: 80.33401; pivotY: 308.722}
{file: DummyMale_Idle-289.png; pivotX: 79.93411; pivotY: 308.7241}
{file: DummyMale_Idle-290.png; pivotX: 79.84599; pivotY: 307.7538}
{file: DummyMale_Idle-291.png; pivotX: 79.84826; pivotY: 307.7678}
{file: DummyMale_Idle-292.png; pivotX: 80.07042; pivotY: 307.7824}
{file: DummyMale_Idle-293.png; pivotX: 80.45391; pivotY: 307.8194}
{file: DummyMale_Idle-294.png; pivotX: 81.10474; pivotY: 307.86}
{file: DummyMale_Idle-295.png; pivotX: 81.82623; pivotY: 308.8667}
{file: DummyMale_Idle-296.png; pivotX: 82.77497; pivotY: 308.8817}
{file: DummyMale_Idle-297.png; pivotX: 83.67131; pivotY: 309.8695}
{file: DummyMale_Idle-298.png; pivotX: 84.69843; pivotY: 310.8044}
{file: DummyMale_Idle-299.png; pivotX: 85.83088; pivotY: 310.7778}
{file: DummyMale_Idle-300.png; pivotX: 86.40375; pivotY: 311.7212}
{file: DummyMale_Idle-301.png; pivotX: 87.52438; pivotY: 312.6137}
{file: DummyMale_Idle-302.png; pivotX: 88.60917; pivotY: 312.627}
{file: DummyMale_Idle-303.png; pivotX: 89.60933; pivotY: 313.5484}
