{file: Rasputin_Light_Combo_Part_4-0.png; posX: 1.948584; posY: 0}
{file: Rasputin_Light_Combo_Part_4-26.png; posX: 2.94544; posY: -0.1188465}
{file: Rasputin_Light_Combo_Part_4-27.png; posX: 2.962848; posY: -0.1200681}
{file: Rasputin_Light_Combo_Part_4-28.png; posX: 2.974751; posY: -0.1230188}
{file: Rasputin_Light_Combo_Part_4-29.png; posX: 2.98169; posY: -0.1268298}
{file: Rasputin_Light_Combo_Part_4-30.png; posX: 2.984211; posY: -0.1309393}
{file: Rasputin_Light_Combo_Part_4-31.png; posX: 2.982857; posY: -0.1347852}
{file: Rasputin_Light_Combo_Part_4-32.png; posX: 2.978171; posY: -0.1378058}
{file: Rasputin_Light_Combo_Part_4-33.png; posX: 2.970699; posY: -0.139439}
{file: Rasputin_Light_Combo_Part_4-34.png; posX: 2.960983; posY: -0.139123}
{file: Rasputin_Light_Combo_Part_4-35.png; posX: 2.949567; posY: -0.1362959}
{file: Rasputin_Light_Combo_Part_4-36.png; posX: 2.936996; posY: -0.1314824}
{file: Rasputin_Light_Combo_Part_4-37.png; posX: 2.923814; posY: -0.1256654}
{file: Rasputin_Light_Combo_Part_4-38.png; posX: 2.910563; posY: -0.1189698}
{file: Rasputin_Light_Combo_Part_4-39.png; posX: 2.897789; posY: -0.1115204}
{file: Rasputin_Light_Combo_Part_4-40.png; posX: 2.886034; posY: -0.1034422}
{file: Rasputin_Light_Combo_Part_4-41.png; posX: 2.874787; posY: -0.09485996}
{file: Rasputin_Light_Combo_Part_4-42.png; posX: 2.863181; posY: -0.08589858}
{file: Rasputin_Light_Combo_Part_4-43.png; posX: 2.851224; posY: -0.07668298}
{file: Rasputin_Light_Combo_Part_4-44.png; posX: 2.838927; posY: -0.06733805}
{file: Rasputin_Light_Combo_Part_4-45.png; posX: 2.826299; posY: -0.05798864}
{file: Rasputin_Light_Combo_Part_4-46.png; posX: 2.81335; posY: -0.04875964}
{file: Rasputin_Light_Combo_Part_4-47.png; posX: 2.800089; posY: -0.03977591}
{file: Rasputin_Light_Combo_Part_4-48.png; posX: 2.786525; posY: -0.03116238}
{file: Rasputin_Light_Combo_Part_4-49.png; posX: 2.772669; posY: -0.02304381}
{file: Rasputin_Light_Combo_Part_4-50.png; posX: 2.75853; posY: -0.01554525}
{file: Rasputin_Light_Combo_Part_4-51.png; posX: 2.744118; posY: -0.008791506}
{file: Rasputin_Light_Combo_Part_4-52.png; posX: 2.729442; posY: -0.002907395}
{file: Rasputin_Light_Combo_Part_4-53.png; posX: 2.714512; posY: 0.001982093}
{file: Rasputin_Light_Combo_Part_4-54.png; posX: 2.699337; posY: 0.005752146}
{file: Rasputin_Light_Combo_Part_4-55.png; posX: 2.683927; posY: 0.008277893}
{file: Rasputin_Light_Combo_Part_4-56.png; posX: 2.668291; posY: 0.009845197}
{file: Rasputin_Light_Combo_Part_4-57.png; posX: 2.65244; posY: 0.01085109}
{file: Rasputin_Light_Combo_Part_4-58.png; posX: 2.636383; posY: 0.01133722}
{file: Rasputin_Light_Combo_Part_4-59.png; posX: 2.620129; posY: 0.01134533}
{file: Rasputin_Light_Combo_Part_4-60.png; posX: 2.605884; posY: 0.01091725}
{file: Rasputin_Light_Combo_Part_4-61.png; posX: 2.595719; posY: 0.01009464}
{file: Rasputin_Light_Combo_Part_4-62.png; posX: 2.58944; posY: 0.008919299}
{file: Rasputin_Light_Combo_Part_4-63.png; posX: 2.586854; posY: 0.007432938}
{file: Rasputin_Light_Combo_Part_4-64.png; posX: 2.587766; posY: 0.005677223}
{file: Rasputin_Light_Combo_Part_4-65.png; posX: 2.591983; posY: 0.003693998}
{file: Rasputin_Light_Combo_Part_4-66.png; posX: 2.599311; posY: 0.001524925}
{file: Rasputin_Light_Combo_Part_4-67.png; posX: 2.609557; posY: -0.0007882118}
{file: Rasputin_Light_Combo_Part_4-68.png; posX: 2.622526; posY: -0.00320369}
{file: Rasputin_Light_Combo_Part_4-69.png; posX: 2.638026; posY: -0.005679786}
{file: Rasputin_Light_Combo_Part_4-70.png; posX: 2.655862; posY: -0.008174717}
{file: Rasputin_Light_Combo_Part_4-71.png; posX: 2.67584; posY: -0.01064682}
{file: Rasputin_Light_Combo_Part_4-72.png; posX: 2.697196; posY: -0.01305431}
{file: Rasputin_Light_Combo_Part_4-73.png; posX: 2.718381; posY: -0.01535547}
{file: Rasputin_Light_Combo_Part_4-74.png; posX: 2.738029; posY: -0.01750851}
{file: Rasputin_Light_Combo_Part_4-75.png; posX: 2.754774; posY: -0.0194717}
{file: Rasputin_Light_Combo_Part_4-76.png; posX: 2.767248; posY: -0.02120346}
{file: Rasputin_Light_Combo_Part_4-77.png; posX: 2.774085; posY: -0.02266181}
{file: Rasputin_Light_Combo_Part_4-78.png; posX: 2.773918; posY: -0.02380514}
{file: Rasputin_Light_Combo_Part_4-79.png; posX: 2.765379; posY: -0.02459174}
{file: Rasputin_Light_Combo_Part_4-80.png; posX: 2.753272; posY: -0.02472186}
{file: Rasputin_Light_Combo_Part_4-81.png; posX: 2.743181; posY: -0.02401096}
{file: Rasputin_Light_Combo_Part_4-82.png; posX: 2.73491; posY: -0.02259004}
{file: Rasputin_Light_Combo_Part_4-83.png; posX: 2.728266; posY: -0.02059013}
{file: Rasputin_Light_Combo_Part_4-84.png; posX: 2.723054; posY: -0.01814234}
{file: Rasputin_Light_Combo_Part_4-85.png; posX: 2.719079; posY: -0.01537758}
{file: Rasputin_Light_Combo_Part_4-86.png; posX: 2.716147; posY: -0.01242697}
{file: Rasputin_Light_Combo_Part_4-87.png; posX: 2.714063; posY: -0.009421468}
{file: Rasputin_Light_Combo_Part_4-88.png; posX: 2.712632; posY: -0.006492138}
{file: Rasputin_Light_Combo_Part_4-89.png; posX: 2.711661; posY: -0.003769994}
{file: Rasputin_Light_Combo_Part_4-90.png; posX: 2.710954; posY: -0.001386106}
{file: Rasputin_Light_Combo_Part_4-91.png; posX: 2.710316; posY: 0.000528574}
{file: Rasputin_Light_Combo_Part_4-92.png; posX: 2.709554; posY: 0.001843035}
