{file: Devana_Heavy_Attack-0.png; pivotX: 108.996; pivotY: 323.8733}
{file: Devana_Heavy_Attack-81.png; pivotX: 90.2616; pivotY: 331.5578}
{file: Devana_Heavy_Attack-82.png; pivotX: 90.45521; pivotY: 331.7682}
{file: Devana_Heavy_Attack-83.png; pivotX: 91.16174; pivotY: 332.0271}
{file: Devana_Heavy_Attack-84.png; pivotX: 91.37447; pivotY: 332.3224}
{file: Devana_Heavy_Attack-85.png; pivotX: 91.58683; pivotY: 332.6424}
{file: Devana_Heavy_Attack-86.png; pivotX: 91.7923; pivotY: 332.9778}
{file: Devana_Heavy_Attack-87.png; pivotX: 92.48465; pivotY: 333.3164}
{file: Devana_Heavy_Attack-88.png; pivotX: 92.66279; pivotY: 332.7418}
{file: Devana_Heavy_Attack-89.png; pivotX: 92.81049; pivotY: 333.0529}
{file: Devana_Heavy_Attack-90.png; pivotX: 92.92754; pivotY: 333.3334}
{file: Devana_Heavy_Attack-91.png; pivotX: 93.0084; pivotY: 333.596}
{file: Devana_Heavy_Attack-92.png; pivotX: 93.04758; pivotY: 333.8544}
{file: Devana_Heavy_Attack-93.png; pivotX: 93.04109; pivotY: 334.1082}
{file: Devana_Heavy_Attack-94.png; pivotX: 92.98539; pivotY: 334.3607}
{file: Devana_Heavy_Attack-95.png; pivotX: 92.88312; pivotY: 334.6122}
{file: Devana_Heavy_Attack-96.png; pivotX: 92.25401; pivotY: 334.8631}
{file: Devana_Heavy_Attack-97.png; pivotX: 92.13132; pivotY: 334.2005}
{file: Devana_Heavy_Attack-98.png; pivotX: 92.03774; pivotY: 334.45}
{file: Devana_Heavy_Attack-99.png; pivotX: 91.97679; pivotY: 334.6619}
