{file: Devana_Medium_Combo_Part_2-0.png; posX: 0.8129873; posY: 0}
{file: Devana_Medium_Combo_Part_2-36.png; posX: 1.043856; posY: -0.06164569}
{file: Devana_Medium_Combo_Part_2-37.png; posX: 1.042647; posY: -0.06114227}
{file: Devana_Medium_Combo_Part_2-38.png; posX: 1.04085; posY: -0.06030774}
{file: Devana_Medium_Combo_Part_2-39.png; posX: 1.038394; posY: -0.05912864}
{file: Devana_Medium_Combo_Part_2-40.png; posX: 1.035206; posY: -0.05759162}
{file: Devana_Medium_Combo_Part_2-41.png; posX: 1.031213; posY: -0.0556832}
{file: Devana_Medium_Combo_Part_2-42.png; posX: 1.026344; posY: -0.05339003}
{file: Devana_Medium_Combo_Part_2-43.png; posX: 1.021065; posY: -0.0506987}
{file: Devana_Medium_Combo_Part_2-44.png; posX: 1.015894; posY: -0.04759574}
{file: Devana_Medium_Combo_Part_2-45.png; posX: 1.010833; posY: -0.0430817}
{file: Devana_Medium_Combo_Part_2-46.png; posX: 1.005883; posY: -0.03644228}
{file: Devana_Medium_Combo_Part_2-47.png; posX: 1.001045; posY: -0.02809221}
{file: Devana_Medium_Combo_Part_2-48.png; posX: 0.9963223; posY: -0.01844585}
{file: Devana_Medium_Combo_Part_2-49.png; posX: 0.9917154; posY: -0.007917821}
{file: Devana_Medium_Combo_Part_2-50.png; posX: 0.987226; posY: 0.003077269}
{file: Devana_Medium_Combo_Part_2-51.png; posX: 0.9828559; posY: 0.01412499}
{file: Devana_Medium_Combo_Part_2-52.png; posX: 0.9786066; posY: 0.02481079}
{file: Devana_Medium_Combo_Part_2-53.png; posX: 0.9744797; posY: 0.03472012}
{file: Devana_Medium_Combo_Part_2-54.png; posX: 0.9704769; posY: 0.04343837}
{file: Devana_Medium_Combo_Part_2-55.png; posX: 0.9665998; posY: 0.05055106}
{file: Devana_Medium_Combo_Part_2-56.png; posX: 0.9628499; posY: 0.05564368}
{file: Devana_Medium_Combo_Part_2-57.png; posX: 0.9592289; posY: 0.05940878}
{file: Devana_Medium_Combo_Part_2-58.png; posX: 0.9557384; posY: 0.0628072}
{file: Devana_Medium_Combo_Part_2-59.png; posX: 0.9523799; posY: 0.06582659}
{file: Devana_Medium_Combo_Part_2-60.png; posX: 0.9491552; posY: 0.06845474}
{file: Devana_Medium_Combo_Part_2-61.png; posX: 0.9460658; posY: 0.07067925}
{file: Devana_Medium_Combo_Part_2-62.png; posX: 0.9431134; posY: 0.07248789}
{file: Devana_Medium_Combo_Part_2-63.png; posX: 0.9402995; posY: 0.07386833}
{file: Devana_Medium_Combo_Part_2-64.png; posX: 0.9376258; posY: 0.0748083}
{file: Devana_Medium_Combo_Part_2-65.png; posX: 0.9350938; posY: 0.07529545}
{file: Devana_Medium_Combo_Part_2-66.png; posX: 0.9327051; posY: 0.07531756}
{file: Devana_Medium_Combo_Part_2-67.png; posX: 0.9304615; posY: 0.07486224}
{file: Devana_Medium_Combo_Part_2-68.png; posX: 0.9283645; posY: 0.07391733}
{file: Devana_Medium_Combo_Part_2-69.png; posX: 0.9264156; posY: 0.07247037}
{file: Devana_Medium_Combo_Part_2-70.png; posX: 0.9246166; posY: 0.07050914}
{file: Devana_Medium_Combo_Part_2-71.png; posX: 0.922969; posY: 0.06777281}
{file: Devana_Medium_Combo_Part_2-72.png; posX: 0.9214744; posY: 0.0642032}
{file: Devana_Medium_Combo_Part_2-73.png; posX: 0.9201344; posY: 0.06009167}
{file: Devana_Medium_Combo_Part_2-74.png; posX: 0.9189508; posY: 0.05572987}
{file: Devana_Medium_Combo_Part_2-75.png; posX: 0.917925; posY: 0.05140924}
{file: Devana_Medium_Combo_Part_2-76.png; posX: 0.9170586; posY: 0.04742134}
{file: Devana_Medium_Combo_Part_2-77.png; posX: 0.9163533; posY: 0.04405767}
{file: Devana_Medium_Combo_Part_2-78.png; posX: 0.9158108; posY: 0.04160982}
{file: Devana_Medium_Combo_Part_2-79.png; posX: 0.9154326; posY: 0.04036921}
{file: Devana_Medium_Combo_Part_2-80.png; posX: 0.9152203; posY: 0.04002982}
{file: Devana_Medium_Combo_Part_2-81.png; posX: 0.9151754; posY: 0.04003388}
{file: Devana_Medium_Combo_Part_2-82.png; posX: 0.9152367; posY: 0.0402956}
{file: Devana_Medium_Combo_Part_2-83.png; posX: 0.9153302; posY: 0.04072911}
{file: Devana_Medium_Combo_Part_2-84.png; posX: 0.9154393; posY: 0.04124844}
{file: Devana_Medium_Combo_Part_2-85.png; posX: 0.9155472; posY: 0.04176784}
{file: Devana_Medium_Combo_Part_2-86.png; posX: 0.9156371; posY: 0.04220128}
