{file: Artemis_Special_3-0.png; posX: 0.006417846; posY: 0}
{file: Artemis_Special_3-146.png; posX: 4.812403; posY: 2.11249}
{file: Artemis_Special_3-147.png; posX: 4.830583; posY: 2.186569}
{file: Artemis_Special_3-148.png; posX: 4.848525; posY: 2.255894}
{file: Artemis_Special_3-149.png; posX: 4.866808; posY: 2.319599}
{file: Artemis_Special_3-150.png; posX: 4.886018; posY: 2.37682}
{file: Artemis_Special_3-151.png; posX: 4.906734; posY: 2.426693}
{file: Artemis_Special_3-152.png; posX: 4.92954; posY: 2.468354}
{file: Artemis_Special_3-153.png; posX: 4.95341; posY: 2.503978}
{file: Artemis_Special_3-154.png; posX: 4.976921; posY: 2.536107}
{file: Artemis_Special_3-155.png; posX: 5.000055; posY: 2.564424}
{file: Artemis_Special_3-156.png; posX: 5.022799; posY: 2.588612}
{file: Artemis_Special_3-157.png; posX: 5.045135; posY: 2.608355}
{file: Artemis_Special_3-158.png; posX: 5.067046; posY: 2.623335}
{file: Artemis_Special_3-159.png; posX: 5.088518; posY: 2.633237}
{file: Artemis_Special_3-160.png; posX: 5.109534; posY: 2.640436}
{file: Artemis_Special_3-161.png; posX: 5.130078; posY: 2.647542}
{file: Artemis_Special_3-162.png; posX: 5.150134; posY: 2.654588}
{file: Artemis_Special_3-163.png; posX: 5.169685; posY: 2.661606}
{file: Artemis_Special_3-164.png; posX: 5.188716; posY: 2.668628}
{file: Artemis_Special_3-165.png; posX: 5.207211; posY: 2.675688}
{file: Artemis_Special_3-166.png; posX: 5.225152; posY: 2.682818}
{file: Artemis_Special_3-167.png; posX: 5.242526; posY: 2.690051}
{file: Artemis_Special_3-168.png; posX: 5.259315; posY: 2.697419}
{file: Artemis_Special_3-169.png; posX: 5.275503; posY: 2.704956}
{file: Artemis_Special_3-170.png; posX: 5.291075; posY: 2.712692}
{file: Artemis_Special_3-171.png; posX: 5.306013; posY: 2.720663}
{file: Artemis_Special_3-172.png; posX: 5.320303; posY: 2.728899}
{file: Artemis_Special_3-173.png; posX: 5.333928; posY: 2.737434}
{file: Artemis_Special_3-174.png; posX: 5.346871; posY: 2.7463}
{file: Artemis_Special_3-175.png; posX: 5.359117; posY: 2.75553}
{file: Artemis_Special_3-176.png; posX: 5.37065; posY: 2.765157}
{file: Artemis_Special_3-177.png; posX: 5.381454; posY: 2.775213}
{file: Artemis_Special_3-178.png; posX: 5.391511; posY: 2.78573}
{file: Artemis_Special_3-179.png; posX: 5.400808; posY: 2.796742}
{file: Artemis_Special_3-180.png; posX: 5.409327; posY: 2.808282}
{file: Artemis_Special_3-181.png; posX: 5.417052; posY: 2.820381}
{file: Artemis_Special_3-182.png; posX: 5.423967; posY: 2.833072}
{file: Artemis_Special_3-183.png; posX: 5.430057; posY: 2.846389}
{file: Artemis_Special_3-184.png; posX: 5.435305; posY: 2.860363}
{file: Artemis_Special_3-185.png; posX: 5.439694; posY: 2.875028}
{file: Artemis_Special_3-186.png; posX: 5.44321; posY: 2.890415}
{file: Artemis_Special_3-187.png; posX: 5.445835; posY: 2.906559}
{file: Artemis_Special_3-188.png; posX: 5.447554; posY: 2.92349}
{file: Artemis_Special_3-189.png; posX: 5.44835; posY: 2.941243}
{file: Artemis_Special_3-190.png; posX: 5.448209; posY: 2.959599}
{file: Artemis_Special_3-191.png; posX: 5.447113; posY: 2.978302}
{file: Artemis_Special_3-192.png; posX: 5.445046; posY: 2.997322}
{file: Artemis_Special_3-193.png; posX: 5.441992; posY: 3.016629}
{file: Artemis_Special_3-194.png; posX: 5.438502; posY: 3.036195}
{file: Artemis_Special_3-195.png; posX: 5.43506; posY: 3.055989}
{file: Artemis_Special_3-196.png; posX: 5.431554; posY: 3.075982}
{file: Artemis_Special_3-197.png; posX: 5.427872; posY: 3.096145}
{file: Artemis_Special_3-198.png; posX: 5.423902; posY: 3.116448}
{file: Artemis_Special_3-199.png; posX: 5.419531; posY: 3.136862}
{file: Artemis_Special_3-200.png; posX: 5.414647; posY: 3.157358}
{file: Artemis_Special_3-201.png; posX: 5.409138; posY: 3.177907}
{file: Artemis_Special_3-202.png; posX: 5.402891; posY: 3.198478}
{file: Artemis_Special_3-203.png; posX: 5.395795; posY: 3.219042}
{file: Artemis_Special_3-204.png; posX: 5.387737; posY: 3.23957}
{file: Artemis_Special_3-205.png; posX: 5.378604; posY: 3.260033}
{file: Artemis_Special_3-206.png; posX: 5.368285; posY: 3.282851}
{file: Artemis_Special_3-207.png; posX: 5.356667; posY: 3.344891}
{file: Artemis_Special_3-208.png; posX: 5.343638; posY: 3.460093}
{file: Artemis_Special_3-209.png; posX: 5.329085; posY: 3.594593}
{file: Artemis_Special_3-210.png; posX: 5.312897; posY: 3.728327}
{file: Artemis_Special_3-211.png; posX: 5.29496; posY: 3.841228}
{file: Artemis_Special_3-212.png; posX: 5.276139; posY: 3.913233}
{file: Artemis_Special_3-213.png; posX: 5.25739; posY: 3.95358}
{file: Artemis_Special_3-214.png; posX: 5.238742; posY: 3.985754}
{file: Artemis_Special_3-215.png; posX: 5.220227; posY: 4.011053}
{file: Artemis_Special_3-216.png; posX: 5.201872; posY: 4.030778}
{file: Artemis_Special_3-217.png; posX: 5.18371; posY: 4.046227}
{file: Artemis_Special_3-218.png; posX: 5.165768; posY: 4.058702}
{file: Artemis_Special_3-219.png; posX: 5.148077; posY: 4.0695}
{file: Artemis_Special_3-220.png; posX: 5.130668; posY: 4.079923}
{file: Artemis_Special_3-221.png; posX: 5.113568; posY: 4.091269}
{file: Artemis_Special_3-222.png; posX: 5.096808; posY: 4.104839}
{file: Artemis_Special_3-223.png; posX: 5.080419; posY: 4.119972}
{file: Artemis_Special_3-224.png; posX: 5.064429; posY: 4.135039}
{file: Artemis_Special_3-225.png; posX: 5.048869; posY: 4.149883}
{file: Artemis_Special_3-226.png; posX: 5.033768; posY: 4.164348}
{file: Artemis_Special_3-227.png; posX: 5.019156; posY: 4.178278}
{file: Artemis_Special_3-228.png; posX: 5.005063; posY: 4.191516}
{file: Artemis_Special_3-229.png; posX: 4.991518; posY: 4.203907}
{file: Artemis_Special_3-230.png; posX: 4.978552; posY: 4.215293}
{file: Artemis_Special_3-231.png; posX: 4.966194; posY: 4.22552}
{file: Artemis_Special_3-232.png; posX: 4.954474; posY: 4.234429}
{file: Artemis_Special_3-233.png; posX: 4.943422; posY: 4.241866}
{file: Artemis_Special_3-234.png; posX: 4.933067; posY: 4.247673}
{file: Artemis_Special_3-235.png; posX: 4.92344; posY: 4.251695}
{file: Artemis_Special_3-236.png; posX: 4.914569; posY: 4.253776}
{file: Artemis_Special_3-237.png; posX: 4.906486; posY: 4.253757}
{file: Artemis_Special_3-238.png; posX: 4.899218; posY: 4.251485}
{file: Artemis_Special_3-239.png; posX: 4.892797; posY: 4.246803}
{file: Artemis_Special_3-240.png; posX: 4.886796; posY: 4.239553}
{file: Artemis_Special_3-241.png; posX: 4.881294; posY: 4.229581}
{file: Artemis_Special_3-242.png; posX: 4.877079; posY: 4.216729}
{file: Artemis_Special_3-243.png; posX: 4.87494; posY: 4.200841}
{file: Artemis_Special_3-244.png; posX: 4.875666; posY: 4.181762}
{file: Artemis_Special_3-245.png; posX: 4.880044; posY: 4.159334}
{file: Artemis_Special_3-246.png; posX: 4.888865; posY: 4.140899}
{file: Artemis_Special_3-247.png; posX: 4.902915; posY: 4.126199}
{file: Artemis_Special_3-248.png; posX: 4.922984; posY: 4.103683}
{file: Artemis_Special_3-249.png; posX: 4.94986; posY: 4.061797}
{file: Artemis_Special_3-250.png; posX: 4.984331; posY: 3.988992}
{file: Artemis_Special_3-251.png; posX: 5.013207; posY: 3.873712}
{file: Artemis_Special_3-252.png; posX: 5.096494; posY: 3.691335}
{file: Artemis_Special_3-253.png; posX: 5.299384; posY: 3.173318}
{file: Artemis_Special_3-254.png; posX: 5.584524; posY: 2.471334}
{file: Artemis_Special_3-255.png; posX: 5.908718; posY: 1.737368}
{file: Artemis_Special_3-256.png; posX: 6.228735; posY: 1.00844}
{file: Artemis_Special_3-257.png; posX: 6.501384; posY: 0.3213011}
{file: Artemis_Special_3-258.png; posX: 6.682153; posY: -0.0961777}
{file: Artemis_Special_3-259.png; posX: 6.775379; posY: -0.2759591}
{file: Artemis_Special_3-260.png; posX: 6.811077; posY: -0.3082377}
{file: Artemis_Special_3-261.png; posX: 6.819272; posY: -0.3123884}
{file: Artemis_Special_3-262.png; posX: 6.829985; posY: -0.3302945}
{file: Artemis_Special_3-263.png; posX: 6.849905; posY: -0.3373182}
{file: Artemis_Special_3-264.png; posX: 6.865911; posY: -0.3339772}
{file: Artemis_Special_3-265.png; posX: 6.878305; posY: -0.3249907}
{file: Artemis_Special_3-266.png; posX: 6.88739; posY: -0.3142497}
{file: Artemis_Special_3-267.png; posX: 6.893467; posY: -0.3040926}
{file: Artemis_Special_3-268.png; posX: 6.896838; posY: -0.2968566}
{file: Artemis_Special_3-269.png; posX: 6.897806; posY: -0.2924019}
{file: Artemis_Special_3-270.png; posX: 6.896672; posY: -0.288944}
{file: Artemis_Special_3-271.png; posX: 6.893739; posY: -0.2863545}
{file: Artemis_Special_3-272.png; posX: 6.889309; posY: -0.2845049}
{file: Artemis_Special_3-273.png; posX: 6.883684; posY: -0.2832666}
{file: Artemis_Special_3-274.png; posX: 6.877166; posY: -0.2825113}
{file: Artemis_Special_3-275.png; posX: 6.870057; posY: -0.2821103}
{file: Artemis_Special_3-276.png; posX: 6.86266; posY: -0.2819352}
{file: Artemis_Special_3-277.png; posX: 6.855276; posY: -0.2818575}
{file: Artemis_Special_3-278.png; posX: 6.848207; posY: -0.2817487}
{file: Artemis_Special_3-279.png; posX: 6.841757; posY: -0.2817808}
{file: Artemis_Special_3-280.png; posX: 6.836226; posY: -0.2821641}
{file: Artemis_Special_3-281.png; posX: 6.831917; posY: -0.2828272}
{file: Artemis_Special_3-282.png; posX: 6.829132; posY: -0.2836989}
{file: Artemis_Special_3-283.png; posX: 6.828174; posY: -0.2847079}
{file: Artemis_Special_3-284.png; posX: 6.828209; posY: -0.2857829}
{file: Artemis_Special_3-285.png; posX: 6.828207; posY: -0.2868526}
{file: Artemis_Special_3-286.png; posX: 6.82817; posY: -0.2878458}
{file: Artemis_Special_3-287.png; posX: 6.828099; posY: -0.2886912}
{file: Artemis_Special_3-288.png; posX: 6.827997; posY: -0.2893175}
{file: Artemis_Special_3-289.png; posX: 6.827864; posY: -0.2896534}
{file: Artemis_Special_3-290.png; posX: 6.827703; posY: -0.2896277}
{file: Artemis_Special_3-291.png; posX: 6.827516; posY: -0.289169}
{file: Artemis_Special_3-292.png; posX: 6.827304; posY: -0.2883782}
{file: Artemis_Special_3-293.png; posX: 6.827069; posY: -0.2874169}
{file: Artemis_Special_3-294.png; posX: 6.826815; posY: -0.2863048}
{file: Artemis_Special_3-295.png; posX: 6.826541; posY: -0.2850616}
{file: Artemis_Special_3-296.png; posX: 6.82625; posY: -0.2837071}
{file: Artemis_Special_3-297.png; posX: 6.825944; posY: -0.2822612}
{file: Artemis_Special_3-298.png; posX: 6.825625; posY: -0.2807435}
{file: Artemis_Special_3-299.png; posX: 6.825295; posY: -0.2791739}
{file: Artemis_Special_3-300.png; posX: 6.824955; posY: -0.277572}
{file: Artemis_Special_3-301.png; posX: 6.824607; posY: -0.2759578}
{file: Artemis_Special_3-302.png; posX: 6.824254; posY: -0.2743508}
{file: Artemis_Special_3-303.png; posX: 6.823896; posY: -0.272771}
{file: Artemis_Special_3-304.png; posX: 6.823537; posY: -0.2712381}
{file: Artemis_Special_3-305.png; posX: 6.823177; posY: -0.2697718}
{file: Artemis_Special_3-306.png; posX: 6.822819; posY: -0.2683919}
{file: Artemis_Special_3-307.png; posX: 6.822464; posY: -0.2671182}
{file: Artemis_Special_3-308.png; posX: 6.822115; posY: -0.2659705}
{file: Artemis_Special_3-309.png; posX: 6.821773; posY: -0.2649684}
{file: Artemis_Special_3-310.png; posX: 6.82144; posY: -0.2641319}
{file: Artemis_Special_3-311.png; posX: 6.821118; posY: -0.2634806}
{file: Artemis_Special_3-312.png; posX: 6.820809; posY: -0.2630344}
{file: Artemis_Special_3-313.png; posX: 6.820515; posY: -0.2628129}
{file: Artemis_Special_3-314.png; posX: 6.820237; posY: -0.262836}
{file: Artemis_Special_3-315.png; posX: 6.819977; posY: -0.2631235}
{file: Artemis_Special_3-316.png; posX: 6.819738; posY: -0.263695}
{file: Artemis_Special_3-317.png; posX: 6.81952; posY: -0.2645704}
{file: Artemis_Special_3-318.png; posX: 6.819327; posY: -0.2657695}
{file: Artemis_Special_3-319.png; posX: 6.81916; posY: -0.2673119}
{file: Artemis_Special_3-320.png; posX: 6.81902; posY: -0.2692176}
{file: Artemis_Special_3-321.png; posX: 6.81891; posY: -0.2713971}
{file: Artemis_Special_3-322.png; posX: 6.818831; posY: -0.2737151}
{file: Artemis_Special_3-323.png; posX: 6.818786; posY: -0.2761221}
{file: Artemis_Special_3-324.png; posX: 6.818776; posY: -0.2785686}
{file: Artemis_Special_3-325.png; posX: 6.818802; posY: -0.281005}
{file: Artemis_Special_3-326.png; posX: 6.818868; posY: -0.2833819}
{file: Artemis_Special_3-327.png; posX: 6.818974; posY: -0.2856497}
{file: Artemis_Special_3-328.png; posX: 6.819123; posY: -0.2877589}
{file: Artemis_Special_3-329.png; posX: 6.819316; posY: -0.28966}
{file: Artemis_Special_3-330.png; posX: 6.819555; posY: -0.2913035}
{file: Artemis_Special_3-331.png; posX: 6.819843; posY: -0.2926399}
{file: Artemis_Special_3-332.png; posX: 6.820181; posY: -0.2936197}
{file: Artemis_Special_3-333.png; posX: 6.820619; posY: -0.2941932}
{file: Artemis_Special_3-334.png; posX: 6.821198; posY: -0.2943112}
{file: Artemis_Special_3-335.png; posX: 6.821901; posY: -0.2939239}
{file: Artemis_Special_3-336.png; posX: 6.822715; posY: -0.292982}
{file: Artemis_Special_3-337.png; posX: 6.823626; posY: -0.2914358}
{file: Artemis_Special_3-338.png; posX: 6.824618; posY: -0.2892359}
{file: Artemis_Special_3-339.png; posX: 6.825677; posY: -0.2863328}
{file: Artemis_Special_3-340.png; posX: 6.826789; posY: -0.2826771}
{file: Artemis_Special_3-341.png; posX: 6.827939; posY: -0.2776282}
{file: Artemis_Special_3-342.png; posX: 6.829112; posY: -0.2707253}
{file: Artemis_Special_3-343.png; posX: 6.830294; posY: -0.2621867}
{file: Artemis_Special_3-344.png; posX: 6.831469; posY: -0.2522316}
{file: Artemis_Special_3-345.png; posX: 6.832624; posY: -0.2410783}
{file: Artemis_Special_3-346.png; posX: 6.833745; posY: -0.2289457}
{file: Artemis_Special_3-347.png; posX: 6.834816; posY: -0.2160532}
{file: Artemis_Special_3-348.png; posX: 6.835822; posY: -0.2026185}
{file: Artemis_Special_3-349.png; posX: 6.83675; posY: -0.1888615}
{file: Artemis_Special_3-350.png; posX: 6.837584; posY: -0.1749999}
{file: Artemis_Special_3-351.png; posX: 6.83831; posY: -0.1612533}
{file: Artemis_Special_3-352.png; posX: 6.838913; posY: -0.1478398}
{file: Artemis_Special_3-353.png; posX: 6.83938; posY: -0.134979}
{file: Artemis_Special_3-354.png; posX: 6.839695; posY: -0.1228886}
{file: Artemis_Special_3-355.png; posX: 6.839844; posY: -0.1117884}
{file: Artemis_Special_3-356.png; posX: 6.839811; posY: -0.1018963}
{file: Artemis_Special_3-357.png; posX: 6.839583; posY: -0.09268332}
{file: Artemis_Special_3-358.png; posX: 6.839145; posY: -0.0834927}
{file: Artemis_Special_3-359.png; posX: 6.838483; posY: -0.07435429}
{file: Artemis_Special_3-360.png; posX: 6.837581; posY: -0.06529778}
{file: Artemis_Special_3-361.png; posX: 6.836425; posY: -0.05635214}
{file: Artemis_Special_3-362.png; posX: 6.835001; posY: -0.04754728}
{file: Artemis_Special_3-363.png; posX: 6.833294; posY: -0.03891218}
{file: Artemis_Special_3-364.png; posX: 6.831289; posY: -0.03047681}
{file: Artemis_Special_3-365.png; posX: 6.828972; posY: -0.0222702}
{file: Artemis_Special_3-366.png; posX: 6.826329; posY: -0.01432216}
{file: Artemis_Special_3-367.png; posX: 6.823344; posY: -0.006661773}
{file: Artemis_Special_3-368.png; posX: 6.820003; posY: 0.0006810427}
{file: Artemis_Special_3-369.png; posX: 6.816291; posY: 0.007677317}
{file: Artemis_Special_3-370.png; posX: 6.812195; posY: 0.01429713}
{file: Artemis_Special_3-371.png; posX: 6.807699; posY: 0.02051145}
{file: Artemis_Special_3-372.png; posX: 6.803181; posY: 0.0262906}
{file: Artemis_Special_3-373.png; posX: 6.799024; posY: 0.03160501}
{file: Artemis_Special_3-374.png; posX: 6.795216; posY: 0.03642541}
{file: Artemis_Special_3-375.png; posX: 6.791748; posY: 0.04072219}
{file: Artemis_Special_3-376.png; posX: 6.788609; posY: 0.04446608}
{file: Artemis_Special_3-377.png; posX: 6.785788; posY: 0.04762739}
{file: Artemis_Special_3-378.png; posX: 6.783276; posY: 0.05017686}
