{file: DummyFemale_Loop_Able_Dizzy-0.png; pivotX: 333.2468; pivotY: 525.9274}
{file: DummyFemale_Loop_Able_Dizzy-33.png; pivotX: 333.2577; pivotY: 523.7656}
{file: DummyFemale_Loop_Able_Dizzy-34.png; pivotX: 333.259; pivotY: 523.7463}
{file: DummyFemale_Loop_Able_Dizzy-35.png; pivotX: 333.2602; pivotY: 523.7281}
{file: DummyFemale_Loop_Able_Dizzy-36.png; pivotX: 333.2451; pivotY: 522.954}
{file: DummyFemale_Loop_Able_Dizzy-37.png; pivotX: 333.2462; pivotY: 522.9373}
{file: DummyFemale_Loop_Able_Dizzy-38.png; pivotX: 333.2472; pivotY: 522.9208}
{file: DummyFemale_Loop_Able_Dizzy-39.png; pivotX: 333.2484; pivotY: 522.9044}
{file: DummyFemale_Loop_Able_Dizzy-40.png; pivotX: 333.2495; pivotY: 522.8878}
{file: DummyFemale_Loop_Able_Dizzy-41.png; pivotX: 333.2506; pivotY: 522.8707}
{file: DummyFemale_Loop_Able_Dizzy-42.png; pivotX: 333.2518; pivotY: 522.8528}
{file: DummyFemale_Loop_Able_Dizzy-43.png; pivotX: 333.253; pivotY: 522.8353}
{file: DummyFemale_Loop_Able_Dizzy-44.png; pivotX: 333.2542; pivotY: 522.8195}
{file: DummyFemale_Loop_Able_Dizzy-45.png; pivotX: 333.2553; pivotY: 522.8047}
{file: DummyFemale_Loop_Able_Dizzy-46.png; pivotX: 333.2565; pivotY: 522.7908}
{file: DummyFemale_Loop_Able_Dizzy-47.png; pivotX: 333.2576; pivotY: 522.777}
{file: DummyFemale_Loop_Able_Dizzy-48.png; pivotX: 333.2587; pivotY: 522.7632}
{file: DummyFemale_Loop_Able_Dizzy-49.png; pivotX: 333.2598; pivotY: 522.7487}
{file: DummyFemale_Loop_Able_Dizzy-50.png; pivotX: 333.2446; pivotY: 521.9768}
{file: DummyFemale_Loop_Able_Dizzy-51.png; pivotX: 333.2457; pivotY: 521.96}
{file: DummyFemale_Loop_Able_Dizzy-52.png; pivotX: 333.2469; pivotY: 521.9412}
{file: DummyFemale_Loop_Able_Dizzy-53.png; pivotX: 333.248; pivotY: 521.9201}
{file: DummyFemale_Loop_Able_Dizzy-54.png; pivotX: 333.2492; pivotY: 521.8963}
{file: DummyFemale_Loop_Able_Dizzy-55.png; pivotX: 333.2506; pivotY: 521.8751}
{file: DummyFemale_Loop_Able_Dizzy-56.png; pivotX: 333.2521; pivotY: 521.8552}
{file: DummyFemale_Loop_Able_Dizzy-57.png; pivotX: 333.2538; pivotY: 521.8314}
{file: DummyFemale_Loop_Able_Dizzy-58.png; pivotX: 333.2557; pivotY: 521.8051}
{file: DummyFemale_Loop_Able_Dizzy-59.png; pivotX: 333.2575; pivotY: 521.7775}
{file: DummyFemale_Loop_Able_Dizzy-60.png; pivotX: 333.2593; pivotY: 521.7496}
{file: DummyFemale_Loop_Able_Dizzy-61.png; pivotX: 333.2447; pivotY: 520.9666}
{file: DummyFemale_Loop_Able_Dizzy-62.png; pivotX: 333.2463; pivotY: 520.9421}
{file: DummyFemale_Loop_Able_Dizzy-63.png; pivotX: 333.2475; pivotY: 520.921}
{file: DummyFemale_Loop_Able_Dizzy-64.png; pivotX: 333.2485; pivotY: 520.9045}
{file: DummyFemale_Loop_Able_Dizzy-65.png; pivotX: 333.2491; pivotY: 520.8939}
{file: DummyFemale_Loop_Able_Dizzy-66.png; pivotX: 333.2493; pivotY: 520.8904}
{file: DummyFemale_Loop_Able_Dizzy-67.png; pivotX: 333.249; pivotY: 520.8951}
{file: DummyFemale_Loop_Able_Dizzy-68.png; pivotX: 333.2481; pivotY: 520.9141}
{file: DummyFemale_Loop_Able_Dizzy-69.png; pivotX: 333.2463; pivotY: 520.942}
{file: DummyFemale_Loop_Able_Dizzy-70.png; pivotX: 333.2597; pivotY: 521.7368}
{file: DummyFemale_Loop_Able_Dizzy-71.png; pivotX: 333.2558; pivotY: 521.792}
{file: DummyFemale_Loop_Able_Dizzy-72.png; pivotX: 333.2514; pivotY: 521.8578}
{file: DummyFemale_Loop_Able_Dizzy-73.png; pivotX: 333.2465; pivotY: 521.9308}
{file: DummyFemale_Loop_Able_Dizzy-74.png; pivotX: 333.2577; pivotY: 522.7643}
{file: DummyFemale_Loop_Able_Dizzy-75.png; pivotX: 333.2525; pivotY: 522.842}
{file: DummyFemale_Loop_Able_Dizzy-76.png; pivotX: 333.2476; pivotY: 522.9171}
{file: DummyFemale_Loop_Able_Dizzy-77.png; pivotX: 333.2593; pivotY: 523.7406}
{file: DummyFemale_Loop_Able_Dizzy-78.png; pivotX: 333.2554; pivotY: 523.8015}
{file: DummyFemale_Loop_Able_Dizzy-79.png; pivotX: 333.2523; pivotY: 523.8469}
{file: DummyFemale_Loop_Able_Dizzy-80.png; pivotX: 333.2502; pivotY: 523.8781}
{file: DummyFemale_Loop_Able_Dizzy-81.png; pivotX: 333.2489; pivotY: 523.8951}
{file: DummyFemale_Loop_Able_Dizzy-82.png; pivotX: 333.2485; pivotY: 523.9006}
{file: DummyFemale_Loop_Able_Dizzy-83.png; pivotX: 333.2487; pivotY: 523.8989}
{file: DummyFemale_Loop_Able_Dizzy-84.png; pivotX: 333.2494; pivotY: 523.8896}
{file: DummyFemale_Loop_Able_Dizzy-85.png; pivotX: 333.2505; pivotY: 523.8746}
{file: DummyFemale_Loop_Able_Dizzy-86.png; pivotX: 333.2518; pivotY: 523.8545}
{file: DummyFemale_Loop_Able_Dizzy-87.png; pivotX: 333.2533; pivotY: 523.8307}
{file: DummyFemale_Loop_Able_Dizzy-88.png; pivotX: 333.255; pivotY: 523.806}
{file: DummyFemale_Loop_Able_Dizzy-89.png; pivotX: 333.2566; pivotY: 523.7819}
{file: DummyFemale_Loop_Able_Dizzy-90.png; pivotX: 333.258; pivotY: 523.7596}
{file: DummyFemale_Loop_Able_Dizzy-91.png; pivotX: 333.2593; pivotY: 523.7408}
{file: DummyFemale_Loop_Able_Dizzy-92.png; pivotX: 333.2603; pivotY: 523.7239}
{file: DummyFemale_Loop_Able_Dizzy-93.png; pivotX: 333.2449; pivotY: 522.9529}
{file: DummyFemale_Loop_Able_Dizzy-94.png; pivotX: 333.246; pivotY: 522.9407}
{file: DummyFemale_Loop_Able_Dizzy-95.png; pivotX: 333.2472; pivotY: 522.9238}
{file: DummyFemale_Loop_Able_Dizzy-96.png; pivotX: 333.2484; pivotY: 522.9055}
{file: DummyFemale_Loop_Able_Dizzy-97.png; pivotX: 333.2496; pivotY: 522.887}
{file: DummyFemale_Loop_Able_Dizzy-98.png; pivotX: 333.2506; pivotY: 522.8688}
{file: DummyFemale_Loop_Able_Dizzy-99.png; pivotX: 333.2516; pivotY: 522.8529}
{file: DummyFemale_Loop_Able_Dizzy-100.png; pivotX: 333.2524; pivotY: 522.8409}
{file: DummyFemale_Loop_Able_Dizzy-101.png; pivotX: 333.253; pivotY: 522.8334}
{file: DummyFemale_Loop_Able_Dizzy-102.png; pivotX: 333.2532; pivotY: 522.8311}
{file: DummyFemale_Loop_Able_Dizzy-103.png; pivotX: 333.253; pivotY: 522.8344}
{file: DummyFemale_Loop_Able_Dizzy-104.png; pivotX: 333.2524; pivotY: 522.8441}
{file: DummyFemale_Loop_Able_Dizzy-105.png; pivotX: 333.2512; pivotY: 522.859}
{file: DummyFemale_Loop_Able_Dizzy-106.png; pivotX: 333.2493; pivotY: 522.8773}
{file: DummyFemale_Loop_Able_Dizzy-107.png; pivotX: 333.2469; pivotY: 522.8987}
{file: DummyFemale_Loop_Able_Dizzy-108.png; pivotX: 333.2606; pivotY: 523.6797}
{file: DummyFemale_Loop_Able_Dizzy-109.png; pivotX: 333.2576; pivotY: 523.7065}
{file: DummyFemale_Loop_Able_Dizzy-110.png; pivotX: 333.2545; pivotY: 523.7357}
{file: DummyFemale_Loop_Able_Dizzy-111.png; pivotX: 333.2515; pivotY: 523.7671}
{file: DummyFemale_Loop_Able_Dizzy-112.png; pivotX: 333.2486; pivotY: 523.8002}
{file: DummyFemale_Loop_Able_Dizzy-113.png; pivotX: 333.246; pivotY: 523.8349}
{file: DummyFemale_Loop_Able_Dizzy-114.png; pivotX: 333.26; pivotY: 524.6281}
{file: DummyFemale_Loop_Able_Dizzy-115.png; pivotX: 333.2582; pivotY: 524.6652}
{file: DummyFemale_Loop_Able_Dizzy-116.png; pivotX: 333.2571; pivotY: 524.7059}
{file: DummyFemale_Loop_Able_Dizzy-117.png; pivotX: 333.2567; pivotY: 524.7449}
{file: DummyFemale_Loop_Able_Dizzy-118.png; pivotX: 333.2569; pivotY: 524.7711}
{file: DummyFemale_Loop_Able_Dizzy-119.png; pivotX: 333.2577; pivotY: 524.7729}
{file: DummyFemale_Loop_Able_Dizzy-120.png; pivotX: 333.2587; pivotY: 524.7557}
{file: DummyFemale_Loop_Able_Dizzy-121.png; pivotX: 333.2599; pivotY: 524.7338}
{file: DummyFemale_Loop_Able_Dizzy-122.png; pivotX: 333.2451; pivotY: 523.953}
{file: DummyFemale_Loop_Able_Dizzy-123.png; pivotX: 333.2466; pivotY: 523.9304}
{file: DummyFemale_Loop_Able_Dizzy-124.png; pivotX: 333.2478; pivotY: 523.9105}
{file: DummyFemale_Loop_Able_Dizzy-125.png; pivotX: 333.249; pivotY: 523.8949}
{file: DummyFemale_Loop_Able_Dizzy-126.png; pivotX: 333.2496; pivotY: 523.8854}
{file: DummyFemale_Loop_Able_Dizzy-127.png; pivotX: 333.2497; pivotY: 523.8838}
{file: DummyFemale_Loop_Able_Dizzy-128.png; pivotX: 333.2492; pivotY: 523.8932}
{file: DummyFemale_Loop_Able_Dizzy-129.png; pivotX: 333.2479; pivotY: 523.9127}
{file: DummyFemale_Loop_Able_Dizzy-130.png; pivotX: 333.246; pivotY: 523.9396}
{file: DummyFemale_Loop_Able_Dizzy-131.png; pivotX: 333.2598; pivotY: 524.7338}
{file: DummyFemale_Loop_Able_Dizzy-132.png; pivotX: 333.2569; pivotY: 524.777}
{file: DummyFemale_Loop_Able_Dizzy-133.png; pivotX: 333.2537; pivotY: 524.8242}
{file: DummyFemale_Loop_Able_Dizzy-134.png; pivotX: 333.2505; pivotY: 524.8734}
{file: DummyFemale_Loop_Able_Dizzy-135.png; pivotX: 333.2471; pivotY: 524.9224}
{file: DummyFemale_Loop_Able_Dizzy-136.png; pivotX: 333.2603; pivotY: 525.7267}
{file: DummyFemale_Loop_Able_Dizzy-137.png; pivotX: 333.2574; pivotY: 525.7693}
{file: DummyFemale_Loop_Able_Dizzy-138.png; pivotX: 333.2551; pivotY: 525.8038}
{file: DummyFemale_Loop_Able_Dizzy-139.png; pivotX: 333.2533; pivotY: 525.8306}
{file: DummyFemale_Loop_Able_Dizzy-140.png; pivotX: 333.2523; pivotY: 525.8474}
{file: DummyFemale_Loop_Able_Dizzy-141.png; pivotX: 333.2517; pivotY: 525.8546}
{file: DummyFemale_Loop_Able_Dizzy-142.png; pivotX: 333.2515; pivotY: 525.8583}
{file: DummyFemale_Loop_Able_Dizzy-143.png; pivotX: 333.2514; pivotY: 525.8586}
{file: DummyFemale_Loop_Able_Dizzy-144.png; pivotX: 333.2517; pivotY: 525.8555}
{file: DummyFemale_Loop_Able_Dizzy-145.png; pivotX: 333.2521; pivotY: 525.8494}
{file: DummyFemale_Loop_Able_Dizzy-146.png; pivotX: 333.2527; pivotY: 525.8409}
{file: DummyFemale_Loop_Able_Dizzy-147.png; pivotX: 333.2534; pivotY: 525.8306}
{file: DummyFemale_Loop_Able_Dizzy-148.png; pivotX: 333.2542; pivotY: 525.8187}
{file: DummyFemale_Loop_Able_Dizzy-149.png; pivotX: 333.255; pivotY: 525.8057}
{file: DummyFemale_Loop_Able_Dizzy-150.png; pivotX: 333.256; pivotY: 525.7919}
{file: DummyFemale_Loop_Able_Dizzy-151.png; pivotX: 333.2569; pivotY: 525.7779}
{file: DummyFemale_Loop_Able_Dizzy-152.png; pivotX: 333.2578; pivotY: 525.7639}
{file: DummyFemale_Loop_Able_Dizzy-153.png; pivotX: 333.2587; pivotY: 525.7504}
{file: DummyFemale_Loop_Able_Dizzy-154.png; pivotX: 333.2595; pivotY: 525.738}
{file: DummyFemale_Loop_Able_Dizzy-155.png; pivotX: 333.2602; pivotY: 525.7274}
{file: DummyFemale_Loop_Able_Dizzy-156.png; pivotX: 333.2607; pivotY: 525.7184}
{file: DummyFemale_Loop_Able_Dizzy-157.png; pivotX: 333.2612; pivotY: 525.7117}
{file: DummyFemale_Loop_Able_Dizzy-158.png; pivotX: 333.2615; pivotY: 525.7077}
{file: DummyFemale_Loop_Able_Dizzy-159.png; pivotX: 333.2454; pivotY: 524.9484}
{file: DummyFemale_Loop_Able_Dizzy-160.png; pivotX: 333.2453; pivotY: 524.9487}
{file: DummyFemale_Loop_Able_Dizzy-161.png; pivotX: 333.2614; pivotY: 525.7084}
{file: DummyFemale_Loop_Able_Dizzy-162.png; pivotX: 333.2612; pivotY: 525.7121}
{file: DummyFemale_Loop_Able_Dizzy-163.png; pivotX: 333.2609; pivotY: 525.7175}
{file: DummyFemale_Loop_Able_Dizzy-164.png; pivotX: 333.2606; pivotY: 525.7233}
{file: DummyFemale_Loop_Able_Dizzy-165.png; pivotX: 333.2602; pivotY: 525.7286}
{file: DummyFemale_Loop_Able_Dizzy-166.png; pivotX: 333.2598; pivotY: 525.7337}
{file: DummyFemale_Loop_Able_Dizzy-167.png; pivotX: 333.2594; pivotY: 525.7385}
{file: DummyFemale_Loop_Able_Dizzy-168.png; pivotX: 333.2591; pivotY: 525.743}
{file: DummyFemale_Loop_Able_Dizzy-169.png; pivotX: 333.2587; pivotY: 525.7473}
{file: DummyFemale_Loop_Able_Dizzy-170.png; pivotX: 333.2583; pivotY: 525.7515}
{file: DummyFemale_Loop_Able_Dizzy-171.png; pivotX: 333.258; pivotY: 525.7556}
{file: DummyFemale_Loop_Able_Dizzy-172.png; pivotX: 333.2577; pivotY: 525.7597}
{file: DummyFemale_Loop_Able_Dizzy-173.png; pivotX: 333.2575; pivotY: 525.7638}
{file: DummyFemale_Loop_Able_Dizzy-174.png; pivotX: 333.2574; pivotY: 525.768}
{file: DummyFemale_Loop_Able_Dizzy-175.png; pivotX: 333.2573; pivotY: 525.7709}
{file: DummyFemale_Loop_Able_Dizzy-176.png; pivotX: 333.2572; pivotY: 525.7722}
{file: DummyFemale_Loop_Able_Dizzy-177.png; pivotX: 333.2571; pivotY: 525.7733}
{file: DummyFemale_Loop_Able_Dizzy-178.png; pivotX: 333.2571; pivotY: 525.7741}
{file: DummyFemale_Loop_Able_Dizzy-179.png; pivotX: 333.257; pivotY: 525.7748}
{file: DummyFemale_Loop_Able_Dizzy-180.png; pivotX: 333.257; pivotY: 525.7753}
{file: DummyFemale_Loop_Able_Dizzy-181.png; pivotX: 333.257; pivotY: 525.7756}
{file: DummyFemale_Loop_Able_Dizzy-182.png; pivotX: 333.257; pivotY: 525.7758}
{file: DummyFemale_Loop_Able_Dizzy-183.png; pivotX: 333.257; pivotY: 525.7759}
{file: DummyFemale_Loop_Able_Dizzy-184.png; pivotX: 333.257; pivotY: 525.7759}
{file: DummyFemale_Loop_Able_Dizzy-185.png; pivotX: 333.257; pivotY: 525.7756}
{file: DummyFemale_Loop_Able_Dizzy-186.png; pivotX: 333.257; pivotY: 525.7754}
{file: DummyFemale_Loop_Able_Dizzy-187.png; pivotX: 333.257; pivotY: 525.775}
{file: DummyFemale_Loop_Able_Dizzy-188.png; pivotX: 333.257; pivotY: 525.7745}
{file: DummyFemale_Loop_Able_Dizzy-189.png; pivotX: 333.2569; pivotY: 525.7748}
{file: DummyFemale_Loop_Able_Dizzy-190.png; pivotX: 333.2569; pivotY: 525.7762}
{file: DummyFemale_Loop_Able_Dizzy-191.png; pivotX: 333.2567; pivotY: 525.7784}
{file: DummyFemale_Loop_Able_Dizzy-192.png; pivotX: 333.2566; pivotY: 525.7811}
{file: DummyFemale_Loop_Able_Dizzy-193.png; pivotX: 333.2563; pivotY: 525.7839}
{file: DummyFemale_Loop_Able_Dizzy-194.png; pivotX: 333.2562; pivotY: 525.7865}
{file: DummyFemale_Loop_Able_Dizzy-195.png; pivotX: 333.2561; pivotY: 525.7884}
{file: DummyFemale_Loop_Able_Dizzy-196.png; pivotX: 333.256; pivotY: 525.7893}
{file: DummyFemale_Loop_Able_Dizzy-197.png; pivotX: 333.2561; pivotY: 525.7888}
{file: DummyFemale_Loop_Able_Dizzy-198.png; pivotX: 333.2562; pivotY: 525.7866}
{file: DummyFemale_Loop_Able_Dizzy-199.png; pivotX: 333.2565; pivotY: 525.7822}
{file: DummyFemale_Loop_Able_Dizzy-200.png; pivotX: 333.257; pivotY: 525.7754}
{file: DummyFemale_Loop_Able_Dizzy-201.png; pivotX: 333.2576; pivotY: 525.7656}
{file: DummyFemale_Loop_Able_Dizzy-202.png; pivotX: 333.2585; pivotY: 525.7527}
{file: DummyFemale_Loop_Able_Dizzy-203.png; pivotX: 333.2596; pivotY: 525.7357}
{file: DummyFemale_Loop_Able_Dizzy-204.png; pivotX: 333.261; pivotY: 525.7146}
{file: DummyFemale_Loop_Able_Dizzy-205.png; pivotX: 333.2465; pivotY: 524.9324}
{file: DummyFemale_Loop_Able_Dizzy-206.png; pivotX: 333.2484; pivotY: 524.9047}
{file: DummyFemale_Loop_Able_Dizzy-207.png; pivotX: 333.2503; pivotY: 524.8748}
{file: DummyFemale_Loop_Able_Dizzy-208.png; pivotX: 333.2524; pivotY: 524.8433}
{file: DummyFemale_Loop_Able_Dizzy-209.png; pivotX: 333.2546; pivotY: 524.8108}
{file: DummyFemale_Loop_Able_Dizzy-210.png; pivotX: 333.2569; pivotY: 524.7781}
{file: DummyFemale_Loop_Able_Dizzy-211.png; pivotX: 333.259; pivotY: 524.7452}
{file: DummyFemale_Loop_Able_Dizzy-212.png; pivotX: 333.2611; pivotY: 524.7141}
{file: DummyFemale_Loop_Able_Dizzy-213.png; pivotX: 333.2467; pivotY: 523.9277}
{file: DummyFemale_Loop_Able_Dizzy-214.png; pivotX: 333.2486; pivotY: 523.9005}
{file: DummyFemale_Loop_Able_Dizzy-215.png; pivotX: 333.2502; pivotY: 523.8766}
{file: DummyFemale_Loop_Able_Dizzy-216.png; pivotX: 333.2515; pivotY: 523.8569}
{file: DummyFemale_Loop_Able_Dizzy-217.png; pivotX: 333.2525; pivotY: 523.8419}
{file: DummyFemale_Loop_Able_Dizzy-218.png; pivotX: 333.2532; pivotY: 523.8318}
{file: DummyFemale_Loop_Able_Dizzy-219.png; pivotX: 333.2536; pivotY: 523.8265}
{file: DummyFemale_Loop_Able_Dizzy-220.png; pivotX: 333.2536; pivotY: 523.8254}
{file: DummyFemale_Loop_Able_Dizzy-221.png; pivotX: 333.2535; pivotY: 523.8264}
{file: DummyFemale_Loop_Able_Dizzy-222.png; pivotX: 333.2532; pivotY: 523.8302}
{file: DummyFemale_Loop_Able_Dizzy-223.png; pivotX: 333.2527; pivotY: 523.8367}
{file: DummyFemale_Loop_Able_Dizzy-224.png; pivotX: 333.2521; pivotY: 523.8456}
{file: DummyFemale_Loop_Able_Dizzy-225.png; pivotX: 333.2513; pivotY: 523.8568}
{file: DummyFemale_Loop_Able_Dizzy-226.png; pivotX: 333.2505; pivotY: 523.87}
{file: DummyFemale_Loop_Able_Dizzy-227.png; pivotX: 333.2495; pivotY: 523.8848}
{file: DummyFemale_Loop_Able_Dizzy-228.png; pivotX: 333.2484; pivotY: 523.9011}
{file: DummyFemale_Loop_Able_Dizzy-229.png; pivotX: 333.2472; pivotY: 523.9186}
{file: DummyFemale_Loop_Able_Dizzy-230.png; pivotX: 333.246; pivotY: 523.9371}
{file: DummyFemale_Loop_Able_Dizzy-231.png; pivotX: 333.261; pivotY: 524.7134}
{file: DummyFemale_Loop_Able_Dizzy-232.png; pivotX: 333.2597; pivotY: 524.7331}
{file: DummyFemale_Loop_Able_Dizzy-233.png; pivotX: 333.2584; pivotY: 524.7529}
{file: DummyFemale_Loop_Able_Dizzy-234.png; pivotX: 333.2571; pivotY: 524.7727}
{file: DummyFemale_Loop_Able_Dizzy-235.png; pivotX: 333.2559; pivotY: 524.7923}
{file: DummyFemale_Loop_Able_Dizzy-236.png; pivotX: 333.2545; pivotY: 524.812}
{file: DummyFemale_Loop_Able_Dizzy-237.png; pivotX: 333.2532; pivotY: 524.8325}
{file: DummyFemale_Loop_Able_Dizzy-238.png; pivotX: 333.2519; pivotY: 524.8538}
{file: DummyFemale_Loop_Able_Dizzy-239.png; pivotX: 333.2505; pivotY: 524.8757}
{file: DummyFemale_Loop_Able_Dizzy-240.png; pivotX: 333.249; pivotY: 524.8984}
{file: DummyFemale_Loop_Able_Dizzy-241.png; pivotX: 333.2475; pivotY: 524.9219}
{file: DummyFemale_Loop_Able_Dizzy-242.png; pivotX: 333.246; pivotY: 524.9459}
{file: DummyFemale_Loop_Able_Dizzy-243.png; pivotX: 333.2606; pivotY: 525.728}
{file: DummyFemale_Loop_Able_Dizzy-244.png; pivotX: 333.2589; pivotY: 525.7533}
{file: DummyFemale_Loop_Able_Dizzy-245.png; pivotX: 333.2571; pivotY: 525.7792}
{file: DummyFemale_Loop_Able_Dizzy-246.png; pivotX: 333.2553; pivotY: 525.8055}
{file: DummyFemale_Loop_Able_Dizzy-247.png; pivotX: 333.2534; pivotY: 525.8323}
{file: DummyFemale_Loop_Able_Dizzy-248.png; pivotX: 333.2513; pivotY: 525.8596}
{file: DummyFemale_Loop_Able_Dizzy-249.png; pivotX: 333.2485; pivotY: 525.8871}
{file: DummyFemale_Loop_Able_Dizzy-250.png; pivotX: 333.2487; pivotY: 525.915}
{file: DummyFemale_Loop_Able_Dizzy-251.png; pivotX: 333.2661; pivotY: 526.7006}
{file: DummyFemale_Loop_Able_Dizzy-252.png; pivotX: 333.26; pivotY: 526.7269}
{file: DummyFemale_Loop_Able_Dizzy-253.png; pivotX: 333.2585; pivotY: 526.7549}
{file: DummyFemale_Loop_Able_Dizzy-254.png; pivotX: 333.2557; pivotY: 526.7868}
{file: DummyFemale_Loop_Able_Dizzy-255.png; pivotX: 333.2523; pivotY: 526.8218}
{file: DummyFemale_Loop_Able_Dizzy-256.png; pivotX: 333.2489; pivotY: 526.8591}
{file: DummyFemale_Loop_Able_Dizzy-257.png; pivotX: 333.2461; pivotY: 526.8979}
{file: DummyFemale_Loop_Able_Dizzy-258.png; pivotX: 333.2606; pivotY: 527.6957}
{file: DummyFemale_Loop_Able_Dizzy-259.png; pivotX: 333.2607; pivotY: 527.7354}
{file: DummyFemale_Loop_Able_Dizzy-260.png; pivotX: 333.257; pivotY: 527.7741}
{file: DummyFemale_Loop_Able_Dizzy-261.png; pivotX: 333.2546; pivotY: 527.8119}
{file: DummyFemale_Loop_Able_Dizzy-262.png; pivotX: 333.2538; pivotY: 527.8487}
{file: DummyFemale_Loop_Able_Dizzy-263.png; pivotX: 333.2497; pivotY: 527.884}
{file: DummyFemale_Loop_Able_Dizzy-264.png; pivotX: 333.2467; pivotY: 527.9175}
{file: DummyFemale_Loop_Able_Dizzy-265.png; pivotX: 333.2609; pivotY: 528.7072}
{file: DummyFemale_Loop_Able_Dizzy-266.png; pivotX: 333.2593; pivotY: 528.7357}
{file: DummyFemale_Loop_Able_Dizzy-267.png; pivotX: 333.258; pivotY: 528.7609}
{file: DummyFemale_Loop_Able_Dizzy-268.png; pivotX: 333.2565; pivotY: 528.7827}
{file: DummyFemale_Loop_Able_Dizzy-269.png; pivotX: 333.2552; pivotY: 528.802}
{file: DummyFemale_Loop_Able_Dizzy-270.png; pivotX: 333.254; pivotY: 528.8197}
{file: DummyFemale_Loop_Able_Dizzy-271.png; pivotX: 333.253; pivotY: 528.8366}
{file: DummyFemale_Loop_Able_Dizzy-272.png; pivotX: 333.252; pivotY: 528.8524}
{file: DummyFemale_Loop_Able_Dizzy-273.png; pivotX: 333.251; pivotY: 528.8671}
{file: DummyFemale_Loop_Able_Dizzy-274.png; pivotX: 333.2503; pivotY: 528.8802}
{file: DummyFemale_Loop_Able_Dizzy-275.png; pivotX: 333.2496; pivotY: 528.8916}
{file: DummyFemale_Loop_Able_Dizzy-276.png; pivotX: 333.2491; pivotY: 528.9011}
{file: DummyFemale_Loop_Able_Dizzy-277.png; pivotX: 333.2487; pivotY: 528.9086}
{file: DummyFemale_Loop_Able_Dizzy-278.png; pivotX: 333.2484; pivotY: 528.9135}
{file: DummyFemale_Loop_Able_Dizzy-279.png; pivotX: 333.2483; pivotY: 528.9157}
