{file: Devana_Heavy_Attack_Charge-0.png; posX: 2.980232E-10; posY: 0}
{file: Devana_Heavy_Attack_Charge-33.png; posX: 0.005800108; posY: -0.01598734}
{file: Devana_Heavy_Attack_Charge-34.png; posX: 0.006149201; posY: -0.01602089}
{file: Devana_Heavy_Attack_Charge-35.png; posX: 0.006485084; posY: -0.01605159}
{file: Devana_Heavy_Attack_Charge-36.png; posX: 0.006808549; posY: -0.01607943}
{file: Devana_Heavy_Attack_Charge-37.png; posX: 0.007120383; posY: -0.01610446}
{file: Devana_Heavy_Attack_Charge-38.png; posX: 0.007421373; posY: -0.01612675}
{file: Devana_Heavy_Attack_Charge-39.png; posX: 0.00771231; posY: -0.01614642}
{file: Devana_Heavy_Attack_Charge-40.png; posX: 0.007993983; posY: -0.01616341}
{file: Devana_Heavy_Attack_Charge-41.png; posX: 0.008270752; posY: -0.01617789}
{file: Devana_Heavy_Attack_Charge-42.png; posX: 0.008546465; posY: -0.01618987}
{file: Devana_Heavy_Attack_Charge-43.png; posX: 0.008821142; posY: -0.01619941}
{file: Devana_Heavy_Attack_Charge-44.png; posX: 0.009094803; posY: -0.01620656}
{file: Devana_Heavy_Attack_Charge-45.png; posX: 0.009367464; posY: -0.01621139}
{file: Devana_Heavy_Attack_Charge-46.png; posX: 0.009639146; posY: -0.01621395}
{file: Devana_Heavy_Attack_Charge-47.png; posX: 0.009909868; posY: -0.01621431}
{file: Devana_Heavy_Attack_Charge-48.png; posX: 0.01017965; posY: -0.01621258}
{file: Devana_Heavy_Attack_Charge-49.png; posX: 0.01044851; posY: -0.01620871}
{file: Devana_Heavy_Attack_Charge-50.png; posX: 0.01071646; posY: -0.01620281}
{file: Devana_Heavy_Attack_Charge-51.png; posX: 0.01098353; posY: -0.016195}
{file: Devana_Heavy_Attack_Charge-52.png; posX: 0.01124974; posY: -0.01618522}
{file: Devana_Heavy_Attack_Charge-53.png; posX: 0.0115151; posY: -0.01617366}
{file: Devana_Heavy_Attack_Charge-54.png; posX: 0.01177963; posY: -0.01616025}
{file: Devana_Heavy_Attack_Charge-55.png; posX: 0.01204335; posY: -0.01614517}
{file: Devana_Heavy_Attack_Charge-56.png; posX: 0.01230628; posY: -0.01612836}
{file: Devana_Heavy_Attack_Charge-57.png; posX: 0.01256844; posY: -0.01610994}
{file: Devana_Heavy_Attack_Charge-58.png; posX: 0.01282986; posY: -0.01608998}
{file: Devana_Heavy_Attack_Charge-59.png; posX: 0.01309053; posY: -0.01606858}
{file: Devana_Heavy_Attack_Charge-60.png; posX: 0.0133505; posY: -0.01604569}
{file: Devana_Heavy_Attack_Charge-61.png; posX: 0.01360977; posY: -0.01602143}
{file: Devana_Heavy_Attack_Charge-62.png; posX: 0.01386836; posY: -0.0159958}
{file: Devana_Heavy_Attack_Charge-63.png; posX: 0.0141263; posY: -0.01596898}
{file: Devana_Heavy_Attack_Charge-64.png; posX: 0.0143836; posY: -0.01594096}
{file: Devana_Heavy_Attack_Charge-65.png; posX: 0.01464029; posY: -0.01591176}
{file: Devana_Heavy_Attack_Charge-66.png; posX: 0.01489637; posY: -0.01588148}
{file: Devana_Heavy_Attack_Charge-67.png; posX: 0.01515187; posY: -0.01585025}
{file: Devana_Heavy_Attack_Charge-68.png; posX: 0.01540681; posY: -0.015818}
{file: Devana_Heavy_Attack_Charge-69.png; posX: 0.0156612; posY: -0.0157848}
{file: Devana_Heavy_Attack_Charge-70.png; posX: 0.01591508; posY: -0.01575083}
{file: Devana_Heavy_Attack_Charge-71.png; posX: 0.01616845; posY: -0.01571602}
{file: Devana_Heavy_Attack_Charge-72.png; posX: 0.01642133; posY: -0.01568049}
{file: Devana_Heavy_Attack_Charge-73.png; posX: 0.01667375; posY: -0.01564437}
{file: Devana_Heavy_Attack_Charge-74.png; posX: 0.01692571; posY: -0.01560771}
{file: Devana_Heavy_Attack_Charge-75.png; posX: 0.01717725; posY: -0.01557052}
{file: Devana_Heavy_Attack_Charge-76.png; posX: 0.01742838; posY: -0.01553285}
{file: Devana_Heavy_Attack_Charge-77.png; posX: 0.01767912; posY: -0.01549476}
{file: Devana_Heavy_Attack_Charge-78.png; posX: 0.01792949; posY: -0.01545638}
{file: Devana_Heavy_Attack_Charge-79.png; posX: 0.0181795; posY: -0.01541764}
{file: Devana_Heavy_Attack_Charge-80.png; posX: 0.01842918; posY: -0.01537871}
{file: Devana_Heavy_Attack_Charge-81.png; posX: 0.01867855; posY: -0.01533961}
{file: Devana_Heavy_Attack_Charge-82.png; posX: 0.01892762; posY: -0.01530039}
{file: Devana_Heavy_Attack_Charge-83.png; posX: 0.0191764; posY: -0.01526111}
{file: Devana_Heavy_Attack_Charge-84.png; posX: 0.01942494; posY: -0.01522183}
{file: Devana_Heavy_Attack_Charge-85.png; posX: 0.01967323; posY: -0.01518255}
{file: Devana_Heavy_Attack_Charge-86.png; posX: 0.01992131; posY: -0.01514345}
{file: Devana_Heavy_Attack_Charge-87.png; posX: 0.02016918; posY: -0.01510447}
{file: Devana_Heavy_Attack_Charge-88.png; posX: 0.02041687; posY: -0.01506567}
{file: Devana_Heavy_Attack_Charge-89.png; posX: 0.0206644; posY: -0.01502717}
{file: Devana_Heavy_Attack_Charge-90.png; posX: 0.0209118; posY: -0.01498902}
{file: Devana_Heavy_Attack_Charge-91.png; posX: 0.02115908; posY: -0.01495123}
{file: Devana_Heavy_Attack_Charge-92.png; posX: 0.02140626; posY: -0.01491392}
{file: Devana_Heavy_Attack_Charge-93.png; posX: 0.02165336; posY: -0.01487708}
{file: Devana_Heavy_Attack_Charge-94.png; posX: 0.02190041; posY: -0.01484078}
{file: Devana_Heavy_Attack_Charge-95.png; posX: 0.02214741; posY: -0.01480514}
{file: Devana_Heavy_Attack_Charge-96.png; posX: 0.02239438; posY: -0.01477009}
{file: Devana_Heavy_Attack_Charge-97.png; posX: 0.02264135; posY: -0.01473582}
{file: Devana_Heavy_Attack_Charge-98.png; posX: 0.02288833; posY: -0.01470232}
{file: Devana_Heavy_Attack_Charge-99.png; posX: 0.02313533; posY: -0.01466966}
{file: Devana_Heavy_Attack_Charge-100.png; posX: 0.02338238; posY: -0.01463789}
{file: Devana_Heavy_Attack_Charge-101.png; posX: 0.0236295; posY: -0.01460707}
{file: Devana_Heavy_Attack_Charge-102.png; posX: 0.02387669; posY: -0.01457721}
{file: Devana_Heavy_Attack_Charge-103.png; posX: 0.02412399; posY: -0.01454848}
{file: Devana_Heavy_Attack_Charge-104.png; posX: 0.02437139; posY: -0.01452082}
{file: Devana_Heavy_Attack_Charge-105.png; posX: 0.02461894; posY: -0.0144943}
{file: Devana_Heavy_Attack_Charge-106.png; posX: 0.02486663; posY: -0.01446909}
{file: Devana_Heavy_Attack_Charge-107.png; posX: 0.02511449; posY: -0.01444513}
{file: Devana_Heavy_Attack_Charge-108.png; posX: 0.02536254; posY: -0.01442248}
{file: Devana_Heavy_Attack_Charge-109.png; posX: 0.02561079; posY: -0.01440126}
{file: Devana_Heavy_Attack_Charge-110.png; posX: 0.02585927; posY: -0.01438147}
{file: Devana_Heavy_Attack_Charge-111.png; posX: 0.02610798; posY: -0.01436323}
{file: Devana_Heavy_Attack_Charge-112.png; posX: 0.02635695; posY: -0.01434648}
{file: Devana_Heavy_Attack_Charge-113.png; posX: 0.0266062; posY: -0.0143314}
{file: Devana_Heavy_Attack_Charge-114.png; posX: 0.02685573; posY: -0.01431799}
{file: Devana_Heavy_Attack_Charge-115.png; posX: 0.02710558; posY: -0.01430637}
{file: Devana_Heavy_Attack_Charge-116.png; posX: 0.02735575; posY: -0.01429647}
{file: Devana_Heavy_Attack_Charge-117.png; posX: 0.02760627; posY: -0.01428843}
{file: Devana_Heavy_Attack_Charge-118.png; posX: 0.02785716; posY: -0.01428229}
{file: Devana_Heavy_Attack_Charge-119.png; posX: 0.02810842; posY: -0.01427811}
