{file: DummyFemale_Death-0.png; pivotX: 333.2469; pivotY: 525.9273}
{file: DummyFemale_Death-52.png; pivotX: 112.0611; pivotY: 504.4132}
{file: DummyFemale_Death-53.png; pivotX: 113.7121; pivotY: 496.3073}
{file: DummyFemale_Death-54.png; pivotX: 115.9363; pivotY: 487.238}
{file: DummyFemale_Death-55.png; pivotX: 117.6577; pivotY: 478.09}
{file: DummyFemale_Death-56.png; pivotX: 118.7542; pivotY: 469.1288}
{file: DummyFemale_Death-57.png; pivotX: 119.2389; pivotY: 461.6103}
{file: DummyFemale_Death-58.png; pivotX: 120.872; pivotY: 455.1521}
{file: DummyFemale_Death-59.png; pivotX: 126.3968; pivotY: 450.8527}
{file: DummyFemale_Death-60.png; pivotX: 129.2641; pivotY: 449.4485}
{file: DummyFemale_Death-61.png; pivotX: 129.9175; pivotY: 451.6249}
{file: DummyFemale_Death-62.png; pivotX: 127.4269; pivotY: 455.9482}
{file: DummyFemale_Death-63.png; pivotX: 122.7932; pivotY: 461.6882}
{file: DummyFemale_Death-64.png; pivotX: 115.6474; pivotY: 468.123}
{file: DummyFemale_Death-65.png; pivotX: 110.6543; pivotY: 474.4904}
{file: DummyFemale_Death-66.png; pivotX: 105.3228; pivotY: 480.4306}
{file: DummyFemale_Death-67.png; pivotX: 98.9207; pivotY: 485.8244}
{file: DummyFemale_Death-68.png; pivotX: 91.20822; pivotY: 491.2471}
{file: DummyFemale_Death-69.png; pivotX: 81.52888; pivotY: 495.2296}
{file: DummyFemale_Death-70.png; pivotX: 69.29728; pivotY: 498.5291}
{file: DummyFemale_Death-71.png; pivotX: 65.07217; pivotY: 501.9687}
{file: DummyFemale_Death-72.png; pivotX: 67.74942; pivotY: 504.1136}
{file: DummyFemale_Death-73.png; pivotX: 81.57957; pivotY: 505.5882}
{file: DummyFemale_Death-74.png; pivotX: 93.4761; pivotY: 506.2762}
{file: DummyFemale_Death-75.png; pivotX: 101.9014; pivotY: 507.4674}
{file: DummyFemale_Death-76.png; pivotX: 106.6997; pivotY: 507.6417}
{file: DummyFemale_Death-77.png; pivotX: 108.6685; pivotY: 508.2421}
{file: DummyFemale_Death-78.png; pivotX: 108.4057; pivotY: 508.5823}
{file: DummyFemale_Death-79.png; pivotX: 106.6089; pivotY: 509.3985}
{file: DummyFemale_Death-80.png; pivotX: 102.9163; pivotY: 510.0078}
{file: DummyFemale_Death-81.png; pivotX: 98.99124; pivotY: 510.4713}
{file: DummyFemale_Death-82.png; pivotX: 93.94624; pivotY: 510.8468}
{file: DummyFemale_Death-83.png; pivotX: 88.89358; pivotY: 511.187}
{file: DummyFemale_Death-84.png; pivotX: 88.35721; pivotY: 510.8073}
{file: DummyFemale_Death-85.png; pivotX: 88.3493; pivotY: 510.4307}
{file: DummyFemale_Death-86.png; pivotX: 88.21469; pivotY: 510.78}
{file: DummyFemale_Death-87.png; pivotX: 89.60251; pivotY: 510.4327}
{file: DummyFemale_Death-88.png; pivotX: 93.59846; pivotY: 509.3959}
{file: DummyFemale_Death-89.png; pivotX: 97.89842; pivotY: 509.1011}
{file: DummyFemale_Death-90.png; pivotX: 101.8646; pivotY: 508.1243}
{file: DummyFemale_Death-91.png; pivotX: 105.3909; pivotY: 507.8932}
{file: DummyFemale_Death-92.png; pivotX: 107.7531; pivotY: 506.9825}
{file: DummyFemale_Death-93.png; pivotX: 108.9053; pivotY: 506.8292}
{file: DummyFemale_Death-94.png; pivotX: 108.7293; pivotY: 506.008}
{file: DummyFemale_Death-95.png; pivotX: 107.2982; pivotY: 505.2733}
{file: DummyFemale_Death-96.png; pivotX: 105.2336; pivotY: 505.3934}
{file: DummyFemale_Death-97.png; pivotX: 102.5967; pivotY: 504.9828}
{file: DummyFemale_Death-98.png; pivotX: 99.59157; pivotY: 504.0506}
{file: DummyFemale_Death-99.png; pivotX: 96.38419; pivotY: 503.3023}
{file: DummyFemale_Death-100.png; pivotX: 92.97826; pivotY: 502.7423}
{file: DummyFemale_Death-101.png; pivotX: 90.11248; pivotY: 501.6376}
{file: DummyFemale_Death-102.png; pivotX: 98.37726; pivotY: 499.9712}
{file: DummyFemale_Death-103.png; pivotX: 107.7694; pivotY: 497.7246}
{file: DummyFemale_Death-104.png; pivotX: 116.9916; pivotY: 494.878}
{file: DummyFemale_Death-105.png; pivotX: 126.7478; pivotY: 491.4095}
{file: DummyFemale_Death-106.png; pivotX: 136.5724; pivotY: 487.2959}
{file: DummyFemale_Death-107.png; pivotX: 146.5519; pivotY: 482.5106}
{file: DummyFemale_Death-108.png; pivotX: 156.9282; pivotY: 477.025}
{file: DummyFemale_Death-109.png; pivotX: 166.6966; pivotY: 470.0709}
{file: DummyFemale_Death-110.png; pivotX: 176.4027; pivotY: 463.2624}
{file: DummyFemale_Death-111.png; pivotX: 185.5308; pivotY: 455.2544}
{file: DummyFemale_Death-112.png; pivotX: 194.5989; pivotY: 445.6007}
{file: DummyFemale_Death-113.png; pivotX: 203.1278; pivotY: 435.7526}
{file: DummyFemale_Death-114.png; pivotX: 211.4286; pivotY: 424.7202}
{file: DummyFemale_Death-115.png; pivotX: 219.3767; pivotY: 410.8849}
{file: DummyFemale_Death-116.png; pivotX: 227.0508; pivotY: 395.03}
{file: DummyFemale_Death-117.png; pivotX: 234.5127; pivotY: 377.9249}
{file: DummyFemale_Death-118.png; pivotX: 241.4236; pivotY: 358.2357}
{file: DummyFemale_Death-119.png; pivotX: 247.3317; pivotY: 337.4586}
{file: DummyFemale_Death-120.png; pivotX: 251.8376; pivotY: 315.7434}
{file: DummyFemale_Death-121.png; pivotX: 255.9786; pivotY: 293.8878}
{file: DummyFemale_Death-122.png; pivotX: 259.4637; pivotY: 271.3981}
{file: DummyFemale_Death-123.png; pivotX: 261.7925; pivotY: 249.7233}
{file: DummyFemale_Death-124.png; pivotX: 264.0575; pivotY: 229.0805}
{file: DummyFemale_Death-125.png; pivotX: 265.7051; pivotY: 210.448}
{file: DummyFemale_Death-126.png; pivotX: 268.248; pivotY: 206.773}
{file: DummyFemale_Death-127.png; pivotX: 271.14; pivotY: 206.7791}
{file: DummyFemale_Death-128.png; pivotX: 273.6413; pivotY: 206.7761}
{file: DummyFemale_Death-129.png; pivotX: 275.5894; pivotY: 206.7301}
{file: DummyFemale_Death-130.png; pivotX: 275.7231; pivotY: 207.83}
{file: DummyFemale_Death-131.png; pivotX: 275.8389; pivotY: 207.2635}
{file: DummyFemale_Death-132.png; pivotX: 275.4424; pivotY: 206.7182}
{file: DummyFemale_Death-133.png; pivotX: 275.3698; pivotY: 206.7608}
{file: DummyFemale_Death-134.png; pivotX: 275.2921; pivotY: 206.7977}
{file: DummyFemale_Death-135.png; pivotX: 275.2132; pivotY: 206.812}
{file: DummyFemale_Death-136.png; pivotX: 275.1443; pivotY: 206.7853}
{file: DummyFemale_Death-137.png; pivotX: 275.0918; pivotY: 206.7336}
{file: DummyFemale_Death-138.png; pivotX: 275.0525; pivotY: 206.6912}
{file: DummyFemale_Death-139.png; pivotX: 275.023; pivotY: 206.6922}
{file: DummyFemale_Death-140.png; pivotX: 275.0001; pivotY: 206.7197}
{file: DummyFemale_Death-141.png; pivotX: 274.9804; pivotY: 206.7345}
{file: DummyFemale_Death-142.png; pivotX: 274.9609; pivotY: 206.7371}
{file: DummyFemale_Death-143.png; pivotX: 274.95; pivotY: 206.7363}
{file: DummyFemale_Death-144.png; pivotX: 274.9571; pivotY: 206.7395}
{file: DummyFemale_Death-145.png; pivotX: 274.9796; pivotY: 206.7455}
{file: DummyFemale_Death-146.png; pivotX: 275.0153; pivotY: 206.7532}
{file: DummyFemale_Death-147.png; pivotX: 275.0617; pivotY: 206.7612}
{file: DummyFemale_Death-148.png; pivotX: 275.1164; pivotY: 206.7685}
{file: DummyFemale_Death-149.png; pivotX: 275.1766; pivotY: 206.7737}
{file: DummyFemale_Death-150.png; pivotX: 275.2402; pivotY: 206.7757}
{file: DummyFemale_Death-151.png; pivotX: 275.3048; pivotY: 206.7756}
{file: DummyFemale_Death-152.png; pivotX: 275.3676; pivotY: 206.7756}
{file: DummyFemale_Death-153.png; pivotX: 275.4265; pivotY: 206.7755}
{file: DummyFemale_Death-154.png; pivotX: 275.479; pivotY: 206.7755}
{file: DummyFemale_Death-155.png; pivotX: 275.5224; pivotY: 206.7755}
{file: DummyFemale_Death-156.png; pivotX: 275.5546; pivotY: 206.7756}
{file: DummyFemale_Death-157.png; pivotX: 275.5728; pivotY: 206.7756}
{file: DummyFemale_Death-158.png; pivotX: 275.5749; pivotY: 206.7756}
{file: DummyFemale_Death-159.png; pivotX: 275.5695; pivotY: 206.7757}
{file: DummyFemale_Death-160.png; pivotX: 275.5671; pivotY: 206.7757}
{file: DummyFemale_Death-161.png; pivotX: 275.5673; pivotY: 206.7758}
{file: DummyFemale_Death-162.png; pivotX: 275.5693; pivotY: 206.7758}
{file: DummyFemale_Death-163.png; pivotX: 275.573; pivotY: 206.7759}
{file: DummyFemale_Death-164.png; pivotX: 275.5777; pivotY: 206.7759}
{file: DummyFemale_Death-165.png; pivotX: 275.583; pivotY: 206.7759}
{file: DummyFemale_Death-166.png; pivotX: 275.5883; pivotY: 206.776}
{file: DummyFemale_Death-167.png; pivotX: 275.5933; pivotY: 206.776}
{file: DummyFemale_Death-168.png; pivotX: 275.5974; pivotY: 206.7761}
{file: DummyFemale_Death-169.png; pivotX: 275.6003; pivotY: 206.7761}
