{file: Devana_Extra_Idle-0.png; posX: 0; posY: 0}
{file: Devana_Extra_Idle-32.png; posX: 0.04262726; posY: 0.006463289}
{file: Devana_Extra_Idle-33.png; posX: 0.04102301; posY: 0.006391108}
{file: Devana_Extra_Idle-34.png; posX: 0.03939204; posY: 0.006301999}
{file: Devana_Extra_Idle-35.png; posX: 0.03774487; posY: 0.006195962}
{file: Devana_Extra_Idle-36.png; posX: 0.03610704; posY: 0.006072938}
{file: Devana_Extra_Idle-37.png; posX: 0.03448422; posY: 0.005932987}
{file: Devana_Extra_Idle-38.png; posX: 0.03285719; posY: 0.005776048}
{file: Devana_Extra_Idle-39.png; posX: 0.03120677; posY: 0.005602062}
{file: Devana_Extra_Idle-40.png; posX: 0.02951377; posY: 0.005411029}
{file: Devana_Extra_Idle-41.png; posX: 0.02775899; posY: 0.005202889}
{file: Devana_Extra_Idle-42.png; posX: 0.02592321; posY: 0.004977703}
{file: Devana_Extra_Idle-43.png; posX: 0.02402909; posY: 0.00473541}
{file: Devana_Extra_Idle-44.png; posX: 0.0221301; posY: 0.004475892}
{file: Devana_Extra_Idle-45.png; posX: 0.02025334; posY: 0.004199266}
{file: Devana_Extra_Idle-46.png; posX: 0.0184259; posY: 0.003905416}
{file: Devana_Extra_Idle-47.png; posX: 0.01667491; posY: 0.003594339}
{file: Devana_Extra_Idle-48.png; posX: 0.01502744; posY: 0.003266037}
{file: Devana_Extra_Idle-49.png; posX: 0.01351058; posY: 0.002920449}
{file: Devana_Extra_Idle-50.png; posX: 0.01215146; posY: 0.002577722}
{file: Devana_Extra_Idle-51.png; posX: 0.01097716; posY: 0.002257526}
{file: Devana_Extra_Idle-52.png; posX: 0.01001478; posY: 0.001959085}
{file: Devana_Extra_Idle-53.png; posX: 0.009291418; posY: 0.001681805}
{file: Devana_Extra_Idle-54.png; posX: 0.008873809; posY: 0.001424849}
{file: Devana_Extra_Idle-55.png; posX: 0.008807101; posY: 0.001187563}
{file: Devana_Extra_Idle-56.png; posX: 0.009086007; posY: 0.0009692907}
{file: Devana_Extra_Idle-57.png; posX: 0.009674361; posY: 0.0007691979}
{file: Devana_Extra_Idle-58.png; posX: 0.01050003; posY: 0.0005866289}
{file: Devana_Extra_Idle-59.png; posX: 0.01150379; posY: 0.0004208684}
{file: Devana_Extra_Idle-60.png; posX: 0.01262641; posY: 0.0002712011}
{file: Devana_Extra_Idle-61.png; posX: 0.01380869; posY: 0.0001369715}
{file: Devana_Extra_Idle-62.png; posX: 0.01499139; posY: 1.734495E-05}
{file: Devana_Extra_Idle-63.png; posX: 0.01611529; posY: -8.833408E-05}
{file: Devana_Extra_Idle-64.png; posX: 0.01712115; posY: -0.0001807213}
{file: Devana_Extra_Idle-65.png; posX: 0.01794978; posY: -0.0002606511}
{file: Devana_Extra_Idle-66.png; posX: 0.01854193; posY: -0.0003287196}
{file: Devana_Extra_Idle-67.png; posX: 0.01883839; posY: -0.0003857017}
{file: Devana_Extra_Idle-68.png; posX: 0.01887291; posY: -0.0004323125}
{file: Devana_Extra_Idle-69.png; posX: 0.018734; posY: -0.0004692674}
{file: Devana_Extra_Idle-70.png; posX: 0.01844454; posY: -0.0004972816}
{file: Devana_Extra_Idle-71.png; posX: 0.01802742; posY: -0.0005170107}
{file: Devana_Extra_Idle-72.png; posX: 0.01750553; posY: -0.0005292296}
{file: Devana_Extra_Idle-73.png; posX: 0.01690175; posY: -0.0005346537}
{file: Devana_Extra_Idle-74.png; posX: 0.01623897; posY: -0.000533998}
{file: Devana_Extra_Idle-75.png; posX: 0.01554008; posY: -0.0005279183}
{file: Devana_Extra_Idle-76.png; posX: 0.01481432; posY: -0.0005171895}
{file: Devana_Extra_Idle-77.png; posX: 0.01406598; posY: -0.0005025268}
{file: Devana_Extra_Idle-78.png; posX: 0.01331052; posY: -0.0004846454}
{file: Devana_Extra_Idle-79.png; posX: 0.01256341; posY: -0.000464201}
{file: Devana_Extra_Idle-80.png; posX: 0.01184009; posY: -0.0004419088}
{file: Devana_Extra_Idle-81.png; posX: 0.01115602; posY: -0.0004185438}
{file: Devana_Extra_Idle-82.png; posX: 0.01052666; posY: -0.0003948212}
{file: Devana_Extra_Idle-83.png; posX: 0.009967463; posY: -0.0003713965}
{file: Devana_Extra_Idle-84.png; posX: 0.009493883; posY: -0.0003490448}
{file: Devana_Extra_Idle-85.png; posX: 0.009121384; posY: -0.0003284812}
{file: Devana_Extra_Idle-86.png; posX: 0.008865418; posY: -0.0003103614}
{file: Devana_Extra_Idle-87.png; posX: 0.008741441; posY: -0.0002954006}
{file: Devana_Extra_Idle-88.png; posX: 0.008764911; posY: -0.0002843738}
{file: Devana_Extra_Idle-89.png; posX: 0.008951283; posY: -0.0002779365}
{file: Devana_Extra_Idle-90.png; posX: 0.009345481; posY: -0.0002768636}
{file: Devana_Extra_Idle-91.png; posX: 0.009964845; posY: -0.0002818108}
{file: Devana_Extra_Idle-92.png; posX: 0.01078344; posY: -0.0002934933}
{file: Devana_Extra_Idle-93.png; posX: 0.01177533; posY: -0.000312686}
{file: Devana_Extra_Idle-94.png; posX: 0.0129146; posY: -0.0003400445}
{file: Devana_Extra_Idle-95.png; posX: 0.01417531; posY: -0.0003763437}
{file: Devana_Extra_Idle-96.png; posX: 0.01553154; posY: -0.0004222393}
{file: Devana_Extra_Idle-97.png; posX: 0.01695735; posY: -0.0004784465}
{file: Devana_Extra_Idle-98.png; posX: 0.01842683; posY: -0.0005456805}
{file: Devana_Extra_Idle-99.png; posX: 0.01991402; posY: -0.0006181598}
{file: Devana_Extra_Idle-100.png; posX: 0.02139302; posY: -0.0006896257}
{file: Devana_Extra_Idle-101.png; posX: 0.02283788; posY: -0.0007600188}
{file: Devana_Extra_Idle-102.png; posX: 0.02422268; posY: -0.0008292794}
{file: Devana_Extra_Idle-103.png; posX: 0.0255215; posY: -0.0008974671}
{file: Devana_Extra_Idle-104.png; posX: 0.02670839; posY: -0.0009645224}
{file: Devana_Extra_Idle-105.png; posX: 0.02775744; posY: -0.001030385}
{file: Devana_Extra_Idle-106.png; posX: 0.02864271; posY: -0.001095116}
{file: Devana_Extra_Idle-107.png; posX: 0.02931764; posY: -0.001158714}
{file: Devana_Extra_Idle-108.png; posX: 0.02976356; posY: -0.001221061}
{file: Devana_Extra_Idle-109.png; posX: 0.02999641; posY: -0.001282215}
{file: Devana_Extra_Idle-110.png; posX: 0.03003211; posY: -0.001342118}
{file: Devana_Extra_Idle-111.png; posX: 0.02988659; posY: -0.001400769}
{file: Devana_Extra_Idle-112.png; posX: 0.02957577; posY: -0.001458108}
{file: Devana_Extra_Idle-113.png; posX: 0.02911558; posY: -0.001514196}
{file: Devana_Extra_Idle-114.png; posX: 0.02852196; posY: -0.001568973}
{file: Devana_Extra_Idle-115.png; posX: 0.02781081; posY: -0.001622438}
{file: Devana_Extra_Idle-116.png; posX: 0.02699809; posY: -0.001674533}
{file: Devana_Extra_Idle-117.png; posX: 0.0260997; posY: -0.001725256}
{file: Devana_Extra_Idle-118.png; posX: 0.02513158; posY: -0.001774549}
{file: Devana_Extra_Idle-119.png; posX: 0.02410965; posY: -0.001822531}
{file: Devana_Extra_Idle-120.png; posX: 0.02304985; posY: -0.001869023}
{file: Devana_Extra_Idle-121.png; posX: 0.02196809; posY: -0.001914084}
{file: Devana_Extra_Idle-122.png; posX: 0.0208803; posY: -0.001957715}
{file: Devana_Extra_Idle-123.png; posX: 0.01980242; posY: -0.001999855}
{file: Devana_Extra_Idle-124.png; posX: 0.01875035; posY: -0.002040505}
{file: Devana_Extra_Idle-125.png; posX: 0.01774005; posY: -0.002079666}
{file: Devana_Extra_Idle-126.png; posX: 0.01678743; posY: -0.002117217}
{file: Devana_Extra_Idle-127.png; posX: 0.01590842; posY: -0.002153277}
{file: Devana_Extra_Idle-128.png; posX: 0.01511895; posY: -0.002187788}
{file: Devana_Extra_Idle-129.png; posX: 0.0143957; posY: -0.002220631}
{file: Devana_Extra_Idle-130.png; posX: 0.01370114; posY: -0.002251923}
{file: Devana_Extra_Idle-131.png; posX: 0.0130299; posY: -0.002281606}
{file: Devana_Extra_Idle-132.png; posX: 0.0123766; posY: -0.00230962}
{file: Devana_Extra_Idle-133.png; posX: 0.01173586; posY: -0.002335966}
{file: Devana_Extra_Idle-134.png; posX: 0.0111023; posY: -0.002360642}
{file: Devana_Extra_Idle-135.png; posX: 0.01047054; posY: -0.002383649}
{file: Devana_Extra_Idle-136.png; posX: 0.009845073; posY: -0.002404869}
{file: Devana_Extra_Idle-137.png; posX: 0.009236471; posY: -0.002424419}
{file: Devana_Extra_Idle-138.png; posX: 0.008648485; posY: -0.002442181}
{file: Devana_Extra_Idle-139.png; posX: 0.008084889; posY: -0.002458155}
{file: Devana_Extra_Idle-140.png; posX: 0.007549429; posY: -0.002472401}
{file: Devana_Extra_Idle-141.png; posX: 0.007045864; posY: -0.002484798}
{file: Devana_Extra_Idle-142.png; posX: 0.00657795; posY: -0.002495348}
{file: Devana_Extra_Idle-143.png; posX: 0.006149441; posY: -0.00250411}
{file: Devana_Extra_Idle-144.png; posX: 0.005764096; posY: -0.002510965}
{file: Devana_Extra_Idle-145.png; posX: 0.00542567; posY: -0.002515912}
{file: Devana_Extra_Idle-146.png; posX: 0.005137919; posY: -0.002519011}
{file: Devana_Extra_Idle-147.png; posX: 0.004926339; posY: -0.002520144}
{file: Devana_Extra_Idle-148.png; posX: 0.004855834; posY: -0.002519369}
{file: Devana_Extra_Idle-149.png; posX: 0.004949287; posY: -0.002514601}
{file: Devana_Extra_Idle-150.png; posX: 0.005165596; posY: -0.00250411}
{file: Devana_Extra_Idle-151.png; posX: 0.005471651; posY: -0.002488256}
{file: Devana_Extra_Idle-152.png; posX: 0.005834341; posY: -0.002467275}
{file: Devana_Extra_Idle-153.png; posX: 0.006220562; posY: -0.002441525}
{file: Devana_Extra_Idle-154.png; posX: 0.006597192; posY: -0.002411366}
{file: Devana_Extra_Idle-155.png; posX: 0.006931126; posY: -0.002377093}
{file: Devana_Extra_Idle-156.png; posX: 0.007189254; posY: -0.002339065}
{file: Devana_Extra_Idle-157.png; posX: 0.007338465; posY: -0.00229764}
{file: Devana_Extra_Idle-158.png; posX: 0.007345649; posY: -0.002253115}
{file: Devana_Extra_Idle-159.png; posX: 0.007209116; posY: -0.002205789}
{file: Devana_Extra_Idle-160.png; posX: 0.006959953; posY: -0.002156019}
{file: Devana_Extra_Idle-161.png; posX: 0.006614222; posY: -0.002104163}
{file: Devana_Extra_Idle-162.png; posX: 0.006187982; posY: -0.002050579}
{file: Devana_Extra_Idle-163.png; posX: 0.005697293; posY: -0.001995504}
{file: Devana_Extra_Idle-164.png; posX: 0.005158214; posY: -0.001939297}
{file: Devana_Extra_Idle-165.png; posX: 0.004586805; posY: -0.001882315}
{file: Devana_Extra_Idle-166.png; posX: 0.003999127; posY: -0.001824915}
{file: Devana_Extra_Idle-167.png; posX: 0.00341123; posY: -0.001767397}
{file: Devana_Extra_Idle-168.png; posX: 0.002833153; posY: -0.001710057}
{file: Devana_Extra_Idle-169.png; posX: 0.002278149; posY: -0.001653254}
{file: Devana_Extra_Idle-170.png; posX: 0.001760164; posY: -0.001597345}
{file: Devana_Extra_Idle-171.png; posX: 0.001163628; posY: -0.001542628}
{file: Devana_Extra_Idle-172.png; posX: 0.0003069455; posY: -0.00148946}
{file: Devana_Extra_Idle-173.png; posX: -0.000601914; posY: -0.001438141}
{file: Devana_Extra_Idle-174.png; posX: -0.001340514; posY: -0.001389027}
{file: Devana_Extra_Idle-175.png; posX: -0.001686375; posY: -0.001342475}
{file: Devana_Extra_Idle-176.png; posX: -0.001417025; posY: -0.001298726}
{file: Devana_Extra_Idle-177.png; posX: -0.0005591032; posY: -0.001258194}
{file: Devana_Extra_Idle-178.png; posX: 0.0004986579; posY: -0.00122118}
{file: Devana_Extra_Idle-179.png; posX: 0.001715265; posY: -0.00118798}
{file: Devana_Extra_Idle-180.png; posX: 0.00306856; posY: -0.001159012}
{file: Devana_Extra_Idle-181.png; posX: 0.004528628; posY: -0.001134515}
{file: Devana_Extra_Idle-182.png; posX: 0.006065579; posY: -0.001114905}
{file: Devana_Extra_Idle-183.png; posX: 0.007649454; posY: -0.001100421}
{file: Devana_Extra_Idle-184.png; posX: 0.009250362; posY: -0.00109148}
{file: Devana_Extra_Idle-185.png; posX: 0.01083839; posY: -0.001088381}
{file: Devana_Extra_Idle-186.png; posX: 0.01238363; posY: -0.001091421}
{file: Devana_Extra_Idle-187.png; posX: 0.01385615; posY: -0.001101017}
{file: Devana_Extra_Idle-188.png; posX: 0.01522606; posY: -0.001117349}
{file: Devana_Extra_Idle-189.png; posX: 0.01646344; posY: -0.001140893}
{file: Devana_Extra_Idle-190.png; posX: 0.01753836; posY: -0.001171947}
{file: Devana_Extra_Idle-191.png; posX: 0.01842093; posY: -0.001210809}
{file: Devana_Extra_Idle-192.png; posX: 0.01908123; posY: -0.001257837}
{file: Devana_Extra_Idle-193.png; posX: 0.01945441; posY: -0.001313329}
{file: Devana_Extra_Idle-194.png; posX: 0.01951901; posY: -0.001377583}
{file: Devana_Extra_Idle-195.png; posX: 0.01931018; posY: -0.001451075}
{file: Devana_Extra_Idle-196.png; posX: 0.01886307; posY: -0.001533985}
{file: Devana_Extra_Idle-197.png; posX: 0.01821282; posY: -0.00162673}
{file: Devana_Extra_Idle-198.png; posX: 0.01739459; posY: -0.001728833}
{file: Devana_Extra_Idle-199.png; posX: 0.01644352; posY: -0.001839221}
{file: Devana_Extra_Idle-200.png; posX: 0.01539476; posY: -0.001956999}
{file: Devana_Extra_Idle-201.png; posX: 0.01428346; posY: -0.002081454}
{file: Devana_Extra_Idle-202.png; posX: 0.01314477; posY: -0.00221175}
{file: Devana_Extra_Idle-203.png; posX: 0.01193492; posY: -0.002347171}
{file: Devana_Extra_Idle-204.png; posX: 0.01059737; posY: -0.002486825}
{file: Devana_Extra_Idle-205.png; posX: 0.009148018; posY: -0.002630055}
{file: Devana_Extra_Idle-206.png; posX: 0.00760281; posY: -0.002776027}
{file: Devana_Extra_Idle-207.png; posX: 0.005977671; posY: -0.002923906}
{file: Devana_Extra_Idle-208.png; posX: 0.00428853; posY: -0.003072977}
{file: Devana_Extra_Idle-209.png; posX: 0.002551313; posY: -0.003222406}
{file: Devana_Extra_Idle-210.png; posX: 0.0007833956; posY: -0.003371477}
{file: Devana_Extra_Idle-211.png; posX: -0.0009886571; posY: -0.003519356}
{file: Devana_Extra_Idle-212.png; posX: -0.002742773; posY: -0.003665209}
{file: Devana_Extra_Idle-213.png; posX: -0.004463261; posY: -0.00380832}
{file: Devana_Extra_Idle-214.png; posX: -0.00612981; posY: -0.003947914}
{file: Devana_Extra_Idle-215.png; posX: -0.007722108; posY: -0.004083157}
{file: Devana_Extra_Idle-216.png; posX: -0.009219842; posY: -0.004213333}
{file: Devana_Extra_Idle-217.png; posX: -0.0106027; posY: -0.004337549}
{file: Devana_Extra_Idle-218.png; posX: -0.01185038; posY: -0.004455149}
{file: Devana_Extra_Idle-219.png; posX: -0.01294255; posY: -0.004565239}
{file: Devana_Extra_Idle-220.png; posX: -0.01385892; posY: -0.004667103}
{file: Devana_Extra_Idle-221.png; posX: -0.01457916; posY: -0.004759908}
{file: Devana_Extra_Idle-222.png; posX: -0.01508297; posY: -0.004842937}
{file: Devana_Extra_Idle-223.png; posX: -0.01535004; posY: -0.004915357}
{file: Devana_Extra_Idle-224.png; posX: -0.01531565; posY: -0.004976392}
{file: Devana_Extra_Idle-225.png; posX: -0.01492708; posY: -0.005025268}
{file: Devana_Extra_Idle-226.png; posX: -0.01418205; posY: -0.00506115}
{file: Devana_Extra_Idle-227.png; posX: -0.01307825; posY: -0.005083323}
{file: Devana_Extra_Idle-228.png; posX: -0.01164176; posY: -0.005090952}
{file: Devana_Extra_Idle-229.png; posX: -0.009928898; posY: -0.005083263}
{file: Devana_Extra_Idle-230.png; posX: -0.0079827; posY: -0.00505954}
{file: Devana_Extra_Idle-231.png; posX: -0.00584619; posY: -0.00501889}
{file: Devana_Extra_Idle-232.png; posX: -0.003562399; posY: -0.004960597}
{file: Devana_Extra_Idle-233.png; posX: -0.001174356; posY: -0.004883885}
{file: Devana_Extra_Idle-234.png; posX: 0.001285484; posY: -0.004787922}
{file: Devana_Extra_Idle-235.png; posX: 0.003765416; posY: -0.004671931}
{file: Devana_Extra_Idle-236.png; posX: 0.006232832; posY: -0.004535198}
{file: Devana_Extra_Idle-237.png; posX: 0.008649587; posY: -0.004376829}
{file: Devana_Extra_Idle-238.png; posX: 0.01097753; posY: -0.004196107}
{file: Devana_Extra_Idle-239.png; posX: 0.01317851; posY: -0.0039922}
{file: Devana_Extra_Idle-240.png; posX: 0.01530272; posY: -0.003764391}
{file: Devana_Extra_Idle-241.png; posX: 0.01748084; posY: -0.003511906}
{file: Devana_Extra_Idle-242.png; posX: 0.01979529; posY: -0.00323385}
{file: Devana_Extra_Idle-243.png; posX: 0.02225116; posY: -0.002929568}
{file: Devana_Extra_Idle-244.png; posX: 0.02477199; posY: -0.002598166}
{file: Devana_Extra_Idle-245.png; posX: 0.02731864; posY: -0.002238929}
{file: Devana_Extra_Idle-246.png; posX: 0.02985169; posY: -0.001851022}
{file: Devana_Extra_Idle-247.png; posX: 0.032332; posY: -0.00143373}
{file: Devana_Extra_Idle-248.png; posX: 0.03472019; posY: -0.0009691119}
{file: Devana_Extra_Idle-249.png; posX: 0.03697692; posY: -0.0004453063}
{file: Devana_Extra_Idle-250.png; posX: 0.03906304; posY: 0.0001297593}
{file: Devana_Extra_Idle-251.png; posX: 0.04093913; posY: 0.0007479191}
{file: Devana_Extra_Idle-252.png; posX: 0.04256601; posY: 0.001401246}
{file: Devana_Extra_Idle-253.png; posX: 0.04390431; posY: 0.002081633}
{file: Devana_Extra_Idle-254.png; posX: 0.04491482; posY: 0.002781093}
{file: Devana_Extra_Idle-255.png; posX: 0.04561685; posY: 0.003491461}
{file: Devana_Extra_Idle-256.png; posX: 0.04606345; posY: 0.00420481}
{file: Devana_Extra_Idle-257.png; posX: 0.04626566; posY: 0.004913092}
{file: Devana_Extra_Idle-258.png; posX: 0.0462346; posY: 0.005608201}
{file: Devana_Extra_Idle-259.png; posX: 0.04598137; posY: 0.006282091}
{file: Devana_Extra_Idle-260.png; posX: 0.04551703; posY: 0.006926835}
{file: Devana_Extra_Idle-261.png; posX: 0.04485271; posY: 0.007534206}
{file: Devana_Extra_Idle-262.png; posX: 0.0439995; posY: 0.008096337}
{file: Devana_Extra_Idle-263.png; posX: 0.04296847; posY: 0.008605063}
{file: Devana_Extra_Idle-264.png; posX: 0.04177075; posY: 0.009052396}
{file: Devana_Extra_Idle-265.png; posX: 0.04041739; posY: 0.009430289}
{file: Devana_Extra_Idle-266.png; posX: 0.03891954; posY: 0.009730697}
{file: Devana_Extra_Idle-267.png; posX: 0.03728823; posY: 0.009945512}
{file: Devana_Extra_Idle-268.png; posX: 0.03553463; posY: 0.01006681}
{file: Devana_Extra_Idle-269.png; posX: 0.03366974; posY: 0.01008648}
{file: Devana_Extra_Idle-270.png; posX: 0.03170476; posY: 0.009996474}
{file: Devana_Extra_Idle-271.png; posX: 0.02965068; posY: 0.009788752}
{file: Devana_Extra_Idle-272.png; posX: 0.0275187; posY: 0.009455264}
{file: Devana_Extra_Idle-273.png; posX: 0.0253198; posY: 0.008988023}
{file: Devana_Extra_Idle-274.png; posX: 0.02306519; posY: 0.008378923}
{file: Devana_Extra_Idle-275.png; posX: 0.02077626; posY: 0.007619917}
{file: Devana_Extra_Idle-276.png; posX: 0.01847941; posY: 0.00679791}
{file: Devana_Extra_Idle-277.png; posX: 0.01619311; posY: 0.006007195}
{file: Devana_Extra_Idle-278.png; posX: 0.0139356; posY: 0.005250871}
{file: Devana_Extra_Idle-279.png; posX: 0.01172538; posY: 0.004532158}
{file: Devana_Extra_Idle-280.png; posX: 0.009580713; posY: 0.003854036}
{file: Devana_Extra_Idle-281.png; posX: 0.007520099; posY: 0.003219783}
{file: Devana_Extra_Idle-282.png; posX: 0.005561803; posY: 0.002632499}
{file: Devana_Extra_Idle-283.png; posX: 0.00372432; posY: 0.002095282}
{file: Devana_Extra_Idle-284.png; posX: 0.00202184; posY: 0.001611233}
{file: Devana_Extra_Idle-285.png; posX: 0.0007628136; posY: 0.001183569}
{file: Devana_Extra_Idle-286.png; posX: 0.0001643605; posY: 0.0008153915}
{file: Devana_Extra_Idle-287.png; posX: 8.140734E-06; posY: 0.0005097985}
{file: Devana_Extra_Idle-288.png; posX: 7.486988E-05; posY: 0.0002699494}
{file: Devana_Extra_Idle-289.png; posX: 0.0001452533; posY: 9.900331E-05}
