{file: DummyFemale_Block_Loop-0.png; posX: 0; posY: 0}
{file: DummyFemale_Block_Loop-35.png; posX: 0.01109267; posY: 0.009341717}
{file: DummyFemale_Block_Loop-36.png; posX: 0.01127631; posY: 0.009274065}
{file: DummyFemale_Block_Loop-37.png; posX: 0.01144549; posY: 0.009221852}
{file: DummyFemale_Block_Loop-38.png; posX: 0.01161288; posY: 0.009194732}
{file: DummyFemale_Block_Loop-39.png; posX: 0.0117758; posY: 0.009185493}
{file: DummyFemale_Block_Loop-40.png; posX: 0.01193154; posY: 0.009186685}
{file: DummyFemale_Block_Loop-41.png; posX: 0.01207741; posY: 0.009191096}
{file: DummyFemale_Block_Loop-42.png; posX: 0.01221072; posY: 0.009191096}
{file: DummyFemale_Block_Loop-43.png; posX: 0.01232878; posY: 0.009179652}
{file: DummyFemale_Block_Loop-44.png; posX: 0.01242889; posY: 0.009149134}
{file: DummyFemale_Block_Loop-45.png; posX: 0.01250836; posY: 0.009092331}
{file: DummyFemale_Block_Loop-46.png; posX: 0.01256449; posY: 0.00900197}
{file: DummyFemale_Block_Loop-47.png; posX: 0.01259458; posY: 0.008870482}
{file: DummyFemale_Block_Loop-48.png; posX: 0.01259595; posY: 0.008690596}
{file: DummyFemale_Block_Loop-49.png; posX: 0.0125659; posY: 0.008455098}
{file: DummyFemale_Block_Loop-50.png; posX: 0.01250174; posY: 0.008156538}
{file: DummyFemale_Block_Loop-51.png; posX: 0.01240076; posY: 0.007787347}
{file: DummyFemale_Block_Loop-52.png; posX: 0.01226028; posY: 0.007340491}
{file: DummyFemale_Block_Loop-53.png; posX: 0.01207761; posY: 0.006808341}
{file: DummyFemale_Block_Loop-54.png; posX: 0.01185004; posY: 0.006183803}
{file: DummyFemale_Block_Loop-55.png; posX: 0.01156124; posY: 0.005432606}
{file: DummyFemale_Block_Loop-56.png; posX: 0.01120146; posY: 0.004537106}
{file: DummyFemale_Block_Loop-57.png; posX: 0.01077791; posY: 0.00351423}
{file: DummyFemale_Block_Loop-58.png; posX: 0.01029779; posY: 0.002381027}
{file: DummyFemale_Block_Loop-59.png; posX: 0.009768298; posY: 0.001154423}
{file: DummyFemale_Block_Loop-60.png; posX: 0.009196634; posY: -0.0001482368}
{file: DummyFemale_Block_Loop-61.png; posX: 0.008590009; posY: -0.001510084}
{file: DummyFemale_Block_Loop-62.png; posX: 0.007955621; posY: -0.002914011}
{file: DummyFemale_Block_Loop-63.png; posX: 0.007300674; posY: -0.004343152}
{file: DummyFemale_Block_Loop-64.png; posX: 0.006632372; posY: -0.00578022}
{file: DummyFemale_Block_Loop-65.png; posX: 0.005957911; posY: -0.007208288}
{file: DummyFemale_Block_Loop-66.png; posX: 0.005284497; posY: -0.008610368}
{file: DummyFemale_Block_Loop-67.png; posX: 0.004619327; posY: -0.009969294}
{file: DummyFemale_Block_Loop-68.png; posX: 0.003969614; posY: -0.01126808}
{file: DummyFemale_Block_Loop-69.png; posX: 0.003342555; posY: -0.01248968}
{file: DummyFemale_Block_Loop-70.png; posX: 0.002745352; posY: -0.01361692}
{file: DummyFemale_Block_Loop-71.png; posX: 0.002159066; posY: -0.01470202}
{file: DummyFemale_Block_Loop-72.png; posX: 0.001561334; posY: -0.01580405}
{file: DummyFemale_Block_Loop-73.png; posX: 0.0009542335; posY: -0.01691616}
{file: DummyFemale_Block_Loop-74.png; posX: 0.000339828; posY: -0.01803195}
{file: DummyFemale_Block_Loop-75.png; posX: -0.0002797879; posY: -0.01914489}
{file: DummyFemale_Block_Loop-76.png; posX: -0.000902554; posY: -0.02024829}
{file: DummyFemale_Block_Loop-77.png; posX: -0.001526384; posY: -0.02133548}
{file: DummyFemale_Block_Loop-78.png; posX: -0.002149214; posY: -0.02240008}
{file: DummyFemale_Block_Loop-79.png; posX: -0.002768954; posY: -0.02343541}
{file: DummyFemale_Block_Loop-80.png; posX: -0.003383544; posY: -0.02443486}
{file: DummyFemale_Block_Loop-81.png; posX: -0.003990912; posY: -0.02539188}
{file: DummyFemale_Block_Loop-82.png; posX: -0.004588964; posY: -0.02629989}
{file: DummyFemale_Block_Loop-83.png; posX: -0.005175642; posY: -0.0271523}
{file: DummyFemale_Block_Loop-84.png; posX: -0.005748858; posY: -0.02794254}
{file: DummyFemale_Block_Loop-85.png; posX: -0.006306549; posY: -0.02866399}
{file: DummyFemale_Block_Loop-86.png; posX: -0.006846629; posY: -0.02930999}
{file: DummyFemale_Block_Loop-87.png; posX: -0.007367029; posY: -0.02987415}
{file: DummyFemale_Block_Loop-88.png; posX: -0.007865676; posY: -0.03034979}
{file: DummyFemale_Block_Loop-89.png; posX: -0.008359901; posY: -0.03074408}
{file: DummyFemale_Block_Loop-90.png; posX: -0.008865413; posY: -0.03106999}
{file: DummyFemale_Block_Loop-91.png; posX: -0.009377671; posY: -0.03133041}
{file: DummyFemale_Block_Loop-92.png; posX: -0.00989215; posY: -0.0315277}
{file: DummyFemale_Block_Loop-93.png; posX: -0.01040431; posY: -0.03166431}
{file: DummyFemale_Block_Loop-94.png; posX: -0.01090962; posY: -0.03174275}
{file: DummyFemale_Block_Loop-95.png; posX: -0.01140355; posY: -0.03176564}
{file: DummyFemale_Block_Loop-96.png; posX: -0.01188158; posY: -0.03173542}
{file: DummyFemale_Block_Loop-97.png; posX: -0.01233915; posY: -0.03165454}
{file: DummyFemale_Block_Loop-98.png; posX: -0.01277174; posY: -0.03152585}
{file: DummyFemale_Block_Loop-99.png; posX: -0.01317482; posY: -0.03135139}
{file: DummyFemale_Block_Loop-100.png; posX: -0.01354386; posY: -0.03113395}
{file: DummyFemale_Block_Loop-101.png; posX: -0.01387433; posY: -0.03087592}
{file: DummyFemale_Block_Loop-102.png; posX: -0.01416168; posY: -0.03057998}
{file: DummyFemale_Block_Loop-103.png; posX: -0.01440139; posY: -0.03024828}
{file: DummyFemale_Block_Loop-104.png; posX: -0.01458893; posY: -0.0298838}
{file: DummyFemale_Block_Loop-105.png; posX: -0.01471977; posY: -0.02948904}
{file: DummyFemale_Block_Loop-106.png; posX: -0.01478936; posY: -0.02906597}
{file: DummyFemale_Block_Loop-107.png; posX: -0.01479589; posY: -0.02859336}
{file: DummyFemale_Block_Loop-108.png; posX: -0.01474329; posY: -0.02805138}
{file: DummyFemale_Block_Loop-109.png; posX: -0.01463568; posY: -0.02744585}
{file: DummyFemale_Block_Loop-110.png; posX: -0.01447716; posY: -0.02678251}
{file: DummyFemale_Block_Loop-111.png; posX: -0.01427185; posY: -0.02606726}
{file: DummyFemale_Block_Loop-112.png; posX: -0.01402385; posY: -0.02530563}
{file: DummyFemale_Block_Loop-113.png; posX: -0.01373727; posY: -0.02450347}
{file: DummyFemale_Block_Loop-114.png; posX: -0.01341623; posY: -0.02366644}
{file: DummyFemale_Block_Loop-115.png; posX: -0.01306483; posY: -0.02280056}
{file: DummyFemale_Block_Loop-116.png; posX: -0.01268719; posY: -0.02191138}
{file: DummyFemale_Block_Loop-117.png; posX: -0.01228741; posY: -0.02100456}
{file: DummyFemale_Block_Loop-118.png; posX: -0.0118696; posY: -0.02008611}
{file: DummyFemale_Block_Loop-119.png; posX: -0.01143787; posY: -0.01916164}
{file: DummyFemale_Block_Loop-120.png; posX: -0.01099633; posY: -0.01823688}
{file: DummyFemale_Block_Loop-121.png; posX: -0.0105491; posY: -0.01731771}
{file: DummyFemale_Block_Loop-122.png; posX: -0.01010028; posY: -0.01640964}
{file: DummyFemale_Block_Loop-123.png; posX: -0.009653979; posY: -0.01551867}
{file: DummyFemale_Block_Loop-124.png; posX: -0.009214314; posY: -0.01465052}
{file: DummyFemale_Block_Loop-125.png; posX: -0.008762268; posY: -0.01378834}
{file: DummyFemale_Block_Loop-126.png; posX: -0.008278297; posY: -0.01291233}
{file: DummyFemale_Block_Loop-127.png; posX: -0.007765704; posY: -0.01202393}
{file: DummyFemale_Block_Loop-128.png; posX: -0.007227796; posY: -0.01112461}
{file: DummyFemale_Block_Loop-129.png; posX: -0.006667864; posY: -0.01021588}
{file: DummyFemale_Block_Loop-130.png; posX: -0.006089217; posY: -0.00929904}
{file: DummyFemale_Block_Loop-131.png; posX: -0.005495157; posY: -0.008375525}
{file: DummyFemale_Block_Loop-132.png; posX: -0.004888988; posY: -0.007446766}
{file: DummyFemale_Block_Loop-133.png; posX: -0.004274011; posY: -0.006514311}
{file: DummyFemale_Block_Loop-134.png; posX: -0.003653522; posY: -0.005579352}
{file: DummyFemale_Block_Loop-135.png; posX: -0.003030838; posY: -0.004643619}
{file: DummyFemale_Block_Loop-136.png; posX: -0.002409257; posY: -0.003708243}
{file: DummyFemale_Block_Loop-137.png; posX: -0.001792078; posY: -0.002774715}
{file: DummyFemale_Block_Loop-138.png; posX: -0.001182606; posY: -0.001844525}
{file: DummyFemale_Block_Loop-139.png; posX: -0.0005841433; posY: -0.0009192228}
