{file: Devana_Light_Combo_Part_2-0.png; posX: 0.4509037; posY: 0}
{file: Devana_Light_Combo_Part_2-42.png; posX: 0.4861901; posY: -0.05876011}
{file: Devana_Light_Combo_Part_2-43.png; posX: 0.4899094; posY: -0.0477466}
{file: Devana_Light_Combo_Part_2-44.png; posX: 0.4936967; posY: -0.03643245}
{file: Devana_Light_Combo_Part_2-45.png; posX: 0.4974304; posY: -0.02489191}
{file: Devana_Light_Combo_Part_2-46.png; posX: 0.5009887; posY: -0.01319903}
{file: Devana_Light_Combo_Part_2-47.png; posX: 0.50425; posY: -0.001427948}
{file: Devana_Light_Combo_Part_2-48.png; posX: 0.5080014; posY: 0.01034713}
{file: Devana_Light_Combo_Part_2-49.png; posX: 0.5126753; posY: 0.02205205}
{file: Devana_Light_Combo_Part_2-50.png; posX: 0.5176179; posY: 0.03361267}
{file: Devana_Light_Combo_Part_2-51.png; posX: 0.5221756; posY: 0.0449549}
{file: Devana_Light_Combo_Part_2-52.png; posX: 0.5237812; posY: 0.05600446}
{file: Devana_Light_Combo_Part_2-53.png; posX: 0.5210878; posY: 0.06668729}
{file: Devana_Light_Combo_Part_2-54.png; posX: 0.5152721; posY: 0.07692927}
{file: Devana_Light_Combo_Part_2-55.png; posX: 0.5075105; posY: 0.08665615}
{file: Devana_Light_Combo_Part_2-56.png; posX: 0.4963005; posY: 0.09579384}
{file: Devana_Light_Combo_Part_2-57.png; posX: 0.4810952; posY: 0.1042681}
{file: Devana_Light_Combo_Part_2-58.png; posX: 0.4645052; posY: 0.110908}
{file: Devana_Light_Combo_Part_2-59.png; posX: 0.449141; posY: 0.1146094}
{file: Devana_Light_Combo_Part_2-60.png; posX: 0.4376131; posY: 0.1153993}
{file: Devana_Light_Combo_Part_2-61.png; posX: 0.430902; posY: 0.1133044}
{file: Devana_Light_Combo_Part_2-62.png; posX: 0.4275968; posY: 0.1083518}
{file: Devana_Light_Combo_Part_2-63.png; posX: 0.4267205; posY: 0.100568}
{file: Devana_Light_Combo_Part_2-64.png; posX: 0.4272963; posY: 0.09192258}
{file: Devana_Light_Combo_Part_2-65.png; posX: 0.4283473; posY: 0.08432949}
{file: Devana_Light_Combo_Part_2-66.png; posX: 0.4288966; posY: 0.07773244}
{file: Devana_Light_Combo_Part_2-67.png; posX: 0.4288717; posY: 0.07207507}
{file: Devana_Light_Combo_Part_2-68.png; posX: 0.4288509; posY: 0.06730115}
{file: Devana_Light_Combo_Part_2-69.png; posX: 0.4288342; posY: 0.06335431}
{file: Devana_Light_Combo_Part_2-70.png; posX: 0.4288211; posY: 0.06017828}
{file: Devana_Light_Combo_Part_2-71.png; posX: 0.4288115; posY: 0.05771673}
{file: Devana_Light_Combo_Part_2-72.png; posX: 0.4288049; posY: 0.05591333}
{file: Devana_Light_Combo_Part_2-73.png; posX: 0.4288012; posY: 0.05471176}
{file: Devana_Light_Combo_Part_2-74.png; posX: 0.4288; posY: 0.05405575}
{file: Devana_Light_Combo_Part_2-75.png; posX: 0.4288011; posY: 0.05388904}
{file: Devana_Light_Combo_Part_2-76.png; posX: 0.4288042; posY: 0.05415517}
{file: Devana_Light_Combo_Part_2-77.png; posX: 0.4288089; posY: 0.05479795}
{file: Devana_Light_Combo_Part_2-78.png; posX: 0.4288151; posY: 0.05576104}
{file: Devana_Light_Combo_Part_2-79.png; posX: 0.4288224; posY: 0.05698812}
{file: Devana_Light_Combo_Part_2-80.png; posX: 0.4288306; posY: 0.05842286}
{file: Devana_Light_Combo_Part_2-81.png; posX: 0.4288393; posY: 0.060009}
{file: Devana_Light_Combo_Part_2-82.png; posX: 0.4288483; posY: 0.06169021}
{file: Devana_Light_Combo_Part_2-83.png; posX: 0.4288573; posY: 0.06341016}
{file: Devana_Light_Combo_Part_2-84.png; posX: 0.4288661; posY: 0.06511253}
{file: Devana_Light_Combo_Part_2-85.png; posX: 0.4288742; posY: 0.06674105}
{file: Devana_Light_Combo_Part_2-86.png; posX: 0.4288815; posY: 0.06823939}
{file: Devana_Light_Combo_Part_2-87.png; posX: 0.4288877; posY: 0.06955123}
{file: Devana_Light_Combo_Part_2-88.png; posX: 0.4288925; posY: 0.07073975}
{file: Devana_Light_Combo_Part_2-89.png; posX: 0.4288956; posY: 0.0719105}
