{file: DummyFemale_Idle-0.png; posX: -2.980232E-10; posY: 0.7460679}
{file: DummyFemale_Idle-66.png; posX: -0.004753591; posY: 0.715923}
{file: DummyFemale_Idle-67.png; posX: -0.00293866; posY: 0.7148845}
{file: DummyFemale_Idle-68.png; posX: -0.001156341; posY: 0.7138889}
{file: DummyFemale_Idle-69.png; posX: 0.0005852999; posY: 0.7129404}
{file: DummyFemale_Idle-70.png; posX: 0.002278194; posY: 0.712043}
{file: DummyFemale_Idle-71.png; posX: 0.003914275; posY: 0.7112013}
{file: DummyFemale_Idle-72.png; posX: 0.005485487; posY: 0.710419}
{file: DummyFemale_Idle-73.png; posX: 0.006983743; posY: 0.7097006}
{file: DummyFemale_Idle-74.png; posX: 0.008400983; posY: 0.7090502}
{file: DummyFemale_Idle-75.png; posX: 0.009729147; posY: 0.7084721}
{file: DummyFemale_Idle-76.png; posX: 0.01093999; posY: 0.7080527}
{file: DummyFemale_Idle-77.png; posX: 0.01201382; posY: 0.7078677}
{file: DummyFemale_Idle-78.png; posX: 0.01295544; posY: 0.7079054}
{file: DummyFemale_Idle-79.png; posX: 0.01376961; posY: 0.708154}
{file: DummyFemale_Idle-80.png; posX: 0.0144611; posY: 0.708602}
{file: DummyFemale_Idle-81.png; posX: 0.01503468; posY: 0.7092376}
{file: DummyFemale_Idle-82.png; posX: 0.01549514; posY: 0.7100493}
{file: DummyFemale_Idle-83.png; posX: 0.01584725; posY: 0.7110254}
{file: DummyFemale_Idle-84.png; posX: 0.01610956; posY: 0.7121078}
{file: DummyFemale_Idle-85.png; posX: 0.01630024; posY: 0.7132338}
{file: DummyFemale_Idle-86.png; posX: 0.01642348; posY: 0.7143857}
{file: DummyFemale_Idle-87.png; posX: 0.01648347; posY: 0.7155458}
{file: DummyFemale_Idle-88.png; posX: 0.0164844; posY: 0.7166963}
{file: DummyFemale_Idle-89.png; posX: 0.01643044; posY: 0.7178193}
{file: DummyFemale_Idle-90.png; posX: 0.0163258; posY: 0.7188973}
{file: DummyFemale_Idle-91.png; posX: 0.01617466; posY: 0.7199125}
{file: DummyFemale_Idle-92.png; posX: 0.01596026; posY: 0.7209118}
{file: DummyFemale_Idle-93.png; posX: 0.01566841; posY: 0.7219494}
{file: DummyFemale_Idle-94.png; posX: 0.01530708; posY: 0.7230186}
{file: DummyFemale_Idle-95.png; posX: 0.01488427; posY: 0.724113}
{file: DummyFemale_Idle-96.png; posX: 0.01440795; posY: 0.7252257}
{file: DummyFemale_Idle-97.png; posX: 0.01388611; posY: 0.7263501}
{file: DummyFemale_Idle-98.png; posX: 0.01332673; posY: 0.7274797}
{file: DummyFemale_Idle-99.png; posX: 0.01273781; posY: 0.7286077}
{file: DummyFemale_Idle-100.png; posX: 0.01212731; posY: 0.7297275}
{file: DummyFemale_Idle-101.png; posX: 0.01150324; posY: 0.7308325}
{file: DummyFemale_Idle-102.png; posX: 0.01087357; posY: 0.731916}
{file: DummyFemale_Idle-103.png; posX: 0.01024629; posY: 0.7329714}
{file: DummyFemale_Idle-104.png; posX: 0.009629392; posY: 0.733992}
{file: DummyFemale_Idle-105.png; posX: 0.009030849; posY: 0.7349712}
{file: DummyFemale_Idle-106.png; posX: 0.008458648; posY: 0.7359023}
{file: DummyFemale_Idle-107.png; posX: 0.007895965; posY: 0.7367827}
{file: DummyFemale_Idle-108.png; posX: 0.007321535; posY: 0.737619}
{file: DummyFemale_Idle-109.png; posX: 0.006736692; posY: 0.7384164}
{file: DummyFemale_Idle-110.png; posX: 0.006142786; posY: 0.7391798}
{file: DummyFemale_Idle-111.png; posX: 0.005541154; posY: 0.7399144}
{file: DummyFemale_Idle-112.png; posX: 0.004933137; posY: 0.7406253}
{file: DummyFemale_Idle-113.png; posX: 0.004320074; posY: 0.7413176}
{file: DummyFemale_Idle-114.png; posX: 0.003703308; posY: 0.7419962}
{file: DummyFemale_Idle-115.png; posX: 0.003084179; posY: 0.7426664}
{file: DummyFemale_Idle-116.png; posX: 0.002464026; posY: 0.7433332}
{file: DummyFemale_Idle-117.png; posX: 0.001844187; posY: 0.7440017}
{file: DummyFemale_Idle-118.png; posX: 0.001226012; posY: 0.7446769}
{file: DummyFemale_Idle-119.png; posX: 0.0006108359; posY: 0.745364}
