{file: Devana_Win-0.png; pivotX: 91.95239; pivotY: 334.6987}
{file: Devana_Win-53.png; pivotX: 211.2534; pivotY: 335.7194}
{file: Devana_Win-54.png; pivotX: 215.7001; pivotY: 335.6671}
{file: Devana_Win-55.png; pivotX: 219.5347; pivotY: 334.6763}
{file: Devana_Win-56.png; pivotX: 223.0167; pivotY: 334.7029}
{file: Devana_Win-57.png; pivotX: 226.5148; pivotY: 334.7629}
{file: Devana_Win-58.png; pivotX: 229.3798; pivotY: 333.877}
{file: Devana_Win-59.png; pivotX: 231.8902; pivotY: 333.9693}
{file: Devana_Win-60.png; pivotX: 234.3981; pivotY: 334.0478}
{file: Devana_Win-61.png; pivotX: 236.3763; pivotY: 333.9895}
{file: Devana_Win-62.png; pivotX: 237.834; pivotY: 333.92}
{file: Devana_Win-63.png; pivotX: 238.6249; pivotY: 333.0405}
{file: Devana_Win-64.png; pivotX: 239.535; pivotY: 333.0977}
{file: Devana_Win-65.png; pivotX: 239.376; pivotY: 333.1174}
{file: Devana_Win-66.png; pivotX: 238.6666; pivotY: 333.2203}
{file: Devana_Win-67.png; pivotX: 236.9188; pivotY: 333.3818}
{file: Devana_Win-68.png; pivotX: 234.6486; pivotY: 333.5847}
{file: Devana_Win-69.png; pivotX: 231.559; pivotY: 333.7434}
{file: Devana_Win-70.png; pivotX: 227.7153; pivotY: 333.8001}
{file: Devana_Win-71.png; pivotX: 223.1493; pivotY: 333.7827}
{file: Devana_Win-72.png; pivotX: 218.2693; pivotY: 333.7195}
{file: Devana_Win-73.png; pivotX: 212.5609; pivotY: 333.6414}
{file: Devana_Win-74.png; pivotX: 205.531; pivotY: 333.5865}
{file: Devana_Win-75.png; pivotX: 198.6929; pivotY: 333.5781}
{file: Devana_Win-76.png; pivotX: 190.575; pivotY: 333.6332}
{file: Devana_Win-77.png; pivotX: 182.6441; pivotY: 332.746}
{file: Devana_Win-78.png; pivotX: 174.2604; pivotY: 332.8157}
{file: Devana_Win-79.png; pivotX: 165.3764; pivotY: 332.8961}
{file: Devana_Win-80.png; pivotX: 156.9821; pivotY: 332.0406}
{file: Devana_Win-81.png; pivotX: 149.423; pivotY: 332.1676}
{file: Devana_Win-82.png; pivotX: 142.5638; pivotY: 332.2437}
{file: Devana_Win-83.png; pivotX: 138.2763; pivotY: 331.334}
{file: Devana_Win-84.png; pivotX: 136.5323; pivotY: 331.4094}
{file: Devana_Win-85.png; pivotX: 138.2244; pivotY: 331.5019}
{file: Devana_Win-86.png; pivotX: 141.8876; pivotY: 332.4905}
{file: Devana_Win-87.png; pivotX: 146.8312; pivotY: 339.464}
{file: Devana_Win-88.png; pivotX: 153.2167; pivotY: 345.4865}
{file: Devana_Win-89.png; pivotX: 159.4618; pivotY: 351.5217}
{file: Devana_Win-90.png; pivotX: 165.7158; pivotY: 357.51}
{file: Devana_Win-91.png; pivotX: 171.6223; pivotY: 362.4306}
{file: Devana_Win-92.png; pivotX: 177.3221; pivotY: 366.2959}
{file: Devana_Win-93.png; pivotX: 182.5075; pivotY: 370.0956}
{file: Devana_Win-94.png; pivotX: 187.0878; pivotY: 372.934}
{file: Devana_Win-95.png; pivotX: 191.6084; pivotY: 374.8195}
{file: Devana_Win-96.png; pivotX: 195.9434; pivotY: 376.6958}
{file: Devana_Win-97.png; pivotX: 199.1248; pivotY: 377.6261}
{file: Devana_Win-98.png; pivotX: 201.4436; pivotY: 377.6093}
{file: Devana_Win-99.png; pivotX: 203.7587; pivotY: 377.561}
{file: Devana_Win-100.png; pivotX: 206.0596; pivotY: 375.4872}
{file: Devana_Win-101.png; pivotX: 208.343; pivotY: 374.3049}
{file: Devana_Win-102.png; pivotX: 210.7842; pivotY: 376.2281}
{file: Devana_Win-103.png; pivotX: 214.2251; pivotY: 380.4406}
{file: Devana_Win-104.png; pivotX: 217.3287; pivotY: 387.4575}
{file: Devana_Win-105.png; pivotX: 219.0698; pivotY: 394.4027}
{file: Devana_Win-106.png; pivotX: 219.0243; pivotY: 402.3093}
{file: Devana_Win-107.png; pivotX: 217.6801; pivotY: 411.2243}
{file: Devana_Win-108.png; pivotX: 214.6562; pivotY: 420.1987}
{file: Devana_Win-109.png; pivotX: 210.2484; pivotY: 429.2838}
{file: Devana_Win-110.png; pivotX: 207.7045; pivotY: 435.3712}
{file: Devana_Win-111.png; pivotX: 212.3424; pivotY: 437.3852}
{file: Devana_Win-112.png; pivotX: 218.8766; pivotY: 436.3713}
{file: Devana_Win-113.png; pivotX: 225.3178; pivotY: 432.321}
{file: Devana_Win-114.png; pivotX: 228.2536; pivotY: 428.2985}
{file: Devana_Win-115.png; pivotX: 222.7136; pivotY: 431.2664}
{file: Devana_Win-116.png; pivotX: 214.081; pivotY: 435.2308}
{file: Devana_Win-117.png; pivotX: 209.809; pivotY: 437.1875}
{file: Devana_Win-118.png; pivotX: 207.0191; pivotY: 438.1581}
{file: Devana_Win-119.png; pivotX: 204.3262; pivotY: 438.1628}
{file: Devana_Win-120.png; pivotX: 202.7488; pivotY: 439.1516}
{file: Devana_Win-121.png; pivotX: 201.8315; pivotY: 439.1771}
{file: Devana_Win-122.png; pivotX: 201.025; pivotY: 439.2187}
{file: Devana_Win-123.png; pivotX: 200.0431; pivotY: 438.2898}
{file: Devana_Win-124.png; pivotX: 199.0163; pivotY: 438.3203}
{file: Devana_Win-125.png; pivotX: 197.8461; pivotY: 438.3456}
{file: Devana_Win-126.png; pivotX: 196.6887; pivotY: 438.3874}
{file: Devana_Win-127.png; pivotX: 194.9633; pivotY: 437.4534}
{file: Devana_Win-128.png; pivotX: 193.9616; pivotY: 437.4802}
{file: Devana_Win-129.png; pivotX: 193.0816; pivotY: 437.4926}
{file: Devana_Win-130.png; pivotX: 192.8488; pivotY: 437.4919}
{file: Devana_Win-131.png; pivotX: 192.2879; pivotY: 437.4792}
{file: Devana_Win-132.png; pivotX: 192.2994; pivotY: 436.4795}
{file: Devana_Win-133.png; pivotX: 193.1531; pivotY: 436.4483}
{file: Devana_Win-134.png; pivotX: 193.7378; pivotY: 436.4132}
{file: Devana_Win-135.png; pivotX: 195.4519; pivotY: 436.3769}
{file: Devana_Win-136.png; pivotX: 196.8267; pivotY: 436.3429}
{file: Devana_Win-137.png; pivotX: 198.7192; pivotY: 435.3393}
{file: Devana_Win-138.png; pivotX: 200.8432; pivotY: 435.3225}
{file: Devana_Win-139.png; pivotX: 203.05; pivotY: 435.3055}
{file: Devana_Win-140.png; pivotX: 205.1651; pivotY: 434.3007}
{file: Devana_Win-141.png; pivotX: 207.4707; pivotY: 434.2631}
{file: Devana_Win-142.png; pivotX: 210.2856; pivotY: 434.22}
{file: Devana_Win-143.png; pivotX: 212.7536; pivotY: 435.1658}
{file: Devana_Win-144.png; pivotX: 215.5655; pivotY: 435.1682}
{file: Devana_Win-145.png; pivotX: 218.4872; pivotY: 436.1599}
{file: Devana_Win-146.png; pivotX: 221.1845; pivotY: 436.1685}
{file: Devana_Win-147.png; pivotX: 223.6527; pivotY: 438.1217}
{file: Devana_Win-148.png; pivotX: 226.4547; pivotY: 439.0907}
{file: Devana_Win-149.png; pivotX: 229.2317; pivotY: 440.0582}
{file: Devana_Win-150.png; pivotX: 231.9688; pivotY: 441.0394}
{file: Devana_Win-151.png; pivotX: 234.2679; pivotY: 443.0133}
{file: Devana_Win-152.png; pivotX: 236.8664; pivotY: 444.0211}
{file: Devana_Win-153.png; pivotX: 238.9527; pivotY: 445.0359}
{file: Devana_Win-154.png; pivotX: 241.0418; pivotY: 446.0575}
{file: Devana_Win-155.png; pivotX: 243.1472; pivotY: 447.084}
{file: Devana_Win-156.png; pivotX: 245.1158; pivotY: 447.1371}
{file: Devana_Win-157.png; pivotX: 247.3873; pivotY: 448.1453}
{file: Devana_Win-158.png; pivotX: 248.9318; pivotY: 447.1696}
{file: Devana_Win-159.png; pivotX: 250.2175; pivotY: 446.1803}
{file: Devana_Win-160.png; pivotX: 250.6952; pivotY: 445.1912}
{file: Devana_Win-161.png; pivotX: 249.5764; pivotY: 442.1726}
{file: Devana_Win-162.png; pivotX: 245.7717; pivotY: 439.0446}
{file: Devana_Win-163.png; pivotX: 239.2752; pivotY: 435.8774}
{file: Devana_Win-164.png; pivotX: 230.4497; pivotY: 431.7438}
{file: Devana_Win-165.png; pivotX: 219.2445; pivotY: 428.6513}
{file: Devana_Win-166.png; pivotX: 205.9299; pivotY: 424.7093}
{file: Devana_Win-167.png; pivotX: 191.2204; pivotY: 420.8617}
{file: Devana_Win-168.png; pivotX: 175.5072; pivotY: 416.0206}
{file: Devana_Win-169.png; pivotX: 160.6454; pivotY: 408.1807}
{file: Devana_Win-170.png; pivotX: 148.6628; pivotY: 396.3095}
{file: Devana_Win-171.png; pivotX: 139.9151; pivotY: 379.4339}
{file: Devana_Win-172.png; pivotX: 134.0493; pivotY: 378.5261}
{file: Devana_Win-173.png; pivotX: 130.0559; pivotY: 391.6245}
{file: Devana_Win-174.png; pivotX: 127.0901; pivotY: 404.668}
{file: Devana_Win-175.png; pivotX: 124.221; pivotY: 415.6768}
{file: Devana_Win-176.png; pivotX: 120.6909; pivotY: 424.6461}
{file: Devana_Win-177.png; pivotX: 117.5346; pivotY: 431.5761}
{file: Devana_Win-178.png; pivotX: 113.9421; pivotY: 436.479}
{file: Devana_Win-179.png; pivotX: 110.9312; pivotY: 438.3853}
{file: Devana_Win-180.png; pivotX: 107.5014; pivotY: 436.3164}
{file: Devana_Win-181.png; pivotX: 103.7478; pivotY: 430.2692}
{file: Devana_Win-182.png; pivotX: 98.74506; pivotY: 420.2727}
{file: Devana_Win-183.png; pivotX: 92.86897; pivotY: 407.3029}
{file: Devana_Win-184.png; pivotX: 84.97718; pivotY: 391.3406}
{file: Devana_Win-185.png; pivotX: 75.31287; pivotY: 372.3932}
{file: Devana_Win-186.png; pivotX: 64.04543; pivotY: 351.4309}
{file: Devana_Win-187.png; pivotX: 61.39451; pivotY: 329.4382}
{file: Devana_Win-188.png; pivotX: 62.29881; pivotY: 309.4398}
{file: Devana_Win-189.png; pivotX: 62.84533; pivotY: 308.4348}
{file: Devana_Win-190.png; pivotX: 63.37629; pivotY: 308.398}
{file: Devana_Win-191.png; pivotX: 63.91072; pivotY: 308.3649}
{file: Devana_Win-192.png; pivotX: 64.52528; pivotY: 308.3384}
{file: Devana_Win-193.png; pivotX: 65.02383; pivotY: 309.2614}
{file: Devana_Win-194.png; pivotX: 65.40595; pivotY: 309.2144}
{file: Devana_Win-195.png; pivotX: 66.38538; pivotY: 310.1585}
{file: Devana_Win-196.png; pivotX: 66.99864; pivotY: 310.1656}
{file: Devana_Win-197.png; pivotX: 67.62762; pivotY: 311.1848}
{file: Devana_Win-198.png; pivotX: 67.81736; pivotY: 312.2413}
{file: Devana_Win-199.png; pivotX: 69.1782; pivotY: 313.3181}
{file: Devana_Win-200.png; pivotX: 69.99095; pivotY: 326.3523}
{file: Devana_Win-201.png; pivotX: 70.35936; pivotY: 348.4019}
{file: Devana_Win-202.png; pivotX: 70.93468; pivotY: 363.4226}
{file: Devana_Win-203.png; pivotX: 71.24482; pivotY: 371.4271}
{file: Devana_Win-204.png; pivotX: 71.78188; pivotY: 373.4478}
{file: Devana_Win-205.png; pivotX: 71.63334; pivotY: 373.4413}
{file: Devana_Win-206.png; pivotX: 71.1797; pivotY: 372.4268}
{file: Devana_Win-207.png; pivotX: 70.56335; pivotY: 373.3928}
{file: Devana_Win-208.png; pivotX: 70.69118; pivotY: 375.3632}
{file: Devana_Win-209.png; pivotX: 69.99712; pivotY: 378.3256}
{file: Devana_Win-210.png; pivotX: 69.93939; pivotY: 382.3074}
{file: Devana_Win-211.png; pivotX: 69.50089; pivotY: 387.3022}
{file: Devana_Win-212.png; pivotX: 69.15034; pivotY: 393.2866}
{file: Devana_Win-213.png; pivotX: 68.95314; pivotY: 399.2812}
{file: Devana_Win-214.png; pivotX: 68.44215; pivotY: 404.2988}
{file: Devana_Win-215.png; pivotX: 67.97165; pivotY: 410.2659}
{file: Devana_Win-216.png; pivotX: 67.5219; pivotY: 415.2359}
{file: Devana_Win-217.png; pivotX: 66.90353; pivotY: 419.2128}
{file: Devana_Win-218.png; pivotX: 66.05459; pivotY: 421.2223}
{file: Devana_Win-219.png; pivotX: 65.4141; pivotY: 421.2495}
{file: Devana_Win-220.png; pivotX: 66.72767; pivotY: 418.2946}
{file: Devana_Win-221.png; pivotX: 69.28071; pivotY: 412.341}
{file: Devana_Win-222.png; pivotX: 73.50665; pivotY: 403.3733}
{file: Devana_Win-223.png; pivotX: 81.14173; pivotY: 390.4209}
{file: Devana_Win-224.png; pivotX: 91.17245; pivotY: 375.4561}
{file: Devana_Win-225.png; pivotX: 104.8669; pivotY: 357.5115}
{file: Devana_Win-226.png; pivotX: 120.6017; pivotY: 340.5556}
{file: Devana_Win-227.png; pivotX: 137.5562; pivotY: 345.5555}
{file: Devana_Win-228.png; pivotX: 155.265; pivotY: 355.5375}
{file: Devana_Win-229.png; pivotX: 172.4316; pivotY: 361.5525}
{file: Devana_Win-230.png; pivotX: 188.6117; pivotY: 365.5355}
{file: Devana_Win-231.png; pivotX: 203.5235; pivotY: 367.4933}
{file: Devana_Win-232.png; pivotX: 216.813; pivotY: 366.4664}
{file: Devana_Win-233.png; pivotX: 227.6753; pivotY: 364.4291}
{file: Devana_Win-234.png; pivotX: 235.4003; pivotY: 361.3712}
{file: Devana_Win-235.png; pivotX: 238.8966; pivotY: 355.3144}
{file: Devana_Win-236.png; pivotX: 237.6488; pivotY: 346.3009}
{file: Devana_Win-237.png; pivotX: 228.6933; pivotY: 336.2898}
{file: Devana_Win-238.png; pivotX: 211.8139; pivotY: 332.2743}
{file: Devana_Win-239.png; pivotX: 189.4451; pivotY: 332.2779}
{file: Devana_Win-240.png; pivotX: 163.2124; pivotY: 331.2661}
{file: Devana_Win-241.png; pivotX: 137.2594; pivotY: 331.2074}
{file: Devana_Win-242.png; pivotX: 114.0404; pivotY: 331.1676}
{file: Devana_Win-243.png; pivotX: 109.6856; pivotY: 331.157}
{file: Devana_Win-244.png; pivotX: 110.8164; pivotY: 330.2115}
{file: Devana_Win-245.png; pivotX: 113.6236; pivotY: 330.2624}
{file: Devana_Win-246.png; pivotX: 114.33; pivotY: 330.3462}
{file: Devana_Win-247.png; pivotX: 113.9928; pivotY: 331.4234}
{file: Devana_Win-248.png; pivotX: 112.4214; pivotY: 331.5611}
{file: Devana_Win-249.png; pivotX: 109.3771; pivotY: 332.6574}
{file: Devana_Win-250.png; pivotX: 105.3546; pivotY: 333.578}
{file: Devana_Win-251.png; pivotX: 99.52329; pivotY: 334.4085}
{file: Devana_Win-252.png; pivotX: 93.88386; pivotY: 335.317}
{file: Devana_Win-253.png; pivotX: 93.80184; pivotY: 336.4282}
{file: Devana_Win-254.png; pivotX: 91.10527; pivotY: 347.5512}
{file: Devana_Win-255.png; pivotX: 79.51876; pivotY: 352.5356}
{file: Devana_Win-256.png; pivotX: 81.46506; pivotY: 354.5448}
{file: Devana_Win-257.png; pivotX: 83.33994; pivotY: 347.6119}
{file: Devana_Win-258.png; pivotX: 83.92119; pivotY: 341.6037}
{file: Devana_Win-259.png; pivotX: 165.8479; pivotY: 353.5914}
{file: Devana_Win-260.png; pivotX: 236.6694; pivotY: 391.5108}
{file: Devana_Win-261.png; pivotX: 234.7735; pivotY: 419.3956}
{file: Devana_Win-262.png; pivotX: 213.5872; pivotY: 439.3054}
{file: Devana_Win-263.png; pivotX: 182.2415; pivotY: 453.4492}
{file: Devana_Win-264.png; pivotX: 153.8363; pivotY: 462.5167}
{file: Devana_Win-265.png; pivotX: 159.7765; pivotY: 466.6469}
{file: Devana_Win-266.png; pivotX: 174.7042; pivotY: 468.5042}
{file: Devana_Win-267.png; pivotX: 182.7122; pivotY: 468.3166}
{file: Devana_Win-268.png; pivotX: 189.4364; pivotY: 468.2149}
{file: Devana_Win-269.png; pivotX: 192.5914; pivotY: 466.2131}
{file: Devana_Win-270.png; pivotX: 193.6122; pivotY: 465.1578}
{file: Devana_Win-271.png; pivotX: 192.7155; pivotY: 463.1364}
{file: Devana_Win-272.png; pivotX: 191.7942; pivotY: 462.1227}
{file: Devana_Win-273.png; pivotX: 191.1805; pivotY: 461.1503}
{file: Devana_Win-274.png; pivotX: 191.8333; pivotY: 461.1711}
{file: Devana_Win-275.png; pivotX: 192.5556; pivotY: 461.1787}
{file: Devana_Win-276.png; pivotX: 192.845; pivotY: 462.1501}
{file: Devana_Win-277.png; pivotX: 193.3892; pivotY: 462.1278}
{file: Devana_Win-278.png; pivotX: 193.8299; pivotY: 462.093}
{file: Devana_Win-279.png; pivotX: 193.6221; pivotY: 462.0462}
{file: Devana_Win-280.png; pivotX: 193.6458; pivotY: 461.011}
{file: Devana_Win-281.png; pivotX: 193.6207; pivotY: 460.9734}
{file: Devana_Win-282.png; pivotX: 192.8978; pivotY: 460.9793}
{file: Devana_Win-283.png; pivotX: 192.5076; pivotY: 461.014}
{file: Devana_Win-284.png; pivotX: 192.0263; pivotY: 461.0637}
{file: Devana_Win-285.png; pivotX: 190.8824; pivotY: 460.1408}
{file: Devana_Win-286.png; pivotX: 190.3897; pivotY: 460.1928}
{file: Devana_Win-287.png; pivotX: 189.355; pivotY: 459.2578}
{file: Devana_Win-288.png; pivotX: 188.508; pivotY: 459.282}
{file: Devana_Win-289.png; pivotX: 188.2411; pivotY: 459.2842}
{file: Devana_Win-290.png; pivotX: 187.4494; pivotY: 458.283}
{file: Devana_Win-291.png; pivotX: 187.3394; pivotY: 458.2485}
{file: Devana_Win-292.png; pivotX: 186.6503; pivotY: 457.2458}
{file: Devana_Win-293.png; pivotX: 186.6172; pivotY: 457.2277}
{file: Devana_Win-294.png; pivotX: 186.5122; pivotY: 456.2385}
{file: Devana_Win-295.png; pivotX: 185.9601; pivotY: 455.2531}
{file: Devana_Win-296.png; pivotX: 186.0783; pivotY: 455.2464}
{file: Devana_Win-297.png; pivotX: 186.1278; pivotY: 454.2655}
{file: Devana_Win-298.png; pivotX: 186.2168; pivotY: 453.2896}
{file: Devana_Win-299.png; pivotX: 185.9513; pivotY: 453.2949}
{file: Devana_Win-300.png; pivotX: 186.0822; pivotY: 452.327}
{file: Devana_Win-301.png; pivotX: 186.3445; pivotY: 452.3389}
{file: Devana_Win-302.png; pivotX: 186.5006; pivotY: 451.376}
{file: Devana_Win-303.png; pivotX: 186.7743; pivotY: 451.3914}
{file: Devana_Win-304.png; pivotX: 186.9137; pivotY: 450.4302}
{file: Devana_Win-305.png; pivotX: 187.0776; pivotY: 450.4487}
{file: Devana_Win-306.png; pivotX: 187.6063; pivotY: 450.4712}
{file: Devana_Win-307.png; pivotX: 187.5233; pivotY: 449.5181}
{file: Devana_Win-308.png; pivotX: 187.568; pivotY: 449.5416}
{file: Devana_Win-309.png; pivotX: 188.1175; pivotY: 449.5621}
{file: Devana_Win-310.png; pivotX: 188.2908; pivotY: 450.5557}
{file: Devana_Win-311.png; pivotX: 188.3435; pivotY: 450.5661}
{file: Devana_Win-312.png; pivotX: 189.0151; pivotY: 451.5468}
{file: Devana_Win-313.png; pivotX: 189.0717; pivotY: 451.5415}
{file: Devana_Win-314.png; pivotX: 189.2631; pivotY: 452.5055}
{file: Devana_Win-315.png; pivotX: 189.3433; pivotY: 452.4871}
{file: Devana_Win-316.png; pivotX: 189.4303; pivotY: 452.4672}
{file: Devana_Win-317.png; pivotX: 189.6192; pivotY: 453.4246}
{file: Devana_Win-318.png; pivotX: 189.6342; pivotY: 453.4066}
{file: Devana_Win-319.png; pivotX: 189.6411; pivotY: 453.3921}
{file: Devana_Win-320.png; pivotX: 189.7579; pivotY: 454.3598}
{file: Devana_Win-321.png; pivotX: 189.7309; pivotY: 454.3571}
{file: Devana_Win-322.png; pivotX: 189.6695; pivotY: 454.3625}
{file: Devana_Win-323.png; pivotX: 189.5682; pivotY: 454.3691}
