{file: Devana_Light_Combo_Part_4-0.png; posX: 1.864655; posY: 0}
{file: Devana_Light_Combo_Part_4-77.png; posX: 4.161033; posY: -0.0004931688}
{file: Devana_Light_Combo_Part_4-78.png; posX: 4.17141; posY: -0.005692363}
{file: Devana_Light_Combo_Part_4-79.png; posX: 4.180617; posY: -0.01213378}
{file: Devana_Light_Combo_Part_4-80.png; posX: 4.188711; posY: -0.01988655}
{file: Devana_Light_Combo_Part_4-81.png; posX: 4.195752; posY: -0.02902007}
{file: Devana_Light_Combo_Part_4-82.png; posX: 4.201797; posY: -0.03960329}
{file: Devana_Light_Combo_Part_4-83.png; posX: 4.206904; posY: -0.05035281}
{file: Devana_Light_Combo_Part_4-84.png; posX: 4.211133; posY: -0.05997115}
{file: Devana_Light_Combo_Part_4-85.png; posX: 4.214543; posY: -0.068506}
{file: Devana_Light_Combo_Part_4-86.png; posX: 4.217191; posY: -0.07600516}
{file: Devana_Light_Combo_Part_4-87.png; posX: 4.219137; posY: -0.08251637}
{file: Devana_Light_Combo_Part_4-88.png; posX: 4.220438; posY: -0.08808756}
{file: Devana_Light_Combo_Part_4-89.png; posX: 4.221153; posY: -0.09276634}
{file: Devana_Light_Combo_Part_4-90.png; posX: 4.221341; posY: -0.09660059}
{file: Devana_Light_Combo_Part_4-91.png; posX: 4.221059; posY: -0.09963804}
{file: Devana_Light_Combo_Part_4-92.png; posX: 4.220368; posY: -0.1019264}
{file: Devana_Light_Combo_Part_4-93.png; posX: 4.219325; posY: -0.1035137}
{file: Devana_Light_Combo_Part_4-94.png; posX: 4.217989; posY: -0.1044475}
{file: Devana_Light_Combo_Part_4-95.png; posX: 4.216418; posY: -0.1047757}
{file: Devana_Light_Combo_Part_4-96.png; posX: 4.214671; posY: -0.1045459}
{file: Devana_Light_Combo_Part_4-97.png; posX: 4.212806; posY: -0.1038061}
{file: Devana_Light_Combo_Part_4-98.png; posX: 4.210881; posY: -0.102604}
{file: Devana_Light_Combo_Part_4-99.png; posX: 4.208957; posY: -0.1009873}
{file: Devana_Light_Combo_Part_4-100.png; posX: 4.207089; posY: -0.09900385}
{file: Devana_Light_Combo_Part_4-101.png; posX: 4.205339; posY: -0.09670144}
{file: Devana_Light_Combo_Part_4-102.png; posX: 4.203763; posY: -0.09454519}
{file: Devana_Light_Combo_Part_4-103.png; posX: 4.202421; posY: -0.09292054}
{file: Devana_Light_Combo_Part_4-104.png; posX: 4.201371; posY: -0.09175569}
{file: Devana_Light_Combo_Part_4-105.png; posX: 4.200671; posY: -0.09097886}
{file: Devana_Light_Combo_Part_4-106.png; posX: 4.20038; posY: -0.09051841}
{file: Devana_Light_Combo_Part_4-107.png; posX: 4.200314; posY: -0.09030253}
{file: Devana_Light_Combo_Part_4-108.png; posX: 4.200252; posY: -0.09025949}
{file: Devana_Light_Combo_Part_4-109.png; posX: 4.200202; posY: -0.09031761}
