{file: Devana_Heavy_Attack-0.png; posX: 0.02836008; posY: 0}
{file: Devana_Heavy_Attack-59.png; posX: 0.009829116; posY: 0.02692968}
{file: Devana_Heavy_Attack-60.png; posX: 0.009473562; posY: 0.02821511}
{file: Devana_Heavy_Attack-61.png; posX: 0.008293658; posY: 0.02914715}
{file: Devana_Heavy_Attack-62.png; posX: 0.006472123; posY: 0.02972484}
{file: Devana_Heavy_Attack-63.png; posX: 0.004191672; posY: 0.0299471}
{file: Devana_Heavy_Attack-64.png; posX: 0.001635023; posY: 0.02981299}
{file: Devana_Heavy_Attack-65.png; posX: -0.001056356; posY: 0.02932143}
{file: Devana_Heavy_Attack-66.png; posX: -0.003679471; posY: 0.02847147}
{file: Devana_Heavy_Attack-67.png; posX: -0.006083663; posY: 0.02726215}
{file: Devana_Heavy_Attack-68.png; posX: -0.008052855; posY: 0.02569234}
{file: Devana_Heavy_Attack-69.png; posX: -0.009441791; posY: 0.02376115}
{file: Devana_Heavy_Attack-70.png; posX: -0.01036312; posY: 0.02146757}
{file: Devana_Heavy_Attack-71.png; posX: -0.0109876; posY: 0.01881051}
{file: Devana_Heavy_Attack-72.png; posX: -0.01140776; posY: 0.01578903}
{file: Devana_Heavy_Attack-73.png; posX: -0.01160706; posY: 0.01240212}
{file: Devana_Heavy_Attack-74.png; posX: -0.01159276; posY: 0.008648753}
{file: Devana_Heavy_Attack-75.png; posX: -0.01137208; posY: 0.005109429}
{file: Devana_Heavy_Attack-76.png; posX: -0.01095226; posY: 0.002324462}
{file: Devana_Heavy_Attack-77.png; posX: -0.01034053; posY: 0.0002328157}
{file: Devana_Heavy_Attack-78.png; posX: -0.009544127; posY: -0.001226604}
{file: Devana_Heavy_Attack-79.png; posX: -0.008570271; posY: -0.002114952}
{file: Devana_Heavy_Attack-80.png; posX: -0.007426212; posY: -0.002493143}
{file: Devana_Heavy_Attack-81.png; posX: -0.006138521; posY: -0.002422392}
{file: Devana_Heavy_Attack-82.png; posX: -0.004758422; posY: -0.001963735}
{file: Devana_Heavy_Attack-83.png; posX: -0.003330126; posY: -0.001178265}
{file: Devana_Heavy_Attack-84.png; posX: -0.00189784; posY: -0.0001270771}
{file: Devana_Heavy_Attack-85.png; posX: -0.0005057646; posY: 0.001128852}
{file: Devana_Heavy_Attack-86.png; posX: 0.0008133235; posY: 0.00252831}
{file: Devana_Heavy_Attack-87.png; posX: 0.002013726; posY: 0.00401032}
{file: Devana_Heavy_Attack-88.png; posX: 0.003060563; posY: 0.005513728}
{file: Devana_Heavy_Attack-89.png; posX: 0.003903795; posY: 0.006977499}
{file: Devana_Heavy_Attack-90.png; posX: 0.004499145; posY: 0.008340538}
{file: Devana_Heavy_Attack-91.png; posX: 0.004775664; posY: 0.00954181}
{file: Devana_Heavy_Attack-92.png; posX: 0.004689404; posY: 0.01052016}
{file: Devana_Heavy_Attack-93.png; posX: 0.004307125; posY: 0.01121455}
{file: Devana_Heavy_Attack-94.png; posX: 0.003704831; posY: 0.01175344}
{file: Devana_Heavy_Attack-95.png; posX: 0.002958529; posY: 0.01229149}
{file: Devana_Heavy_Attack-96.png; posX: 0.002144224; posY: 0.01280671}
{file: Devana_Heavy_Attack-97.png; posX: 0.001337917; posY: 0.01327729}
{file: Devana_Heavy_Attack-98.png; posX: 0.0005969459; posY: 0.01368141}
{file: Devana_Heavy_Attack-99.png; posX: -3.971614E-09; posY: 0.01399714}
