{file: Devana_Heavy_Attack_Charge-0.png; pivotX: 91.95104; pivotY: 334.6987}
{file: Devana_Heavy_Attack_Charge-40.png; pivotX: 109.391; pivotY: 326.1593}
{file: Devana_Heavy_Attack_Charge-41.png; pivotX: 109.5112; pivotY: 326.179}
{file: Devana_Heavy_Attack_Charge-42.png; pivotX: 109.6146; pivotY: 326.2026}
{file: Devana_Heavy_Attack_Charge-43.png; pivotX: 109.7026; pivotY: 326.2259}
{file: Devana_Heavy_Attack_Charge-44.png; pivotX: 109.7804; pivotY: 326.2489}
{file: Devana_Heavy_Attack_Charge-45.png; pivotX: 109.8619; pivotY: 326.2717}
{file: Devana_Heavy_Attack_Charge-46.png; pivotX: 109.9518; pivotY: 326.2942}
{file: Devana_Heavy_Attack_Charge-47.png; pivotX: 110.0466; pivotY: 326.3165}
{file: Devana_Heavy_Attack_Charge-48.png; pivotX: 110.146; pivotY: 326.3386}
{file: Devana_Heavy_Attack_Charge-49.png; pivotX: 110.2495; pivotY: 326.3604}
{file: Devana_Heavy_Attack_Charge-50.png; pivotX: 110.3563; pivotY: 326.3821}
{file: Devana_Heavy_Attack_Charge-51.png; pivotX: 110.4664; pivotY: 326.4037}
{file: Devana_Heavy_Attack_Charge-52.png; pivotX: 110.5796; pivotY: 326.4251}
{file: Devana_Heavy_Attack_Charge-53.png; pivotX: 110.6949; pivotY: 326.4465}
{file: Devana_Heavy_Attack_Charge-54.png; pivotX: 110.812; pivotY: 326.4678}
{file: Devana_Heavy_Attack_Charge-55.png; pivotX: 111.4303; pivotY: 326.489}
{file: Devana_Heavy_Attack_Charge-56.png; pivotX: 111.5475; pivotY: 326.5103}
{file: Devana_Heavy_Attack_Charge-57.png; pivotX: 111.6611; pivotY: 326.5315}
{file: Devana_Heavy_Attack_Charge-58.png; pivotX: 111.7539; pivotY: 325.6034}
{file: Devana_Heavy_Attack_Charge-59.png; pivotX: 111.8578; pivotY: 325.6245}
{file: Devana_Heavy_Attack_Charge-60.png; pivotX: 111.9563; pivotY: 325.6458}
{file: Devana_Heavy_Attack_Charge-61.png; pivotX: 112.049; pivotY: 325.6672}
{file: Devana_Heavy_Attack_Charge-62.png; pivotX: 112.1354; pivotY: 325.6887}
{file: Devana_Heavy_Attack_Charge-63.png; pivotX: 112.2154; pivotY: 325.7103}
{file: Devana_Heavy_Attack_Charge-64.png; pivotX: 112.2887; pivotY: 325.7319}
{file: Devana_Heavy_Attack_Charge-65.png; pivotX: 112.3546; pivotY: 325.7538}
{file: Devana_Heavy_Attack_Charge-66.png; pivotX: 112.4129; pivotY: 325.776}
{file: Devana_Heavy_Attack_Charge-67.png; pivotX: 112.4638; pivotY: 325.7982}
{file: Devana_Heavy_Attack_Charge-68.png; pivotX: 112.5085; pivotY: 325.8208}
{file: Devana_Heavy_Attack_Charge-69.png; pivotX: 112.5487; pivotY: 325.8436}
{file: Devana_Heavy_Attack_Charge-70.png; pivotX: 112.5846; pivotY: 325.8666}
{file: Devana_Heavy_Attack_Charge-71.png; pivotX: 112.6162; pivotY: 325.89}
{file: Devana_Heavy_Attack_Charge-72.png; pivotX: 112.6439; pivotY: 325.9136}
{file: Devana_Heavy_Attack_Charge-73.png; pivotX: 112.6682; pivotY: 325.9377}
{file: Devana_Heavy_Attack_Charge-74.png; pivotX: 112.6895; pivotY: 325.962}
{file: Devana_Heavy_Attack_Charge-75.png; pivotX: 112.6885; pivotY: 325.0363}
{file: Devana_Heavy_Attack_Charge-76.png; pivotX: 112.7046; pivotY: 325.0614}
{file: Devana_Heavy_Attack_Charge-77.png; pivotX: 112.7187; pivotY: 325.0868}
{file: Devana_Heavy_Attack_Charge-78.png; pivotX: 112.7309; pivotY: 325.1127}
{file: Devana_Heavy_Attack_Charge-79.png; pivotX: 112.7413; pivotY: 325.139}
{file: Devana_Heavy_Attack_Charge-80.png; pivotX: 112.7494; pivotY: 325.1657}
{file: Devana_Heavy_Attack_Charge-81.png; pivotX: 112.7553; pivotY: 325.1929}
{file: Devana_Heavy_Attack_Charge-82.png; pivotX: 112.7592; pivotY: 325.2206}
{file: Devana_Heavy_Attack_Charge-83.png; pivotX: 112.7613; pivotY: 325.2488}
{file: Devana_Heavy_Attack_Charge-84.png; pivotX: 112.7615; pivotY: 325.2775}
{file: Devana_Heavy_Attack_Charge-85.png; pivotX: 112.7602; pivotY: 325.3068}
{file: Devana_Heavy_Attack_Charge-86.png; pivotX: 112.2574; pivotY: 325.3365}
{file: Devana_Heavy_Attack_Charge-87.png; pivotX: 112.2529; pivotY: 325.3669}
{file: Devana_Heavy_Attack_Charge-88.png; pivotX: 112.2466; pivotY: 325.3977}
{file: Devana_Heavy_Attack_Charge-89.png; pivotX: 112.2385; pivotY: 325.4291}
{file: Devana_Heavy_Attack_Charge-90.png; pivotX: 112.2092; pivotY: 324.5095}
{file: Devana_Heavy_Attack_Charge-91.png; pivotX: 112.1981; pivotY: 324.5421}
{file: Devana_Heavy_Attack_Charge-92.png; pivotX: 112.1855; pivotY: 324.5751}
{file: Devana_Heavy_Attack_Charge-93.png; pivotX: 112.1717; pivotY: 324.6089}
{file: Devana_Heavy_Attack_Charge-94.png; pivotX: 111.6565; pivotY: 324.6432}
{file: Devana_Heavy_Attack_Charge-95.png; pivotX: 111.6402; pivotY: 324.6781}
{file: Devana_Heavy_Attack_Charge-96.png; pivotX: 111.6228; pivotY: 324.7137}
{file: Devana_Heavy_Attack_Charge-97.png; pivotX: 111.6044; pivotY: 324.7499}
{file: Devana_Heavy_Attack_Charge-98.png; pivotX: 111.5851; pivotY: 324.7868}
{file: Devana_Heavy_Attack_Charge-99.png; pivotX: 111.5649; pivotY: 324.8243}
{file: Devana_Heavy_Attack_Charge-100.png; pivotX: 111.0441; pivotY: 324.8624}
{file: Devana_Heavy_Attack_Charge-101.png; pivotX: 111.0229; pivotY: 324.9012}
{file: Devana_Heavy_Attack_Charge-102.png; pivotX: 110.9823; pivotY: 323.9878}
{file: Devana_Heavy_Attack_Charge-103.png; pivotX: 110.9605; pivotY: 324.0278}
{file: Devana_Heavy_Attack_Charge-104.png; pivotX: 110.9386; pivotY: 324.0686}
{file: Devana_Heavy_Attack_Charge-105.png; pivotX: 110.9165; pivotY: 324.1101}
{file: Devana_Heavy_Attack_Charge-106.png; pivotX: 110.3942; pivotY: 324.1523}
{file: Devana_Heavy_Attack_Charge-107.png; pivotX: 110.3718; pivotY: 324.1953}
{file: Devana_Heavy_Attack_Charge-108.png; pivotX: 110.3492; pivotY: 324.2391}
{file: Devana_Heavy_Attack_Charge-109.png; pivotX: 110.3268; pivotY: 324.2835}
{file: Devana_Heavy_Attack_Charge-110.png; pivotX: 110.3044; pivotY: 324.3289}
{file: Devana_Heavy_Attack_Charge-111.png; pivotX: 110.2823; pivotY: 324.3752}
{file: Devana_Heavy_Attack_Charge-112.png; pivotX: 110.2421; pivotY: 323.4682}
{file: Devana_Heavy_Attack_Charge-113.png; pivotX: 109.7208; pivotY: 323.5161}
{file: Devana_Heavy_Attack_Charge-114.png; pivotX: 109.7003; pivotY: 323.5648}
{file: Devana_Heavy_Attack_Charge-115.png; pivotX: 109.6808; pivotY: 323.6142}
{file: Devana_Heavy_Attack_Charge-116.png; pivotX: 109.6623; pivotY: 323.6645}
{file: Devana_Heavy_Attack_Charge-117.png; pivotX: 109.6269; pivotY: 323.7156}
{file: Devana_Heavy_Attack_Charge-118.png; pivotX: 109.5875; pivotY: 323.7674}
{file: Devana_Heavy_Attack_Charge-119.png; pivotX: 109.5493; pivotY: 323.8199}
