{file: Devana_Medium_Combo_Part_1-0.png; posX: -0.0730767; posY: 0}
{file: Devana_Medium_Combo_Part_1-65.png; posX: 0.8839878; posY: -0.01353216}
{file: Devana_Medium_Combo_Part_1-66.png; posX: 0.8858839; posY: -0.01507211}
{file: Devana_Medium_Combo_Part_1-67.png; posX: 0.8875252; posY: -0.01625621}
{file: Devana_Medium_Combo_Part_1-68.png; posX: 0.8888671; posY: -0.01711017}
{file: Devana_Medium_Combo_Part_1-69.png; posX: 0.8898655; posY: -0.0176599}
{file: Devana_Medium_Combo_Part_1-70.png; posX: 0.8904758; posY: -0.01793116}
{file: Devana_Medium_Combo_Part_1-71.png; posX: 0.8908307; posY: -0.01794976}
{file: Devana_Medium_Combo_Part_1-72.png; posX: 0.8910974; posY: -0.01774156}
{file: Devana_Medium_Combo_Part_1-73.png; posX: 0.8912839; posY: -0.01733232}
{file: Devana_Medium_Combo_Part_1-74.png; posX: 0.8913981; posY: -0.01674789}
{file: Devana_Medium_Combo_Part_1-75.png; posX: 0.8914477; posY: -0.0160141}
{file: Devana_Medium_Combo_Part_1-76.png; posX: 0.8914407; posY: -0.01515675}
{file: Devana_Medium_Combo_Part_1-77.png; posX: 0.8913851; posY: -0.01420164}
{file: Devana_Medium_Combo_Part_1-78.png; posX: 0.8912885; posY: -0.01317453}
{file: Devana_Medium_Combo_Part_1-79.png; posX: 0.891159; posY: -0.01210135}
{file: Devana_Medium_Combo_Part_1-80.png; posX: 0.8910044; posY: -0.01100785}
{file: Devana_Medium_Combo_Part_1-81.png; posX: 0.8908327; posY: -0.009919882}
{file: Devana_Medium_Combo_Part_1-82.png; posX: 0.8906516; posY: -0.008863211}
{file: Devana_Medium_Combo_Part_1-83.png; posX: 0.8904691; posY: -0.007863641}
{file: Devana_Medium_Combo_Part_1-84.png; posX: 0.8902931; posY: -0.0069471}
{file: Devana_Medium_Combo_Part_1-85.png; posX: 0.8901313; posY: -0.006139219}
{file: Devana_Medium_Combo_Part_1-86.png; posX: 0.8899918; posY: -0.005465984}
{file: Devana_Medium_Combo_Part_1-87.png; posX: 0.8898824; posY: -0.004953146}
