{file: Devana_Win-0.png; posX: 2.980232E-10; posY: 0}
{file: Devana_Win-44.png; posX: 0.09484656; posY: 0.1322654}
{file: Devana_Win-45.png; posX: 0.08920986; posY: 0.1316318}
{file: Devana_Win-46.png; posX: 0.08315514; posY: 0.1308298}
{file: Devana_Win-47.png; posX: 0.07673809; posY: 0.1298792}
{file: Devana_Win-48.png; posX: 0.07001445; posY: 0.1288003}
{file: Devana_Win-49.png; posX: 0.06303993; posY: 0.1276128}
{file: Devana_Win-50.png; posX: 0.05587018; posY: 0.1263368}
{file: Devana_Win-51.png; posX: 0.04856099; posY: 0.1249922}
{file: Devana_Win-52.png; posX: 0.04116803; posY: 0.123599}
{file: Devana_Win-53.png; posX: 0.03374701; posY: 0.1221772}
{file: Devana_Win-54.png; posX: 0.02635361; posY: 0.1207467}
{file: Devana_Win-55.png; posX: 0.01904359; posY: 0.1193276}
{file: Devana_Win-56.png; posX: 0.01187264; posY: 0.1179397}
{file: Devana_Win-57.png; posX: 0.004856037; posY: 0.1166031}
{file: Devana_Win-58.png; posX: -0.001917608; posY: 0.1153377}
{file: Devana_Win-59.png; posX: -0.008338135; posY: 0.1141636}
{file: Devana_Win-60.png; posX: -0.01452158; posY: 0.1131006}
{file: Devana_Win-61.png; posX: -0.02064142; posY: 0.1121687}
{file: Devana_Win-62.png; posX: -0.02687116; posY: 0.111388}
{file: Devana_Win-63.png; posX: -0.03329724; posY: 0.1107783}
{file: Devana_Win-64.png; posX: -0.03984347; posY: 0.1103597}
{file: Devana_Win-65.png; posX: -0.04643959; posY: 0.1101522}
{file: Devana_Win-66.png; posX: -0.05301533; posY: 0.1101756}
{file: Devana_Win-67.png; posX: -0.0595004; posY: 0.1102573}
{file: Devana_Win-68.png; posX: -0.06582451; posY: 0.1102144}
{file: Devana_Win-69.png; posX: -0.07191739; posY: 0.1100518}
{file: Devana_Win-70.png; posX: -0.07770879; posY: 0.1097746}
{file: Devana_Win-71.png; posX: -0.08312833; posY: 0.1093878}
{file: Devana_Win-72.png; posX: -0.08810579; posY: 0.1088961}
{file: Devana_Win-73.png; posX: -0.09263195; posY: 0.1083048}
{file: Devana_Win-74.png; posX: -0.09676844; posY: 0.1076186}
{file: Devana_Win-75.png; posX: -0.1005512; posY: 0.1068426}
{file: Devana_Win-76.png; posX: -0.1040162; posY: 0.1059817}
{file: Devana_Win-77.png; posX: -0.1071993; posY: 0.1050408}
{file: Devana_Win-78.png; posX: -0.1101366; posY: 0.104025}
{file: Devana_Win-79.png; posX: -0.1128639; posY: 0.1029392}
{file: Devana_Win-80.png; posX: -0.1154172; posY: 0.1017883}
{file: Devana_Win-81.png; posX: -0.1177709; posY: 0.1005774}
{file: Devana_Win-82.png; posX: -0.1198616; posY: 0.09931123}
{file: Devana_Win-83.png; posX: -0.1216691; posY: 0.09799498}
{file: Devana_Win-84.png; posX: -0.1231729; posY: 0.09663349}
{file: Devana_Win-85.png; posX: -0.1243526; posY: 0.09523171}
{file: Devana_Win-86.png; posX: -0.1251878; posY: 0.0937947}
{file: Devana_Win-87.png; posX: -0.1256581; posY: 0.0923273}
{file: Devana_Win-88.png; posX: -0.1257431; posY: 0.09083456}
{file: Devana_Win-89.png; posX: -0.1254133; posY: 0.08932143}
{file: Devana_Win-90.png; posX: -0.1243181; posY: 0.08779281}
{file: Devana_Win-91.png; posX: -0.1219553; posY: 0.0862537}
{file: Devana_Win-92.png; posX: -0.1178229; posY: 0.08470905}
{file: Devana_Win-93.png; posX: -0.1116239; posY: 0.0831638}
{file: Devana_Win-94.png; posX: -0.1039826; posY: 0.08162302}
{file: Devana_Win-95.png; posX: -0.09577817; posY: 0.08009148}
{file: Devana_Win-96.png; posX: -0.08789015; posY: 0.0785743}
{file: Devana_Win-97.png; posX: -0.08079349; posY: 0.07736713}
{file: Devana_Win-98.png; posX: -0.07432171; posY: 0.07672489}
{file: Devana_Win-99.png; posX: -0.06839204; posY: 0.07659137}
{file: Devana_Win-100.png; posX: -0.06292165; posY: 0.07691038}
{file: Devana_Win-101.png; posX: -0.05776909; posY: 0.07762563}
{file: Devana_Win-102.png; posX: -0.05325774; posY: 0.07868093}
{file: Devana_Win-103.png; posX: -0.05000227; posY: 0.08002007}
{file: Devana_Win-104.png; posX: -0.04861731; posY: 0.08158684}
{file: Devana_Win-105.png; posX: -0.0495675; posY: 0.08332497}
{file: Devana_Win-106.png; posX: -0.05218334; posY: 0.08517826}
{file: Devana_Win-107.png; posX: -0.05623618; posY: 0.08709049}
{file: Devana_Win-108.png; posX: -0.06096323; posY: 0.08900541}
{file: Devana_Win-109.png; posX: -0.06542229; posY: 0.09086686}
{file: Devana_Win-110.png; posX: -0.06992327; posY: 0.09261858}
{file: Devana_Win-111.png; posX: -0.07453451; posY: 0.09420431}
{file: Devana_Win-112.png; posX: -0.07899737; posY: 0.09556788}
{file: Devana_Win-113.png; posX: -0.08281204; posY: 0.09665304}
{file: Devana_Win-114.png; posX: -0.08547875; posY: 0.09740359}
{file: Devana_Win-115.png; posX: -0.08651054; posY: 0.0977633}
{file: Devana_Win-116.png; posX: -0.08674308; posY: 0.09767592}
{file: Devana_Win-117.png; posX: -0.08694996; posY: 0.09733874}
{file: Devana_Win-118.png; posX: -0.08693905; posY: 0.09698772}
{file: Devana_Win-119.png; posX: -0.08674596; posY: 0.09662497}
{file: Devana_Win-120.png; posX: -0.08640626; posY: 0.09625244}
{file: Devana_Win-121.png; posX: -0.08595556; posY: 0.09587228}
{file: Devana_Win-122.png; posX: -0.08542946; posY: 0.09548634}
{file: Devana_Win-123.png; posX: -0.08486354; posY: 0.09509683}
{file: Devana_Win-124.png; posX: -0.08429341; posY: 0.09470558}
{file: Devana_Win-125.png; posX: -0.08375465; posY: 0.09431475}
{file: Devana_Win-126.png; posX: -0.08328287; posY: 0.09392637}
{file: Devana_Win-127.png; posX: -0.08284511; posY: 0.0935424}
{file: Devana_Win-128.png; posX: -0.08238689; posY: 0.09316486}
{file: Devana_Win-129.png; posX: -0.0819115; posY: 0.09279579}
{file: Devana_Win-130.png; posX: -0.08142222; posY: 0.09243727}
{file: Devana_Win-131.png; posX: -0.08092236; posY: 0.09209126}
{file: Devana_Win-132.png; posX: -0.0804152; posY: 0.0917598}
{file: Devana_Win-133.png; posX: -0.07990403; posY: 0.09144491}
{file: Devana_Win-134.png; posX: -0.07939214; posY: 0.09114861}
{file: Devana_Win-135.png; posX: -0.07888282; posY: 0.09087294}
{file: Devana_Win-136.png; posX: -0.07837937; posY: 0.09061992}
{file: Devana_Win-137.png; posX: -0.07788508; posY: 0.09039158}
{file: Devana_Win-138.png; posX: -0.07740323; posY: 0.09018993}
{file: Devana_Win-139.png; posX: -0.07693712; posY: 0.09001702}
{file: Devana_Win-140.png; posX: -0.07649002; posY: 0.0898748}
{file: Devana_Win-141.png; posX: -0.07606526; posY: 0.08976537}
{file: Devana_Win-142.png; posX: -0.0756661; posY: 0.08969074}
{file: Devana_Win-143.png; posX: -0.07529584; posY: 0.08965296}
{file: Devana_Win-144.png; posX: -0.07495778; posY: 0.08965397}
{file: Devana_Win-145.png; posX: -0.0746552; posY: 0.08969587}
{file: Devana_Win-146.png; posX: -0.07439138; posY: 0.08978063}
{file: Devana_Win-147.png; posX: -0.07416964; posY: 0.08991033}
{file: Devana_Win-148.png; posX: -0.07399324; posY: 0.090087}
{file: Devana_Win-149.png; posX: -0.07382311; posY: 0.09031254}
{file: Devana_Win-150.png; posX: -0.07361245; posY: 0.09058917}
{file: Devana_Win-151.png; posX: -0.07335308; posY: 0.09091872}
{file: Devana_Win-152.png; posX: -0.07303677; posY: 0.09130335}
{file: Devana_Win-153.png; posX: -0.0726553; posY: 0.09206402}
{file: Devana_Win-154.png; posX: -0.07220048; posY: 0.09347939}
{file: Devana_Win-155.png; posX: -0.07166406; posY: 0.09548765}
{file: Devana_Win-156.png; posX: -0.07103787; posY: 0.09802699}
{file: Devana_Win-157.png; posX: -0.07031367; posY: 0.1010357}
{file: Devana_Win-158.png; posX: -0.06948326; posY: 0.1044521}
{file: Devana_Win-159.png; posX: -0.06853843; posY: 0.1082143}
{file: Devana_Win-160.png; posX: -0.06747095; posY: 0.1122606}
{file: Devana_Win-161.png; posX: -0.06627262; posY: 0.1165293}
{file: Devana_Win-162.png; posX: -0.06493522; posY: 0.1209586}
{file: Devana_Win-163.png; posX: -0.06347464; posY: 0.1248282}
{file: Devana_Win-164.png; posX: -0.06191593; posY: 0.1275183}
{file: Devana_Win-165.png; posX: -0.06026465; posY: 0.1291184}
{file: Devana_Win-166.png; posX: -0.05852634; posY: 0.1297178}
{file: Devana_Win-167.png; posX: -0.05670658; posY: 0.1294057}
{file: Devana_Win-168.png; posX: -0.05481091; posY: 0.1282716}
{file: Devana_Win-169.png; posX: -0.05284488; posY: 0.1264047}
{file: Devana_Win-170.png; posX: -0.05081404; posY: 0.1238943}
{file: Devana_Win-171.png; posX: -0.04872397; posY: 0.1208299}
{file: Devana_Win-172.png; posX: -0.04658023; posY: 0.1173007}
{file: Devana_Win-173.png; posX: -0.04438835; posY: 0.1133962}
{file: Devana_Win-174.png; posX: -0.0421539; posY: 0.1092055}
{file: Devana_Win-175.png; posX: -0.03988244; posY: 0.104818}
{file: Devana_Win-176.png; posX: -0.03757951; posY: 0.1003231}
{file: Devana_Win-177.png; posX: -0.03524177; posY: 0.09581006}
{file: Devana_Win-178.png; posX: -0.03285513; posY: 0.09136826}
{file: Devana_Win-179.png; posX: -0.03040903; posY: 0.08708698}
{file: Devana_Win-180.png; posX: -0.02789289; posY: 0.08305556}
{file: Devana_Win-181.png; posX: -0.02529614; posY: 0.07936335}
{file: Devana_Win-182.png; posX: -0.02260824; posY: 0.07609969}
{file: Devana_Win-183.png; posX: -0.01981859; posY: 0.07335389}
{file: Devana_Win-184.png; posX: -0.01691664; posY: 0.07121527}
{file: Devana_Win-185.png; posX: -0.01389177; posY: 0.06959498}
{file: Devana_Win-186.png; posX: -0.01073351; posY: 0.06833541}
{file: Devana_Win-187.png; posX: -0.007444579; posY: 0.06742239}
{file: Devana_Win-188.png; posX: -0.004085692; posY: 0.06684184}
{file: Devana_Win-189.png; posX: -0.0006822967; posY: 0.0665797}
{file: Devana_Win-190.png; posX: 0.002740123; posY: 0.06662178}
{file: Devana_Win-191.png; posX: 0.006156083; posY: 0.06695402}
{file: Devana_Win-192.png; posX: 0.009540143; posY: 0.06756234}
{file: Devana_Win-193.png; posX: 0.01279388; posY: 0.06843263}
{file: Devana_Win-194.png; posX: 0.01611075; posY: 0.06955081}
{file: Devana_Win-195.png; posX: 0.01966125; posY: 0.07090276}
{file: Devana_Win-196.png; posX: 0.02341589; posY: 0.07247442}
{file: Devana_Win-197.png; posX: 0.02742819; posY: 0.07425165}
{file: Devana_Win-198.png; posX: 0.03156769; posY: 0.07622039}
{file: Devana_Win-199.png; posX: 0.03562; posY: 0.07836652}
{file: Devana_Win-200.png; posX: 0.03937056; posY: 0.08067596}
{file: Devana_Win-201.png; posX: 0.042605; posY: 0.08313459}
{file: Devana_Win-202.png; posX: 0.04510887; posY: 0.08572829}
{file: Devana_Win-203.png; posX: 0.04673703; posY: 0.08844304}
{file: Devana_Win-204.png; posX: 0.04754278; posY: 0.09126472}
{file: Devana_Win-205.png; posX: 0.0476094; posY: 0.09417915}
{file: Devana_Win-206.png; posX: 0.04702016; posY: 0.09717232}
{file: Devana_Win-207.png; posX: 0.04585832; posY: 0.1002302}
{file: Devana_Win-208.png; posX: 0.04420717; posY: 0.1033385}
{file: Devana_Win-209.png; posX: 0.04214996; posY: 0.1064832}
{file: Devana_Win-210.png; posX: 0.03976998; posY: 0.1096503}
{file: Devana_Win-211.png; posX: 0.03708038; posY: 0.1126472}
{file: Devana_Win-212.png; posX: 0.03407915; posY: 0.1153002}
{file: Devana_Win-213.png; posX: 0.03082688; posY: 0.1176232}
{file: Devana_Win-214.png; posX: 0.02738411; posY: 0.1196301}
{file: Devana_Win-215.png; posX: 0.02379014; posY: 0.1213349}
{file: Devana_Win-216.png; posX: 0.01997128; posY: 0.1227515}
{file: Devana_Win-217.png; posX: 0.0158189; posY: 0.1238939}
{file: Devana_Win-218.png; posX: 0.01122432; posY: 0.1247759}
{file: Devana_Win-219.png; posX: 0.006118528; posY: 0.1254116}
{file: Devana_Win-220.png; posX: 0.0006005643; posY: 0.1258149}
{file: Devana_Win-221.png; posX: -0.005186117; posY: 0.1259997}
{file: Devana_Win-222.png; posX: -0.01109806; posY: 0.1259801}
{file: Devana_Win-223.png; posX: -0.01706953; posY: 0.1257699}
{file: Devana_Win-224.png; posX: -0.02305868; posY: 0.125383}
{file: Devana_Win-225.png; posX: -0.02895792; posY: 0.1248333}
{file: Devana_Win-226.png; posX: -0.03465967; posY: 0.124135}
{file: Devana_Win-227.png; posX: -0.04005634; posY: 0.1233019}
{file: Devana_Win-228.png; posX: -0.04504034; posY: 0.1223478}
{file: Devana_Win-229.png; posX: -0.04950416; posY: 0.1212869}
{file: Devana_Win-230.png; posX: -0.05334006; posY: 0.1201329}
{file: Devana_Win-231.png; posX: -0.05643935; posY: 0.1188999}
{file: Devana_Win-232.png; posX: -0.05880664; posY: 0.1176019}
{file: Devana_Win-233.png; posX: -0.06050446; posY: 0.1162527}
{file: Devana_Win-234.png; posX: -0.06159535; posY: 0.1148662}
{file: Devana_Win-235.png; posX: -0.06214185; posY: 0.1134565}
{file: Devana_Win-236.png; posX: -0.06220649; posY: 0.1120374}
{file: Devana_Win-237.png; posX: -0.0618518; posY: 0.110623}
{file: Devana_Win-238.png; posX: -0.06114032; posY: 0.1092271}
{file: Devana_Win-239.png; posX: -0.06013458; posY: 0.1078638}
{file: Devana_Win-240.png; posX: -0.05889712; posY: 0.1065469}
{file: Devana_Win-241.png; posX: -0.05749044; posY: 0.1052903}
{file: Devana_Win-242.png; posX: -0.05597715; posY: 0.1041081}
{file: Devana_Win-243.png; posX: -0.0544197; posY: 0.1030142}
{file: Devana_Win-244.png; posX: -0.0528807; posY: 0.1020225}
{file: Devana_Win-245.png; posX: -0.05142261; posY: 0.1011469}
{file: Devana_Win-246.png; posX: -0.05010804; posY: 0.1004014}
{file: Devana_Win-247.png; posX: -0.04899945; posY: 0.09979993}
{file: Devana_Win-248.png; posX: -0.04815944; posY: 0.09935653}
{file: Devana_Win-249.png; posX: -0.04751291; posY: 0.09934056}
{file: Devana_Win-250.png; posX: -0.04742788; posY: 0.09996158}
{file: Devana_Win-251.png; posX: -0.04830043; posY: 0.1011439}
{file: Devana_Win-252.png; posX: -0.04991202; posY: 0.1028115}
{file: Devana_Win-253.png; posX: -0.05236516; posY: 0.1048886}
{file: Devana_Win-254.png; posX: -0.05509265; posY: 0.1072993}
{file: Devana_Win-255.png; posX: -0.05742102; posY: 0.1099676}
{file: Devana_Win-256.png; posX: -0.05949028; posY: 0.112818}
{file: Devana_Win-257.png; posX: -0.06132048; posY: 0.1157742}
{file: Devana_Win-258.png; posX: -0.06293191; posY: 0.1187607}
{file: Devana_Win-259.png; posX: -0.06434464; posY: 0.1217014}
{file: Devana_Win-260.png; posX: -0.06557892; posY: 0.1245205}
{file: Devana_Win-261.png; posX: -0.06665486; posY: 0.1271421}
{file: Devana_Win-262.png; posX: -0.0675927; posY: 0.1294904}
{file: Devana_Win-263.png; posX: -0.06848516; posY: 0.1314895}
{file: Devana_Win-264.png; posX: -0.06935631; posY: 0.1330636}
{file: Devana_Win-265.png; posX: -0.07012311; posY: 0.1341367}
{file: Devana_Win-266.png; posX: -0.07070259; posY: 0.134633}
{file: Devana_Win-267.png; posX: -0.07101174; posY: 0.1348088}
{file: Devana_Win-268.png; posX: -0.07096755; posY: 0.134971}
{file: Devana_Win-269.png; posX: -0.07048702; posY: 0.1351199}
{file: Devana_Win-270.png; posX: -0.06948719; posY: 0.1352559}
{file: Devana_Win-271.png; posX: -0.0679725; posY: 0.1353793}
{file: Devana_Win-272.png; posX: -0.06604804; posY: 0.1354904}
{file: Devana_Win-273.png; posX: -0.06378143; posY: 0.1355894}
{file: Devana_Win-274.png; posX: -0.06124054; posY: 0.1356767}
{file: Devana_Win-275.png; posX: -0.05849294; posY: 0.1357526}
{file: Devana_Win-276.png; posX: -0.05560654; posY: 0.1358174}
{file: Devana_Win-277.png; posX: -0.05264888; posY: 0.1358714}
{file: Devana_Win-278.png; posX: -0.04968789; posY: 0.1359149}
{file: Devana_Win-279.png; posX: -0.04679111; posY: 0.1359482}
{file: Devana_Win-280.png; posX: -0.04402638; posY: 0.1359717}
{file: Devana_Win-281.png; posX: -0.0414615; posY: 0.1359855}
{file: Devana_Win-282.png; posX: -0.03916404; posY: 0.1359901}
{file: Devana_Win-283.png; posX: -0.03720189; posY: 0.1359857}
{file: Devana_Win-284.png; posX: -0.03564264; posY: 0.1359727}
{file: Devana_Win-285.png; posX: -0.0345349; posY: 0.1359513}
{file: Devana_Win-286.png; posX: -0.03385134; posY: 0.135922}
{file: Devana_Win-287.png; posX: -0.03354615; posY: 0.1358848}
{file: Devana_Win-288.png; posX: -0.03357343; posY: 0.1358402}
{file: Devana_Win-289.png; posX: -0.03388733; posY: 0.1357885}
{file: Devana_Win-290.png; posX: -0.03444199; posY: 0.13573}
{file: Devana_Win-291.png; posX: -0.0351915; posY: 0.1356649}
{file: Devana_Win-292.png; posX: -0.03609006; posY: 0.1355937}
{file: Devana_Win-293.png; posX: -0.03712174; posY: 0.1355166}
{file: Devana_Win-294.png; posX: -0.03828586; posY: 0.1354339}
{file: Devana_Win-295.png; posX: -0.03955923; posY: 0.1353459}
{file: Devana_Win-296.png; posX: -0.04091864; posY: 0.1352529}
{file: Devana_Win-297.png; posX: -0.04234098; posY: 0.1351552}
{file: Devana_Win-298.png; posX: -0.04380301; posY: 0.1350532}
{file: Devana_Win-299.png; posX: -0.04528163; posY: 0.1349471}
{file: Devana_Win-300.png; posX: -0.04675359; posY: 0.1348373}
{file: Devana_Win-301.png; posX: -0.0481958; posY: 0.134724}
{file: Devana_Win-302.png; posX: -0.049585; posY: 0.1346075}
{file: Devana_Win-303.png; posX: -0.0508981; posY: 0.1344882}
{file: Devana_Win-304.png; posX: -0.05211185; posY: 0.1343665}
{file: Devana_Win-305.png; posX: -0.05320314; posY: 0.1342424}
{file: Devana_Win-306.png; posX: -0.05414875; posY: 0.1341165}
{file: Devana_Win-307.png; posX: -0.05492555; posY: 0.133989}
{file: Devana_Win-308.png; posX: -0.05551033; posY: 0.1338601}
{file: Devana_Win-309.png; posX: -0.05590725; posY: 0.1337302}
{file: Devana_Win-310.png; posX: -0.0561461; posY: 0.1335997}
{file: Devana_Win-311.png; posX: -0.05624222; posY: 0.1334688}
{file: Devana_Win-312.png; posX: -0.05621095; posY: 0.1333378}
{file: Devana_Win-313.png; posX: -0.05606765; posY: 0.133207}
{file: Devana_Win-314.png; posX: -0.05582763; posY: 0.1330768}
{file: Devana_Win-315.png; posX: -0.05550624; posY: 0.1329474}
{file: Devana_Win-316.png; posX: -0.05511883; posY: 0.1328191}
{file: Devana_Win-317.png; posX: -0.05468073; posY: 0.1326923}
{file: Devana_Win-318.png; posX: -0.05420728; posY: 0.1325673}
{file: Devana_Win-319.png; posX: -0.05371383; posY: 0.1324443}
{file: Devana_Win-320.png; posX: -0.05321569; posY: 0.1323237}
{file: Devana_Win-321.png; posX: -0.05272824; posY: 0.1322058}
{file: Devana_Win-322.png; posX: -0.05226678; posY: 0.1320908}
{file: Devana_Win-323.png; posX: -0.05184669; posY: 0.1319792}
