{file: DummyFemale_Loop_Able_Dizzy-0.png; posX: 2.980232E-10; posY: 0}
{file: DummyFemale_Loop_Able_Dizzy-180.png; posX: -0.03751984; posY: -0.003347397}
{file: DummyFemale_Loop_Able_Dizzy-181.png; posX: -0.03252159; posY: -0.003400862}
{file: DummyFemale_Loop_Able_Dizzy-182.png; posX: -0.02751877; posY: -0.003467321}
{file: DummyFemale_Loop_Able_Dizzy-183.png; posX: -0.02258678; posY: -0.003546655}
{file: DummyFemale_Loop_Able_Dizzy-184.png; posX: -0.01780126; posY: -0.003638566}
{file: DummyFemale_Loop_Able_Dizzy-185.png; posX: -0.01323761; posY: -0.003742814}
{file: DummyFemale_Loop_Able_Dizzy-186.png; posX: -0.00897133; posY: -0.003859162}
{file: DummyFemale_Loop_Able_Dizzy-187.png; posX: -0.005077871; posY: -0.003987372}
{file: DummyFemale_Loop_Able_Dizzy-188.png; posX: -0.001617086; posY: -0.004127204}
{file: DummyFemale_Loop_Able_Dizzy-189.png; posX: 0.00165762; posY: -0.004278362}
{file: DummyFemale_Loop_Able_Dizzy-190.png; posX: 0.00499983; posY: -0.004440665}
{file: DummyFemale_Loop_Able_Dizzy-191.png; posX: 0.008357445; posY: -0.004613876}
{file: DummyFemale_Loop_Able_Dizzy-192.png; posX: 0.01166678; posY: -0.004797757}
{file: DummyFemale_Loop_Able_Dizzy-193.png; posX: 0.01486417; posY: -0.004992008}
{file: DummyFemale_Loop_Able_Dizzy-194.png; posX: 0.01788593; posY: -0.005196393}
{file: DummyFemale_Loop_Able_Dizzy-195.png; posX: 0.02066838; posY: -0.005410731}
{file: DummyFemale_Loop_Able_Dizzy-196.png; posX: 0.02314785; posY: -0.005634725}
{file: DummyFemale_Loop_Able_Dizzy-197.png; posX: 0.02526067; posY: -0.005868196}
{file: DummyFemale_Loop_Able_Dizzy-198.png; posX: 0.02694313; posY: -0.006110847}
{file: DummyFemale_Loop_Able_Dizzy-199.png; posX: 0.02813156; posY: -0.006362438}
{file: DummyFemale_Loop_Able_Dizzy-200.png; posX: 0.0287623; posY: -0.006622732}
{file: DummyFemale_Loop_Able_Dizzy-201.png; posX: 0.02877166; posY: -0.006891489}
{file: DummyFemale_Loop_Able_Dizzy-202.png; posX: 0.02809597; posY: -0.007168531}
{file: DummyFemale_Loop_Able_Dizzy-203.png; posX: 0.02670576; posY: -0.007453501}
{file: DummyFemale_Loop_Able_Dizzy-204.png; posX: 0.02466171; posY: -0.00774622}
{file: DummyFemale_Loop_Able_Dizzy-205.png; posX: 0.02203536; posY: -0.008046448}
{file: DummyFemale_Loop_Able_Dizzy-206.png; posX: 0.01889825; posY: -0.008353949}
{file: DummyFemale_Loop_Able_Dizzy-207.png; posX: 0.01532192; posY: -0.008668423}
{file: DummyFemale_Loop_Able_Dizzy-208.png; posX: 0.01137791; posY: -0.008989692}
{file: DummyFemale_Loop_Able_Dizzy-209.png; posX: 0.007137755; posY: -0.009317517}
{file: DummyFemale_Loop_Able_Dizzy-210.png; posX: 0.002673002; posY: -0.009651601}
{file: DummyFemale_Loop_Able_Dizzy-211.png; posX: -0.001960681; posY: -0.009991765}
{file: DummyFemale_Loop_Able_Dizzy-212.png; posX: -0.006679268; posY: -0.01033771}
{file: DummyFemale_Loop_Able_Dizzy-213.png; posX: -0.01142715; posY: -0.01068926}
{file: DummyFemale_Loop_Able_Dizzy-214.png; posX: -0.01613084; posY: -0.01104611}
{file: DummyFemale_Loop_Able_Dizzy-215.png; posX: -0.02071681; posY: -0.01140803}
{file: DummyFemale_Loop_Able_Dizzy-216.png; posX: -0.0251115; posY: -0.01177478}
{file: DummyFemale_Loop_Able_Dizzy-217.png; posX: -0.02924138; posY: -0.01211309}
{file: DummyFemale_Loop_Able_Dizzy-218.png; posX: -0.03312316; posY: -0.01239103}
{file: DummyFemale_Loop_Able_Dizzy-219.png; posX: -0.0370236; posY: -0.01261026}
{file: DummyFemale_Loop_Able_Dizzy-220.png; posX: -0.04124426; posY: -0.0127725}
{file: DummyFemale_Loop_Able_Dizzy-221.png; posX: -0.04587671; posY: -0.01287961}
{file: DummyFemale_Loop_Able_Dizzy-222.png; posX: -0.05073962; posY: -0.01293319}
{file: DummyFemale_Loop_Able_Dizzy-223.png; posX: -0.05572517; posY: -0.01293504}
{file: DummyFemale_Loop_Able_Dizzy-224.png; posX: -0.06072551; posY: -0.01288682}
{file: DummyFemale_Loop_Able_Dizzy-225.png; posX: -0.06563281; posY: -0.01279038}
{file: DummyFemale_Loop_Able_Dizzy-226.png; posX: -0.0703392; posY: -0.01264739}
{file: DummyFemale_Loop_Able_Dizzy-227.png; posX: -0.07473694; posY: -0.01245958}
{file: DummyFemale_Loop_Able_Dizzy-228.png; posX: -0.07871803; posY: -0.01222867}
{file: DummyFemale_Loop_Able_Dizzy-229.png; posX: -0.08217471; posY: -0.01195645}
{file: DummyFemale_Loop_Able_Dizzy-230.png; posX: -0.08499914; posY: -0.0116446}
{file: DummyFemale_Loop_Able_Dizzy-231.png; posX: -0.08708349; posY: -0.01129484}
{file: DummyFemale_Loop_Able_Dizzy-232.png; posX: -0.08831991; posY: -0.01090896}
{file: DummyFemale_Loop_Able_Dizzy-233.png; posX: -0.08860055; posY: -0.01048863}
{file: DummyFemale_Loop_Able_Dizzy-234.png; posX: -0.08781759; posY: -0.01003569}
{file: DummyFemale_Loop_Able_Dizzy-235.png; posX: -0.08586317; posY: -0.009551704}
{file: DummyFemale_Loop_Able_Dizzy-236.png; posX: -0.08270792; posY: -0.009038568}
{file: DummyFemale_Loop_Able_Dizzy-237.png; posX: -0.07849233; posY: -0.008497953}
{file: DummyFemale_Loop_Able_Dizzy-238.png; posX: -0.0733634; posY: -0.00793153}
{file: DummyFemale_Loop_Able_Dizzy-239.png; posX: -0.06746815; posY: -0.007341146}
{file: DummyFemale_Loop_Able_Dizzy-240.png; posX: -0.06095359; posY: -0.00672847}
{file: DummyFemale_Loop_Able_Dizzy-241.png; posX: -0.05396663; posY: -0.006095231}
{file: DummyFemale_Loop_Able_Dizzy-242.png; posX: -0.04665457; posY: -0.005443156}
{file: DummyFemale_Loop_Able_Dizzy-243.png; posX: -0.03916402; posY: -0.004773974}
{file: DummyFemale_Loop_Able_Dizzy-244.png; posX: -0.03164241; posY: -0.004089534}
{file: DummyFemale_Loop_Able_Dizzy-245.png; posX: -0.02423631; posY: -0.003391385}
{file: DummyFemale_Loop_Able_Dizzy-246.png; posX: -0.01709317; posY: -0.002681375}
{file: DummyFemale_Loop_Able_Dizzy-247.png; posX: -0.01035957; posY: -0.001961231}
{file: DummyFemale_Loop_Able_Dizzy-248.png; posX: -0.004182745; posY: -0.001232624}
{file: DummyFemale_Loop_Able_Dizzy-249.png; posX: 0.001314755; posY: -0.0004974008}
{file: DummyFemale_Loop_Able_Dizzy-250.png; posX: 0.005990547; posY: 0.0002428293}
{file: DummyFemale_Loop_Able_Dizzy-251.png; posX: 0.009666892; posY: 0.0009862781}
{file: DummyFemale_Loop_Able_Dizzy-252.png; posX: 0.01222086; posY: 0.001731217}
{file: DummyFemale_Loop_Able_Dizzy-253.png; posX: 0.01371748; posY: 0.002475858}
{file: DummyFemale_Loop_Able_Dizzy-254.png; posX: 0.01426178; posY: 0.003218591}
{file: DummyFemale_Loop_Able_Dizzy-255.png; posX: 0.01395871; posY: 0.00395757}
{file: DummyFemale_Loop_Able_Dizzy-256.png; posX: 0.01291321; posY: 0.004691124}
{file: DummyFemale_Loop_Able_Dizzy-257.png; posX: 0.0112303; posY: 0.005417466}
{file: DummyFemale_Loop_Able_Dizzy-258.png; posX: 0.00901485; posY: 0.006134927}
{file: DummyFemale_Loop_Able_Dizzy-259.png; posX: 0.006371946; posY: 0.006841779}
{file: DummyFemale_Loop_Able_Dizzy-260.png; posX: 0.003374763; posY: 0.007536173}
{file: DummyFemale_Loop_Able_Dizzy-261.png; posX: 0.0001216289; posY: 0.0082165}
{file: DummyFemale_Loop_Able_Dizzy-262.png; posX: -0.003284069; posY: 0.008881032}
{file: DummyFemale_Loop_Able_Dizzy-263.png; posX: -0.006766757; posY: 0.009527922}
{file: DummyFemale_Loop_Able_Dizzy-264.png; posX: -0.01022628; posY: 0.0101555}
{file: DummyFemale_Loop_Able_Dizzy-265.png; posX: -0.01356277; posY: 0.0107621}
{file: DummyFemale_Loop_Able_Dizzy-266.png; posX: -0.016676; posY: 0.01134586}
{file: DummyFemale_Loop_Able_Dizzy-267.png; posX: -0.01946606; posY: 0.01188374}
{file: DummyFemale_Loop_Able_Dizzy-268.png; posX: -0.02192353; posY: 0.01235503}
{file: DummyFemale_Loop_Able_Dizzy-269.png; posX: -0.02431837; posY: 0.01276207}
{file: DummyFemale_Loop_Able_Dizzy-270.png; posX: -0.02696911; posY: 0.01310688}
{file: DummyFemale_Loop_Able_Dizzy-271.png; posX: -0.02999302; posY: 0.01339161}
{file: DummyFemale_Loop_Able_Dizzy-272.png; posX: -0.03323527; posY: 0.01361853}
{file: DummyFemale_Loop_Able_Dizzy-273.png; posX: -0.03660701; posY: 0.01378971}
{file: DummyFemale_Loop_Able_Dizzy-274.png; posX: -0.040019; posY: 0.01390731}
{file: DummyFemale_Loop_Able_Dizzy-275.png; posX: -0.04338241; posY: 0.01397353}
{file: DummyFemale_Loop_Able_Dizzy-276.png; posX: -0.04660799; posY: 0.01399046}
{file: DummyFemale_Loop_Able_Dizzy-277.png; posX: -0.0496069; posY: 0.0139603}
{file: DummyFemale_Loop_Able_Dizzy-278.png; posX: -0.05229001; posY: 0.0138852}
{file: DummyFemale_Loop_Able_Dizzy-279.png; posX: -0.05456821; posY: 0.0137673}
{file: DummyFemale_Loop_Able_Dizzy-280.png; posX: -0.05635259; posY: 0.01360875}
{file: DummyFemale_Loop_Able_Dizzy-281.png; posX: -0.05755401; posY: 0.01341182}
{file: DummyFemale_Loop_Able_Dizzy-282.png; posX: -0.0580835; posY: 0.01317847}
{file: DummyFemale_Loop_Able_Dizzy-283.png; posX: -0.057852; posY: 0.01291102}
{file: DummyFemale_Loop_Able_Dizzy-284.png; posX: -0.05677044; posY: 0.01261151}
{file: DummyFemale_Loop_Able_Dizzy-285.png; posX: -0.05458325; posY: 0.01228219}
{file: DummyFemale_Loop_Able_Dizzy-286.png; posX: -0.05120619; posY: 0.01192516}
{file: DummyFemale_Loop_Able_Dizzy-287.png; posX: -0.04680776; posY: 0.01154262}
{file: DummyFemale_Loop_Able_Dizzy-288.png; posX: -0.04155603; posY: 0.01113665}
{file: DummyFemale_Loop_Able_Dizzy-289.png; posX: -0.03561961; posY: 0.01070952}
