{file: Devana_Extra_Idle-0.png; pivotX: 333.2469; pivotY: 525.9274}
{file: Devana_Extra_Idle-30.png; pivotX: 338.1084; pivotY: 524.7331}
{file: Devana_Extra_Idle-31.png; pivotX: 335.1135; pivotY: 523.7522}
{file: Devana_Extra_Idle-32.png; pivotX: 332.1234; pivotY: 522.766}
{file: Devana_Extra_Idle-33.png; pivotX: 329.1356; pivotY: 521.7761}
{file: Devana_Extra_Idle-34.png; pivotX: 326.1474; pivotY: 520.7838}
{file: Devana_Extra_Idle-35.png; pivotX: 323.1562; pivotY: 519.7909}
{file: Devana_Extra_Idle-36.png; pivotX: 320.1591; pivotY: 518.7978}
{file: Devana_Extra_Idle-37.png; pivotX: 317.1537; pivotY: 517.8049}
{file: Devana_Extra_Idle-38.png; pivotX: 314.1369; pivotY: 516.8145}
{file: Devana_Extra_Idle-39.png; pivotX: 311.1062; pivotY: 515.8286}
{file: Devana_Extra_Idle-40.png; pivotX: 308.0586; pivotY: 514.8493}
{file: Devana_Extra_Idle-41.png; pivotX: 305.4915; pivotY: 513.8774}
{file: Devana_Extra_Idle-42.png; pivotX: 302.4019; pivotY: 512.9135}
{file: Devana_Extra_Idle-43.png; pivotX: 300.2872; pivotY: 511.9593}
{file: Devana_Extra_Idle-44.png; pivotX: 297.6444; pivotY: 511.0179}
{file: Devana_Extra_Idle-45.png; pivotX: 295.4966; pivotY: 510.8436}
{file: Devana_Extra_Idle-46.png; pivotX: 293.2899; pivotY: 509.9336}
{file: Devana_Extra_Idle-47.png; pivotX: 291.5471; pivotY: 509.0424}
{file: Devana_Extra_Idle-48.png; pivotX: 289.7923; pivotY: 508.9241}
{file: Devana_Extra_Idle-49.png; pivotX: 288.4966; pivotY: 508.8286}
{file: Devana_Extra_Idle-50.png; pivotX: 287.1438; pivotY: 507.9982}
{file: Devana_Extra_Idle-51.png; pivotX: 286.303; pivotY: 507.929}
{file: Devana_Extra_Idle-52.png; pivotX: 285.4471; pivotY: 507.8698}
{file: Devana_Extra_Idle-53.png; pivotX: 284.5487; pivotY: 507.0691}
{file: Devana_Extra_Idle-54.png; pivotX: 283.6646; pivotY: 507.0303}
{file: Devana_Extra_Idle-55.png; pivotX: 282.7671; pivotY: 507.001}
{file: Devana_Extra_Idle-56.png; pivotX: 282.3571; pivotY: 506.981}
{file: Devana_Extra_Idle-57.png; pivotX: 281.9352; pivotY: 506.9699}
{file: Devana_Extra_Idle-58.png; pivotX: 281.0019; pivotY: 506.9669}
{file: Devana_Extra_Idle-59.png; pivotX: 280.5581; pivotY: 506.9715}
{file: Devana_Extra_Idle-60.png; pivotX: 280.6044; pivotY: 506.9827}
{file: Devana_Extra_Idle-61.png; pivotX: 280.1416; pivotY: 506.9999}
{file: Devana_Extra_Idle-62.png; pivotX: 279.6701; pivotY: 507.0225}
{file: Devana_Extra_Idle-63.png; pivotX: 279.691; pivotY: 507.0497}
{file: Devana_Extra_Idle-64.png; pivotX: 279.7338; pivotY: 507.8319}
{file: Devana_Extra_Idle-65.png; pivotX: 279.2411; pivotY: 507.8666}
{file: Devana_Extra_Idle-66.png; pivotX: 279.2425; pivotY: 507.9039}
{file: Devana_Extra_Idle-67.png; pivotX: 279.2389; pivotY: 507.9413}
{file: Devana_Extra_Idle-68.png; pivotX: 279.2307; pivotY: 507.9799}
{file: Devana_Extra_Idle-69.png; pivotX: 279.2186; pivotY: 508.0214}
{file: Devana_Extra_Idle-70.png; pivotX: 279.2031; pivotY: 508.0639}
{file: Devana_Extra_Idle-71.png; pivotX: 279.714; pivotY: 508.8593}
{file: Devana_Extra_Idle-72.png; pivotX: 279.6935; pivotY: 508.9044}
{file: Devana_Extra_Idle-73.png; pivotX: 279.6715; pivotY: 508.9509}
{file: Devana_Extra_Idle-74.png; pivotX: 279.6486; pivotY: 508.9987}
{file: Devana_Extra_Idle-75.png; pivotX: 280.1253; pivotY: 509.0482}
{file: Devana_Extra_Idle-76.png; pivotX: 280.1314; pivotY: 509.8506}
{file: Devana_Extra_Idle-77.png; pivotX: 280.1094; pivotY: 509.9017}
{file: Devana_Extra_Idle-78.png; pivotX: 280.0889; pivotY: 509.953}
{file: Devana_Extra_Idle-79.png; pivotX: 280.0705; pivotY: 510.0044}
{file: Devana_Extra_Idle-80.png; pivotX: 280.0838; pivotY: 510.808}
{file: Devana_Extra_Idle-81.png; pivotX: 280.0715; pivotY: 510.8588}
{file: Devana_Extra_Idle-82.png; pivotX: 280.0633; pivotY: 510.9092}
{file: Devana_Extra_Idle-83.png; pivotX: 280.0596; pivotY: 510.9586}
{file: Devana_Extra_Idle-84.png; pivotX: 280.061; pivotY: 511.007}
{file: Devana_Extra_Idle-85.png; pivotX: 280.097; pivotY: 511.8069}
{file: Devana_Extra_Idle-86.png; pivotX: 279.6105; pivotY: 511.853}
{file: Devana_Extra_Idle-87.png; pivotX: 279.6309; pivotY: 511.8977}
{file: Devana_Extra_Idle-88.png; pivotX: 279.1592; pivotY: 511.9414}
{file: Devana_Extra_Idle-89.png; pivotX: 279.195; pivotY: 511.9855}
{file: Devana_Extra_Idle-90.png; pivotX: 278.7372; pivotY: 512.0305}
{file: Devana_Extra_Idle-91.png; pivotX: 278.3136; pivotY: 512.8287}
{file: Devana_Extra_Idle-92.png; pivotX: 277.8652; pivotY: 512.8745}
{file: Devana_Extra_Idle-93.png; pivotX: 277.4197; pivotY: 512.9207}
{file: Devana_Extra_Idle-94.png; pivotX: 276.476; pivotY: 512.9675}
{file: Devana_Extra_Idle-95.png; pivotX: 276.0329; pivotY: 513.0147}
{file: Devana_Extra_Idle-96.png; pivotX: 275.6189; pivotY: 513.8158}
{file: Devana_Extra_Idle-97.png; pivotX: 275.1738; pivotY: 513.864}
{file: Devana_Extra_Idle-98.png; pivotX: 274.7261; pivotY: 513.9126}
{file: Devana_Extra_Idle-99.png; pivotX: 274.2746; pivotY: 513.9615}
{file: Devana_Extra_Idle-100.png; pivotX: 273.8183; pivotY: 514.0109}
{file: Devana_Extra_Idle-101.png; pivotX: 273.3857; pivotY: 514.8141}
{file: Devana_Extra_Idle-102.png; pivotX: 272.9164; pivotY: 514.864}
{file: Devana_Extra_Idle-103.png; pivotX: 272.4389; pivotY: 514.914}
{file: Devana_Extra_Idle-104.png; pivotX: 272.4522; pivotY: 514.9641}
{file: Devana_Extra_Idle-105.png; pivotX: 272.4552; pivotY: 515.0142}
{file: Devana_Extra_Idle-106.png; pivotX: 272.4769; pivotY: 515.8184}
{file: Devana_Extra_Idle-107.png; pivotX: 272.4562; pivotY: 515.8682}
{file: Devana_Extra_Idle-108.png; pivotX: 272.4219; pivotY: 515.9172}
{file: Devana_Extra_Idle-109.png; pivotX: 272.8731; pivotY: 515.9659}
{file: Devana_Extra_Idle-110.png; pivotX: 273.3224; pivotY: 516.7693}
{file: Devana_Extra_Idle-111.png; pivotX: 274.1964; pivotY: 516.8188}
{file: Devana_Extra_Idle-112.png; pivotX: 275.5279; pivotY: 516.8688}
{file: Devana_Extra_Idle-113.png; pivotX: 276.8199; pivotY: 516.9191}
{file: Devana_Extra_Idle-114.png; pivotX: 278.5761; pivotY: 516.9699}
{file: Devana_Extra_Idle-115.png; pivotX: 280.8273; pivotY: 517.7756}
{file: Devana_Extra_Idle-116.png; pivotX: 283.0202; pivotY: 517.8267}
{file: Devana_Extra_Idle-117.png; pivotX: 285.6862; pivotY: 517.8778}
{file: Devana_Extra_Idle-118.png; pivotX: 288.3287; pivotY: 517.9288}
{file: Devana_Extra_Idle-119.png; pivotX: 290.9508; pivotY: 517.9795}
{file: Devana_Extra_Idle-120.png; pivotX: 293.5815; pivotY: 518.7851}
{file: Devana_Extra_Idle-121.png; pivotX: 296.6722; pivotY: 518.8352}
{file: Devana_Extra_Idle-122.png; pivotX: 299.7525; pivotY: 518.8849}
{file: Devana_Extra_Idle-123.png; pivotX: 302.326; pivotY: 518.934}
{file: Devana_Extra_Idle-124.png; pivotX: 305.3959; pivotY: 518.9825}
{file: Devana_Extra_Idle-125.png; pivotX: 308.4884; pivotY: 519.7859}
{file: Devana_Extra_Idle-126.png; pivotX: 311.0616; pivotY: 519.8332}
{file: Devana_Extra_Idle-127.png; pivotX: 313.6421; pivotY: 519.8798}
{file: Devana_Extra_Idle-128.png; pivotX: 316.2336; pivotY: 519.9256}
{file: Devana_Extra_Idle-129.png; pivotX: 318.8399; pivotY: 519.9708}
{file: Devana_Extra_Idle-130.png; pivotX: 321.484; pivotY: 520.771}
{file: Devana_Extra_Idle-131.png; pivotX: 323.6302; pivotY: 520.8148}
{file: Devana_Extra_Idle-132.png; pivotX: 325.3025; pivotY: 520.8578}
{file: Devana_Extra_Idle-133.png; pivotX: 327.0042; pivotY: 520.9001}
{file: Devana_Extra_Idle-134.png; pivotX: 328.7394; pivotY: 520.9417}
{file: Devana_Extra_Idle-135.png; pivotX: 330.029; pivotY: 521.7388}
{file: Devana_Extra_Idle-136.png; pivotX: 330.8389; pivotY: 521.779}
{file: Devana_Extra_Idle-137.png; pivotX: 331.6843; pivotY: 521.8185}
{file: Devana_Extra_Idle-138.png; pivotX: 332.5629; pivotY: 521.8574}
{file: Devana_Extra_Idle-139.png; pivotX: 332.973; pivotY: 521.8959}
{file: Devana_Extra_Idle-140.png; pivotX: 333.4121; pivotY: 521.9338}
{file: Devana_Extra_Idle-141.png; pivotX: 333.3947; pivotY: 522.7277}
{file: Devana_Extra_Idle-142.png; pivotX: 333.3856; pivotY: 522.7648}
{file: Devana_Extra_Idle-143.png; pivotX: 333.3991; pivotY: 522.8013}
{file: Devana_Extra_Idle-144.png; pivotX: 332.9332; pivotY: 522.8372}
{file: Devana_Extra_Idle-145.png; pivotX: 332.9855; pivotY: 522.8725}
{file: Devana_Extra_Idle-146.png; pivotX: 332.554; pivotY: 522.9072}
{file: Devana_Extra_Idle-147.png; pivotX: 331.6366; pivotY: 522.9412}
{file: Devana_Extra_Idle-148.png; pivotX: 331.248; pivotY: 523.7317}
{file: Devana_Extra_Idle-149.png; pivotX: 330.3522; pivotY: 523.7647}
{file: Devana_Extra_Idle-150.png; pivotX: 329.964; pivotY: 523.7972}
{file: Devana_Extra_Idle-151.png; pivotX: 329.0812; pivotY: 523.8296}
{file: Devana_Extra_Idle-152.png; pivotX: 328.2016; pivotY: 523.8615}
{file: Devana_Extra_Idle-153.png; pivotX: 327.3232; pivotY: 523.8934}
{file: Devana_Extra_Idle-154.png; pivotX: 326.944; pivotY: 523.9251}
{file: Devana_Extra_Idle-155.png; pivotX: 326.0799; pivotY: 524.7139}
{file: Devana_Extra_Idle-156.png; pivotX: 325.1926; pivotY: 524.7456}
{file: Devana_Extra_Idle-157.png; pivotX: 324.2982; pivotY: 524.7775}
{file: Devana_Extra_Idle-158.png; pivotX: 323.8946; pivotY: 524.8097}
{file: Devana_Extra_Idle-159.png; pivotX: 323.4797; pivotY: 524.8424}
{file: Devana_Extra_Idle-160.png; pivotX: 322.5516; pivotY: 524.8754}
{file: Devana_Extra_Idle-161.png; pivotX: 322.1082; pivotY: 524.9082}
{file: Devana_Extra_Idle-162.png; pivotX: 322.1475; pivotY: 524.941}
{file: Devana_Extra_Idle-163.png; pivotX: 321.6866; pivotY: 525.7312}
{file: Devana_Extra_Idle-164.png; pivotX: 321.6852; pivotY: 525.7636}
{file: Devana_Extra_Idle-165.png; pivotX: 322.1608; pivotY: 525.7955}
{file: Devana_Extra_Idle-166.png; pivotX: 322.1107; pivotY: 525.827}
{file: Devana_Extra_Idle-167.png; pivotX: 323.4491; pivotY: 525.8527}
{file: Devana_Extra_Idle-168.png; pivotX: 325.1329; pivotY: 525.8691}
{file: Devana_Extra_Idle-169.png; pivotX: 327.7258; pivotY: 525.8785}
{file: Devana_Extra_Idle-170.png; pivotX: 330.2915; pivotY: 525.883}
{file: Devana_Extra_Idle-171.png; pivotX: 332.8952; pivotY: 525.8846}
{file: Devana_Extra_Idle-172.png; pivotX: 334.6024; pivotY: 525.8854}
{file: Devana_Extra_Idle-173.png; pivotX: 335.8904; pivotY: 525.8864}
{file: Devana_Extra_Idle-174.png; pivotX: 337.1927; pivotY: 525.8868}
{file: Devana_Extra_Idle-175.png; pivotX: 338.0109; pivotY: 525.8868}
{file: Devana_Extra_Idle-176.png; pivotX: 339.3461; pivotY: 525.8868}
{file: Devana_Extra_Idle-177.png; pivotX: 339.6996; pivotY: 525.8871}
{file: Devana_Extra_Idle-178.png; pivotX: 340.5729; pivotY: 525.8875}
{file: Devana_Extra_Idle-179.png; pivotX: 341.4668; pivotY: 525.8877}
{file: Devana_Extra_Idle-180.png; pivotX: 341.8832; pivotY: 525.8881}
{file: Devana_Extra_Idle-181.png; pivotX: 342.3229; pivotY: 525.8885}
{file: Devana_Extra_Idle-182.png; pivotX: 342.2874; pivotY: 525.8889}
{file: Devana_Extra_Idle-183.png; pivotX: 342.2778; pivotY: 525.8892}
{file: Devana_Extra_Idle-184.png; pivotX: 342.2956; pivotY: 525.8893}
{file: Devana_Extra_Idle-185.png; pivotX: 341.8418; pivotY: 525.8894}
{file: Devana_Extra_Idle-186.png; pivotX: 341.4176; pivotY: 525.8893}
{file: Devana_Extra_Idle-187.png; pivotX: 341.0244; pivotY: 525.889}
{file: Devana_Extra_Idle-188.png; pivotX: 340.1632; pivotY: 525.8885}
{file: Devana_Extra_Idle-189.png; pivotX: 339.3352; pivotY: 525.8879}
{file: Devana_Extra_Idle-190.png; pivotX: 338.0416; pivotY: 525.8868}
{file: Devana_Extra_Idle-191.png; pivotX: 336.7833; pivotY: 525.8856}
{file: Devana_Extra_Idle-192.png; pivotX: 335.0444; pivotY: 525.884}
{file: Devana_Extra_Idle-193.png; pivotX: 333.3067; pivotY: 525.8816}
{file: Devana_Extra_Idle-194.png; pivotX: 332.0687; pivotY: 525.8785}
{file: Devana_Extra_Idle-195.png; pivotX: 330.3286; pivotY: 525.875}
{file: Devana_Extra_Idle-196.png; pivotX: 328.5846; pivotY: 525.8708}
{file: Devana_Extra_Idle-197.png; pivotX: 327.3351; pivotY: 525.866}
{file: Devana_Extra_Idle-198.png; pivotX: 325.5783; pivotY: 525.8606}
{file: Devana_Extra_Idle-199.png; pivotX: 323.8129; pivotY: 525.8547}
{file: Devana_Extra_Idle-200.png; pivotX: 322.5368; pivotY: 525.8481}
{file: Devana_Extra_Idle-201.png; pivotX: 321.2488; pivotY: 525.8411}
{file: Devana_Extra_Idle-202.png; pivotX: 319.9468; pivotY: 525.8336}
{file: Devana_Extra_Idle-203.png; pivotX: 318.6295; pivotY: 525.8253}
{file: Devana_Extra_Idle-204.png; pivotX: 317.7951; pivotY: 525.8165}
{file: Devana_Extra_Idle-205.png; pivotX: 316.4422; pivotY: 525.8072}
{file: Devana_Extra_Idle-206.png; pivotX: 315.5691; pivotY: 525.7974}
{file: Devana_Extra_Idle-207.png; pivotX: 315.1741; pivotY: 525.7874}
{file: Devana_Extra_Idle-208.png; pivotX: 314.2557; pivotY: 525.777}
{file: Devana_Extra_Idle-209.png; pivotX: 314.3122; pivotY: 525.7667}
{file: Devana_Extra_Idle-210.png; pivotX: 313.8419; pivotY: 525.7562}
{file: Devana_Extra_Idle-211.png; pivotX: 313.8433; pivotY: 525.7459}
{file: Devana_Extra_Idle-212.png; pivotX: 314.3145; pivotY: 525.7359}
{file: Devana_Extra_Idle-213.png; pivotX: 314.7539; pivotY: 525.7263}
{file: Devana_Extra_Idle-214.png; pivotX: 315.1688; pivotY: 525.7173}
{file: Devana_Extra_Idle-215.png; pivotX: 315.5683; pivotY: 525.7089}
{file: Devana_Extra_Idle-216.png; pivotX: 316.4336; pivotY: 524.9439}
{file: Devana_Extra_Idle-217.png; pivotX: 317.306; pivotY: 524.9373}
{file: Devana_Extra_Idle-218.png; pivotX: 318.1668; pivotY: 524.9316}
{file: Devana_Extra_Idle-219.png; pivotX: 319.5169; pivotY: 524.9268}
{file: Devana_Extra_Idle-220.png; pivotX: 320.3577; pivotY: 524.923}
{file: Devana_Extra_Idle-221.png; pivotX: 321.6903; pivotY: 524.9202}
{file: Devana_Extra_Idle-222.png; pivotX: 322.5159; pivotY: 524.9183}
{file: Devana_Extra_Idle-223.png; pivotX: 323.8358; pivotY: 524.9176}
{file: Devana_Extra_Idle-224.png; pivotX: 325.1512; pivotY: 524.9181}
{file: Devana_Extra_Idle-225.png; pivotX: 325.9633; pivotY: 524.9197}
{file: Devana_Extra_Idle-226.png; pivotX: 327.2735; pivotY: 524.9225}
{file: Devana_Extra_Idle-227.png; pivotX: 328.5829; pivotY: 524.9263}
{file: Devana_Extra_Idle-228.png; pivotX: 329.8929; pivotY: 524.9309}
{file: Devana_Extra_Idle-229.png; pivotX: 330.7047; pivotY: 524.9363}
{file: Devana_Extra_Idle-230.png; pivotX: 332.0195; pivotY: 524.9423}
{file: Devana_Extra_Idle-231.png; pivotX: 333.3389; pivotY: 524.9489}
{file: Devana_Extra_Idle-232.png; pivotX: 334.18; pivotY: 525.7133}
{file: Devana_Extra_Idle-233.png; pivotX: 335.0117; pivotY: 525.7205}
{file: Devana_Extra_Idle-234.png; pivotX: 335.8518; pivotY: 525.7277}
{file: Devana_Extra_Idle-235.png; pivotX: 336.7015; pivotY: 525.7348}
{file: Devana_Extra_Idle-236.png; pivotX: 337.5622; pivotY: 525.7419}
{file: Devana_Extra_Idle-237.png; pivotX: 338.4352; pivotY: 525.7487}
{file: Devana_Extra_Idle-238.png; pivotX: 338.8334; pivotY: 525.7491}
{file: Devana_Extra_Idle-239.png; pivotX: 339.2668; pivotY: 525.7382}
{file: Devana_Extra_Idle-240.png; pivotX: 339.2319; pivotY: 525.7169}
{file: Devana_Extra_Idle-241.png; pivotX: 338.7104; pivotY: 524.9292}
{file: Devana_Extra_Idle-242.png; pivotX: 338.2281; pivotY: 524.8924}
{file: Devana_Extra_Idle-243.png; pivotX: 337.7671; pivotY: 524.8494}
{file: Devana_Extra_Idle-244.png; pivotX: 336.8237; pivotY: 524.7999}
{file: Devana_Extra_Idle-245.png; pivotX: 335.8943; pivotY: 524.7457}
{file: Devana_Extra_Idle-246.png; pivotX: 334.9604; pivotY: 523.9312}
{file: Devana_Extra_Idle-247.png; pivotX: 334.0482; pivotY: 523.8721}
{file: Devana_Extra_Idle-248.png; pivotX: 333.1395; pivotY: 523.8132}
{file: Devana_Extra_Idle-249.png; pivotX: 331.7308; pivotY: 523.7556}
{file: Devana_Extra_Idle-250.png; pivotX: 330.8027; pivotY: 522.944}
{file: Devana_Extra_Idle-251.png; pivotX: 329.8829; pivotY: 522.8934}
{file: Devana_Extra_Idle-252.png; pivotX: 328.9524; pivotY: 522.8483}
{file: Devana_Extra_Idle-253.png; pivotX: 328.0076; pivotY: 522.81}
{file: Devana_Extra_Idle-254.png; pivotX: 327.0544; pivotY: 522.7781}
{file: Devana_Extra_Idle-255.png; pivotX: 326.6007; pivotY: 522.7459}
{file: Devana_Extra_Idle-256.png; pivotX: 325.6302; pivotY: 521.953}
{file: Devana_Extra_Idle-257.png; pivotX: 324.6748; pivotY: 521.9133}
{file: Devana_Extra_Idle-258.png; pivotX: 324.2181; pivotY: 521.8719}
{file: Devana_Extra_Idle-259.png; pivotX: 323.26; pivotY: 521.83}
{file: Devana_Extra_Idle-260.png; pivotX: 322.8004; pivotY: 521.7886}
{file: Devana_Extra_Idle-261.png; pivotX: 321.8387; pivotY: 521.7491}
{file: Devana_Extra_Idle-262.png; pivotX: 321.375; pivotY: 521.713}
{file: Devana_Extra_Idle-263.png; pivotX: 320.9088; pivotY: 521.6814}
{file: Devana_Extra_Idle-264.png; pivotX: 320.4402; pivotY: 521.6557}
{file: Devana_Extra_Idle-265.png; pivotX: 319.9686; pivotY: 521.6373}
{file: Devana_Extra_Idle-266.png; pivotX: 319.994; pivotY: 521.6277}
{file: Devana_Extra_Idle-267.png; pivotX: 319.5161; pivotY: 521.6281}
{file: Devana_Extra_Idle-268.png; pivotX: 319.5347; pivotY: 521.6403}
{file: Devana_Extra_Idle-269.png; pivotX: 319.5497; pivotY: 521.6654}
{file: Devana_Extra_Idle-270.png; pivotX: 319.5607; pivotY: 521.7053}
{file: Devana_Extra_Idle-271.png; pivotX: 319.5674; pivotY: 521.7612}
{file: Devana_Extra_Idle-272.png; pivotX: 320.0695; pivotY: 521.8231}
{file: Devana_Extra_Idle-273.png; pivotX: 320.5664; pivotY: 521.8773}
{file: Devana_Extra_Idle-274.png; pivotX: 321.0576; pivotY: 521.92}
{file: Devana_Extra_Idle-275.png; pivotX: 321.5597; pivotY: 522.7183}
{file: Devana_Extra_Idle-276.png; pivotX: 322.5386; pivotY: 522.7727}
{file: Devana_Extra_Idle-277.png; pivotX: 323.5109; pivotY: 522.8407}
{file: Devana_Extra_Idle-278.png; pivotX: 324.4763; pivotY: 522.9233}
{file: Devana_Extra_Idle-279.png; pivotX: 325.9508; pivotY: 523.7792}
{file: Devana_Extra_Idle-280.png; pivotX: 327.401; pivotY: 523.8958}
{file: Devana_Extra_Idle-281.png; pivotX: 328.8687; pivotY: 524.7667}
{file: Devana_Extra_Idle-282.png; pivotX: 329.8293; pivotY: 524.8586}
{file: Devana_Extra_Idle-283.png; pivotX: 330.7982; pivotY: 524.9313}
{file: Devana_Extra_Idle-284.png; pivotX: 331.7906; pivotY: 525.7445}
{file: Devana_Extra_Idle-285.png; pivotX: 332.2731; pivotY: 525.7915}
{file: Devana_Extra_Idle-286.png; pivotX: 332.7607; pivotY: 525.8333}
{file: Devana_Extra_Idle-287.png; pivotX: 333.2525; pivotY: 525.8676}
{file: Devana_Extra_Idle-288.png; pivotX: 333.2479; pivotY: 525.895}
{file: Devana_Extra_Idle-289.png; pivotX: 333.2463; pivotY: 525.9158}
