{file: DummyFemale_Death-0.png; posX: 0; posY: 0}
{file: DummyFemale_Death-117.png; posX: 0.4843524; posY: -0.4309652}
{file: DummyFemale_Death-118.png; posX: 0.5134473; posY: -0.4544492}
{file: DummyFemale_Death-119.png; posX: 0.5433627; posY: -0.4787881}
{file: DummyFemale_Death-120.png; posX: 0.5738134; posY: -0.5033185}
{file: DummyFemale_Death-121.png; posX: 0.6045154; posY: -0.5273783}
{file: DummyFemale_Death-122.png; posX: 0.6351826; posY: -0.5503036}
{file: DummyFemale_Death-123.png; posX: 0.6655308; posY: -0.5714316}
{file: DummyFemale_Death-124.png; posX: 0.6952748; posY: -0.5900995}
{file: DummyFemale_Death-125.png; posX: 0.7248206; posY: -0.6056443}
{file: DummyFemale_Death-126.png; posX: 0.7379014; posY: -0.6177289}
{file: DummyFemale_Death-127.png; posX: 0.7427371; posY: -0.6267643}
{file: DummyFemale_Death-128.png; posX: 0.7461564; posY: -0.633209}
{file: DummyFemale_Death-129.png; posX: 0.751063; posY: -0.6375217}
{file: DummyFemale_Death-130.png; posX: 0.7558081; posY: -0.6401609}
{file: DummyFemale_Death-131.png; posX: 0.7603912; posY: -0.6415852}
{file: DummyFemale_Death-132.png; posX: 0.7648119; posY: -0.6422531}
{file: DummyFemale_Death-133.png; posX: 0.76907; posY: -0.6424396}
{file: DummyFemale_Death-134.png; posX: 0.7731651; posY: -0.6421981}
{file: DummyFemale_Death-135.png; posX: 0.7770967; posY: -0.6416546}
{file: DummyFemale_Death-136.png; posX: 0.7808646; posY: -0.6409352}
{file: DummyFemale_Death-137.png; posX: 0.7844682; posY: -0.6401659}
{file: DummyFemale_Death-138.png; posX: 0.7879074; posY: -0.639473}
{file: DummyFemale_Death-139.png; posX: 0.7911817; posY: -0.6389823}
{file: DummyFemale_Death-140.png; posX: 0.7942907; posY: -0.6388201}
{file: DummyFemale_Death-141.png; posX: 0.7972341; posY: -0.638862}
{file: DummyFemale_Death-142.png; posX: 0.8000114; posY: -0.6388997}
{file: DummyFemale_Death-143.png; posX: 0.8026224; posY: -0.6389335}
{file: DummyFemale_Death-144.png; posX: 0.8050668; posY: -0.6389637}
{file: DummyFemale_Death-145.png; posX: 0.807344; posY: -0.6389903}
{file: DummyFemale_Death-146.png; posX: 0.8094537; posY: -0.6390136}
{file: DummyFemale_Death-147.png; posX: 0.8113956; posY: -0.639034}
{file: DummyFemale_Death-148.png; posX: 0.8131693; posY: -0.6390515}
{file: DummyFemale_Death-149.png; posX: 0.8147745; posY: -0.6390663}
{file: DummyFemale_Death-150.png; posX: 0.8162106; posY: -0.6390789}
{file: DummyFemale_Death-151.png; posX: 0.8174776; posY: -0.6390891}
{file: DummyFemale_Death-152.png; posX: 0.8185748; posY: -0.6390975}
{file: DummyFemale_Death-153.png; posX: 0.819502; posY: -0.6391041}
{file: DummyFemale_Death-154.png; posX: 0.8202588; posY: -0.6391091}
{file: DummyFemale_Death-155.png; posX: 0.8208448; posY: -0.6391129}
{file: DummyFemale_Death-156.png; posX: 0.8212597; posY: -0.6391156}
{file: DummyFemale_Death-157.png; posX: 0.8215031; posY: -0.6391174}
{file: DummyFemale_Death-158.png; posX: 0.8215746; posY: -0.6391186}
{file: DummyFemale_Death-159.png; posX: 0.8215339; posY: -0.6391193}
{file: DummyFemale_Death-160.png; posX: 0.8214476; posY: -0.6391197}
{file: DummyFemale_Death-161.png; posX: 0.8213257; posY: -0.6391202}
{file: DummyFemale_Death-162.png; posX: 0.8211781; posY: -0.6391209}
{file: DummyFemale_Death-163.png; posX: 0.8210149; posY: -0.6391221}
{file: DummyFemale_Death-164.png; posX: 0.8208462; posY: -0.6391239}
{file: DummyFemale_Death-165.png; posX: 0.820682; posY: -0.6391266}
{file: DummyFemale_Death-166.png; posX: 0.8205322; posY: -0.6391304}
{file: DummyFemale_Death-167.png; posX: 0.8204069; posY: -0.6391355}
{file: DummyFemale_Death-168.png; posX: 0.8203161; posY: -0.6391421}
{file: DummyFemale_Death-169.png; posX: 0.8202699; posY: -0.6391504}
