{file: DummyFemale_Idle-0.png; pivotX: 91.96578; pivotY: 313.7614}
{file: DummyFemale_Idle-50.png; pivotX: 97.61974; pivotY: 310.7683}
{file: DummyFemale_Idle-51.png; pivotX: 97.42394; pivotY: 310.7604}
{file: DummyFemale_Idle-52.png; pivotX: 96.71657; pivotY: 310.752}
{file: DummyFemale_Idle-53.png; pivotX: 96.4983; pivotY: 309.773}
{file: DummyFemale_Idle-54.png; pivotX: 96.27303; pivotY: 309.7699}
{file: DummyFemale_Idle-55.png; pivotX: 96.04106; pivotY: 309.7617}
{file: DummyFemale_Idle-56.png; pivotX: 95.80112; pivotY: 309.7541}
{file: DummyFemale_Idle-57.png; pivotX: 95.55797; pivotY: 308.7809}
{file: DummyFemale_Idle-58.png; pivotX: 95.30854; pivotY: 308.7729}
{file: DummyFemale_Idle-59.png; pivotX: 95.05743; pivotY: 308.7659}
{file: DummyFemale_Idle-60.png; pivotX: 94.80174; pivotY: 308.7577}
{file: DummyFemale_Idle-61.png; pivotX: 94.0168; pivotY: 308.7495}
{file: DummyFemale_Idle-62.png; pivotX: 93.73902; pivotY: 307.7778}
{file: DummyFemale_Idle-63.png; pivotX: 93.45803; pivotY: 307.7706}
{file: DummyFemale_Idle-64.png; pivotX: 93.17827; pivotY: 307.7627}
{file: DummyFemale_Idle-65.png; pivotX: 92.90108; pivotY: 307.7559}
{file: DummyFemale_Idle-66.png; pivotX: 92.13987; pivotY: 306.7827}
{file: DummyFemale_Idle-67.png; pivotX: 91.87439; pivotY: 306.7756}
{file: DummyFemale_Idle-68.png; pivotX: 91.61713; pivotY: 306.7693}
{file: DummyFemale_Idle-69.png; pivotX: 91.36381; pivotY: 306.7628}
{file: DummyFemale_Idle-70.png; pivotX: 90.6209; pivotY: 306.7563}
{file: DummyFemale_Idle-71.png; pivotX: 90.40073; pivotY: 305.7854}
{file: DummyFemale_Idle-72.png; pivotX: 90.17773; pivotY: 305.7797}
{file: DummyFemale_Idle-73.png; pivotX: 89.96958; pivotY: 305.7741}
{file: DummyFemale_Idle-74.png; pivotX: 89.7731; pivotY: 305.7686}
{file: DummyFemale_Idle-75.png; pivotX: 89.59219; pivotY: 305.7637}
{file: DummyFemale_Idle-76.png; pivotX: 88.92385; pivotY: 305.759}
{file: DummyFemale_Idle-77.png; pivotX: 88.79972; pivotY: 304.7911}
{file: DummyFemale_Idle-78.png; pivotX: 88.69551; pivotY: 304.7897}
{file: DummyFemale_Idle-79.png; pivotX: 88.62025; pivotY: 304.7898}
{file: DummyFemale_Idle-80.png; pivotX: 88.55727; pivotY: 305.756}
{file: DummyFemale_Idle-81.png; pivotX: 88.5354; pivotY: 305.7592}
{file: DummyFemale_Idle-82.png; pivotX: 88.53664; pivotY: 305.7632}
{file: DummyFemale_Idle-83.png; pivotX: 88.05683; pivotY: 305.7685}
{file: DummyFemale_Idle-84.png; pivotX: 88.09478; pivotY: 305.7744}
{file: DummyFemale_Idle-85.png; pivotX: 88.14254; pivotY: 305.7807}
{file: DummyFemale_Idle-86.png; pivotX: 88.20162; pivotY: 305.788}
{file: DummyFemale_Idle-87.png; pivotX: 88.25146; pivotY: 306.7597}
{file: DummyFemale_Idle-88.png; pivotX: 88.32148; pivotY: 306.7669}
{file: DummyFemale_Idle-89.png; pivotX: 88.39134; pivotY: 306.7738}
{file: DummyFemale_Idle-90.png; pivotX: 88.45924; pivotY: 306.7802}
{file: DummyFemale_Idle-91.png; pivotX: 88.53191; pivotY: 306.7863}
{file: DummyFemale_Idle-92.png; pivotX: 88.59959; pivotY: 307.7577}
{file: DummyFemale_Idle-93.png; pivotX: 88.69548; pivotY: 307.7646}
{file: DummyFemale_Idle-94.png; pivotX: 88.8014; pivotY: 307.7716}
{file: DummyFemale_Idle-95.png; pivotX: 88.91501; pivotY: 307.7799}
{file: DummyFemale_Idle-96.png; pivotX: 89.02124; pivotY: 308.7516}
{file: DummyFemale_Idle-97.png; pivotX: 89.14729; pivotY: 308.7613}
{file: DummyFemale_Idle-98.png; pivotX: 89.28029; pivotY: 308.7683}
{file: DummyFemale_Idle-99.png; pivotX: 89.40076; pivotY: 308.7766}
{file: DummyFemale_Idle-100.png; pivotX: 89.5099; pivotY: 309.7497}
{file: DummyFemale_Idle-101.png; pivotX: 89.63354; pivotY: 309.7583}
{file: DummyFemale_Idle-102.png; pivotX: 89.75628; pivotY: 309.7663}
{file: DummyFemale_Idle-103.png; pivotX: 89.87686; pivotY: 309.7744}
{file: DummyFemale_Idle-104.png; pivotX: 89.98448; pivotY: 310.7475}
{file: DummyFemale_Idle-105.png; pivotX: 90.10002; pivotY: 310.757}
{file: DummyFemale_Idle-106.png; pivotX: 90.20132; pivotY: 310.7644}
{file: DummyFemale_Idle-107.png; pivotX: 90.29157; pivotY: 310.7728}
{file: DummyFemale_Idle-108.png; pivotX: 90.37299; pivotY: 311.7454}
{file: DummyFemale_Idle-109.png; pivotX: 90.46352; pivotY: 311.7541}
{file: DummyFemale_Idle-110.png; pivotX: 90.55551; pivotY: 311.7604}
{file: DummyFemale_Idle-111.png; pivotX: 90.64787; pivotY: 311.7688}
{file: DummyFemale_Idle-112.png; pivotX: 90.7396; pivotY: 311.7752}
{file: DummyFemale_Idle-113.png; pivotX: 91.32413; pivotY: 312.7486}
{file: DummyFemale_Idle-114.png; pivotX: 91.41481; pivotY: 312.7567}
{file: DummyFemale_Idle-115.png; pivotX: 91.50753; pivotY: 312.7627}
{file: DummyFemale_Idle-116.png; pivotX: 91.60112; pivotY: 312.7686}
{file: DummyFemale_Idle-117.png; pivotX: 91.68585; pivotY: 313.7415}
{file: DummyFemale_Idle-118.png; pivotX: 91.77911; pivotY: 313.7486}
{file: DummyFemale_Idle-119.png; pivotX: 91.87165; pivotY: 313.7558}
