{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-0.png; posX: 0; posY: 0}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-23.png; posX: 0; posY: 0.0009448454}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-24.png; posX: 0; posY: 0.0009391233}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-25.png; posX: 0; posY: 0.0009310916}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-26.png; posX: 0; posY: 0.0009209588}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-27.png; posX: 0; posY: 0.0009089038}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-28.png; posX: 0; posY: 0.0008951202}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-29.png; posX: 0; posY: 0.0008798018}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-30.png; posX: 0; posY: 0.0008631498}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-31.png; posX: 0; posY: 0.0008453354}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-32.png; posX: 0; posY: 0.0008265674}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-33.png; posX: 0; posY: 0.000807032}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-34.png; posX: 0; posY: 0.0007869229}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-35.png; posX: 0; posY: 0.0007664338}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-36.png; posX: 0; posY: 0.0007457435}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-37.png; posX: 0; posY: 0.0007250607}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-38.png; posX: 0; posY: 0.0007045716}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-39.png; posX: 0; posY: 0.0006844625}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-40.png; posX: 0; posY: 0.0006649271}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-41.png; posX: 0; posY: 0.0006461665}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-42.png; posX: 0; posY: 0.0006283596}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-43.png; posX: 0; posY: 0.0006117076}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-44.png; posX: 0; posY: 0.0005963966}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-45.png; posX: 0; posY: 0.0005826205}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-46.png; posX: 0; posY: 0.0005705729}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-47.png; posX: 0; posY: 0.0005604401}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-48.png; posX: 0; posY: 0.0005524233}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-49.png; posX: 0; posY: 0.0005467013}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-50.png; posX: 0; posY: 0.0005434826}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-51.png; posX: 0; posY: 0.0005396828}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-52.png; posX: 0; posY: 0.0005322918}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-53.png; posX: 0; posY: 0.0005215406}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-54.png; posX: 0; posY: 0.0005076975}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-55.png; posX: 0; posY: 0.0004910156}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-56.png; posX: 0; posY: 0.0004717335}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-57.png; posX: 0; posY: 0.0004501194}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-58.png; posX: 0; posY: 0.0004264191}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-59.png; posX: 0; posY: 0.0004008785}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-60.png; posX: 0; posY: 0.0003737658}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-61.png; posX: 0; posY: 0.0003453195}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-62.png; posX: 0; posY: 0.0003158078}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-63.png; posX: 0; posY: 0.0002854615}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-64.png; posX: 0; posY: 0.0002545491}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-65.png; posX: 0; posY: 0.0002233237}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-66.png; posX: 0; posY: 0.0001920313}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-67.png; posX: 0; posY: 0.0001609251}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-68.png; posX: 0; posY: 0.0001302585}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-69.png; posX: 0; posY: 0.0001002923}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-70.png; posX: 0; posY: 7.12648E-05}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-71.png; posX: 0; posY: 4.343688E-05}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-72.png; posX: 0; posY: 1.706183E-05}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-73.png; posX: 0; posY: -7.607043E-06}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-74.png; posX: 0; posY: -3.032386E-05}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-75.png; posX: 0; posY: -5.083531E-05}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-76.png; posX: 0; posY: -6.888062E-05}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-77.png; posX: 0; posY: -8.420646E-05}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-78.png; posX: 0; posY: -9.657443E-05}
{file: DummyFemale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-79.png; posX: 0; posY: -0.0001057163}
