{file: DummyFemale_Block_Loop-0.png; pivotX: 361.4353; pivotY: 532.7532}
{file: DummyFemale_Block_Loop-55.png; pivotX: 361.4377; pivotY: 533.767}
{file: DummyFemale_Block_Loop-56.png; pivotX: 361.4303; pivotY: 533.7252}
{file: DummyFemale_Block_Loop-57.png; pivotX: 361.4217; pivotY: 533.6776}
{file: DummyFemale_Block_Loop-58.png; pivotX: 361.4552; pivotY: 532.8644}
{file: DummyFemale_Block_Loop-59.png; pivotX: 361.445; pivotY: 532.8072}
{file: DummyFemale_Block_Loop-60.png; pivotX: 361.4341; pivotY: 532.7463}
{file: DummyFemale_Block_Loop-61.png; pivotX: 361.4227; pivotY: 532.6827}
{file: DummyFemale_Block_Loop-62.png; pivotX: 361.4539; pivotY: 531.8573}
{file: DummyFemale_Block_Loop-63.png; pivotX: 361.442; pivotY: 531.7904}
{file: DummyFemale_Block_Loop-64.png; pivotX: 361.43; pivotY: 531.7233}
{file: DummyFemale_Block_Loop-65.png; pivotX: 361.4608; pivotY: 530.8969}
{file: DummyFemale_Block_Loop-66.png; pivotX: 361.4492; pivotY: 530.8313}
{file: DummyFemale_Block_Loop-67.png; pivotX: 361.4379; pivotY: 530.7677}
{file: DummyFemale_Block_Loop-68.png; pivotX: 361.427; pivotY: 530.7068}
{file: DummyFemale_Block_Loop-69.png; pivotX: 361.4598; pivotY: 529.8904}
{file: DummyFemale_Block_Loop-70.png; pivotX: 361.4503; pivotY: 529.8375}
{file: DummyFemale_Block_Loop-71.png; pivotX: 361.4413; pivotY: 529.7867}
{file: DummyFemale_Block_Loop-72.png; pivotX: 361.432; pivotY: 529.735}
{file: DummyFemale_Block_Loop-73.png; pivotX: 361.4227; pivotY: 529.6829}
{file: DummyFemale_Block_Loop-74.png; pivotX: 361.4565; pivotY: 528.8716}
{file: DummyFemale_Block_Loop-75.png; pivotX: 361.4471; pivotY: 528.8193}
{file: DummyFemale_Block_Loop-76.png; pivotX: 361.4378; pivotY: 528.7676}
{file: DummyFemale_Block_Loop-77.png; pivotX: 361.4287; pivotY: 528.7165}
{file: DummyFemale_Block_Loop-78.png; pivotX: 361.463; pivotY: 527.908}
{file: DummyFemale_Block_Loop-79.png; pivotX: 361.4543; pivotY: 527.8594}
{file: DummyFemale_Block_Loop-80.png; pivotX: 361.4458; pivotY: 527.8124}
{file: DummyFemale_Block_Loop-81.png; pivotX: 361.4378; pivotY: 527.7675}
{file: DummyFemale_Block_Loop-82.png; pivotX: 361.4302; pivotY: 527.7246}
{file: DummyFemale_Block_Loop-83.png; pivotX: 361.4662; pivotY: 526.9264}
{file: DummyFemale_Block_Loop-84.png; pivotX: 361.4597; pivotY: 526.8892}
{file: DummyFemale_Block_Loop-85.png; pivotX: 361.4535; pivotY: 526.8552}
{file: DummyFemale_Block_Loop-86.png; pivotX: 361.4481; pivotY: 526.8248}
{file: DummyFemale_Block_Loop-87.png; pivotX: 361.4433; pivotY: 526.7983}
{file: DummyFemale_Block_Loop-88.png; pivotX: 361.4394; pivotY: 526.7759}
{file: DummyFemale_Block_Loop-89.png; pivotX: 361.436; pivotY: 526.7573}
{file: DummyFemale_Block_Loop-90.png; pivotX: 361.4333; pivotY: 526.7419}
{file: DummyFemale_Block_Loop-91.png; pivotX: 361.4311; pivotY: 526.7297}
{file: DummyFemale_Block_Loop-92.png; pivotX: 361.4294; pivotY: 526.7204}
{file: DummyFemale_Block_Loop-93.png; pivotX: 361.4283; pivotY: 526.714}
{file: DummyFemale_Block_Loop-94.png; pivotX: 361.4276; pivotY: 526.7103}
{file: DummyFemale_Block_Loop-95.png; pivotX: 361.4274; pivotY: 526.7091}
{file: DummyFemale_Block_Loop-96.png; pivotX: 361.4277; pivotY: 526.7106}
{file: DummyFemale_Block_Loop-97.png; pivotX: 361.4284; pivotY: 526.7144}
{file: DummyFemale_Block_Loop-98.png; pivotX: 361.4294; pivotY: 526.7205}
{file: DummyFemale_Block_Loop-99.png; pivotX: 361.4308; pivotY: 526.7287}
{file: DummyFemale_Block_Loop-100.png; pivotX: 361.4327; pivotY: 526.739}
{file: DummyFemale_Block_Loop-101.png; pivotX: 361.4349; pivotY: 526.7511}
{file: DummyFemale_Block_Loop-102.png; pivotX: 361.4374; pivotY: 526.765}
{file: DummyFemale_Block_Loop-103.png; pivotX: 361.4402; pivotY: 526.7806}
{file: DummyFemale_Block_Loop-104.png; pivotX: 361.4433; pivotY: 526.7979}
{file: DummyFemale_Block_Loop-105.png; pivotX: 361.4467; pivotY: 526.8165}
{file: DummyFemale_Block_Loop-106.png; pivotX: 361.4502; pivotY: 526.8364}
{file: DummyFemale_Block_Loop-107.png; pivotX: 361.4541; pivotY: 526.8586}
{file: DummyFemale_Block_Loop-108.png; pivotX: 361.4587; pivotY: 526.8842}
{file: DummyFemale_Block_Loop-109.png; pivotX: 361.4637; pivotY: 526.9126}
{file: DummyFemale_Block_Loop-110.png; pivotX: 361.4261; pivotY: 527.7019}
{file: DummyFemale_Block_Loop-111.png; pivotX: 361.4321; pivotY: 527.7356}
{file: DummyFemale_Block_Loop-112.png; pivotX: 361.4385; pivotY: 527.7714}
{file: DummyFemale_Block_Loop-113.png; pivotX: 361.4454; pivotY: 527.8092}
{file: DummyFemale_Block_Loop-114.png; pivotX: 361.4523; pivotY: 527.8485}
{file: DummyFemale_Block_Loop-115.png; pivotX: 361.4596; pivotY: 527.8892}
{file: DummyFemale_Block_Loop-116.png; pivotX: 361.4239; pivotY: 528.6895}
{file: DummyFemale_Block_Loop-117.png; pivotX: 361.4315; pivotY: 528.7321}
{file: DummyFemale_Block_Loop-118.png; pivotX: 361.4392; pivotY: 528.7753}
{file: DummyFemale_Block_Loop-119.png; pivotX: 361.447; pivotY: 528.8186}
{file: DummyFemale_Block_Loop-120.png; pivotX: 361.4547; pivotY: 528.862}
{file: DummyFemale_Block_Loop-121.png; pivotX: 361.4625; pivotY: 528.9052}
{file: DummyFemale_Block_Loop-122.png; pivotX: 361.4269; pivotY: 529.7066}
{file: DummyFemale_Block_Loop-123.png; pivotX: 361.4344; pivotY: 529.7484}
{file: DummyFemale_Block_Loop-124.png; pivotX: 361.4417; pivotY: 529.7891}
{file: DummyFemale_Block_Loop-125.png; pivotX: 361.4489; pivotY: 529.8295}
{file: DummyFemale_Block_Loop-126.png; pivotX: 361.4562; pivotY: 529.8706}
{file: DummyFemale_Block_Loop-127.png; pivotX: 361.4637; pivotY: 529.9122}
{file: DummyFemale_Block_Loop-128.png; pivotX: 361.4282; pivotY: 530.7136}
{file: DummyFemale_Block_Loop-129.png; pivotX: 361.4359; pivotY: 530.7561}
{file: DummyFemale_Block_Loop-130.png; pivotX: 361.4435; pivotY: 530.799}
{file: DummyFemale_Block_Loop-131.png; pivotX: 361.4512; pivotY: 530.8423}
{file: DummyFemale_Block_Loop-132.png; pivotX: 361.4589; pivotY: 530.8857}
{file: DummyFemale_Block_Loop-133.png; pivotX: 361.4238; pivotY: 531.6888}
{file: DummyFemale_Block_Loop-134.png; pivotX: 361.4317; pivotY: 531.7327}
{file: DummyFemale_Block_Loop-135.png; pivotX: 361.4395; pivotY: 531.7764}
{file: DummyFemale_Block_Loop-136.png; pivotX: 361.4472; pivotY: 531.8202}
{file: DummyFemale_Block_Loop-137.png; pivotX: 361.4551; pivotY: 531.8638}
{file: DummyFemale_Block_Loop-138.png; pivotX: 361.4199; pivotY: 532.6671}
{file: DummyFemale_Block_Loop-139.png; pivotX: 361.4277; pivotY: 532.7103}
