{file: Artemis_Special_3-0.png; pivotX: 332.462; pivotY: 524.8301}
{file: Artemis_Special_3-31.png; pivotX: 345.1713; pivotY: 512.9123}
{file: Artemis_Special_3-32.png; pivotX: 344.2855; pivotY: 506.0535}
{file: Artemis_Special_3-33.png; pivotX: 343.3976; pivotY: 499.1263}
{file: Artemis_Special_3-34.png; pivotX: 343.0483; pivotY: 492.8752}
{file: Artemis_Special_3-35.png; pivotX: 342.235; pivotY: 486.1537}
{file: Artemis_Special_3-36.png; pivotX: 341.986; pivotY: 480.0537}
{file: Artemis_Special_3-37.png; pivotX: 342.282; pivotY: 475.2848}
{file: Artemis_Special_3-38.png; pivotX: 343.6234; pivotY: 472.8564}
{file: Artemis_Special_3-39.png; pivotX: 344.8771; pivotY: 472.6956}
{file: Artemis_Special_3-40.png; pivotX: 346.8759; pivotY: 473.468}
{file: Artemis_Special_3-41.png; pivotX: 349.0309; pivotY: 475.8114}
{file: Artemis_Special_3-42.png; pivotX: 350.6998; pivotY: 477.0647}
{file: Artemis_Special_3-43.png; pivotX: 351.9166; pivotY: 477.2994}
{file: Artemis_Special_3-44.png; pivotX: 352.4789; pivotY: 478.1055}
{file: Artemis_Special_3-45.png; pivotX: 352.498; pivotY: 478.1614}
{file: Artemis_Special_3-46.png; pivotX: 352.2017; pivotY: 478.2809}
{file: Artemis_Special_3-47.png; pivotX: 351.4886; pivotY: 478.1809}
{file: Artemis_Special_3-48.png; pivotX: 350.7968; pivotY: 477.7286}
{file: Artemis_Special_3-49.png; pivotX: 350.6827; pivotY: 476.3676}
{file: Artemis_Special_3-50.png; pivotX: 349.8856; pivotY: 475.4735}
{file: Artemis_Special_3-51.png; pivotX: 349.1029; pivotY: 473.7551}
{file: Artemis_Special_3-52.png; pivotX: 349.0035; pivotY: 472.6333}
{file: Artemis_Special_3-53.png; pivotX: 348.2268; pivotY: 471.7733}
{file: Artemis_Special_3-54.png; pivotX: 348.0928; pivotY: 471.6001}
{file: Artemis_Special_3-55.png; pivotX: 348.0024; pivotY: 471.2407}
{file: Artemis_Special_3-56.png; pivotX: 347.872; pivotY: 471.2108}
{file: Artemis_Special_3-57.png; pivotX: 348.5304; pivotY: 471.6847}
{file: Artemis_Special_3-58.png; pivotX: 349.3883; pivotY: 472.0997}
{file: Artemis_Special_3-59.png; pivotX: 350.1851; pivotY: 472.4146}
{file: Artemis_Special_3-60.png; pivotX: 351.4776; pivotY: 471.408}
{file: Artemis_Special_3-61.png; pivotX: 352.0008; pivotY: 469.9464}
{file: Artemis_Special_3-62.png; pivotX: 351.468; pivotY: 468.9764}
{file: Artemis_Special_3-63.png; pivotX: 349.99; pivotY: 467.3431}
{file: Artemis_Special_3-64.png; pivotX: 345.6921; pivotY: 466.8949}
{file: Artemis_Special_3-65.png; pivotX: 338.56; pivotY: 466.647}
{file: Artemis_Special_3-66.png; pivotX: 328.5088; pivotY: 467.6951}
{file: Artemis_Special_3-67.png; pivotX: 314.963; pivotY: 471.0071}
{file: Artemis_Special_3-68.png; pivotX: 298.4477; pivotY: 474.2339}
{file: Artemis_Special_3-69.png; pivotX: 279.4345; pivotY: 479.1176}
{file: Artemis_Special_3-70.png; pivotX: 257.4078; pivotY: 483.2286}
{file: Artemis_Special_3-71.png; pivotX: 233.8861; pivotY: 490.1039}
{file: Artemis_Special_3-72.png; pivotX: 221.8599; pivotY: 498.1455}
{file: Artemis_Special_3-73.png; pivotX: 216.4217; pivotY: 506.0419}
{file: Artemis_Special_3-74.png; pivotX: 207.771; pivotY: 511.7436}
{file: Artemis_Special_3-75.png; pivotX: 195.4964; pivotY: 513.3323}
{file: Artemis_Special_3-76.png; pivotX: 177.7683; pivotY: 512.2859}
{file: Artemis_Special_3-77.png; pivotX: 156.1274; pivotY: 510.9228}
{file: Artemis_Special_3-78.png; pivotX: 132.7557; pivotY: 508.5202}
{file: Artemis_Special_3-79.png; pivotX: 136.9213; pivotY: 504.5113}
{file: Artemis_Special_3-80.png; pivotX: 154.3682; pivotY: 500.9106}
{file: Artemis_Special_3-81.png; pivotX: 172.2491; pivotY: 500.4539}
{file: Artemis_Special_3-82.png; pivotX: 188.7032; pivotY: 504.0212}
{file: Artemis_Special_3-83.png; pivotX: 204.8373; pivotY: 508.4471}
{file: Artemis_Special_3-84.png; pivotX: 221.3866; pivotY: 507.5328}
{file: Artemis_Special_3-85.png; pivotX: 237.2481; pivotY: 501.4167}
{file: Artemis_Special_3-86.png; pivotX: 253.5335; pivotY: 491.8802}
{file: Artemis_Special_3-87.png; pivotX: 269.0566; pivotY: 483.0274}
{file: Artemis_Special_3-88.png; pivotX: 283.3406; pivotY: 478.9508}
{file: Artemis_Special_3-89.png; pivotX: 298.1297; pivotY: 481.7671}
{file: Artemis_Special_3-90.png; pivotX: 313.1693; pivotY: 489.8157}
{file: Artemis_Special_3-91.png; pivotX: 328.8145; pivotY: 499.0451}
{file: Artemis_Special_3-92.png; pivotX: 344.4415; pivotY: 507.973}
{file: Artemis_Special_3-93.png; pivotX: 360.2077; pivotY: 515.385}
{file: Artemis_Special_3-94.png; pivotX: 377.014; pivotY: 522.3657}
{file: Artemis_Special_3-95.png; pivotX: 393.9926; pivotY: 525.7831}
{file: Artemis_Special_3-96.png; pivotX: 409.4932; pivotY: 525.86}
{file: Artemis_Special_3-97.png; pivotX: 428.1464; pivotY: 525.204}
{file: Artemis_Special_3-98.png; pivotX: 446.765; pivotY: 523.4526}
{file: Artemis_Special_3-99.png; pivotX: 462.2398; pivotY: 519.7659}
{file: Artemis_Special_3-100.png; pivotX: 479.4649; pivotY: 511.7121}
{file: Artemis_Special_3-101.png; pivotX: 498.2892; pivotY: 500.0651}
{file: Artemis_Special_3-102.png; pivotX: 516.9921; pivotY: 489.746}
{file: Artemis_Special_3-103.png; pivotX: 536.4373; pivotY: 480.3532}
{file: Artemis_Special_3-104.png; pivotX: 555.0342; pivotY: 467.7542}
{file: Artemis_Special_3-105.png; pivotX: 574.0143; pivotY: 446.313}
{file: Artemis_Special_3-106.png; pivotX: 591.8267; pivotY: 404.2949}
{file: Artemis_Special_3-107.png; pivotX: 608.2841; pivotY: 348.4682}
{file: Artemis_Special_3-108.png; pivotX: 625.3231; pivotY: 317.6733}
{file: Artemis_Special_3-109.png; pivotX: 643.3373; pivotY: 314.7196}
{file: Artemis_Special_3-110.png; pivotX: 663.2164; pivotY: 330.5119}
{file: Artemis_Special_3-111.png; pivotX: 678.4412; pivotY: 375.124}
{file: Artemis_Special_3-112.png; pivotX: 689.7143; pivotY: 430.9777}
{file: Artemis_Special_3-113.png; pivotX: 700.5472; pivotY: 462.2171}
{file: Artemis_Special_3-114.png; pivotX: 710.2473; pivotY: 476.1775}
{file: Artemis_Special_3-115.png; pivotX: 717.9851; pivotY: 487.1857}
{file: Artemis_Special_3-116.png; pivotX: 727.181; pivotY: 501.3799}
{file: Artemis_Special_3-117.png; pivotX: 734.7892; pivotY: 519.6273}
{file: Artemis_Special_3-118.png; pivotX: 742.8572; pivotY: 543.9135}
{file: Artemis_Special_3-119.png; pivotX: 749.9241; pivotY: 569.8789}
{file: Artemis_Special_3-120.png; pivotX: 758.0054; pivotY: 594.414}
{file: Artemis_Special_3-121.png; pivotX: 765.4872; pivotY: 621.292}
{file: Artemis_Special_3-122.png; pivotX: 769.8806; pivotY: 651.1527}
{file: Artemis_Special_3-123.png; pivotX: 778.8979; pivotY: 680.1083}
{file: Artemis_Special_3-124.png; pivotX: 787.4922; pivotY: 704.8296}
{file: Artemis_Special_3-125.png; pivotX: 792.3502; pivotY: 724.0153}
{file: Artemis_Special_3-126.png; pivotX: 792.5695; pivotY: 737.6958}
{file: Artemis_Special_3-127.png; pivotX: 791.8189; pivotY: 710.8431}
{file: Artemis_Special_3-128.png; pivotX: 793.2194; pivotY: 673.261}
{file: Artemis_Special_3-129.png; pivotX: 795.1343; pivotY: 636.2104}
{file: Artemis_Special_3-130.png; pivotX: 805.4546; pivotY: 617.3637}
{file: Artemis_Special_3-131.png; pivotX: 820.9067; pivotY: 632.8932}
{file: Artemis_Special_3-132.png; pivotX: 836.489; pivotY: 665.0712}
{file: Artemis_Special_3-133.png; pivotX: 852.7362; pivotY: 698.4155}
{file: Artemis_Special_3-134.png; pivotX: 866.9594; pivotY: 726.7287}
{file: Artemis_Special_3-135.png; pivotX: 881.7578; pivotY: 739.7241}
{file: Artemis_Special_3-136.png; pivotX: 893.8895; pivotY: 736.6953}
{file: Artemis_Special_3-137.png; pivotX: 906.1727; pivotY: 732.7338}
{file: Artemis_Special_3-138.png; pivotX: 915.395; pivotY: 753.7311}
{file: Artemis_Special_3-139.png; pivotX: 921.4624; pivotY: 779.5173}
{file: Artemis_Special_3-140.png; pivotX: 929.9231; pivotY: 806.5596}
{file: Artemis_Special_3-141.png; pivotX: 937.6367; pivotY: 833.3115}
{file: Artemis_Special_3-142.png; pivotX: 945.5842; pivotY: 856.9218}
{file: Artemis_Special_3-143.png; pivotX: 948.8832; pivotY: 876.8177}
{file: Artemis_Special_3-144.png; pivotX: 952.0234; pivotY: 897.0955}
{file: Artemis_Special_3-145.png; pivotX: 955.6351; pivotY: 915.0849}
{file: Artemis_Special_3-146.png; pivotX: 959.98; pivotY: 932.4518}
{file: Artemis_Special_3-147.png; pivotX: 963.9189; pivotY: 947.4465}
{file: Artemis_Special_3-148.png; pivotX: 967.7681; pivotY: 960.9717}
{file: Artemis_Special_3-149.png; pivotX: 972.4536; pivotY: 972.1451}
{file: Artemis_Special_3-150.png; pivotX: 977.4049; pivotY: 980.2579}
{file: Artemis_Special_3-151.png; pivotX: 982.0231; pivotY: 985.7083}
{file: Artemis_Special_3-152.png; pivotX: 986.6841; pivotY: 988.5349}
{file: Artemis_Special_3-153.png; pivotX: 991.4398; pivotY: 990.4528}
{file: Artemis_Special_3-154.png; pivotX: 995.8901; pivotY: 991.6505}
{file: Artemis_Special_3-155.png; pivotX: 1000.328; pivotY: 991.9086}
{file: Artemis_Special_3-156.png; pivotX: 1004.26; pivotY: 991.8984}
{file: Artemis_Special_3-157.png; pivotX: 1008.984; pivotY: 991.9473}
{file: Artemis_Special_3-158.png; pivotX: 1012.694; pivotY: 981.4886}
{file: Artemis_Special_3-159.png; pivotX: 1016.865; pivotY: 979.8931}
{file: Artemis_Special_3-160.png; pivotX: 1020.987; pivotY: 982.0123}
{file: Artemis_Special_3-161.png; pivotX: 1024.663; pivotY: 985.085}
{file: Artemis_Special_3-162.png; pivotX: 1028.916; pivotY: 987.2932}
{file: Artemis_Special_3-163.png; pivotX: 1033.528; pivotY: 988.9323}
{file: Artemis_Special_3-164.png; pivotX: 1037.989; pivotY: 991.6328}
{file: Artemis_Special_3-165.png; pivotX: 1042.189; pivotY: 993.6088}
{file: Artemis_Special_3-166.png; pivotX: 1046.842; pivotY: 995.6361}
{file: Artemis_Special_3-167.png; pivotX: 1050.603; pivotY: 996.7788}
{file: Artemis_Special_3-168.png; pivotX: 1054.758; pivotY: 999.5305}
{file: Artemis_Special_3-169.png; pivotX: 1058.392; pivotY: 1001.238}
{file: Artemis_Special_3-170.png; pivotX: 1061.725; pivotY: 1002.679}
{file: Artemis_Special_3-171.png; pivotX: 1064.978; pivotY: 1004.634}
{file: Artemis_Special_3-172.png; pivotX: 1067.587; pivotY: 1007.02}
{file: Artemis_Special_3-173.png; pivotX: 1069.698; pivotY: 1008.897}
{file: Artemis_Special_3-174.png; pivotX: 1071.034; pivotY: 1011.041}
{file: Artemis_Special_3-175.png; pivotX: 1073.12; pivotY: 1013.299}
{file: Artemis_Special_3-176.png; pivotX: 1075.141; pivotY: 1015.128}
{file: Artemis_Special_3-177.png; pivotX: 1077.314; pivotY: 1017.654}
{file: Artemis_Special_3-178.png; pivotX: 1078.635; pivotY: 1019.599}
{file: Artemis_Special_3-179.png; pivotX: 1080.333; pivotY: 1022.028}
{file: Artemis_Special_3-180.png; pivotX: 1081.424; pivotY: 1025.4}
{file: Artemis_Special_3-181.png; pivotX: 1082.096; pivotY: 1027.972}
{file: Artemis_Special_3-182.png; pivotX: 1082.433; pivotY: 1031.234}
{file: Artemis_Special_3-183.png; pivotX: 1082.875; pivotY: 1034.575}
{file: Artemis_Special_3-184.png; pivotX: 1083.567; pivotY: 1038.211}
{file: Artemis_Special_3-185.png; pivotX: 1084.782; pivotY: 1043.133}
{file: Artemis_Special_3-186.png; pivotX: 1085.923; pivotY: 1046.833}
{file: Artemis_Special_3-187.png; pivotX: 1086.495; pivotY: 1051.56}
{file: Artemis_Special_3-188.png; pivotX: 1087.039; pivotY: 1056.779}
{file: Artemis_Special_3-189.png; pivotX: 1086.819; pivotY: 1061.766}
{file: Artemis_Special_3-190.png; pivotX: 1086.017; pivotY: 1067.626}
{file: Artemis_Special_3-191.png; pivotX: 1084.976; pivotY: 1072.638}
{file: Artemis_Special_3-192.png; pivotX: 1084.364; pivotY: 1078.53}
{file: Artemis_Special_3-193.png; pivotX: 1083.219; pivotY: 1084.446}
{file: Artemis_Special_3-194.png; pivotX: 1082.477; pivotY: 1090.395}
{file: Artemis_Special_3-195.png; pivotX: 1081.664; pivotY: 1097.248}
{file: Artemis_Special_3-196.png; pivotX: 1081.064; pivotY: 1103.28}
{file: Artemis_Special_3-197.png; pivotX: 1080.838; pivotY: 1110.227}
{file: Artemis_Special_3-198.png; pivotX: 1080.601; pivotY: 1117.221}
{file: Artemis_Special_3-199.png; pivotX: 1079.958; pivotY: 1123.391}
{file: Artemis_Special_3-200.png; pivotX: 1079.545; pivotY: 1130.463}
{file: Artemis_Special_3-201.png; pivotX: 1078.947; pivotY: 1137.552}
{file: Artemis_Special_3-202.png; pivotX: 1077.588; pivotY: 1144.636}
{file: Artemis_Special_3-203.png; pivotX: 1076.383; pivotY: 1151.684}
{file: Artemis_Special_3-204.png; pivotX: 1075.169; pivotY: 1159.564}
{file: Artemis_Special_3-205.png; pivotX: 1073.334; pivotY: 1166.58}
{file: Artemis_Special_3-206.png; pivotX: 1071.198; pivotY: 1173.608}
{file: Artemis_Special_3-207.png; pivotX: 1068.777; pivotY: 1195.562}
{file: Artemis_Special_3-208.png; pivotX: 1066.999; pivotY: 1239.473}
{file: Artemis_Special_3-209.png; pivotX: 1064.119; pivotY: 1281.2}
{file: Artemis_Special_3-210.png; pivotX: 1061.804; pivotY: 1319.993}
{file: Artemis_Special_3-211.png; pivotX: 1059.268; pivotY: 1348.648}
{file: Artemis_Special_3-212.png; pivotX: 1055.131; pivotY: 1363.494}
{file: Artemis_Special_3-213.png; pivotX: 1050.919; pivotY: 1369.375}
{file: Artemis_Special_3-214.png; pivotX: 1047.427; pivotY: 1373.219}
{file: Artemis_Special_3-215.png; pivotX: 1043.98; pivotY: 1376.282}
{file: Artemis_Special_3-216.png; pivotX: 1040.347; pivotY: 1379.276}
{file: Artemis_Special_3-217.png; pivotX: 1036.198; pivotY: 1381.257}
{file: Artemis_Special_3-218.png; pivotX: 1032.451; pivotY: 1384.071}
{file: Artemis_Special_3-219.png; pivotX: 1028.977; pivotY: 1385.948}
{file: Artemis_Special_3-220.png; pivotX: 1025.814; pivotY: 1387.971}
{file: Artemis_Special_3-221.png; pivotX: 1022.426; pivotY: 1389.975}
{file: Artemis_Special_3-222.png; pivotX: 1018.826; pivotY: 1392.931}
{file: Artemis_Special_3-223.png; pivotX: 1016.199; pivotY: 1395.247}
{file: Artemis_Special_3-224.png; pivotX: 1013.214; pivotY: 1398.296}
{file: Artemis_Special_3-225.png; pivotX: 1009.922; pivotY: 1400.286}
{file: Artemis_Special_3-226.png; pivotX: 1006.922; pivotY: 1403.233}
{file: Artemis_Special_3-227.png; pivotX: 1003.762; pivotY: 1405.335}
{file: Artemis_Special_3-228.png; pivotX: 1001.153; pivotY: 1407.463}
{file: Artemis_Special_3-229.png; pivotX: 998.5807; pivotY: 1409.599}
{file: Artemis_Special_3-230.png; pivotX: 996.0374; pivotY: 1411.723}
{file: Artemis_Special_3-231.png; pivotX: 993.5129; pivotY: 1413.815}
{file: Artemis_Special_3-232.png; pivotX: 991.4983; pivotY: 1415.855}
{file: Artemis_Special_3-233.png; pivotX: 989.2706; pivotY: 1416.932}
{file: Artemis_Special_3-234.png; pivotX: 987.2526; pivotY: 1418.811}
{file: Artemis_Special_3-235.png; pivotX: 985.0074; pivotY: 1419.685}
{file: Artemis_Special_3-236.png; pivotX: 983.2548; pivotY: 1420.439}
{file: Artemis_Special_3-237.png; pivotX: 981.6097; pivotY: 1421.264}
{file: Artemis_Special_3-238.png; pivotX: 979.7178; pivotY: 1421.091}
{file: Artemis_Special_3-239.png; pivotX: 978.5242; pivotY: 1419.839}
{file: Artemis_Special_3-240.png; pivotX: 977.5745; pivotY: 1417.738}
{file: Artemis_Special_3-241.png; pivotX: 976.3555; pivotY: 1414.727}
{file: Artemis_Special_3-242.png; pivotX: 975.5732; pivotY: 1410.787}
{file: Artemis_Special_3-243.png; pivotX: 974.929; pivotY: 1405.897}
{file: Artemis_Special_3-244.png; pivotX: 974.829; pivotY: 1400.927}
{file: Artemis_Special_3-245.png; pivotX: 975.9656; pivotY: 1395.858}
{file: Artemis_Special_3-246.png; pivotX: 977.5662; pivotY: 1390.215}
{file: Artemis_Special_3-247.png; pivotX: 980.6115; pivotY: 1385.147}
{file: Artemis_Special_3-248.png; pivotX: 984.3043; pivotY: 1377.9}
{file: Artemis_Special_3-249.png; pivotX: 990.7325; pivotY: 1369.043}
{file: Artemis_Special_3-250.png; pivotX: 998.4551; pivotY: 1355.433}
{file: Artemis_Special_3-251.png; pivotX: 1000.665; pivotY: 1333.434}
{file: Artemis_Special_3-252.png; pivotX: 1018.514; pivotY: 1293.421}
{file: Artemis_Special_3-253.png; pivotX: 1058.073; pivotY: 1180.009}
{file: Artemis_Special_3-254.png; pivotX: 1114.615; pivotY: 1023.8}
{file: Artemis_Special_3-255.png; pivotX: 1177.192; pivotY: 852.1136}
{file: Artemis_Special_3-256.png; pivotX: 1237.849; pivotY: 681.2949}
{file: Artemis_Special_3-257.png; pivotX: 1288.881; pivotY: 516.4286}
{file: Artemis_Special_3-258.png; pivotX: 1322.778; pivotY: 403.8321}
{file: Artemis_Special_3-259.png; pivotX: 1339.22; pivotY: 339.4407}
{file: Artemis_Special_3-260.png; pivotX: 1345.421; pivotY: 305.8246}
{file: Artemis_Special_3-261.png; pivotX: 1348.314; pivotY: 321.5627}
{file: Artemis_Special_3-262.png; pivotX: 1351.066; pivotY: 333.8877}
{file: Artemis_Special_3-263.png; pivotX: 1356.401; pivotY: 342.2017}
{file: Artemis_Special_3-264.png; pivotX: 1359.491; pivotY: 346.3758}
{file: Artemis_Special_3-265.png; pivotX: 1361.984; pivotY: 349.1769}
{file: Artemis_Special_3-266.png; pivotX: 1363.201; pivotY: 351.4578}
{file: Artemis_Special_3-267.png; pivotX: 1363.721; pivotY: 353.3413}
{file: Artemis_Special_3-268.png; pivotX: 1364.253; pivotY: 354.5725}
{file: Artemis_Special_3-269.png; pivotX: 1364.238; pivotY: 355.2129}
{file: Artemis_Special_3-270.png; pivotX: 1364.15; pivotY: 354.961}
{file: Artemis_Special_3-271.png; pivotX: 1363.389; pivotY: 354.5616}
{file: Artemis_Special_3-272.png; pivotX: 1362.46; pivotY: 353.3901}
{file: Artemis_Special_3-273.png; pivotX: 1361.227; pivotY: 352.1766}
{file: Artemis_Special_3-274.png; pivotX: 1360.082; pivotY: 350.9585}
{file: Artemis_Special_3-275.png; pivotX: 1359.39; pivotY: 349.762}
{file: Artemis_Special_3-276.png; pivotX: 1357.522; pivotY: 347.9272}
{file: Artemis_Special_3-277.png; pivotX: 1356.204; pivotY: 346.818}
{file: Artemis_Special_3-278.png; pivotX: 1355.237; pivotY: 346.437}
{file: Artemis_Special_3-279.png; pivotX: 1353.798; pivotY: 345.5128}
{file: Artemis_Special_3-280.png; pivotX: 1352.761; pivotY: 345.3416}
{file: Artemis_Special_3-281.png; pivotX: 1351.454; pivotY: 344.4318}
{file: Artemis_Special_3-282.png; pivotX: 1351.352; pivotY: 344.1546}
{file: Artemis_Special_3-283.png; pivotX: 1350.581; pivotY: 343.1854}
{file: Artemis_Special_3-284.png; pivotX: 1350.903; pivotY: 342.8937}
{file: Artemis_Special_3-285.png; pivotX: 1350.681; pivotY: 341.9567}
{file: Artemis_Special_3-286.png; pivotX: 1350.842; pivotY: 341.7417}
{file: Artemis_Special_3-287.png; pivotX: 1350.914; pivotY: 341.599}
{file: Artemis_Special_3-288.png; pivotX: 1350.42; pivotY: 340.8812}
{file: Artemis_Special_3-289.png; pivotX: 1350.256; pivotY: 340.9125}
{file: Artemis_Special_3-290.png; pivotX: 1350.406; pivotY: 340.9864}
{file: Artemis_Special_3-291.png; pivotX: 1350.363; pivotY: 341.098}
{file: Artemis_Special_3-292.png; pivotX: 1350.592; pivotY: 341.9142}
{file: Artemis_Special_3-293.png; pivotX: 1350.145; pivotY: 342.0869}
{file: Artemis_Special_3-294.png; pivotX: 1350.49; pivotY: 342.9802}
{file: Artemis_Special_3-295.png; pivotX: 1350.685; pivotY: 343.9424}
{file: Artemis_Special_3-296.png; pivotX: 1350.73; pivotY: 344.9676}
{file: Artemis_Special_3-297.png; pivotX: 1350.606; pivotY: 346.0632}
{file: Artemis_Special_3-298.png; pivotX: 1350.279; pivotY: 347.2375}
{file: Artemis_Special_3-299.png; pivotX: 1350.692; pivotY: 349.1602}
{file: Artemis_Special_3-300.png; pivotX: 1350.864; pivotY: 351.15}
{file: Artemis_Special_3-301.png; pivotX: 1350.782; pivotY: 353.1999}
{file: Artemis_Special_3-302.png; pivotX: 1350.433; pivotY: 355.3025}
{file: Artemis_Special_3-303.png; pivotX: 1350.749; pivotY: 358.1305}
{file: Artemis_Special_3-304.png; pivotX: 1350.568; pivotY: 360.3739}
{file: Artemis_Special_3-305.png; pivotX: 1350.065; pivotY: 362.7623}
{file: Artemis_Special_3-306.png; pivotX: 1351.154; pivotY: 365.9666}
{file: Artemis_Special_3-307.png; pivotX: 1350.961; pivotY: 368.5957}
{file: Artemis_Special_3-308.png; pivotX: 1350.485; pivotY: 370.6242}
{file: Artemis_Special_3-309.png; pivotX: 1350.555; pivotY: 373.4153}
{file: Artemis_Special_3-310.png; pivotX: 1351.231; pivotY: 376.2591}
{file: Artemis_Special_3-311.png; pivotX: 1351.084; pivotY: 378.433}
{file: Artemis_Special_3-312.png; pivotX: 1351.28; pivotY: 381.2086}
{file: Artemis_Special_3-313.png; pivotX: 1350.861; pivotY: 383.0702}
{file: Artemis_Special_3-314.png; pivotX: 1351.177; pivotY: 385.4212}
{file: Artemis_Special_3-315.png; pivotX: 1351.35; pivotY: 387.5641}
{file: Artemis_Special_3-316.png; pivotX: 1350.902; pivotY: 389.5182}
{file: Artemis_Special_3-317.png; pivotX: 1351.313; pivotY: 392.1525}
{file: Artemis_Special_3-318.png; pivotX: 1351.953; pivotY: 395.5361}
{file: Artemis_Special_3-319.png; pivotX: 1351.147; pivotY: 398.0815}
{file: Artemis_Special_3-320.png; pivotX: 1351.679; pivotY: 401.233}
{file: Artemis_Special_3-321.png; pivotX: 1351.325; pivotY: 403.5882}
{file: Artemis_Special_3-322.png; pivotX: 1351.844; pivotY: 406.5953}
{file: Artemis_Special_3-323.png; pivotX: 1351.889; pivotY: 409.5646}
{file: Artemis_Special_3-324.png; pivotX: 1351.637; pivotY: 411.806}
{file: Artemis_Special_3-325.png; pivotX: 1352.311; pivotY: 414.771}
{file: Artemis_Special_3-326.png; pivotX: 1352.245; pivotY: 417.0566}
{file: Artemis_Special_3-327.png; pivotX: 1351.809; pivotY: 419.4012}
{file: Artemis_Special_3-328.png; pivotX: 1352.026; pivotY: 421.8308}
{file: Artemis_Special_3-329.png; pivotX: 1352.418; pivotY: 424.3704}
{file: Artemis_Special_3-330.png; pivotX: 1353.007; pivotY: 427.0471}
{file: Artemis_Special_3-331.png; pivotX: 1352.502; pivotY: 429.1705}
{file: Artemis_Special_3-332.png; pivotX: 1352.655; pivotY: 431.3601}
{file: Artemis_Special_3-333.png; pivotX: 1352.756; pivotY: 433.3865}
{file: Artemis_Special_3-334.png; pivotX: 1353.179; pivotY: 435.5807}
{file: Artemis_Special_3-335.png; pivotX: 1353.187; pivotY: 437.2873}
{file: Artemis_Special_3-336.png; pivotX: 1353.086; pivotY: 439.2336}
{file: Artemis_Special_3-337.png; pivotX: 1353.099; pivotY: 440.7224}
{file: Artemis_Special_3-338.png; pivotX: 1353.527; pivotY: 442.4781}
{file: Artemis_Special_3-339.png; pivotX: 1354.38; pivotY: 444.5146}
{file: Artemis_Special_3-340.png; pivotX: 1354.13; pivotY: 445.4319}
{file: Artemis_Special_3-341.png; pivotX: 1354.352; pivotY: 446.7846}
{file: Artemis_Special_3-342.png; pivotX: 1355.044; pivotY: 448.699}
{file: Artemis_Special_3-343.png; pivotX: 1355.948; pivotY: 450.43}
{file: Artemis_Special_3-344.png; pivotX: 1356.084; pivotY: 451.9308}
{file: Artemis_Special_3-345.png; pivotX: 1357.246; pivotY: 453.8772}
{file: Artemis_Special_3-346.png; pivotX: 1357.63; pivotY: 455.4658}
{file: Artemis_Special_3-347.png; pivotX: 1357.609; pivotY: 456.5037}
{file: Artemis_Special_3-348.png; pivotX: 1357.791; pivotY: 457.4756}
{file: Artemis_Special_3-349.png; pivotX: 1358.231; pivotY: 458.3682}
