{file: Devana_Light_Combo_Part_1-0.png; pivotX: 97.01379; pivotY: 335.1143}
{file: Devana_Light_Combo_Part_1-39.png; pivotX: 91.96647; pivotY: 330.2504}
{file: Devana_Light_Combo_Part_1-40.png; pivotX: 92.0367; pivotY: 330.2133}
{file: Devana_Light_Combo_Part_1-41.png; pivotX: 92.09837; pivotY: 330.3657}
{file: Devana_Light_Combo_Part_1-42.png; pivotX: 92.15257; pivotY: 330.6285}
{file: Devana_Light_Combo_Part_1-43.png; pivotX: 92.209; pivotY: 330.9106}
{file: Devana_Light_Combo_Part_1-44.png; pivotX: 92.26443; pivotY: 331.2096}
{file: Devana_Light_Combo_Part_1-45.png; pivotX: 92.30988; pivotY: 331.5233}
{file: Devana_Light_Combo_Part_1-46.png; pivotX: 92.34675; pivotY: 331.8492}
{file: Devana_Light_Combo_Part_1-47.png; pivotX: 92.37663; pivotY: 332.1852}
{file: Devana_Light_Combo_Part_1-48.png; pivotX: 92.40115; pivotY: 332.5286}
{file: Devana_Light_Combo_Part_1-49.png; pivotX: 92.42199; pivotY: 332.8769}
{file: Devana_Light_Combo_Part_1-50.png; pivotX: 92.44087; pivotY: 333.2275}
{file: Devana_Light_Combo_Part_1-51.png; pivotX: 92.45963; pivotY: 333.5775}
{file: Devana_Light_Combo_Part_1-52.png; pivotX: 92.48009; pivotY: 333.924}
{file: Devana_Light_Combo_Part_1-53.png; pivotX: 92.50412; pivotY: 334.2638}
{file: Devana_Light_Combo_Part_1-54.png; pivotX: 92.03362; pivotY: 334.594}
{file: Devana_Light_Combo_Part_1-55.png; pivotX: 92.07578; pivotY: 333.9986}
{file: Devana_Light_Combo_Part_1-56.png; pivotX: 92.10984; pivotY: 334.2948}
{file: Devana_Light_Combo_Part_1-57.png; pivotX: 92.13074; pivotY: 334.5657}
{file: Devana_Light_Combo_Part_1-58.png; pivotX: 92.14002; pivotY: 334.811}
{file: Devana_Light_Combo_Part_1-59.png; pivotX: 92.13918; pivotY: 335.0304}
{file: Devana_Light_Combo_Part_1-60.png; pivotX: 92.1298; pivotY: 335.2238}
{file: Devana_Light_Combo_Part_1-61.png; pivotX: 92.11349; pivotY: 335.3912}
{file: Devana_Light_Combo_Part_1-62.png; pivotX: 92.09184; pivotY: 335.5324}
{file: Devana_Light_Combo_Part_1-63.png; pivotX: 92.06647; pivotY: 335.6473}
{file: Devana_Light_Combo_Part_1-64.png; pivotX: 92.03983; pivotY: 335.7359}
{file: Devana_Light_Combo_Part_1-65.png; pivotX: 92.01448; pivotY: 335.7983}
{file: Devana_Light_Combo_Part_1-66.png; pivotX: 91.99319; pivotY: 335.8344}
{file: Devana_Light_Combo_Part_1-67.png; pivotX: 91.97886; pivotY: 335.8442}
{file: Devana_Light_Combo_Part_1-68.png; pivotX: 91.96887; pivotY: 335.8402}
{file: Devana_Light_Combo_Part_1-69.png; pivotX: 91.96021; pivotY: 335.8358}
{file: Devana_Light_Combo_Part_1-70.png; pivotX: 91.95408; pivotY: 335.8322}
