{file: Devana_Medium_Combo_Part_1-0.png; pivotX: 108.3308; pivotY: 331.4982}
{file: Devana_Medium_Combo_Part_1-32.png; pivotX: 126.4507; pivotY: 308.7732}
{file: Devana_Medium_Combo_Part_1-33.png; pivotX: 122.0378; pivotY: 310.8204}
{file: Devana_Medium_Combo_Part_1-34.png; pivotX: 118.033; pivotY: 311.9346}
{file: Devana_Medium_Combo_Part_1-35.png; pivotX: 114.0103; pivotY: 313.0294}
{file: Devana_Medium_Combo_Part_1-36.png; pivotX: 110.8208; pivotY: 314.0605}
{file: Devana_Medium_Combo_Part_1-37.png; pivotX: 107.5389; pivotY: 315.0316}
{file: Devana_Medium_Combo_Part_1-38.png; pivotX: 113.649; pivotY: 315.5997}
{file: Devana_Medium_Combo_Part_1-39.png; pivotX: 125.81; pivotY: 316.206}
{file: Devana_Medium_Combo_Part_1-40.png; pivotX: 137.6258; pivotY: 317.0104}
{file: Devana_Medium_Combo_Part_1-41.png; pivotX: 149.0568; pivotY: 316.951}
{file: Devana_Medium_Combo_Part_1-42.png; pivotX: 158.3642; pivotY: 316.9695}
{file: Devana_Medium_Combo_Part_1-43.png; pivotX: 166.9029; pivotY: 317.0461}
{file: Devana_Medium_Combo_Part_1-44.png; pivotX: 173.4829; pivotY: 317.1645}
{file: Devana_Medium_Combo_Part_1-45.png; pivotX: 178.3454; pivotY: 316.1772}
{file: Devana_Medium_Combo_Part_1-46.png; pivotX: 181.3958; pivotY: 316.1314}
{file: Devana_Medium_Combo_Part_1-47.png; pivotX: 200.6837; pivotY: 316.1569}
{file: Devana_Medium_Combo_Part_1-48.png; pivotX: 88.54474; pivotY: 339.2213}
{file: Devana_Medium_Combo_Part_1-49.png; pivotX: 87.64835; pivotY: 340.2368}
{file: Devana_Medium_Combo_Part_1-50.png; pivotX: 86.97622; pivotY: 340.4553}
{file: Devana_Medium_Combo_Part_1-51.png; pivotX: 87.08365; pivotY: 340.3135}
{file: Devana_Medium_Combo_Part_1-52.png; pivotX: 87.37213; pivotY: 340.0323}
{file: Devana_Medium_Combo_Part_1-53.png; pivotX: 87.09423; pivotY: 339.7156}
{file: Devana_Medium_Combo_Part_1-54.png; pivotX: 87.71691; pivotY: 339.4496}
{file: Devana_Medium_Combo_Part_1-55.png; pivotX: 87.44486; pivotY: 338.3705}
{file: Devana_Medium_Combo_Part_1-56.png; pivotX: 87.5542; pivotY: 338.402}
{file: Devana_Medium_Combo_Part_1-57.png; pivotX: 87.57556; pivotY: 336.8126}
{file: Devana_Medium_Combo_Part_1-58.png; pivotX: 87.90462; pivotY: 336.3242}
{file: Devana_Medium_Combo_Part_1-59.png; pivotX: 87.85781; pivotY: 334.9991}
{file: Devana_Medium_Combo_Part_1-60.png; pivotX: 88.35011; pivotY: 334.6701}
{file: Devana_Medium_Combo_Part_1-61.png; pivotX: 88.42204; pivotY: 333.5615}
{file: Devana_Medium_Combo_Part_1-62.png; pivotX: 89.04511; pivotY: 332.6279}
{file: Devana_Medium_Combo_Part_1-63.png; pivotX: 89.2096; pivotY: 331.8545}
{file: Devana_Medium_Combo_Part_1-64.png; pivotX: 89.90588; pivotY: 331.2274}
{file: Devana_Medium_Combo_Part_1-65.png; pivotX: 90.12399; pivotY: 330.7334}
{file: Devana_Medium_Combo_Part_1-66.png; pivotX: 90.85326; pivotY: 330.3597}
{file: Devana_Medium_Combo_Part_1-67.png; pivotX: 91.08308; pivotY: 330.0943}
{file: Devana_Medium_Combo_Part_1-68.png; pivotX: 91.80091; pivotY: 329.9253}
{file: Devana_Medium_Combo_Part_1-69.png; pivotX: 91.98354; pivotY: 329.841}
{file: Devana_Medium_Combo_Part_1-70.png; pivotX: 92.10484; pivotY: 329.8298}
{file: Devana_Medium_Combo_Part_1-71.png; pivotX: 92.17932; pivotY: 329.8801}
{file: Devana_Medium_Combo_Part_1-72.png; pivotX: 92.22794; pivotY: 329.9802}
{file: Devana_Medium_Combo_Part_1-73.png; pivotX: 92.26121; pivotY: 330.1279}
{file: Devana_Medium_Combo_Part_1-74.png; pivotX: 92.29638; pivotY: 330.3247}
{file: Devana_Medium_Combo_Part_1-75.png; pivotX: 92.33409; pivotY: 330.5652}
{file: Devana_Medium_Combo_Part_1-76.png; pivotX: 92.37494; pivotY: 330.8434}
{file: Devana_Medium_Combo_Part_1-77.png; pivotX: 92.41975; pivotY: 331.1538}
{file: Devana_Medium_Combo_Part_1-78.png; pivotX: 92.46925; pivotY: 331.4907}
{file: Devana_Medium_Combo_Part_1-79.png; pivotX: 92.51608; pivotY: 331.8483}
{file: Devana_Medium_Combo_Part_1-80.png; pivotX: 92.55219; pivotY: 332.2208}
{file: Devana_Medium_Combo_Part_1-81.png; pivotX: 92.5826; pivotY: 331.6965}
{file: Devana_Medium_Combo_Part_1-82.png; pivotX: 92.59665; pivotY: 332.081}
{file: Devana_Medium_Combo_Part_1-83.png; pivotX: 92.09941; pivotY: 332.4632}
{file: Devana_Medium_Combo_Part_1-84.png; pivotX: 92.09063; pivotY: 332.8374}
{file: Devana_Medium_Combo_Part_1-85.png; pivotX: 92.06999; pivotY: 333.1978}
{file: Devana_Medium_Combo_Part_1-86.png; pivotX: 92.03713; pivotY: 333.5386}
{file: Devana_Medium_Combo_Part_1-87.png; pivotX: 91.99229; pivotY: 333.8538}
