{file: DummyMale_Get_Hit_Staggering_Facing_Camera-0.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-37.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-38.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-39.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-40.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-41.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-42.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-43.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-44.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-45.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-46.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-47.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-48.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-49.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-50.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-51.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-52.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-53.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-54.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-55.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-56.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-57.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-58.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-59.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-60.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-61.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-62.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-63.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-64.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-65.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-66.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-67.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-68.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-69.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-70.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-71.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-72.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-73.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-74.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-75.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-76.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-77.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-78.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-79.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-80.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-81.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-82.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-83.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-84.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-85.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-86.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-87.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-88.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-89.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-90.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-91.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-92.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-93.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-94.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-95.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-96.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-97.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-98.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-99.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-100.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-101.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-102.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-103.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-104.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-105.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-106.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-107.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-108.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-109.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-110.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-111.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-112.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-113.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-114.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-115.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-116.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-117.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-118.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-119.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-120.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-121.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-122.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-123.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-124.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-125.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-126.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-127.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-128.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-129.png; posX: 0; posY: 0}
