{file: Devana_Light_Combo_Part_3-0.png; posX: 0.4630933; posY: 0}
{file: Devana_Light_Combo_Part_3-28.png; posX: 1.785598; posY: 0.2854058}
{file: Devana_Light_Combo_Part_3-29.png; posX: 1.801389; posY: 0.2864203}
{file: Devana_Light_Combo_Part_3-30.png; posX: 1.816066; posY: 0.2867744}
{file: Devana_Light_Combo_Part_3-31.png; posX: 1.829908; posY: 0.2864494}
{file: Devana_Light_Combo_Part_3-32.png; posX: 1.843196; posY: 0.285427}
{file: Devana_Light_Combo_Part_3-33.png; posX: 1.856207; posY: 0.2836888}
{file: Devana_Light_Combo_Part_3-34.png; posX: 1.869219; posY: 0.2812406}
{file: Devana_Light_Combo_Part_3-35.png; posX: 1.882513; posY: 0.2777791}
{file: Devana_Light_Combo_Part_3-36.png; posX: 1.896366; posY: 0.2728221}
{file: Devana_Light_Combo_Part_3-37.png; posX: 1.911058; posY: 0.2658876}
{file: Devana_Light_Combo_Part_3-38.png; posX: 1.926357; posY: 0.2564931}
{file: Devana_Light_Combo_Part_3-39.png; posX: 1.941818; posY: 0.2441566}
{file: Devana_Light_Combo_Part_3-40.png; posX: 1.957398; posY: 0.228396}
{file: Devana_Light_Combo_Part_3-41.png; posX: 1.973055; posY: 0.2128137}
{file: Devana_Light_Combo_Part_3-42.png; posX: 1.988746; posY: 0.2004254}
{file: Devana_Light_Combo_Part_3-43.png; posX: 2.004428; posY: 0.1898685}
{file: Devana_Light_Combo_Part_3-44.png; posX: 2.020059; posY: 0.1797806}
{file: Devana_Light_Combo_Part_3-45.png; posX: 2.035597; posY: 0.1687991}
{file: Devana_Light_Combo_Part_3-46.png; posX: 2.050998; posY: 0.1555616}
{file: Devana_Light_Combo_Part_3-47.png; posX: 2.06622; posY: 0.1398222}
{file: Devana_Light_Combo_Part_3-48.png; posX: 2.081221; posY: 0.1231074}
{file: Devana_Light_Combo_Part_3-49.png; posX: 2.095957; posY: 0.1067137}
{file: Devana_Light_Combo_Part_3-50.png; posX: 2.110386; posY: 0.09193671}
{file: Devana_Light_Combo_Part_3-51.png; posX: 2.124466; posY: 0.0800727}
{file: Devana_Light_Combo_Part_3-52.png; posX: 2.138154; posY: 0.07241786}
{file: Devana_Light_Combo_Part_3-53.png; posX: 2.151407; posY: 0.07026809}
{file: Devana_Light_Combo_Part_3-54.png; posX: 2.164182; posY: 0.07491958}
{file: Devana_Light_Combo_Part_3-55.png; posX: 2.176438; posY: 0.08395183}
{file: Devana_Light_Combo_Part_3-56.png; posX: 2.188131; posY: 0.09386665}
{file: Devana_Light_Combo_Part_3-57.png; posX: 2.199219; posY: 0.1043429}
{file: Devana_Light_Combo_Part_3-58.png; posX: 2.208925; posY: 0.1150597}
{file: Devana_Light_Combo_Part_3-59.png; posX: 2.216596; posY: 0.1256959}
{file: Devana_Light_Combo_Part_3-60.png; posX: 2.222375; posY: 0.1359305}
{file: Devana_Light_Combo_Part_3-61.png; posX: 2.226406; posY: 0.1454427}
{file: Devana_Light_Combo_Part_3-62.png; posX: 2.228832; posY: 0.1539114}
{file: Devana_Light_Combo_Part_3-63.png; posX: 2.229795; posY: 0.1624461}
{file: Devana_Light_Combo_Part_3-64.png; posX: 2.229439; posY: 0.1718205}
{file: Devana_Light_Combo_Part_3-65.png; posX: 2.227907; posY: 0.1812097}
{file: Devana_Light_Combo_Part_3-66.png; posX: 2.225342; posY: 0.1897889}
{file: Devana_Light_Combo_Part_3-67.png; posX: 2.221887; posY: 0.1967332}
{file: Devana_Light_Combo_Part_3-68.png; posX: 2.217686; posY: 0.2012177}
{file: Devana_Light_Combo_Part_3-69.png; posX: 2.212881; posY: 0.2024176}
{file: Devana_Light_Combo_Part_3-70.png; posX: 2.207615; posY: 0.1995078}
{file: Devana_Light_Combo_Part_3-71.png; posX: 2.202032; posY: 0.1932647}
{file: Devana_Light_Combo_Part_3-72.png; posX: 2.196275; posY: 0.1853344}
{file: Devana_Light_Combo_Part_3-73.png; posX: 2.190487; posY: 0.1761976}
{file: Devana_Light_Combo_Part_3-74.png; posX: 2.184811; posY: 0.1663347}
{file: Devana_Light_Combo_Part_3-75.png; posX: 2.17939; posY: 0.1562262}
{file: Devana_Light_Combo_Part_3-76.png; posX: 2.174367; posY: 0.1463528}
{file: Devana_Light_Combo_Part_3-77.png; posX: 2.169886; posY: 0.137195}
{file: Devana_Light_Combo_Part_3-78.png; posX: 2.166089; posY: 0.1292332}
{file: Devana_Light_Combo_Part_3-79.png; posX: 2.16312; posY: 0.122948}
{file: Devana_Light_Combo_Part_3-80.png; posX: 2.161121; posY: 0.11882}
{file: Devana_Light_Combo_Part_3-81.png; posX: 2.160236; posY: 0.1173295}
{file: Devana_Light_Combo_Part_3-82.png; posX: 2.160098; posY: 0.1175904}
{file: Devana_Light_Combo_Part_3-83.png; posX: 2.16021; posY: 0.1183255}
{file: Devana_Light_Combo_Part_3-84.png; posX: 2.160522; posY: 0.1194299}
{file: Devana_Light_Combo_Part_3-85.png; posX: 2.160985; posY: 0.1207982}
{file: Devana_Light_Combo_Part_3-86.png; posX: 2.161549; posY: 0.1223254}
{file: Devana_Light_Combo_Part_3-87.png; posX: 2.162163; posY: 0.1239061}
{file: Devana_Light_Combo_Part_3-88.png; posX: 2.162777; posY: 0.1254353}
{file: Devana_Light_Combo_Part_3-89.png; posX: 2.163342; posY: 0.1268078}
{file: Devana_Light_Combo_Part_3-90.png; posX: 2.163807; posY: 0.1279184}
