{file: Devana_Special_2_Part_3-0.png; posX: 1.937858; posY: 0}
{file: Devana_Special_2_Part_3-41.png; posX: 2.832927; posY: -0.05483001}
{file: Devana_Special_2_Part_3-42.png; posX: 2.834345; posY: -0.05370396}
{file: Devana_Special_2_Part_3-43.png; posX: 2.835678; posY: -0.05252743}
{file: Devana_Special_2_Part_3-44.png; posX: 2.836926; posY: -0.05125827}
{file: Devana_Special_2_Part_3-45.png; posX: 2.838094; posY: -0.04985422}
{file: Devana_Special_2_Part_3-46.png; posX: 2.839182; posY: -0.04827315}
{file: Devana_Special_2_Part_3-47.png; posX: 2.840195; posY: -0.04647291}
{file: Devana_Special_2_Part_3-48.png; posX: 2.841134; posY: -0.0444113}
{file: Devana_Special_2_Part_3-49.png; posX: 2.842002; posY: -0.04204607}
{file: Devana_Special_2_Part_3-50.png; posX: 2.842801; posY: -0.03933513}
{file: Devana_Special_2_Part_3-51.png; posX: 2.843534; posY: -0.03635103}
{file: Devana_Special_2_Part_3-52.png; posX: 2.844202; posY: -0.03321236}
{file: Devana_Special_2_Part_3-53.png; posX: 2.84481; posY: -0.02994615}
{file: Devana_Special_2_Part_3-54.png; posX: 2.845358; posY: -0.02657932}
{file: Devana_Special_2_Part_3-55.png; posX: 2.84585; posY: -0.02313894}
{file: Devana_Special_2_Part_3-56.png; posX: 2.846288; posY: -0.01965189}
{file: Devana_Special_2_Part_3-57.png; posX: 2.846675; posY: -0.01614517}
{file: Devana_Special_2_Part_3-58.png; posX: 2.847012; posY: -0.01264572}
{file: Devana_Special_2_Part_3-59.png; posX: 2.847303; posY: -0.009180546}
{file: Devana_Special_2_Part_3-60.png; posX: 2.84755; posY: -0.005776644}
{file: Devana_Special_2_Part_3-61.png; posX: 2.847755; posY: -0.002461016}
{file: Devana_Special_2_Part_3-62.png; posX: 2.847921; posY: 0.0007394552}
{file: Devana_Special_2_Part_3-63.png; posX: 2.84805; posY: 0.003797829}
{file: Devana_Special_2_Part_3-64.png; posX: 2.848145; posY: 0.006686985}
{file: Devana_Special_2_Part_3-65.png; posX: 2.848209; posY: 0.009380043}
{file: Devana_Special_2_Part_3-66.png; posX: 2.848243; posY: 0.01185}
{file: Devana_Special_2_Part_3-67.png; posX: 2.84825; posY: 0.01406991}
{file: Devana_Special_2_Part_3-68.png; posX: 2.848232; posY: 0.01601279}
{file: Devana_Special_2_Part_3-69.png; posX: 2.848193; posY: 0.01765168}
{file: Devana_Special_2_Part_3-70.png; posX: 2.848134; posY: 0.01895958}
{file: Devana_Special_2_Part_3-71.png; posX: 2.848059; posY: 0.01990956}
{file: Devana_Special_2_Part_3-72.png; posX: 2.847968; posY: 0.02047455}
{file: Devana_Special_2_Part_3-73.png; posX: 2.847866; posY: 0.02062768}
{file: Devana_Special_2_Part_3-74.png; posX: 2.847754; posY: 0.02034193}
{file: Devana_Special_2_Part_3-75.png; posX: 2.847635; posY: 0.01959038}
{file: Devana_Special_2_Part_3-76.png; posX: 2.847512; posY: 0.01834595}
{file: Devana_Special_2_Part_3-77.png; posX: 2.847386; posY: 0.01658177}
{file: Devana_Special_2_Part_3-78.png; posX: 2.84726; posY: 0.01427084}
{file: Devana_Special_2_Part_3-79.png; posX: 2.847138; posY: 0.01138616}
{file: Devana_Special_2_Part_3-80.png; posX: 2.84702; posY: 0.008311689}
{file: Devana_Special_2_Part_3-81.png; posX: 2.84691; posY: 0.005461991}
{file: Devana_Special_2_Part_3-82.png; posX: 2.84681; posY: 0.002856374}
{file: Devana_Special_2_Part_3-83.png; posX: 2.846723; posY: 0.0005138516}
{file: Devana_Special_2_Part_3-84.png; posX: 2.846651; posY: -0.001546383}
{file: Devana_Special_2_Part_3-85.png; posX: 2.846596; posY: -0.003305197}
{file: Devana_Special_2_Part_3-86.png; posX: 2.846562; posY: -0.004743397}
{file: Devana_Special_2_Part_3-87.png; posX: 2.84655; posY: -0.005841851}
{file: Devana_Special_2_Part_3-88.png; posX: 2.84655; posY: -0.006581426}
{file: Devana_Special_2_Part_3-89.png; posX: 2.84655; posY: -0.006942987}
{file: Devana_Special_2_Part_3-90.png; posX: 2.84655; posY: -0.006907403}
{file: Devana_Special_2_Part_3-91.png; posX: 2.84655; posY: -0.006455481}
{file: Devana_Special_2_Part_3-92.png; posX: 2.84655; posY: -0.005568087}
{file: Devana_Special_2_Part_3-93.png; posX: 2.84655; posY: -0.004460692}
{file: Devana_Special_2_Part_3-94.png; posX: 2.84655; posY: -0.003367722}
{file: Devana_Special_2_Part_3-95.png; posX: 2.84655; posY: -0.002298236}
{file: Devana_Special_2_Part_3-96.png; posX: 2.84655; posY: -0.001261532}
{file: Devana_Special_2_Part_3-97.png; posX: 2.84655; posY: -0.0002667904}
{file: Devana_Special_2_Part_3-98.png; posX: 2.84655; posY: 0.0006768107}
{file: Devana_Special_2_Part_3-99.png; posX: 2.84655; posY: 0.001560152}
{file: Devana_Special_2_Part_3-100.png; posX: 2.84655; posY: 0.002373934}
{file: Devana_Special_2_Part_3-101.png; posX: 2.84655; posY: 0.003109038}
{file: Devana_Special_2_Part_3-102.png; posX: 2.84655; posY: 0.003756225}
{file: Devana_Special_2_Part_3-103.png; posX: 2.84655; posY: 0.004306376}
{file: Devana_Special_2_Part_3-104.png; posX: 2.84655; posY: 0.004750311}
{file: Devana_Special_2_Part_3-105.png; posX: 2.84655; posY: 0.005078733}
